timestamp,power_mW,under_attack
2025-05-29T21:57:14.443397,2122,1
2025-05-29T21:57:15.473988,2122,1
2025-05-29T21:57:16.502767,2056,1
2025-05-29T21:57:17.548972,2056,1
2025-05-29T21:57:18.579676,2117,1
2025-05-29T21:57:19.623938,2117,1
2025-05-29T21:57:20.652392,2097,1
2025-05-29T21:57:21.697690,2097,1
2025-05-29T21:57:22.730699,2050,1
2025-05-29T21:57:23.760045,2141,1
2025-05-29T21:57:24.789229,2141,1
2025-05-29T21:57:25.819724,2041,1
2025-05-29T21:57:26.855035,2041,1
2025-05-29T21:57:27.884289,2073,1
2025-05-29T21:57:28.916234,2073,1
2025-05-29T21:57:29.966536,2035,1
2025-05-29T21:57:30.994886,2035,1
2025-05-29T21:57:32.042950,2080,1
2025-05-29T21:57:33.073014,2080,1
2025-05-29T21:57:34.101474,1955,1
2025-05-29T21:57:35.131700,1955,1
2025-05-29T21:57:36.164410,2077,1
2025-05-29T21:57:37.193681,2077,1
2025-05-29T21:57:38.245123,2078,1
2025-05-29T21:57:39.284817,2078,1
2025-05-29T21:57:40.314939,2059,1
2025-05-29T21:57:41.365264,2059,1
2025-05-29T21:57:42.394342,2046,1
2025-05-29T21:57:43.423328,2046,1
2025-05-29T21:57:44.456087,2057,1
2025-05-29T21:57:45.486695,2057,1
2025-05-29T21:57:46.519923,2243,1
2025-05-29T21:57:47.550632,2243,1
2025-05-29T21:57:48.580193,2072,1
2025-05-29T21:57:49.610115,2072,1
2025-05-29T21:57:50.651257,2112,1
2025-05-29T21:57:51.680292,2112,1
2025-05-29T21:57:52.726228,2084,1
2025-05-29T21:57:53.758363,2084,1
2025-05-29T21:57:54.788365,2099,1
2025-05-29T21:57:55.817394,2095,1
2025-05-29T21:57:56.852693,2095,1
2025-05-29T21:57:57.884393,2100,1
2025-05-29T21:57:58.913181,2100,1
2025-05-29T21:57:59.943526,2047,1
2025-05-29T21:58:00.993542,2047,1
2025-05-29T21:58:02.023936,2157,1
2025-05-29T21:58:03.067384,2157,1
2025-05-29T21:58:04.101731,2106,1
2025-05-29T21:58:05.134529,2106,1
2025-05-29T21:58:06.165220,2083,1
2025-05-29T21:58:07.194556,2083,1
2025-05-29T21:58:08.225360,1983,1
2025-05-29T21:58:09.255593,1983,1
2025-05-29T21:58:10.312270,2102,1
2025-05-29T21:58:11.341617,2102,1
2025-05-29T21:58:12.388315,2100,1
2025-05-29T21:58:13.417634,2100,1
2025-05-29T21:58:16.001985,2097,0
2025-05-29T21:58:17.034023,1988,0
2025-05-29T21:58:18.064113,2013,0
2025-05-29T21:58:19.118346,2013,0
2025-05-29T21:58:20.147051,2019,0
2025-05-29T21:58:21.192685,2019,0
2025-05-29T21:58:22.223114,1964,0
2025-05-29T21:58:23.251701,1964,0
2025-05-29T21:58:24.281421,2078,0
2025-05-29T21:58:25.311527,2078,0
2025-05-29T21:58:26.340507,2107,0
2025-05-29T21:58:27.369627,2107,0
2025-05-29T21:58:28.415412,2067,0
2025-05-29T21:58:29.444682,2067,0
2025-05-29T21:58:30.484690,2178,0
2025-05-29T21:58:31.515613,2178,0
2025-05-29T21:58:32.559702,2117,0
2025-05-29T21:58:33.588642,2117,0
2025-05-29T21:58:34.618488,2139,0
2025-05-29T21:58:35.647742,2139,0
2025-05-29T21:58:36.677215,2157,0
2025-05-29T21:58:37.723051,2157,0
2025-05-29T21:58:38.754366,2172,0
2025-05-29T21:58:39.784484,2153,0
2025-05-29T21:58:40.872202,2153,0
2025-05-29T21:58:41.902620,2118,0
2025-05-29T21:58:42.932223,2118,0
2025-05-29T21:58:43.961121,2136,0
2025-05-29T21:58:44.990796,2136,0
2025-05-29T21:58:46.028272,2126,0
2025-05-29T21:58:47.073493,2126,0
2025-05-29T21:58:48.102028,2064,0
2025-05-29T21:58:49.146822,2064,0
2025-05-29T21:58:50.175692,2064,0
2025-05-29T21:58:51.204400,2064,0
2025-05-29T21:58:52.235625,2148,0
2025-05-29T21:58:53.264310,2148,0
2025-05-29T21:58:54.294403,2201,0
2025-05-29T21:58:55.336605,2201,0
2025-05-29T21:58:56.392060,2126,0
2025-05-29T21:58:57.419933,2126,0
2025-05-29T21:58:58.447929,2139,0
2025-05-29T21:58:59.490911,2139,0
2025-05-29T21:59:00.521285,2132,0
2025-05-29T21:59:01.550246,2132,0
2025-05-29T21:59:02.579637,2067,0
2025-05-29T21:59:03.608220,2067,0
2025-05-29T21:59:04.644967,2168,0
2025-05-29T21:59:05.677349,2168,0
2025-05-29T21:59:06.708558,2167,0
2025-05-29T21:59:07.762258,2167,0
2025-05-29T21:59:08.792192,2212,0
2025-05-29T21:59:09.831899,2077,0
2025-05-29T21:59:10.861338,2077,0
2025-05-29T21:59:11.889926,2080,0
2025-05-29T21:59:12.921446,2080,0
2025-05-29T21:59:13.953671,2112,0
2025-05-29T21:59:14.984939,2112,0
2025-05-29T21:59:16.013761,2001,0
2025-05-29T21:59:17.056825,2001,0
2025-05-29T21:59:18.085392,2132,0
2025-05-29T21:59:19.124805,2132,0
2025-05-29T21:59:20.174939,2101,0
2025-05-29T21:59:21.204433,2101,0
2025-05-29T21:59:22.235814,2153,0
2025-05-29T21:59:23.266046,2153,0
2025-05-29T21:59:24.295340,2096,0
2025-05-29T21:59:25.324401,2096,0
2025-05-29T21:59:26.365872,2140,0
2025-05-29T21:59:27.395088,2140,0
2025-05-29T21:59:28.424126,2195,0
2025-05-29T21:59:29.469647,2195,0
2025-05-29T21:59:30.498995,2034,0
2025-05-29T21:59:31.540499,2034,0
2025-05-29T21:59:32.571179,2139,0
2025-05-29T21:59:33.600817,2139,0
2025-05-29T21:59:34.630122,2086,0
2025-05-29T21:59:35.673783,2086,0
2025-05-29T21:59:36.703055,2074,0
2025-05-29T21:59:37.733043,2074,0
2025-05-29T21:59:38.786263,2190,0
2025-05-29T21:59:39.816900,1983,0
2025-05-29T21:59:40.866283,1983,0
2025-05-29T21:59:41.895224,1992,0
2025-05-29T21:59:42.923794,1992,0
2025-05-29T21:59:43.952462,2137,0
2025-05-29T21:59:44.989435,2137,0
2025-05-29T21:59:46.018006,1963,0
2025-05-29T21:59:47.047778,1963,0
2025-05-29T21:59:48.105156,2081,0
2025-05-29T21:59:49.134166,2081,0
2025-05-29T21:59:50.192064,2028,0
2025-05-29T21:59:51.221913,2028,0
2025-05-29T21:59:52.253668,1999,0
2025-05-29T21:59:53.295006,1999,0
2025-05-29T21:59:54.325067,1988,0
2025-05-29T21:59:55.352786,1988,0
2025-05-29T21:59:56.381535,2053,0
2025-05-29T21:59:57.422360,2053,0
2025-05-29T21:59:58.451015,2031,0
2025-05-29T21:59:59.479948,2031,0
2025-05-29T22:00:00.522131,2101,0
2025-05-29T22:00:01.550275,2101,0
2025-05-29T22:00:02.579294,2151,0
2025-05-29T22:00:03.608082,2151,0
2025-05-29T22:00:04.636599,2075,0
2025-05-29T22:00:05.665626,2075,0
2025-05-29T22:00:06.708053,2028,0
2025-05-29T22:00:07.740081,2028,0
2025-05-29T22:00:08.767695,2118,0
2025-05-29T22:00:09.812690,2129,0
2025-05-29T22:00:10.841033,2129,0
2025-05-29T22:00:11.869291,2010,0
2025-05-29T22:00:12.917293,2010,0
2025-05-29T22:00:13.946819,2084,0
2025-05-29T22:00:14.977089,2084,0
2025-05-29T22:00:16.015193,1996,0
2025-05-29T22:00:17.044168,1996,0
2025-05-29T22:00:18.072933,2055,0
2025-05-29T22:00:19.109943,2055,0
2025-05-29T22:00:20.138972,2051,0
2025-05-29T22:00:21.179288,2051,0
2025-05-29T22:00:22.242706,2013,0
2025-05-29T22:00:23.272325,2013,0
2025-05-29T22:00:24.301601,2027,0
2025-05-29T22:00:25.335735,2027,0
2025-05-29T22:00:26.365226,2055,0
2025-05-29T22:00:27.394365,2055,0
2025-05-29T22:00:28.429238,2076,0
2025-05-29T22:00:29.473383,2076,0
2025-05-29T22:00:30.502443,2173,0
2025-05-29T22:00:31.547189,2173,0
2025-05-29T22:00:32.576075,2043,0
2025-05-29T22:00:33.604418,2043,0
2025-05-29T22:00:34.633280,2119,0
2025-05-29T22:00:35.663393,2119,0
2025-05-29T22:00:36.694233,2090,0
2025-05-29T22:00:37.736352,2090,0
2025-05-29T22:00:38.768316,2166,0
2025-05-29T22:00:39.796393,2166,0
2025-05-29T22:00:40.840064,2098,0
2025-05-29T22:00:41.868491,2228,0
2025-05-29T22:00:42.897845,2228,0
2025-05-29T22:00:43.937555,2157,0
2025-05-29T22:00:44.966080,2157,0
2025-05-29T22:00:45.995277,2145,0
2025-05-29T22:00:47.024198,2145,0
2025-05-29T22:00:48.052693,2116,0
2025-05-29T22:00:49.081072,2116,0
2025-05-29T22:00:50.111708,2144,0
2025-05-29T22:00:51.149399,2144,0
2025-05-29T22:00:52.177644,2075,0
2025-05-29T22:00:53.206510,2075,0
2025-05-29T22:00:54.237042,2070,0
2025-05-29T22:00:55.278256,2070,0
2025-05-29T22:00:56.307011,2067,0
2025-05-29T22:00:57.336431,2067,0
2025-05-29T22:00:58.375391,2090,0
2025-05-29T22:00:59.404239,2090,0
2025-05-29T22:01:00.432658,2082,0
2025-05-29T22:01:01.461459,2082,0
2025-05-29T22:01:02.491718,2055,0
2025-05-29T22:01:03.520178,2055,0
2025-05-29T22:01:04.563653,2057,0
2025-05-29T22:01:05.592136,2057,0
2025-05-29T22:01:06.620776,2092,0
2025-05-29T22:01:07.668177,2092,0
2025-05-29T22:01:08.697007,2150,0
2025-05-29T22:01:09.726869,2150,0
2025-05-29T22:01:10.766819,2165,0
2025-05-29T22:01:11.796173,2165,0
2025-05-29T22:01:12.824842,2164,0
2025-05-29T22:01:13.854327,2158,0
2025-05-29T22:01:14.886092,2158,0
2025-05-29T22:01:15.915625,1932,0
2025-05-29T22:01:16.944798,1932,1
2025-05-29T22:01:17.978055,1985,1
2025-05-29T22:01:19.012448,1985,1
2025-05-29T22:01:20.042404,2128,1
2025-05-29T22:01:21.083141,2128,1
2025-05-29T22:01:22.111840,1986,1
2025-05-29T22:01:23.140686,1986,1
2025-05-29T22:01:24.191236,2038,1
2025-05-29T22:01:25.220428,2038,1
2025-05-29T22:01:26.249738,2080,1
2025-05-29T22:01:27.286509,2080,1
2025-05-29T22:01:28.315539,2043,1
2025-05-29T22:01:29.344889,2043,1
2025-05-29T22:01:30.401472,2119,1
2025-05-29T22:01:31.430425,2119,1
2025-05-29T22:01:32.476746,2052,1
2025-05-29T22:01:33.506849,2052,1
2025-05-29T22:01:34.538221,2010,1
2025-05-29T22:01:35.566866,2010,1
2025-05-29T22:01:36.597061,2034,1
2025-05-29T22:01:37.625529,2034,1
2025-05-29T22:01:38.654492,2106,1
2025-05-29T22:01:39.695051,2106,1
2025-05-29T22:01:40.727720,2141,1
2025-05-29T22:01:41.770093,2141,1
2025-05-29T22:01:42.798916,2121,1
2025-05-29T22:01:43.842062,2168,1
2025-05-29T22:01:44.870796,2168,1
2025-05-29T22:01:45.900428,2133,1
2025-05-29T22:01:46.929330,2133,1
2025-05-29T22:01:47.958477,2179,1
2025-05-29T22:01:48.988657,2179,1
2025-05-29T22:01:50.016845,2092,1
2025-05-29T22:01:51.045310,2092,1
2025-05-29T22:01:52.073713,2105,1
2025-05-29T22:01:53.110021,2105,1
2025-05-29T22:01:54.138452,2189,1
2025-05-29T22:01:55.182262,2189,1
2025-05-29T22:01:56.211047,2083,1
2025-05-29T22:01:57.240009,2083,1
2025-05-29T22:01:58.280001,2084,1
2025-05-29T22:01:59.313862,2084,1
2025-05-29T22:02:00.363743,1978,1
2025-05-29T22:02:01.393040,1978,1
2025-05-29T22:02:02.426890,2022,1
2025-05-29T22:02:03.456366,2022,1
2025-05-29T22:02:04.500773,2025,1
2025-05-29T22:02:05.530859,2025,1
2025-05-29T22:02:06.574654,2097,1
2025-05-29T22:02:07.603799,2097,1
2025-05-29T22:02:08.633411,2049,1
2025-05-29T22:02:09.663114,2049,1
2025-05-29T22:02:10.692408,2016,1
2025-05-29T22:02:11.726378,2016,1
2025-05-29T22:02:12.758691,2121,1
2025-05-29T22:02:13.787799,2121,1
2025-05-29T22:02:14.843262,2027,1
2025-05-29T22:02:15.872232,2072,1
2025-05-29T22:02:16.900897,2072,0
2025-05-29T22:02:17.940217,2127,0
2025-05-29T22:02:18.968685,2127,0
2025-05-29T22:02:20.000079,1993,0
2025-05-29T22:02:21.036745,1993,0
2025-05-29T22:02:22.065184,2047,0
2025-05-29T22:02:23.095126,2047,0
2025-05-29T22:02:24.137978,2049,0
2025-05-29T22:02:25.167156,2049,0
2025-05-29T22:02:26.210415,2046,0
2025-05-29T22:02:27.240985,2046,0
2025-05-29T22:02:28.283730,2095,0
2025-05-29T22:02:29.313278,2095,0
2025-05-29T22:02:30.342631,2064,0
2025-05-29T22:02:31.372184,2064,0
2025-05-29T22:02:32.400857,2082,0
2025-05-29T22:02:33.444802,2082,0
2025-05-29T22:02:34.474141,2164,0
2025-05-29T22:02:35.504102,2164,0
2025-05-29T22:02:36.551855,2076,0
2025-05-29T22:02:37.580967,2076,0
2025-05-29T22:02:38.626978,2086,0
2025-05-29T22:02:39.655316,2086,0
2025-05-29T22:02:40.683976,2002,0
2025-05-29T22:02:41.712773,2002,0
2025-05-29T22:02:42.755003,2067,0
2025-05-29T22:02:43.783371,2067,0
2025-05-29T22:02:44.813077,2088,0
2025-05-29T22:02:45.939068,2275,0
2025-05-29T22:02:46.966925,2275,0
2025-05-29T22:02:47.996774,2192,0
2025-05-29T22:02:49.027335,2192,0
2025-05-29T22:02:50.069159,2104,0
2025-05-29T22:02:51.097987,2104,0
2025-05-29T22:02:52.142488,2159,0
2025-05-29T22:02:53.172192,2159,0
2025-05-29T22:02:54.200497,2126,0
2025-05-29T22:02:55.233276,2126,0
2025-05-29T22:02:56.266615,2119,0
2025-05-29T22:02:57.295163,2119,0
2025-05-29T22:02:58.323483,2146,0
2025-05-29T22:02:59.353814,2146,0
2025-05-29T22:03:00.382188,2127,0
2025-05-29T22:03:01.411512,2127,0
2025-05-29T22:03:02.440262,2085,0
2025-05-29T22:03:03.483072,2085,0
2025-05-29T22:03:04.512359,2125,0
2025-05-29T22:03:05.557224,2125,0
2025-05-29T22:03:06.587433,2094,0
2025-05-29T22:03:07.617464,2094,0
2025-05-29T22:03:08.646920,2155,0
2025-05-29T22:03:09.679109,2155,0
2025-05-29T22:03:10.710981,2049,0
2025-05-29T22:03:11.741730,2049,0
2025-05-29T22:03:12.781981,2189,0
2025-05-29T22:03:13.825378,2189,0
2025-05-29T22:03:14.857229,2078,0
2025-05-29T22:03:15.899011,2095,0
2025-05-29T22:03:16.929345,2095,0
2025-05-29T22:03:17.958336,2138,0
2025-05-29T22:03:18.992503,2138,0
2025-05-29T22:03:20.023929,2169,0
2025-05-29T22:03:21.053109,2169,0
2025-05-29T22:03:22.097273,2129,0
2025-05-29T22:03:23.127283,2129,0
2025-05-29T22:03:24.167855,2097,0
2025-05-29T22:03:25.198104,2097,0
2025-05-29T22:03:26.243730,2024,0
2025-05-29T22:03:27.273151,2024,0
2025-05-29T22:03:28.301652,2086,0
2025-05-29T22:03:29.332135,2086,0
2025-05-29T22:03:30.360626,2020,0
2025-05-29T22:03:31.402588,2020,0
2025-05-29T22:03:32.434476,2050,0
2025-05-29T22:03:33.466316,2050,0
2025-05-29T22:03:34.510236,2067,0
2025-05-29T22:03:35.542858,2067,0
2025-05-29T22:03:36.584956,2078,0
2025-05-29T22:03:37.614217,2078,0
2025-05-29T22:03:38.643815,2111,0
2025-05-29T22:03:39.672274,2111,0
2025-05-29T22:03:40.711095,2041,0
2025-05-29T22:03:41.741949,2041,0
2025-05-29T22:03:42.770856,1968,0
2025-05-29T22:03:43.828714,1968,0
2025-05-29T22:03:44.857446,2029,0
2025-05-29T22:03:45.908247,2021,0
2025-05-29T22:03:46.937198,2021,0
2025-05-29T22:03:47.965727,2125,0
2025-05-29T22:03:48.995393,2125,0
2025-05-29T22:03:50.024326,1987,0
2025-05-29T22:03:51.054125,1987,0
2025-05-29T22:03:52.082604,1975,0
2025-05-29T22:03:53.123829,1975,0
