timestamp,power_mW,under_attack
2025-05-29T20:22:39.627516,613,1
2025-05-29T20:22:40.656734,613,1
2025-05-29T20:22:41.701055,613,1
2025-05-29T20:22:42.729939,644,1
2025-05-29T20:22:43.759399,644,1
2025-05-29T20:22:44.788359,644,1
2025-05-29T20:22:45.826157,783,1
2025-05-29T20:22:46.855449,783,1
2025-05-29T20:22:47.896227,783,1
2025-05-29T20:22:48.925053,783,1
2025-05-29T20:22:49.969309,794,1
2025-05-29T20:22:51.013029,794,1
2025-05-29T20:22:52.043001,794,1
2025-05-29T20:22:53.071713,833,1
2025-05-29T20:22:54.111485,833,1
2025-05-29T20:22:55.140648,833,1
2025-05-29T20:22:56.169624,757,1
2025-05-29T20:22:57.198387,757,1
2025-05-29T20:22:58.238534,757,1
2025-05-29T20:22:59.267778,809,1
2025-05-29T20:23:00.312561,809,1
2025-05-29T20:23:01.342756,809,1
2025-05-29T20:23:02.372490,809,1
2025-05-29T20:23:03.401260,731,1
2025-05-29T20:23:04.430239,731,1
2025-05-29T20:23:05.460626,731,1
2025-05-29T20:23:06.492629,678,1
2025-05-29T20:23:07.523796,678,1
2025-05-29T20:23:08.554241,678,1
2025-05-29T20:23:09.584904,811,1
2025-05-29T20:23:10.629080,811,1
2025-05-29T20:23:11.657803,811,1
2025-05-29T20:23:12.687076,811,1
2025-05-29T20:23:13.729598,736,1
2025-05-29T20:23:14.758189,736,1
2025-05-29T20:23:15.789794,736,1
2025-05-29T20:23:16.833650,776,1
2025-05-29T20:23:17.862197,776,1
2025-05-29T20:23:18.891167,776,1
2025-05-29T20:23:19.920125,776,1
2025-05-29T20:23:20.949601,766,1
2025-05-29T20:23:21.978330,766,1
2025-05-29T20:23:23.019449,766,1
2025-05-29T20:23:24.048226,736,1
2025-05-29T20:23:25.095063,736,1
2025-05-29T20:23:26.124157,736,1
2025-05-29T20:23:27.153536,793,1
2025-05-29T20:23:28.183834,793,1
2025-05-29T20:23:29.212945,793,1
2025-05-29T20:23:30.245096,793,1
2025-05-29T20:23:31.273858,776,1
2025-05-29T20:23:32.303338,776,1
2025-05-29T20:23:33.334951,776,1
2025-05-29T20:23:34.366820,778,1
2025-05-29T20:23:35.409873,778,1
2025-05-29T20:23:36.460173,778,1
2025-05-29T20:23:37.489056,762,1
2025-05-29T20:23:38.518213,762,1
2025-05-29T20:23:39.553221,762,1
2025-05-29T20:23:48.107297,744,0
2025-05-29T20:23:49.137195,744,0
2025-05-29T20:23:50.182092,744,0
2025-05-29T20:23:51.210655,744,0
2025-05-29T20:23:52.239327,630,0
2025-05-29T20:23:53.269269,630,0
2025-05-29T20:23:54.298323,630,0
2025-05-29T20:23:55.327958,630,0
2025-05-29T20:23:56.370760,576,0
2025-05-29T20:23:57.399396,576,0
2025-05-29T20:23:58.429670,576,0
2025-05-29T20:23:59.473670,576,0
2025-05-29T20:24:00.503789,509,0
2025-05-29T20:24:01.553277,509,0
2025-05-29T20:24:02.583426,509,0
2025-05-29T20:24:03.613089,509,0
2025-05-29T20:24:04.641793,509,0
2025-05-29T20:24:05.679342,531,0
2025-05-29T20:24:06.709107,531,0
2025-05-29T20:24:07.737697,531,0
2025-05-29T20:24:08.792220,531,0
2025-05-29T20:24:09.820821,531,0
2025-05-29T20:24:10.867694,523,0
2025-05-29T20:24:11.896366,523,0
2025-05-29T20:24:12.925388,523,0
2025-05-29T20:24:13.954998,523,0
2025-05-29T20:24:14.987425,523,0
2025-05-29T20:24:16.015975,506,0
2025-05-29T20:24:17.044955,506,0
2025-05-29T20:24:18.075441,506,0
2025-05-29T20:24:19.104089,506,0
2025-05-29T20:24:20.132741,506,0
2025-05-29T20:24:21.161845,500,0
2025-05-29T20:24:22.206454,500,0
2025-05-29T20:24:23.235319,500,0
2025-05-29T20:24:24.283971,500,0
2025-05-29T20:24:25.313761,500,0
2025-05-29T20:24:26.344729,593,0
2025-05-29T20:24:27.378148,593,0
2025-05-29T20:24:28.406774,593,0
2025-05-29T20:24:29.435845,654,0
2025-05-29T20:24:30.465208,654,0
2025-05-29T20:24:31.505522,654,0
2025-05-29T20:24:32.548889,654,0
2025-05-29T20:24:33.578151,700,0
2025-05-29T20:24:34.622123,700,0
2025-05-29T20:24:35.650595,700,0
2025-05-29T20:24:36.685175,748,0
2025-05-29T20:24:37.715607,748,0
2025-05-29T20:24:38.744311,748,0
2025-05-29T20:24:39.773980,748,0
2025-05-29T20:24:40.813732,745,0
2025-05-29T20:24:41.843839,745,0
2025-05-29T20:24:42.891428,745,0
2025-05-29T20:24:43.920109,740,0
2025-05-29T20:24:44.948756,740,0
2025-05-29T20:24:45.998338,740,0
2025-05-29T20:24:47.029227,740,0
2025-05-29T20:24:48.058322,688,0
2025-05-29T20:24:49.088500,688,0
2025-05-29T20:24:50.122401,688,0
2025-05-29T20:24:51.152335,727,0
2025-05-29T20:24:52.181042,727,0
2025-05-29T20:24:53.212077,727,0
2025-05-29T20:24:54.241960,727,0
2025-05-29T20:24:55.281650,691,0
2025-05-29T20:24:56.310229,691,0
2025-05-29T20:24:57.355768,691,0
2025-05-29T20:24:58.385012,691,0
2025-05-29T20:24:59.414085,695,0
2025-05-29T20:25:00.442399,695,0
2025-05-29T20:25:01.471922,695,0
2025-05-29T20:25:02.500731,735,0
2025-05-29T20:25:03.535931,735,0
2025-05-29T20:25:04.564753,735,0
2025-05-29T20:25:05.595019,742,0
2025-05-29T20:25:06.648086,742,0
2025-05-29T20:25:07.678373,742,0
2025-05-29T20:25:08.723868,742,0
2025-05-29T20:25:09.754826,728,0
2025-05-29T20:25:10.786872,728,0
2025-05-29T20:25:11.815245,728,0
2025-05-29T20:25:12.845439,759,0
2025-05-29T20:25:13.874479,759,0
2025-05-29T20:25:14.903315,759,0
2025-05-29T20:25:15.947078,759,0
2025-05-29T20:25:16.991323,724,0
2025-05-29T20:25:18.020460,724,0
2025-05-29T20:25:19.065814,724,0
2025-05-29T20:25:20.096378,724,0
2025-05-29T20:25:21.128415,702,0
2025-05-29T20:25:22.156804,702,0
2025-05-29T20:25:23.186356,702,0
2025-05-29T20:25:24.215283,721,0
2025-05-29T20:25:25.254897,721,0
2025-05-29T20:25:26.283314,721,0
2025-05-29T20:25:27.312253,721,0
2025-05-29T20:25:28.356759,789,0
2025-05-29T20:25:29.386130,789,0
2025-05-29T20:25:30.440404,789,0
2025-05-29T20:25:31.468960,719,0
2025-05-29T20:25:32.500137,719,0
2025-05-29T20:25:33.528880,719,0
2025-05-29T20:25:34.565937,768,0
2025-05-29T20:25:35.595210,768,0
2025-05-29T20:25:36.624209,768,0
2025-05-29T20:25:37.675167,768,0
2025-05-29T20:25:38.705031,734,0
2025-05-29T20:25:39.749529,734,0
2025-05-29T20:25:40.785933,734,0
2025-05-29T20:25:41.815982,769,0
2025-05-29T20:25:42.845789,769,0
2025-05-29T20:25:43.874605,769,0
2025-05-29T20:25:44.904298,769,0
2025-05-29T20:25:45.937187,728,0
2025-05-29T20:25:46.977713,728,0
2025-05-29T20:25:48.017487,728,0
2025-05-29T20:25:49.046418,728,0
2025-05-29T20:25:50.094862,718,0
2025-05-29T20:25:51.123485,718,0
2025-05-29T20:25:52.152902,718,0
