timestamp,power_mW,under_attack
2025-05-30T19:14:13.323700,613,1
2025-05-30T19:14:14.353190,613,1
2025-05-30T19:14:15.404269,613,1
2025-05-30T19:14:16.433015,613,1
2025-05-30T19:14:17.462902,665,1
2025-05-30T19:14:18.492146,665,1
2025-05-30T19:14:19.526926,665,1
2025-05-30T19:14:20.558358,665,1
2025-05-30T19:14:21.587511,774,1
2025-05-30T19:14:22.616511,774,1
2025-05-30T19:14:23.665858,774,1
2025-05-30T19:14:24.700143,744,1
2025-05-30T19:14:25.743517,744,1
2025-05-30T19:14:26.772787,744,1
2025-05-30T19:14:27.804007,744,1
2025-05-30T19:14:28.840882,787,1
2025-05-30T19:14:29.870255,787,1
2025-05-30T19:14:30.899276,787,1
2025-05-30T19:14:31.929430,798,1
2025-05-30T19:14:32.984217,798,1
2025-05-30T19:14:34.013329,798,1
2025-05-30T19:14:35.064007,839,1
2025-05-30T19:14:36.093219,839,1
2025-05-30T19:14:37.122411,839,1
2025-05-30T19:14:38.151675,814,1
2025-05-30T19:14:39.181517,814,1
2025-05-30T19:14:40.212667,814,1
2025-05-30T19:14:41.241639,814,1
2025-05-30T19:14:42.277438,757,1
2025-05-30T19:14:43.307684,757,1
2025-05-30T19:14:44.350551,818,1
2025-05-30T19:14:45.380930,818,1
2025-05-30T19:14:46.428378,818,1
2025-05-30T19:14:47.457671,798,1
2025-05-30T19:14:48.487175,798,1
2025-05-30T19:14:49.516166,798,1
2025-05-30T19:14:50.546387,798,1
2025-05-30T19:14:51.586312,796,1
2025-05-30T19:14:52.615426,796,1
2025-05-30T19:14:53.645428,796,1
2025-05-30T19:14:54.693466,781,1
2025-05-30T19:14:55.722560,781,1
2025-05-30T19:14:56.770284,781,1
2025-05-30T19:14:57.801323,781,1
2025-05-30T19:14:58.834499,727,1
2025-05-30T19:14:59.863779,727,1
2025-05-30T19:15:00.894783,727,1
2025-05-30T19:15:01.923768,797,1
2025-05-30T19:15:02.952802,797,1
2025-05-30T19:15:03.981751,797,1
2025-05-30T19:15:05.011297,813,1
2025-05-30T19:15:06.041711,813,1
2025-05-30T19:15:07.083304,813,1
2025-05-30T19:15:08.113153,798,1
2025-05-30T19:15:09.160854,798,1
2025-05-30T19:15:10.203425,798,1
2025-05-30T19:15:11.232486,798,1
2025-05-30T19:15:12.261679,808,1
2025-05-30T19:15:13.292659,808,1
2025-05-30T19:15:14.321464,824,0
2025-05-30T19:15:15.351380,824,0
2025-05-30T19:15:16.380858,824,0
2025-05-30T19:15:17.425828,824,0
2025-05-30T19:15:18.454942,592,0
2025-05-30T19:15:19.503561,592,0
2025-05-30T19:15:20.532836,592,0
2025-05-30T19:15:21.561935,592,0
2025-05-30T19:15:22.591675,579,0
2025-05-30T19:15:23.621142,579,0
2025-05-30T19:15:24.650030,579,0
2025-05-30T19:15:25.679302,579,0
2025-05-30T19:15:26.718519,579,0
2025-05-30T19:15:27.747979,576,0
2025-05-30T19:15:28.792167,576,0
2025-05-30T19:15:29.822255,576,0
2025-05-30T19:15:30.869409,576,0
2025-05-30T19:15:31.898687,582,0
2025-05-30T19:15:32.928600,582,0
2025-05-30T19:15:33.957396,582,0
2025-05-30T19:15:34.986515,582,0
2025-05-30T19:15:36.040556,593,0
2025-05-30T19:15:37.086482,593,0
2025-05-30T19:15:38.139834,593,0
2025-05-30T19:15:39.169952,593,0
2025-05-30T19:15:40.210006,593,0
2025-05-30T19:15:41.239089,638,0
2025-05-30T19:15:42.268176,638,0
2025-05-30T19:15:43.298737,638,0
2025-05-30T19:15:44.337145,634,0
2025-05-30T19:15:45.381040,634,0
2025-05-30T19:15:46.410111,634,0
2025-05-30T19:15:47.463391,634,0
2025-05-30T19:15:48.492101,634,0
2025-05-30T19:15:49.521086,575,0
2025-05-30T19:15:50.552741,575,0
2025-05-30T19:15:51.583005,575,0
2025-05-30T19:15:52.612133,575,0
2025-05-30T19:15:53.645759,591,0
2025-05-30T19:15:54.674833,591,0
2025-05-30T19:15:55.723431,591,0
2025-05-30T19:15:56.753948,591,0
2025-05-30T19:15:57.798588,591,0
2025-05-30T19:15:58.829702,566,0
2025-05-30T19:15:59.860329,566,0
2025-05-30T19:16:00.891074,566,0
2025-05-30T19:16:01.920212,566,0
2025-05-30T19:16:02.954296,572,0
2025-05-30T19:16:03.983808,572,0
2025-05-30T19:16:05.013163,572,0
2025-05-30T19:16:06.065783,572,0
2025-05-30T19:16:07.095847,568,0
2025-05-30T19:16:08.142839,568,0
2025-05-30T19:16:09.172188,568,0
2025-05-30T19:16:10.201248,568,0
2025-05-30T19:16:11.231746,568,0
2025-05-30T19:16:12.262648,575,0
2025-05-30T19:16:13.292780,575,0
2025-05-30T19:16:14.321616,575,0
2025-05-30T19:16:15.365616,570,0
2025-05-30T19:16:16.408145,570,0
2025-05-30T19:16:17.437734,570,0
2025-05-30T19:16:18.486758,570,0
2025-05-30T19:16:19.515867,570,0
2025-05-30T19:16:20.546160,622,0
2025-05-30T19:16:21.575734,622,0
2025-05-30T19:16:22.604765,622,0
2025-05-30T19:16:23.634623,622,0
2025-05-30T19:16:24.673923,612,0
2025-05-30T19:16:25.704320,612,0
2025-05-30T19:16:26.734296,612,0
2025-05-30T19:16:27.808066,612,0
2025-05-30T19:16:28.837112,568,0
2025-05-30T19:16:29.901227,568,0
2025-05-30T19:16:30.930075,568,0
2025-05-30T19:16:31.972987,568,0
2025-05-30T19:16:33.002155,568,0
2025-05-30T19:16:34.051704,569,0
2025-05-30T19:16:35.086735,569,0
2025-05-30T19:16:36.136681,569,0
2025-05-30T19:16:37.165863,569,0
2025-05-30T19:16:38.195315,608,0
2025-05-30T19:16:39.224678,608,0
2025-05-30T19:16:40.267333,608,0
2025-05-30T19:16:41.297838,608,0
2025-05-30T19:16:42.345391,596,0
2025-05-30T19:16:43.375849,596,0
2025-05-30T19:16:44.405072,596,0
2025-05-30T19:16:45.434278,596,0
2025-05-30T19:16:46.463265,540,0
2025-05-30T19:16:47.495385,540,0
2025-05-30T19:16:48.524957,540,0
2025-05-30T19:16:49.555197,540,0
2025-05-30T19:16:50.609732,540,0
2025-05-30T19:16:51.638829,607,0
2025-05-30T19:16:52.686782,607,0
2025-05-30T19:16:53.718159,607,0
2025-05-30T19:16:54.747451,607,0
2025-05-30T19:16:55.776406,607,0
2025-05-30T19:16:56.806468,579,0
2025-05-30T19:16:57.835360,579,0
2025-05-30T19:16:58.865046,579,0
2025-05-30T19:16:59.907237,579,0
2025-05-30T19:17:00.936501,610,0
2025-05-30T19:17:01.976180,610,0
2025-05-30T19:17:03.053219,610,0
2025-05-30T19:17:04.083446,610,0
2025-05-30T19:17:05.112932,612,0
2025-05-30T19:17:06.141845,612,0
2025-05-30T19:17:07.171554,612,0
2025-05-30T19:17:08.222492,612,0
2025-05-30T19:17:09.251820,612,0
2025-05-30T19:17:10.300908,601,0
2025-05-30T19:17:11.331876,601,0
2025-05-30T19:17:12.361070,601,0
2025-05-30T19:17:13.390451,628,0
2025-05-30T19:17:14.420623,628,0
2025-05-30T19:17:15.450739,628,0
2025-05-30T19:17:16.479634,628,0
2025-05-30T19:17:17.540928,628,0
2025-05-30T19:17:18.571245,584,0
2025-05-30T19:17:19.618068,584,0
2025-05-30T19:17:20.647290,584,0
2025-05-30T19:17:21.690663,584,0
2025-05-30T19:17:22.729286,575,0
2025-05-30T19:17:23.760694,575,0
2025-05-30T19:17:24.791872,575,0
2025-05-30T19:17:25.836269,575,0
2025-05-30T19:17:26.866117,575,0
2025-05-30T19:17:27.912734,540,0
2025-05-30T19:17:28.947384,540,0
2025-05-30T19:17:29.976406,540,0
2025-05-30T19:17:31.012703,540,0
2025-05-30T19:17:32.043247,615,0
2025-05-30T19:17:33.075759,615,0
2025-05-30T19:17:34.104600,615,0
2025-05-30T19:17:35.153730,615,0
2025-05-30T19:17:36.182673,536,0
2025-05-30T19:17:37.230760,536,0
2025-05-30T19:17:38.259448,536,0
2025-05-30T19:17:39.290166,536,0
2025-05-30T19:17:40.321500,536,0
2025-05-30T19:17:41.358881,628,0
2025-05-30T19:17:42.388336,628,0
2025-05-30T19:17:43.417716,628,0
2025-05-30T19:17:44.448671,602,0
2025-05-30T19:17:45.477731,602,0
2025-05-30T19:17:46.520195,602,0
2025-05-30T19:17:47.575093,602,0
2025-05-30T19:17:48.604326,580,0
2025-05-30T19:17:49.635851,580,0
2025-05-30T19:17:50.676824,580,0
2025-05-30T19:17:51.705818,580,0
2025-05-30T19:17:52.735812,580,0
2025-05-30T19:17:53.765446,565,0
2025-05-30T19:17:54.795811,565,0
2025-05-30T19:17:55.838512,565,0
2025-05-30T19:17:56.867856,565,0
2025-05-30T19:17:57.915598,614,0
2025-05-30T19:17:58.987146,614,0
2025-05-30T19:18:00.016431,614,0
2025-05-30T19:18:01.060838,614,0
2025-05-30T19:18:02.092159,608,0
2025-05-30T19:18:03.138254,608,0
2025-05-30T19:18:04.171183,608,0
