timestamp,power_mW,under_attack
2025-06-07T01:07:09.434177,2044,1
2025-06-07T01:07:10.464504,2043,1
2025-06-07T01:07:11.496977,2043,1
2025-06-07T01:07:12.528817,2141,1
2025-06-07T01:07:13.558713,2141,1
2025-06-07T01:07:14.599139,2140,1
2025-06-07T01:07:15.644508,2140,1
2025-06-07T01:07:16.675557,2191,1
2025-06-07T01:07:17.716651,2191,1
2025-06-07T01:07:18.745370,2268,1
2025-06-07T01:07:19.774328,2268,1
2025-06-07T01:07:20.810283,2048,1
2025-06-07T01:07:21.839370,2048,1
2025-06-07T01:07:22.871511,2038,1
2025-06-07T01:07:23.923198,2038,1
2025-06-07T01:07:24.961789,2154,1
2025-06-07T01:07:25.990711,2154,1
2025-06-07T01:07:27.036173,2158,1
2025-06-07T01:07:28.071253,2120,1
2025-06-07T01:07:29.100947,2120,1
2025-06-07T01:07:30.129786,2157,1
2025-06-07T01:07:31.157788,2157,1
2025-06-07T01:07:32.190013,2163,1
2025-06-07T01:07:33.221375,2163,1
2025-06-07T01:07:34.250187,2155,1
2025-06-07T01:07:35.279838,2155,1
2025-06-07T01:07:36.328316,2247,1
2025-06-07T01:07:37.356962,2247,1
2025-06-07T01:07:38.402010,2117,1
2025-06-07T01:07:39.430551,2117,1
2025-06-07T01:07:40.459260,2141,1
2025-06-07T01:07:41.488253,2141,1
2025-06-07T01:07:42.532734,2181,1
2025-06-07T01:07:43.561480,2181,1
2025-06-07T01:07:44.590006,2160,1
2025-06-07T01:07:45.646408,2160,1
2025-06-07T01:07:46.675380,2182,1
2025-06-07T01:07:47.720866,2182,1
2025-06-07T01:07:48.748363,2169,1
2025-06-07T01:07:49.777965,2169,1
2025-06-07T01:07:50.808308,2219,1
2025-06-07T01:07:51.837143,2219,1
2025-06-07T01:07:52.867120,2139,1
2025-06-07T01:07:53.899062,2139,1
2025-06-07T01:07:54.940366,2125,1
2025-06-07T01:07:55.968992,2125,1
2025-06-07T01:07:57.012915,2122,1
2025-06-07T01:07:58.044283,2218,1
2025-06-07T01:07:59.087453,2218,1
2025-06-07T01:08:00.116313,2138,1
2025-06-07T01:08:01.146093,2138,1
2025-06-07T01:08:02.197169,2139,1
2025-06-07T01:08:03.225816,2139,1
2025-06-07T01:08:04.255429,2153,1
2025-06-07T01:08:05.284362,2153,1
2025-06-07T01:08:06.313341,2152,1
2025-06-07T01:08:07.355378,2152,1
