timestamp,power_mW,under_attack
2025-06-07T09:27:08.966634,2074,1
2025-06-07T09:27:09.996757,2069,1
2025-06-07T09:27:11.025493,2069,1
2025-06-07T09:27:12.065547,2104,1
2025-06-07T09:27:13.094424,2104,1
2025-06-07T09:27:14.139276,2199,1
2025-06-07T09:27:15.168130,2199,1
2025-06-07T09:27:16.200828,2199,1
2025-06-07T09:27:17.229453,2199,1
2025-06-07T09:27:18.260613,2208,1
2025-06-07T09:27:19.306709,2208,1
2025-06-07T09:27:20.336544,2150,1
2025-06-07T09:27:21.365791,2150,1
2025-06-07T09:27:22.408025,2254,1
2025-06-07T09:27:23.436824,2106,1
2025-06-07T09:27:24.481447,2106,1
2025-06-07T09:27:25.511164,2165,1
2025-06-07T09:27:26.543268,2165,1
2025-06-07T09:27:27.572756,2227,1
2025-06-07T09:27:28.601399,2227,1
2025-06-07T09:27:29.637742,2172,1
2025-06-07T09:27:30.669874,2172,1
2025-06-07T09:27:31.698538,2152,1
2025-06-07T09:27:32.745240,2152,1
2025-06-07T09:27:33.774441,2200,1
2025-06-07T09:27:34.803838,2200,1
2025-06-07T09:27:35.848316,2202,1
2025-06-07T09:27:36.876926,2202,1
2025-06-07T09:27:37.905877,2232,1
2025-06-07T09:27:38.945967,2232,1
2025-06-07T09:27:39.974915,2265,1
2025-06-07T09:27:41.003689,2265,1
2025-06-07T09:27:42.033713,2149,1
2025-06-07T09:27:43.063100,2149,1
2025-06-07T09:27:44.091847,2187,1
2025-06-07T09:27:45.121850,2187,1
2025-06-07T09:27:46.168870,2167,1
2025-06-07T09:27:47.197350,2167,1
2025-06-07T09:27:48.238480,2112,1
2025-06-07T09:27:49.268891,2112,1
2025-06-07T09:27:50.299639,2205,1
2025-06-07T09:27:51.328382,2205,1
2025-06-07T09:27:52.357971,2137,1
2025-06-07T09:27:53.387072,2127,1
2025-06-07T09:27:54.415818,2127,1
2025-06-07T09:27:55.444481,2152,1
2025-06-07T09:27:56.474720,2152,1
2025-06-07T09:27:57.503348,2172,1
2025-06-07T09:27:58.532142,2172,1
2025-06-07T09:27:59.579255,2288,1
2025-06-07T09:28:00.608320,2288,1
2025-06-07T09:28:01.652387,2258,1
2025-06-07T09:28:02.681430,2258,1
2025-06-07T09:28:03.718285,2153,1
2025-06-07T09:28:04.747176,2153,1
2025-06-07T09:28:05.776593,2102,1
2025-06-07T09:28:06.806695,2102,1
2025-06-07T09:28:07.835901,2272,1
2025-06-07T09:28:08.873559,2272,1
2025-06-07T09:28:09.902048,2177,0
2025-06-07T09:28:10.945624,2177,0
2025-06-07T09:28:11.977760,2124,0
2025-06-07T09:28:13.019832,2124,0
2025-06-07T09:28:14.050267,2065,0
2025-06-07T09:28:15.082237,2065,0
2025-06-07T09:28:16.111795,2085,0
2025-06-07T09:28:17.140676,2085,0
2025-06-07T09:28:18.170637,2049,0
2025-06-07T09:28:19.199080,2049,0
2025-06-07T09:28:20.227668,2048,0
2025-06-07T09:28:21.259242,2048,0
2025-06-07T09:28:22.292542,2107,0
2025-06-07T09:28:23.335987,2107,0
2025-06-07T09:28:24.364962,2110,0
2025-06-07T09:28:25.410068,2088,0
2025-06-07T09:28:26.447781,2088,0
2025-06-07T09:28:27.476612,2062,0
2025-06-07T09:28:28.505092,2062,0
2025-06-07T09:28:29.534038,2095,0
2025-06-07T09:28:30.563124,2095,0
2025-06-07T09:28:31.599457,2133,0
2025-06-07T09:28:32.629725,2133,0
2025-06-07T09:28:33.658474,2057,0
2025-06-07T09:28:34.702391,2057,0
2025-06-07T09:28:35.733865,2053,0
2025-06-07T09:28:36.776121,2053,0
2025-06-07T09:28:37.806635,2007,0
2025-06-07T09:28:38.863961,2007,0
2025-06-07T09:28:39.908981,2179,0
2025-06-07T09:28:40.948753,2179,0
2025-06-07T09:28:41.977463,2058,0
2025-06-07T09:28:43.021976,2058,0
2025-06-07T09:28:44.055678,2103,0
2025-06-07T09:28:45.085018,2103,0
2025-06-07T09:28:46.113960,2092,0
2025-06-07T09:28:47.143518,2092,0
2025-06-07T09:28:48.172640,2113,0
2025-06-07T09:28:49.215256,2113,0
2025-06-07T09:28:50.244615,2053,0
2025-06-07T09:28:51.302238,2053,0
2025-06-07T09:28:52.340859,2093,0
2025-06-07T09:28:53.369819,2093,0
2025-06-07T09:28:54.405287,2012,0
2025-06-07T09:28:55.436226,2085,0
2025-06-07T09:28:56.467230,2085,0
2025-06-07T09:28:57.495993,2133,0
2025-06-07T09:28:58.524743,2133,0
2025-06-07T09:28:59.554977,2010,0
2025-06-07T09:29:00.583150,2010,0
2025-06-07T09:29:01.633546,2111,0
2025-06-07T09:29:02.663710,2111,0
2025-06-07T09:29:03.706856,2037,0
2025-06-07T09:29:04.735252,2037,0
2025-06-07T09:29:05.764551,2114,0
2025-06-07T09:29:06.795495,2114,0
2025-06-07T09:29:07.833160,2088,0
2025-06-07T09:29:08.863112,2088,0
2025-06-07T09:29:09.892223,2070,0
2025-06-07T09:29:10.935258,2070,0
2025-06-07T09:29:11.975946,2050,0
2025-06-07T09:29:13.004559,2050,0
2025-06-07T09:29:14.051146,2104,0
2025-06-07T09:29:15.080320,2104,0
2025-06-07T09:29:16.110655,2061,0
2025-06-07T09:29:17.141136,2061,0
2025-06-07T09:29:18.170330,2216,0
2025-06-07T09:29:19.198750,2216,0
2025-06-07T09:29:20.226948,2100,0
2025-06-07T09:29:21.255995,2100,0
2025-06-07T09:29:22.284981,2168,0
2025-06-07T09:29:23.314366,2168,0
2025-06-07T09:29:24.347821,2183,0
2025-06-07T09:29:25.390341,2183,0
2025-06-07T09:29:26.423700,2073,0
2025-06-07T09:29:27.464207,2027,0
2025-06-07T09:29:28.492905,2027,0
2025-06-07T09:29:29.522251,2049,0
2025-06-07T09:29:30.554383,2049,0
2025-06-07T09:29:31.583296,2033,0
2025-06-07T09:29:32.612466,2033,0
2025-06-07T09:29:33.656112,2098,0
2025-06-07T09:29:34.684928,2098,0
2025-06-07T09:29:35.716477,2090,0
2025-06-07T09:29:36.759228,2090,0
2025-06-07T09:29:37.788995,2122,0
2025-06-07T09:29:38.830867,2122,0
2025-06-07T09:29:39.862854,2063,0
2025-06-07T09:29:40.891823,2063,0
2025-06-07T09:29:41.922170,2052,0
2025-06-07T09:29:42.964840,2052,0
2025-06-07T09:29:43.994153,2056,0
2025-06-07T09:29:45.023829,2056,0
2025-06-07T09:29:46.053959,2092,0
2025-06-07T09:29:47.082929,2092,0
2025-06-07T09:29:48.123164,2038,0
2025-06-07T09:29:49.151819,2038,0
