timestamp,power_mW,under_attack
2025-06-07T00:17:29.995101,2098,1
2025-06-07T00:17:31.023775,2098,1
2025-06-07T00:17:32.063023,2100,1
2025-06-07T00:17:33.094054,2100,1
2025-06-07T00:17:34.123555,2185,1
2025-06-07T00:17:35.163373,2185,1
2025-06-07T00:17:36.192024,2183,1
2025-06-07T00:17:37.220342,2183,1
2025-06-07T00:17:38.260116,2109,1
2025-06-07T00:17:39.288268,2109,1
2025-06-07T00:17:40.317202,2218,1
2025-06-07T00:17:41.360267,2115,1
2025-06-07T00:17:42.389399,2115,1
2025-06-07T00:17:43.418205,2159,1
2025-06-07T00:17:44.452361,2159,1
2025-06-07T00:17:45.480681,2090,1
2025-06-07T00:17:46.511429,2090,1
2025-06-07T00:17:47.540155,2136,1
2025-06-07T00:17:48.575973,2136,1
2025-06-07T00:17:49.605343,2139,1
2025-06-07T00:17:50.634104,2139,1
2025-06-07T00:17:51.676836,2152,1
2025-06-07T00:17:52.705413,2152,1
2025-06-07T00:17:53.735016,2137,1
2025-06-07T00:17:54.774152,2137,1
2025-06-07T00:17:55.803845,2142,1
2025-06-07T00:17:56.832240,2142,1
2025-06-07T00:17:57.885604,2125,1
2025-06-07T00:17:58.914285,2125,1
2025-06-07T00:17:59.942964,2162,1
2025-06-07T00:18:00.971210,2162,1
2025-06-07T00:18:02.001303,2133,1
2025-06-07T00:18:03.043137,2133,1
2025-06-07T00:18:04.071829,2140,1
2025-06-07T00:18:05.100425,2140,1
2025-06-07T00:18:06.141313,2164,1
2025-06-07T00:18:07.169550,2164,1
2025-06-07T00:18:08.198561,2203,1
2025-06-07T00:18:09.233174,2203,1
2025-06-07T00:18:10.271818,2159,1
2025-06-07T00:18:11.300235,2159,1
2025-06-07T00:18:12.328896,2180,1
2025-06-07T00:18:13.358444,2238,1
2025-06-07T00:18:14.409886,2238,1
2025-06-07T00:18:15.438821,2169,1
2025-06-07T00:18:16.483229,2169,1
2025-06-07T00:18:17.512549,2180,1
2025-06-07T00:18:18.541343,2180,1
2025-06-07T00:18:19.579361,2117,1
2025-06-07T00:18:20.610519,2117,1
2025-06-07T00:18:21.639315,2156,1
2025-06-07T00:18:22.668121,2156,1
2025-06-07T00:18:23.696960,2183,1
2025-06-07T00:18:24.726236,2183,1
2025-06-07T00:18:25.756430,2177,1
2025-06-07T00:18:26.800027,2177,1
2025-06-07T00:18:27.828651,2114,1
2025-06-07T00:18:28.857611,2114,1
2025-06-07T00:18:29.898533,2126,1
2025-06-07T00:18:30.927683,2126,0
2025-06-07T00:18:31.959454,2067,0
2025-06-07T00:18:32.991203,2067,0
2025-06-07T00:18:34.022656,1990,0
2025-06-07T00:18:35.051692,1990,0
2025-06-07T00:18:36.080295,2078,0
2025-06-07T00:18:37.108715,2078,0
2025-06-07T00:18:38.137685,2034,0
2025-06-07T00:18:39.167311,2034,0
2025-06-07T00:18:40.195959,2096,0
2025-06-07T00:18:41.238426,2096,0
2025-06-07T00:18:42.269406,2148,0
2025-06-07T00:18:43.311447,2148,0
2025-06-07T00:18:44.340408,2142,0
2025-06-07T00:18:45.368600,2086,0
2025-06-07T00:18:46.398209,2086,0
2025-06-07T00:18:47.435161,2084,0
2025-06-07T00:18:48.463644,2084,0
2025-06-07T00:18:49.493851,2026,0
2025-06-07T00:18:50.522270,2026,0
2025-06-07T00:18:51.550765,2143,0
2025-06-07T00:18:52.579507,2143,0
2025-06-07T00:18:53.629051,2093,0
2025-06-07T00:18:54.658131,2093,0
2025-06-07T00:18:55.702329,2099,0
2025-06-07T00:18:56.749089,2099,0
2025-06-07T00:18:57.777674,2103,0
2025-06-07T00:18:58.806407,2103,0
2025-06-07T00:18:59.847301,2043,0
2025-06-07T00:19:00.876466,2043,0
2025-06-07T00:19:01.905340,2066,0
2025-06-07T00:19:02.947186,2066,0
2025-06-07T00:19:03.975740,2016,0
2025-06-07T00:19:05.005613,2016,0
2025-06-07T00:19:06.044524,2050,0
2025-06-07T00:19:07.073059,2050,0
2025-06-07T00:19:08.102660,2050,0
2025-06-07T00:19:09.138239,2050,0
2025-06-07T00:19:10.166809,2076,0
2025-06-07T00:19:11.196505,2076,0
2025-06-07T00:19:12.224791,2101,0
2025-06-07T00:19:13.258764,2101,0
2025-06-07T00:19:14.287839,2066,0
2025-06-07T00:19:15.317207,2066,0
2025-06-07T00:19:16.365811,2140,0
2025-06-07T00:19:17.394194,2120,0
2025-06-07T00:19:18.436177,2120,0
2025-06-07T00:19:19.467694,2086,0
2025-06-07T00:19:20.497638,2086,0
2025-06-07T00:19:21.563588,2085,0
2025-06-07T00:19:22.607983,2085,0
2025-06-07T00:19:23.638459,2115,0
2025-06-07T00:19:24.681134,2115,0
2025-06-07T00:19:25.710467,2139,0
2025-06-07T00:19:26.740484,2139,0
2025-06-07T00:19:27.775695,2074,0
2025-06-07T00:19:28.803830,2074,0
2025-06-07T00:19:29.836700,2146,0
2025-06-07T00:19:30.879266,2146,0
2025-06-07T00:19:31.907934,2092,0
2025-06-07T00:19:32.950356,2092,0
2025-06-07T00:19:33.978898,2077,0
2025-06-07T00:19:35.008587,2077,0
2025-06-07T00:19:36.047534,2052,0
2025-06-07T00:19:37.081280,2052,0
2025-06-07T00:19:38.110187,2064,0
2025-06-07T00:19:39.140694,2064,0
2025-06-07T00:19:40.183513,2064,0
2025-06-07T00:19:41.211864,2064,0
2025-06-07T00:19:42.241709,2107,0
2025-06-07T00:19:43.270190,2107,0
2025-06-07T00:19:44.299458,2113,0
2025-06-07T00:19:45.340693,2113,0
2025-06-07T00:19:46.369434,2032,0
2025-06-07T00:19:47.397382,2109,0
2025-06-07T00:19:48.438990,2109,0
2025-06-07T00:19:49.467872,2132,0
2025-06-07T00:19:50.497780,2132,0
2025-06-07T00:19:51.532393,2084,0
2025-06-07T00:19:52.570350,2084,0
2025-06-07T00:19:53.599347,2007,0
2025-06-07T00:19:54.627998,2007,0
2025-06-07T00:19:55.656204,2091,0
2025-06-07T00:19:56.684734,2091,0
2025-06-07T00:19:57.713371,2037,0
2025-06-07T00:19:58.764385,2037,0
2025-06-07T00:19:59.805397,2057,0
2025-06-07T00:20:00.833998,2057,0
2025-06-07T00:20:01.862587,2116,0
2025-06-07T00:20:02.898766,2116,0
2025-06-07T00:20:03.927279,2106,0
2025-06-07T00:20:04.956602,2106,0
2025-06-07T00:20:05.985355,2063,0
2025-06-07T00:20:07.013758,2063,0
2025-06-07T00:20:08.044721,2059,0
2025-06-07T00:20:09.074828,2059,0
2025-06-07T00:20:10.121512,2120,0
2025-06-07T00:20:11.150284,2120,0
2025-06-07T00:20:12.178781,2041,0
2025-06-07T00:20:13.219317,2041,0
2025-06-07T00:20:14.249459,2116,0
2025-06-07T00:20:15.277956,2116,0
2025-06-07T00:20:16.318933,2112,0
2025-06-07T00:20:17.348047,2112,0
2025-06-07T00:20:18.377029,2087,0
2025-06-07T00:20:19.405858,2083,0
2025-06-07T00:20:20.437804,2083,0
2025-06-07T00:20:21.467087,2037,0
2025-06-07T00:20:22.511920,2037,0
2025-06-07T00:20:23.540540,2146,0
2025-06-07T00:20:24.569009,2146,0
2025-06-07T00:20:25.610200,2044,0
2025-06-07T00:20:26.638871,2044,0
2025-06-07T00:20:27.668045,2097,0
2025-06-07T00:20:28.703440,2097,0
2025-06-07T00:20:29.733521,2081,0
2025-06-07T00:20:30.762108,2081,0
2025-06-07T00:20:31.790922,2090,0
2025-06-07T00:20:32.834022,2090,0
2025-06-07T00:20:33.861529,2100,0
2025-06-07T00:20:34.902371,2100,0
2025-06-07T00:20:35.952541,2127,0
2025-06-07T00:20:36.981156,2127,0
2025-06-07T00:20:38.010946,2099,0
2025-06-07T00:20:39.105798,2099,0
2025-06-07T00:20:40.150955,2080,0
2025-06-07T00:20:41.180156,2080,0
2025-06-07T00:20:42.209555,2111,0
2025-06-07T00:20:43.245612,2111,0
2025-06-07T00:20:44.278853,2097,0
2025-06-07T00:20:45.307730,2097,0
2025-06-07T00:20:46.347505,2046,0
2025-06-07T00:20:47.376245,2107,0
2025-06-07T00:20:48.419086,2107,0
2025-06-07T00:20:49.451084,2010,0
2025-06-07T00:20:50.493735,2010,0
2025-06-07T00:20:51.522188,2065,0
2025-06-07T00:20:52.552892,2065,0
2025-06-07T00:20:53.587063,2075,0
2025-06-07T00:20:54.615249,2075,0
2025-06-07T00:20:55.655921,2048,0
2025-06-07T00:20:56.685199,2048,0
2025-06-07T00:20:57.745534,2018,0
2025-06-07T00:20:58.787205,2018,0
2025-06-07T00:20:59.815835,2143,0
2025-06-07T00:21:00.844208,2143,0
2025-06-07T00:21:01.873000,2084,0
2025-06-07T00:21:02.904636,2084,0
2025-06-07T00:21:03.934091,2037,0
2025-06-07T00:21:04.964215,2037,0
2025-06-07T00:21:05.993837,2074,0
2025-06-07T00:21:07.028015,2074,0
2025-06-07T00:21:08.079919,2071,0
2025-06-07T00:21:09.108675,2071,0
2025-06-07T00:21:10.170241,2085,0
2025-06-07T00:21:11.200821,2085,0
2025-06-07T00:21:12.230629,2093,0
2025-06-07T00:21:13.271174,2093,0
2025-06-07T00:21:14.326245,2110,0
2025-06-07T00:21:15.369291,2110,0
2025-06-07T00:21:16.406958,2129,0
2025-06-07T00:21:17.435402,2048,0
2025-06-07T00:21:18.476639,2048,0
2025-06-07T00:21:19.507226,2087,0
2025-06-07T00:21:20.535742,2087,0
2025-06-07T00:21:21.596694,2084,0
2025-06-07T00:21:22.626525,2084,0
2025-06-07T00:21:23.671389,2035,0
2025-06-07T00:21:24.699694,2035,0
2025-06-07T00:21:25.745074,2100,0
2025-06-07T00:21:26.783349,2100,0
2025-06-07T00:21:27.814096,2082,0
2025-06-07T00:21:28.848847,2082,0
2025-06-07T00:21:29.891053,2082,0
2025-06-07T00:21:30.919873,2082,1
2025-06-07T00:21:31.948838,2078,1
2025-06-07T00:21:32.989340,2078,1
2025-06-07T00:21:34.017994,2156,1
2025-06-07T00:21:35.049608,2156,1
2025-06-07T00:21:36.092729,2154,1
2025-06-07T00:21:37.121181,2154,1
2025-06-07T00:21:38.153437,2159,1
2025-06-07T00:21:39.209443,2159,1
2025-06-07T00:21:40.239072,2125,1
2025-06-07T00:21:41.283473,2125,1
2025-06-07T00:21:42.312148,2047,1
2025-06-07T00:21:43.340444,2047,1
2025-06-07T00:21:44.378218,2159,1
2025-06-07T00:21:45.409329,2206,1
2025-06-07T00:21:46.438264,2206,1
2025-06-07T00:21:47.467467,2119,1
2025-06-07T00:21:48.509545,2119,1
2025-06-07T00:21:49.551929,2191,1
2025-06-07T00:21:50.580508,2191,1
2025-06-07T00:21:51.623407,2135,1
2025-06-07T00:21:52.652517,2135,1
2025-06-07T00:21:53.683121,2170,1
2025-06-07T00:21:54.720498,2170,1
2025-06-07T00:21:55.751144,2244,1
2025-06-07T00:21:56.780052,2244,1
2025-06-07T00:21:57.816952,2137,1
2025-06-07T00:21:58.845836,2137,1
2025-06-07T00:21:59.874553,2126,1
2025-06-07T00:22:00.918302,2126,1
2025-06-07T00:22:01.948237,2190,1
2025-06-07T00:22:02.992153,2190,1
2025-06-07T00:22:04.023047,2085,1
2025-06-07T00:22:05.051833,2085,1
2025-06-07T00:22:06.086399,2189,1
2025-06-07T00:22:07.125057,2189,1
2025-06-07T00:22:08.154043,2109,1
2025-06-07T00:22:09.182429,2109,1
2025-06-07T00:22:10.211070,2149,1
2025-06-07T00:22:11.239632,2149,1
2025-06-07T00:22:12.268180,2233,1
2025-06-07T00:22:13.308713,2233,1
2025-06-07T00:22:14.337502,2184,1
2025-06-07T00:22:15.390160,2157,1
2025-06-07T00:22:16.444944,2157,1
2025-06-07T00:22:17.473404,2215,1
2025-06-07T00:22:18.503503,2215,1
2025-06-07T00:22:19.536626,2191,1
2025-06-07T00:22:20.579108,2191,1
2025-06-07T00:22:21.608124,2166,1
2025-06-07T00:22:22.661274,2166,1
2025-06-07T00:22:23.690881,2183,1
2025-06-07T00:22:24.722163,2183,1
2025-06-07T00:22:25.752541,2052,1
2025-06-07T00:22:26.781208,2052,1
2025-06-07T00:22:27.819444,2145,1
2025-06-07T00:22:28.849759,2145,1
2025-06-07T00:22:29.881136,2031,1
2025-06-07T00:22:30.921824,2031,0
2025-06-07T00:22:31.950786,2056,0
2025-06-07T00:22:32.995310,2056,0
2025-06-07T00:22:34.023795,2072,0
2025-06-07T00:22:35.052518,2072,0
2025-06-07T00:22:36.080994,2114,0
2025-06-07T00:22:37.122962,2114,0
2025-06-07T00:22:38.154744,2063,0
2025-06-07T00:22:39.197424,2063,0
2025-06-07T00:22:40.239862,2090,0
2025-06-07T00:22:41.268636,2090,0
2025-06-07T00:22:42.297215,2115,0
2025-06-07T00:22:43.353902,2115,0
2025-06-07T00:22:44.383788,2134,0
2025-06-07T00:22:45.413094,2091,0
2025-06-07T00:22:46.451649,2091,0
2025-06-07T00:22:47.480327,2051,0
2025-06-07T00:22:48.510168,2051,0
2025-06-07T00:22:49.541198,2103,0
2025-06-07T00:22:50.582215,2103,0
2025-06-07T00:22:51.611726,2052,0
2025-06-07T00:22:52.658634,2052,0
2025-06-07T00:22:53.688314,2056,0
2025-06-07T00:22:54.717343,2056,0
2025-06-07T00:22:55.753022,2108,0
2025-06-07T00:22:56.782041,2108,0
2025-06-07T00:22:57.811207,2071,0
2025-06-07T00:22:58.840811,2071,0
2025-06-07T00:22:59.875131,2067,0
2025-06-07T00:23:00.904151,2067,0
2025-06-07T00:23:01.932937,2112,0
2025-06-07T00:23:02.976198,2112,0
2025-06-07T00:23:04.006006,2092,0
2025-06-07T00:23:05.051738,2092,0
2025-06-07T00:23:06.080228,2070,0
2025-06-07T00:23:07.109625,2070,0
2025-06-07T00:23:08.140972,2075,0
2025-06-07T00:23:09.181751,2075,0
2025-06-07T00:23:10.210715,2121,0
2025-06-07T00:23:11.242966,2121,0
2025-06-07T00:23:12.291419,2032,0
2025-06-07T00:23:13.319896,2032,0
2025-06-07T00:23:14.349477,2074,0
2025-06-07T00:23:15.396629,2074,0
2025-06-07T00:23:16.435680,2049,0
2025-06-07T00:23:17.464714,2084,0
2025-06-07T00:23:18.493461,2084,0
2025-06-07T00:23:19.521926,2066,0
2025-06-07T00:23:20.549768,2066,0
2025-06-07T00:23:21.582761,2052,0
2025-06-07T00:23:22.611525,2052,0
2025-06-07T00:23:23.641972,2073,0
2025-06-07T00:23:24.681413,2073,0
2025-06-07T00:23:25.710052,2057,0
2025-06-07T00:23:26.738680,2057,0
2025-06-07T00:23:27.781846,2016,0
2025-06-07T00:23:28.811320,2016,0
2025-06-07T00:23:29.839889,2091,0
2025-06-07T00:23:30.873356,2091,0
2025-06-07T00:23:31.908363,2031,0
2025-06-07T00:23:32.937066,2031,0
