timestamp,power_mW,under_attack
2025-06-06T02:54:02.094881,1998,0
2025-06-06T02:54:03.124929,1998,0
2025-06-06T02:54:04.155014,2087,0
2025-06-06T02:54:05.185987,2087,0
2025-06-06T02:54:06.215406,1958,0
2025-06-06T02:54:07.262148,2073,0
2025-06-06T02:54:08.291173,2073,0
2025-06-06T02:54:09.340863,2072,0
2025-06-06T02:54:10.389824,2072,0
2025-06-06T02:54:11.418838,2023,0
2025-06-06T02:54:12.447877,2023,0
2025-06-06T02:54:13.508272,2086,0
2025-06-06T02:54:14.537073,2086,0
2025-06-06T02:54:15.586889,2023,0
2025-06-06T02:54:16.623879,2023,0
2025-06-06T02:54:17.652948,2039,0
2025-06-06T02:54:18.690809,2039,0
2025-06-06T02:54:19.719604,2034,0
2025-06-06T02:54:20.748924,2034,0
2025-06-06T02:54:21.781201,2007,0
2025-06-06T02:54:22.822821,2007,0
2025-06-06T02:54:23.857445,2068,0
2025-06-06T02:54:24.896086,2068,0
2025-06-06T02:54:25.972261,2030,0
2025-06-06T02:54:27.001394,2030,0
2025-06-06T02:54:28.045153,2108,0
2025-06-06T02:54:29.075065,2108,0
2025-06-06T02:54:30.118505,2100,0
2025-06-06T02:54:31.151113,2100,0
2025-06-06T02:54:32.180177,2040,0
2025-06-06T02:54:33.209020,2040,0
2025-06-06T02:54:34.248508,2092,0
2025-06-06T02:54:35.284367,1995,0
2025-06-06T02:54:36.314192,1995,0
2025-06-06T02:54:37.343176,2052,0
2025-06-06T02:54:38.372165,2052,0
2025-06-06T02:54:39.411127,2130,0
2025-06-06T02:54:40.440018,2130,0
2025-06-06T02:54:41.484968,2037,0
2025-06-06T02:54:42.518753,2037,0
2025-06-06T02:54:43.565467,2125,0
2025-06-06T02:54:44.615246,2125,0
2025-06-06T02:54:45.660321,2071,0
2025-06-06T02:54:46.689328,2071,0
2025-06-06T02:54:47.731197,2102,0
2025-06-06T02:54:48.766125,2102,0
2025-06-06T02:54:49.796284,2009,0
2025-06-06T02:54:50.824986,2009,0
2025-06-06T02:54:51.853969,2071,0
2025-06-06T02:54:52.892753,2071,0
2025-06-06T02:54:53.922917,2066,0
2025-06-06T02:54:54.951741,2066,0
2025-06-06T02:54:55.981391,2014,0
2025-06-06T02:54:57.024289,2014,0
2025-06-06T02:54:58.089228,2066,0
2025-06-06T02:54:59.127521,2066,0
2025-06-06T02:55:00.156811,2040,0
2025-06-06T02:55:01.186743,2040,0
2025-06-06T02:55:02.230522,2021,0
2025-06-06T02:55:03.313937,2028,0
2025-06-06T02:55:04.344086,2028,0
2025-06-06T02:55:05.373911,2044,0
2025-06-06T02:55:06.403713,2044,0
2025-06-06T02:55:07.435044,2021,0
2025-06-06T02:55:08.466554,2021,0
2025-06-06T02:55:09.496304,1986,0
2025-06-06T02:55:10.541103,1986,0
2025-06-06T02:55:11.571883,2039,0
2025-06-06T02:55:12.623805,2039,0
2025-06-06T02:55:13.653776,2022,0
2025-06-06T02:55:14.684283,2022,0
2025-06-06T02:55:15.714047,2023,0
2025-06-06T02:55:16.749242,2023,0
2025-06-06T02:55:17.779154,2058,0
2025-06-06T02:55:18.809439,2058,0
2025-06-06T02:55:19.859599,2058,0
2025-06-06T02:55:20.890771,2058,0
2025-06-06T02:55:21.953801,2048,0
2025-06-06T02:55:22.981986,2048,0
2025-06-06T02:55:24.012113,1997,0
2025-06-06T02:55:25.041062,1997,0
2025-06-06T02:55:26.074633,2040,0
2025-06-06T02:55:27.103153,2040,0
2025-06-06T02:55:28.132352,2053,0
2025-06-06T02:55:29.177964,2053,0
2025-06-06T02:55:30.206311,2018,0
2025-06-06T02:55:31.239121,2018,0
2025-06-06T02:55:32.276126,2037,0
2025-06-06T02:55:33.310754,2108,0
2025-06-06T02:55:34.340327,2108,0
2025-06-06T02:55:35.370163,2049,0
2025-06-06T02:55:36.399697,2049,0
2025-06-06T02:55:37.428367,2104,0
2025-06-06T02:55:38.468928,2104,0
2025-06-06T02:55:39.499029,2011,0
2025-06-06T02:55:40.544251,2011,0
2025-06-06T02:55:41.573932,2060,0
2025-06-06T02:55:42.618350,2060,0
2025-06-06T02:55:43.651342,2040,0
2025-06-06T02:55:44.680721,2040,0
2025-06-06T02:55:45.711860,2026,0
2025-06-06T02:55:46.741260,2026,0
2025-06-06T02:55:47.778950,2091,0
2025-06-06T02:55:48.810144,2091,0
2025-06-06T02:55:49.839397,2045,0
2025-06-06T02:55:50.886772,2045,0
2025-06-06T02:55:51.916755,2051,0
2025-06-06T02:55:52.962202,2051,0
2025-06-06T02:55:53.994100,1995,0
2025-06-06T02:55:55.024987,1995,0
2025-06-06T02:55:56.055198,2096,0
2025-06-06T02:55:57.086064,2096,0
2025-06-06T02:55:58.119681,2063,0
2025-06-06T02:55:59.148993,2063,0
2025-06-06T02:56:00.205142,2012,0
2025-06-06T02:56:01.235188,2012,0
2025-06-06T02:56:02.279846,2059,0
2025-06-06T02:56:03.317371,2043,0
2025-06-06T02:56:04.347475,2043,0
2025-06-06T02:56:05.376715,2043,0
2025-06-06T02:56:06.405797,2043,0
2025-06-06T02:56:07.434838,1973,0
2025-06-06T02:56:08.463543,1973,0
2025-06-06T02:56:09.497906,1949,0
2025-06-06T02:56:10.527834,1949,0
2025-06-06T02:56:11.571480,2039,0
2025-06-06T02:56:12.600281,2039,0
2025-06-06T02:56:13.629139,2004,0
2025-06-06T02:56:14.668507,2004,0
2025-06-06T02:56:15.702633,2052,0
2025-06-06T02:56:16.732911,2052,0
2025-06-06T02:56:17.763351,2093,0
2025-06-06T02:56:18.808478,2093,0
2025-06-06T02:56:19.837301,2007,0
2025-06-06T02:56:20.865821,2007,0
2025-06-06T02:56:21.914132,2080,0
2025-06-06T02:56:22.942854,2080,0
2025-06-06T02:56:23.988164,2032,0
2025-06-06T02:56:25.021857,2032,0
2025-06-06T02:56:26.050452,2055,0
2025-06-06T02:56:27.080310,2055,0
2025-06-06T02:56:28.114179,2095,0
2025-06-06T02:56:29.142618,2095,0
2025-06-06T02:56:30.174324,2026,0
2025-06-06T02:56:31.232216,2026,0
2025-06-06T02:56:32.262757,2056,0
2025-06-06T02:56:33.306451,2095,0
2025-06-06T02:56:34.345336,2095,0
2025-06-06T02:56:35.375717,2028,0
2025-06-06T02:56:36.405533,2028,0
2025-06-06T02:56:37.435351,2014,0
2025-06-06T02:56:38.465519,2014,0
2025-06-06T02:56:39.495334,1998,0
2025-06-06T02:56:40.526834,1998,0
2025-06-06T02:56:41.557217,2032,0
2025-06-06T02:56:42.598712,2032,0
2025-06-06T02:56:43.628708,2063,0
2025-06-06T02:56:44.672428,2063,0
2025-06-06T02:56:45.707088,2056,0
2025-06-06T02:56:46.736754,2056,0
2025-06-06T02:56:47.770504,2043,0
2025-06-06T02:56:48.798891,2043,0
2025-06-06T02:56:49.836529,2031,0
2025-06-06T02:56:50.865264,2031,0
2025-06-06T02:56:51.894540,2028,0
