timestamp,power_mW,under_attack
2025-06-07T15:06:27.986859,2036,1
2025-06-07T15:06:29.015782,2036,1
2025-06-07T15:06:30.044213,2112,1
2025-06-07T15:06:31.073733,2112,1
2025-06-07T15:06:32.103060,2122,1
2025-06-07T15:06:33.131082,2122,1
2025-06-07T15:06:34.161636,2146,1
2025-06-07T15:06:35.189852,2146,1
2025-06-07T15:06:36.222648,2145,1
2025-06-07T15:06:37.264720,2145,1
2025-06-07T15:06:38.293261,2160,1
2025-06-07T15:06:39.322218,2160,1
2025-06-07T15:06:40.362139,2237,1
2025-06-07T15:06:41.390302,2237,1
2025-06-07T15:06:42.418617,2149,1
2025-06-07T15:06:43.452323,2149,1
2025-06-07T15:06:44.485389,2158,1
2025-06-07T15:06:45.513729,2158,1
2025-06-07T15:06:46.543630,2084,1
2025-06-07T15:06:47.571965,2084,1
2025-06-07T15:06:48.601729,2044,1
2025-06-07T15:06:49.637138,2044,1
2025-06-07T15:06:50.679142,2063,1
2025-06-07T15:06:51.707262,2063,1
2025-06-07T15:06:52.736342,2182,1
2025-06-07T15:06:53.776705,2182,1
2025-06-07T15:06:54.805204,2148,1
2025-06-07T15:06:55.839152,2148,1
2025-06-07T15:06:56.867867,2232,1
2025-06-07T15:06:57.898086,2232,1
2025-06-07T15:06:58.929100,2105,1
2025-06-07T15:06:59.957806,2189,1
2025-06-07T15:07:01.005610,2189,1
2025-06-07T15:07:02.045491,2183,1
2025-06-07T15:07:03.074354,2183,1
2025-06-07T15:07:04.118871,2215,1
2025-06-07T15:07:05.153076,2215,1
2025-06-07T15:07:06.181255,2170,1
2025-06-07T15:07:07.209844,2170,1
2025-06-07T15:07:08.239134,2146,1
2025-06-07T15:07:09.267308,2146,1
2025-06-07T15:07:10.309195,2133,1
2025-06-07T15:07:11.337936,2133,1
2025-06-07T15:07:12.388072,2193,1
2025-06-07T15:07:13.416820,2193,1
2025-06-07T15:07:14.461184,2168,1
2025-06-07T15:07:15.490072,2168,1
2025-06-07T15:07:16.519324,2194,1
2025-06-07T15:07:17.548617,2194,1
2025-06-07T15:07:18.579097,2231,1
2025-06-07T15:07:19.617960,2231,1
2025-06-07T15:07:20.646293,2252,1
2025-06-07T15:07:21.675534,2252,1
2025-06-07T15:07:22.705512,2166,1
2025-06-07T15:07:23.736187,2166,1
2025-06-07T15:07:24.778295,2078,1
2025-06-07T15:07:25.806774,2078,1
2025-06-07T15:07:26.835131,2160,1
2025-06-07T15:07:27.875787,2160,1
2025-06-07T15:07:40.547964,2233,0
2025-06-07T15:07:41.576836,2233,0
2025-06-07T15:07:42.620840,2154,0
2025-06-07T15:07:43.649290,2154,0
2025-06-07T15:07:44.677461,1995,0
2025-06-07T15:07:45.705510,1995,0
2025-06-07T15:07:46.741884,2058,0
2025-06-07T15:07:47.770246,2058,0
2025-06-07T15:07:48.799410,2065,0
2025-06-07T15:07:49.833963,2065,0
2025-06-07T15:07:50.862371,2003,0
2025-06-07T15:07:51.897092,2003,0
2025-06-07T15:07:52.938271,2077,0
2025-06-07T15:07:53.967072,2077,0
2025-06-07T15:07:54.995670,2077,0
2025-06-07T15:07:56.036304,2042,0
2025-06-07T15:07:57.064537,2042,0
2025-06-07T15:07:58.094852,2072,0
2025-06-07T15:07:59.123114,2072,0
2025-06-07T15:08:00.153611,2026,0
2025-06-07T15:08:01.182304,2026,0
2025-06-07T15:08:02.210676,2071,0
2025-06-07T15:08:03.241012,2071,0
2025-06-07T15:08:04.270274,2050,0
2025-06-07T15:08:05.299832,2050,0
2025-06-07T15:08:06.335451,2049,0
2025-06-07T15:08:07.376541,2049,0
2025-06-07T15:08:08.405675,2040,0
2025-06-07T15:08:09.450082,2040,0
2025-06-07T15:08:10.480146,2015,0
2025-06-07T15:08:11.509005,2015,0
2025-06-07T15:08:12.539400,2068,0
2025-06-07T15:08:13.571617,2068,0
2025-06-07T15:08:14.602230,2095,0
2025-06-07T15:08:15.631635,2095,0
2025-06-07T15:08:16.662088,2058,0
2025-06-07T15:08:17.691670,2058,0
2025-06-07T15:08:18.726006,2101,0
2025-06-07T15:08:19.767986,2101,0
2025-06-07T15:08:20.835578,2069,0
2025-06-07T15:08:21.864696,2069,0
2025-06-07T15:08:22.893134,2051,0
2025-06-07T15:08:23.926719,2051,0
2025-06-07T15:08:24.956133,2003,0
2025-06-07T15:08:25.985491,2030,0
2025-06-07T15:08:27.020276,2030,0
2025-06-07T15:08:28.071056,2081,0
2025-06-07T15:08:29.111274,2081,0
2025-06-07T15:08:30.147125,2155,0
2025-06-07T15:08:31.188802,2155,0
2025-06-07T15:08:32.226629,2038,0
2025-06-07T15:08:33.254744,2038,0
2025-06-07T15:08:34.291608,2019,0
2025-06-07T15:08:35.331873,2019,0
2025-06-07T15:08:36.361370,2103,0
2025-06-07T15:08:37.408333,2103,0
2025-06-07T15:08:38.449499,2155,0
2025-06-07T15:08:39.478421,2155,0
2025-06-07T15:08:40.507087,2060,0
2025-06-07T15:08:41.535094,2060,0
2025-06-07T15:08:42.582280,2121,0
2025-06-07T15:08:43.626183,2121,0
2025-06-07T15:08:44.654767,2105,0
2025-06-07T15:08:45.682757,2105,0
2025-06-07T15:08:46.724275,2118,0
2025-06-07T15:08:47.752350,2118,0
2025-06-07T15:08:48.780610,2136,0
2025-06-07T15:08:49.808827,2136,0
2025-06-07T15:08:50.837216,2037,0
2025-06-07T15:08:51.865737,2037,0
2025-06-07T15:08:52.908087,2130,0
2025-06-07T15:08:53.938680,2004,0
2025-06-07T15:08:54.967367,2004,0
2025-06-07T15:08:56.016665,2038,0
2025-06-07T15:08:57.044879,2038,0
2025-06-07T15:08:58.074079,2080,0
2025-06-07T15:08:59.114268,2080,0
2025-06-07T15:09:00.143449,2119,0
2025-06-07T15:09:01.175409,2119,0
2025-06-07T15:09:02.216512,2083,0
2025-06-07T15:09:03.246831,2083,0
2025-06-07T15:09:04.275834,2109,0
2025-06-07T15:09:05.303842,2109,0
2025-06-07T15:09:06.335206,2025,0
2025-06-07T15:09:07.366367,2025,0
2025-06-07T15:09:08.406942,2115,0
2025-06-07T15:09:09.457246,2115,0
2025-06-07T15:09:10.485827,2057,0
2025-06-07T15:09:11.524864,2057,0
2025-06-07T15:09:12.556004,2083,0
2025-06-07T15:09:13.584779,2083,0
2025-06-07T15:09:14.628332,2036,0
2025-06-07T15:09:15.677404,2036,0
2025-06-07T15:09:16.706712,2092,0
