timestamp,power_mW,under_attack
2025-06-07T11:00:45.452296,2087,1
2025-06-07T11:00:46.483959,2087,1
2025-06-07T11:00:47.512486,2049,1
2025-06-07T11:00:48.541363,2049,1
2025-06-07T11:00:49.571760,2140,1
2025-06-07T11:00:50.600483,2140,1
2025-06-07T11:00:51.629196,2141,1
2025-06-07T11:00:52.658358,2141,1
2025-06-07T11:00:53.691234,2214,1
2025-06-07T11:00:54.720398,2146,1
2025-06-07T11:00:55.751510,2146,1
2025-06-07T11:00:56.795182,2167,1
2025-06-07T11:00:57.824508,2167,1
2025-06-07T11:00:58.868879,2165,1
2025-06-07T11:00:59.897695,2165,1
2025-06-07T11:01:00.928726,2180,1
2025-06-07T11:01:01.957353,2180,1
2025-06-07T11:01:02.998359,2197,1
2025-06-07T11:01:04.028812,2197,1
2025-06-07T11:01:05.057933,2203,1
2025-06-07T11:01:06.088454,2203,1
2025-06-07T11:01:07.117470,2124,1
2025-06-07T11:01:08.158769,2124,1
2025-06-07T11:01:09.187337,2111,1
2025-06-07T11:01:10.233442,2111,1
2025-06-07T11:01:11.263075,2191,1
2025-06-07T11:01:12.306383,2191,1
2025-06-07T11:01:13.335660,2105,1
2025-06-07T11:01:14.365695,2105,1
2025-06-07T11:01:15.410417,2212,1
2025-06-07T11:01:16.453168,2212,1
2025-06-07T11:01:17.487519,2166,1
2025-06-07T11:01:18.527599,2166,1
2025-06-07T11:01:19.596631,2194,1
2025-06-07T11:01:20.625532,2194,1
2025-06-07T11:01:21.654557,2122,1
2025-06-07T11:01:22.699548,2122,1
2025-06-07T11:01:23.728208,2060,1
2025-06-07T11:01:24.757635,2146,1
2025-06-07T11:01:25.798670,2146,1
2025-06-07T11:01:26.827365,2186,1
2025-06-07T11:01:27.856758,2186,1
2025-06-07T11:01:28.885244,2221,1
2025-06-07T11:01:29.923849,2221,1
2025-06-07T11:01:30.952970,2160,1
2025-06-07T11:01:31.981676,2160,1
2025-06-07T11:01:33.025809,2046,1
2025-06-07T11:01:34.065941,2046,1
2025-06-07T11:01:35.094537,2097,1
2025-06-07T11:01:36.142788,2097,1
2025-06-07T11:01:37.173384,2212,1
2025-06-07T11:01:38.205141,2212,1
2025-06-07T11:01:39.234010,2196,1
2025-06-07T11:01:40.264057,2196,1
