timestamp,power_mW,under_attack
2025-06-07T12:53:26.588139,2084,1
2025-06-07T12:53:27.616985,2084,1
2025-06-07T12:53:28.672175,2111,1
2025-06-07T12:53:29.700898,2111,1
2025-06-07T12:53:30.737264,2131,1
2025-06-07T12:53:31.766373,2131,1
2025-06-07T12:53:32.796110,2198,1
2025-06-07T12:53:33.824966,2198,1
2025-06-07T12:53:34.853846,2155,1
2025-06-07T12:53:35.882392,2155,1
2025-06-07T12:53:36.910997,2098,1
2025-06-07T12:53:37.955366,2098,1
2025-06-07T12:53:38.984293,2213,1
2025-06-07T12:53:40.026678,2213,1
2025-06-07T12:53:41.056810,2168,1
2025-06-07T12:53:42.085372,2168,1
2025-06-07T12:53:43.114104,2226,1
2025-06-07T12:53:44.150857,2226,1
2025-06-07T12:53:45.180057,2173,1
2025-06-07T12:53:46.208059,2173,1
2025-06-07T12:53:47.236706,2168,1
2025-06-07T12:53:48.267629,2216,1
2025-06-07T12:53:49.295535,2216,1
2025-06-07T12:53:50.324213,2125,1
2025-06-07T12:53:51.368187,2125,1
2025-06-07T12:53:52.400329,2156,1
2025-06-07T12:53:53.441212,2156,1
2025-06-07T12:53:54.471607,2150,1
2025-06-07T12:53:55.501347,2150,1
2025-06-07T12:53:56.530301,2214,1
2025-06-07T12:53:57.562396,2214,1
2025-06-07T12:53:58.591805,2225,1
2025-06-07T12:53:59.621242,2225,1
2025-06-07T12:54:00.649433,2176,1
2025-06-07T12:54:01.678244,2176,1
2025-06-07T12:54:02.707067,2203,1
2025-06-07T12:54:03.735273,2203,1
2025-06-07T12:54:04.764962,2121,1
2025-06-07T12:54:05.806596,2121,1
2025-06-07T12:54:06.836151,2228,1
2025-06-07T12:54:07.879750,2228,1
2025-06-07T12:54:08.909206,2222,1
2025-06-07T12:54:09.937605,2222,1
2025-06-07T12:54:10.966491,2216,1
2025-06-07T12:54:12.002808,2216,1
2025-06-07T12:54:13.031098,2171,1
2025-06-07T12:54:14.060711,2171,1
2025-06-07T12:54:15.091303,2167,1
2025-06-07T12:54:16.119837,2167,1
2025-06-07T12:54:17.148245,2170,1
2025-06-07T12:54:18.176812,2170,1
2025-06-07T12:54:19.220984,2182,1
2025-06-07T12:54:20.250867,2182,1
2025-06-07T12:54:21.294616,2065,1
2025-06-07T12:54:22.323220,2114,1
2025-06-07T12:54:23.353764,2114,1
2025-06-07T12:54:24.382110,2142,1
2025-06-07T12:54:25.415310,2142,1
2025-06-07T12:54:26.443822,2126,1
2025-06-07T12:54:44.854699,2112,0
2025-06-07T12:54:45.887296,2112,0
2025-06-07T12:54:46.919711,2108,0
2025-06-07T12:54:47.952044,2108,0
2025-06-07T12:54:48.980846,2045,0
2025-06-07T12:54:50.024588,2045,0
2025-06-07T12:54:51.067369,2048,0
2025-06-07T12:54:52.095917,2048,0
2025-06-07T12:54:53.140914,2084,0
2025-06-07T12:54:54.169973,2084,0
2025-06-07T12:54:55.199422,2122,0
2025-06-07T12:54:56.228317,2122,0
2025-06-07T12:54:57.263330,2042,0
2025-06-07T12:54:58.293647,2120,0
2025-06-07T12:54:59.338333,2120,0
2025-06-07T12:55:00.367391,2111,0
2025-06-07T12:55:01.409718,2111,0
2025-06-07T12:55:02.438466,2019,0
2025-06-07T12:55:03.482656,2019,0
2025-06-07T12:55:04.515474,2135,0
2025-06-07T12:55:05.543823,2135,0
2025-06-07T12:55:06.573436,2044,0
2025-06-07T12:55:07.605268,2044,0
2025-06-07T12:55:08.640277,2013,0
2025-06-07T12:55:09.674758,2013,0
2025-06-07T12:55:10.702741,2044,0
2025-06-07T12:55:11.752162,2044,0
2025-06-07T12:55:12.784241,2007,0
2025-06-07T12:55:13.825557,2007,0
2025-06-07T12:55:14.854839,2038,0
2025-06-07T12:55:15.892875,2038,0
2025-06-07T12:55:16.922791,2043,0
2025-06-07T12:55:17.954059,2043,0
