timestamp,power_mW,under_attack
2025-05-31T23:09:54.915619,1801,0
2025-05-31T23:09:55.945136,1801,0
2025-05-31T23:09:56.988375,1773,0
2025-05-31T23:09:58.019193,1773,0
2025-05-31T23:09:59.049282,1773,0
2025-05-31T23:10:00.081208,1777,0
2025-05-31T23:10:01.110743,1777,0
2025-05-31T23:10:02.140241,1777,0
2025-05-31T23:10:03.171233,1793,0
2025-05-31T23:10:04.201782,1793,0
2025-05-31T23:10:05.231118,1793,0
2025-05-31T23:10:06.283378,1750,0
2025-05-31T23:10:07.313045,1750,0
2025-05-31T23:10:08.354626,1760,0
2025-05-31T23:10:09.393317,1760,0
2025-05-31T23:10:10.422723,1757,0
2025-05-31T23:10:11.451795,1757,0
2025-05-31T23:10:12.480692,1757,0
2025-05-31T23:10:13.512688,1821,0
2025-05-31T23:10:14.544758,1821,0
2025-05-31T23:10:15.582384,1774,0
2025-05-31T23:10:16.623288,1774,0
2025-05-31T23:10:17.652376,1774,0
2025-05-31T23:10:18.704819,1687,0
2025-05-31T23:10:19.734391,1687,0
2025-05-31T23:10:20.764801,1722,0
2025-05-31T23:10:21.794358,1722,0
2025-05-31T23:10:22.823847,1791,0
2025-05-31T23:10:23.853092,1791,0
2025-05-31T23:10:24.899538,1791,0
2025-05-31T23:10:25.941645,1747,0
2025-05-31T23:10:26.970789,1747,0
2025-05-31T23:10:28.016591,1785,0
2025-05-31T23:10:29.045833,1785,0
2025-05-31T23:10:30.073827,1785,0
2025-05-31T23:10:31.104550,1785,0
2025-05-31T23:10:32.133173,1785,0
2025-05-31T23:10:33.162439,1778,0
2025-05-31T23:10:34.202142,1778,0
2025-05-31T23:10:35.232162,1778,0
2025-05-31T23:10:36.266985,1791,0
2025-05-31T23:10:37.310000,1791,0
2025-05-31T23:10:38.339182,1791,0
2025-05-31T23:10:39.383894,1760,0
2025-05-31T23:10:40.413947,1760,0
2025-05-31T23:10:41.442350,1746,0
2025-05-31T23:10:42.472502,1746,0
2025-05-31T23:10:43.525075,1816,0
2025-05-31T23:10:44.559057,1816,0
2025-05-31T23:10:45.603163,1781,0
2025-05-31T23:10:46.632841,1781,0
2025-05-31T23:10:47.678637,1781,0
2025-05-31T23:10:48.716362,1738,0
2025-05-31T23:10:49.747409,1738,0
2025-05-31T23:10:50.791240,1738,0
2025-05-31T23:10:51.821896,1736,0
2025-05-31T23:10:52.852689,1736,0
