timestamp,power_mW,under_attack
2025-06-01T01:17:07.880579,1815,1
2025-06-01T01:17:08.917155,1815,1
2025-06-01T01:17:09.958025,1815,1
2025-06-01T01:17:10.987189,1740,1
2025-06-01T01:17:12.032558,1740,1
2025-06-01T01:17:13.061610,1740,1
2025-06-01T01:17:14.090718,1773,1
2025-06-01T01:17:15.119957,1773,1
2025-06-01T01:17:16.163375,1773,1
2025-06-01T01:17:17.194729,1835,1
2025-06-01T01:17:18.223388,1835,1
2025-06-01T01:17:19.275463,1799,1
2025-06-01T01:17:20.304535,1821,1
2025-06-01T01:17:21.348902,1821,1
2025-06-01T01:17:22.377983,1919,1
2025-06-01T01:17:23.431519,1919,1
2025-06-01T01:17:24.470660,1919,1
2025-06-01T01:17:25.499668,1796,1
2025-06-01T01:17:26.530045,1796,1
2025-06-01T01:17:27.573740,1796,1
2025-06-01T01:17:28.620273,1797,1
2025-06-01T01:17:29.649229,1797,1
2025-06-01T01:17:30.678442,1797,1
2025-06-01T01:17:31.707601,1779,1
2025-06-01T01:17:32.736504,1779,1
2025-06-01T01:17:33.780164,1816,1
2025-06-01T01:17:34.809449,1816,1
2025-06-01T01:17:35.842987,1794,1
2025-06-01T01:17:36.888274,1794,1
2025-06-01T01:17:37.917357,1791,1
2025-06-01T01:17:38.965192,1791,1
2025-06-01T01:17:39.996691,1791,1
2025-06-01T01:17:41.026686,1759,1
2025-06-01T01:17:42.056526,1759,1
2025-06-01T01:17:43.088704,1830,1
2025-06-01T01:17:44.117789,1830,1
2025-06-01T01:17:45.147100,1815,1
2025-06-01T01:17:46.175785,1815,1
2025-06-01T01:17:47.204734,1815,1
2025-06-01T01:17:48.234299,1831,1
2025-06-01T01:17:49.278484,1831,1
2025-06-01T01:17:50.307651,1831,1
2025-06-01T01:17:51.352289,1808,1
2025-06-01T01:17:52.380721,1808,1
2025-06-01T01:17:53.411151,1793,1
2025-06-01T01:17:54.440180,1793,1
2025-06-01T01:17:55.470173,1793,1
2025-06-01T01:17:56.505833,1840,1
2025-06-01T01:17:57.534699,1840,1
2025-06-01T01:17:58.564660,1817,1
2025-06-01T01:17:59.621093,1817,1
2025-06-01T01:18:00.654225,1817,1
2025-06-01T01:18:01.694630,1748,1
2025-06-01T01:18:02.724354,1748,1
2025-06-01T01:18:03.753836,1810,1
2025-06-01T01:18:04.783145,1810,1
2025-06-01T01:18:05.813819,1753,1
2025-06-01T01:18:06.846260,1753,1
2025-06-01T01:18:15.479600,1753,0
2025-06-01T01:18:16.517257,1834,0
2025-06-01T01:18:17.547247,1791,0
2025-06-01T01:18:18.595410,1791,0
2025-06-01T01:18:19.626351,1791,0
2025-06-01T01:18:20.655183,1734,0
2025-06-01T01:18:21.685264,1734,0
2025-06-01T01:18:22.722308,1734,0
2025-06-01T01:18:23.759230,1802,0
2025-06-01T01:18:24.792447,1802,0
2025-06-01T01:18:25.836508,1796,0
2025-06-01T01:18:26.865558,1796,0
2025-06-01T01:18:27.909134,1777,0
2025-06-01T01:18:28.980485,1777,0
2025-06-01T01:18:30.012938,1777,0
2025-06-01T01:18:31.057709,1751,0
2025-06-01T01:18:32.108200,1751,0
2025-06-01T01:18:33.138835,1751,0
2025-06-01T01:18:34.167695,1779,0
2025-06-01T01:18:35.196767,1779,0
2025-06-01T01:18:36.226830,1779,0
2025-06-01T01:18:37.259551,1740,0
2025-06-01T01:18:38.288252,1740,0
2025-06-01T01:18:39.318310,1797,0
2025-06-01T01:18:40.347233,1760,0
2025-06-01T01:18:41.400103,1760,0
2025-06-01T01:18:42.428424,1760,0
2025-06-01T01:18:43.457613,1791,0
2025-06-01T01:18:44.498220,1791,0
2025-06-01T01:18:45.528203,1791,0
2025-06-01T01:18:46.558166,1744,0
2025-06-01T01:18:47.588534,1744,0
2025-06-01T01:18:48.617621,1768,0
2025-06-01T01:18:49.655730,1768,0
2025-06-01T01:18:50.718414,1761,0
2025-06-01T01:18:51.769257,1761,0
2025-06-01T01:18:52.798025,1761,0
2025-06-01T01:18:53.828670,1883,0
2025-06-01T01:18:54.861222,1883,0
2025-06-01T01:18:55.895750,1883,0
2025-06-01T01:18:56.924380,1830,0
2025-06-01T01:18:57.961934,1830,0
2025-06-01T01:18:59.000030,1830,0
2025-06-01T01:19:00.036847,1757,0
2025-06-01T01:19:01.066399,1757,0
2025-06-01T01:19:02.110906,1757,0
2025-06-01T01:19:03.140918,1767,0
2025-06-01T01:19:04.169998,1767,0
2025-06-01T01:19:05.201006,1767,0
2025-06-01T01:19:06.230609,1692,0
2025-06-01T01:19:07.271779,1692,0
2025-06-01T01:19:08.302204,1787,0
2025-06-01T01:19:09.334390,1786,0
2025-06-01T01:19:10.379294,1786,0
2025-06-01T01:19:11.408122,1786,0
2025-06-01T01:19:12.453375,1800,0
2025-06-01T01:19:13.482399,1800,0
2025-06-01T01:19:14.511454,1800,0
2025-06-01T01:19:15.541267,1724,0
2025-06-01T01:19:16.584412,1724,0
2025-06-01T01:19:17.613406,1805,0
2025-06-01T01:19:18.642852,1805,0
2025-06-01T01:19:19.697716,1728,0
2025-06-01T01:19:20.726809,1728,0
2025-06-01T01:19:21.773446,1728,0
2025-06-01T01:19:22.803045,1726,0
2025-06-01T01:19:23.831820,1726,0
2025-06-01T01:19:24.861131,1726,0
2025-06-01T01:19:25.891177,1779,0
2025-06-01T01:19:26.922886,1779,0
2025-06-01T01:19:27.960145,1805,0
2025-06-01T01:19:29.038415,1805,0
2025-06-01T01:19:30.068451,1813,0
2025-06-01T01:19:31.098146,1813,0
2025-06-01T01:19:32.129351,1813,0
2025-06-01T01:19:33.158066,1768,0
2025-06-01T01:19:34.197599,1768,0
2025-06-01T01:19:35.226740,1768,0
2025-06-01T01:19:36.258736,1806,0
2025-06-01T01:19:37.310629,1806,0
2025-06-01T01:19:38.340193,1806,0
2025-06-01T01:19:39.384211,1784,0
2025-06-01T01:19:40.415675,1731,0
2025-06-01T01:19:41.444927,1731,0
2025-06-01T01:19:42.475497,1764,0
2025-06-01T01:19:43.514070,1764,0
2025-06-01T01:19:44.543791,1764,0
2025-06-01T01:19:45.573206,1791,0
2025-06-01T01:19:46.609212,1791,0
2025-06-01T01:19:47.652864,1791,0
2025-06-01T01:19:48.682660,1790,0
2025-06-01T01:19:49.730229,1790,0
2025-06-01T01:19:50.759148,1790,0
2025-06-01T01:19:51.788768,1771,0
2025-06-01T01:19:52.821172,1771,0
2025-06-01T01:19:53.854470,1696,0
2025-06-01T01:19:54.884130,1696,0
2025-06-01T01:19:55.929470,1777,0
2025-06-01T01:19:56.972932,1777,0
2025-06-01T01:19:58.002008,1777,0
2025-06-01T01:19:59.122842,1793,0
2025-06-01T01:20:00.153840,1793,0
2025-06-01T01:20:01.198796,1697,0
2025-06-01T01:20:02.227207,1697,0
2025-06-01T01:20:03.256231,1751,0
2025-06-01T01:20:04.285824,1751,0
2025-06-01T01:20:05.326741,1751,0
2025-06-01T01:20:06.357792,1754,0
2025-06-01T01:20:07.386839,1730,0
2025-06-01T01:20:08.440148,1730,0
2025-06-01T01:20:09.469512,1818,0
2025-06-01T01:20:10.514541,1818,0
2025-06-01T01:20:11.545233,1818,0
2025-06-01T01:20:12.582853,1787,0
2025-06-01T01:20:13.618159,1787,0
2025-06-01T01:20:14.649097,1787,0
2025-06-01T01:20:15.680664,1751,0
2025-06-01T01:20:16.709787,1751,0
2025-06-01T01:20:17.738318,1765,0
2025-06-01T01:20:18.782442,1765,0
2025-06-01T01:20:19.811132,1776,0
2025-06-01T01:20:20.859014,1776,0
2025-06-01T01:20:21.887877,1776,0
2025-06-01T01:20:22.916633,1774,0
2025-06-01T01:20:23.947818,1774,0
2025-06-01T01:20:24.984415,1774,0
2025-06-01T01:20:26.014283,1787,0
2025-06-01T01:20:27.046735,1787,0
2025-06-01T01:20:28.076339,1787,0
2025-06-01T01:20:29.125715,1793,0
2025-06-01T01:20:30.154331,1793,0
2025-06-01T01:20:31.199273,1793,0
2025-06-01T01:20:32.228188,1762,0
2025-06-01T01:20:33.257447,1762,0
2025-06-01T01:20:34.286378,1851,0
2025-06-01T01:20:35.316349,1851,0
2025-06-01T01:20:36.355238,1812,0
2025-06-01T01:20:37.397008,1812,0
2025-06-01T01:20:38.443503,1775,0
2025-06-01T01:20:39.473443,1775,0
2025-06-01T01:20:40.524511,1775,0
2025-06-01T01:20:41.560399,1838,0
2025-06-01T01:20:42.594284,1838,0
2025-06-01T01:20:43.623275,1838,0
2025-06-01T01:20:44.663193,1796,0
2025-06-01T01:20:45.692416,1796,0
2025-06-01T01:20:46.721345,1796,0
2025-06-01T01:20:47.761718,1743,0
2025-06-01T01:20:48.792662,1743,0
2025-06-01T01:20:49.837648,1743,0
2025-06-01T01:20:50.869207,1791,0
2025-06-01T01:20:51.898499,1791,0
2025-06-01T01:20:52.927469,1784,0
2025-06-01T01:20:53.956689,1784,0
2025-06-01T01:20:54.987712,1741,0
2025-06-01T01:20:56.032934,1741,0
2025-06-01T01:20:57.080115,1741,0
2025-06-01T01:20:58.109145,1819,0
2025-06-01T01:20:59.153548,1819,0
2025-06-01T01:21:00.185502,1819,0
2025-06-01T01:21:01.215265,1761,0
2025-06-01T01:21:02.246212,1761,0
2025-06-01T01:21:03.282841,1768,0
2025-06-01T01:21:04.312423,1768,0
