timestamp,power_mW,under_attack
2025-05-31T23:50:48.159971,1801,1
2025-05-31T23:50:49.191229,1801,1
2025-05-31T23:50:50.220880,1822,1
2025-05-31T23:50:51.250549,1822,1
2025-05-31T23:50:52.280734,1789,1
2025-05-31T23:50:53.332287,1789,1
2025-05-31T23:50:54.362113,1789,1
2025-05-31T23:50:55.413226,1775,1
2025-05-31T23:50:56.446072,1775,1
2025-05-31T23:50:57.475445,1775,1
2025-05-31T23:50:58.504936,1839,1
2025-05-31T23:50:59.535166,1839,1
2025-05-31T23:51:00.568362,1839,1
2025-05-31T23:51:01.597471,1770,1
2025-05-31T23:51:02.627214,1770,1
2025-05-31T23:51:03.658593,1770,1
2025-05-31T23:51:04.699559,1786,1
2025-05-31T23:51:05.728862,1786,1
2025-05-31T23:51:06.780408,1786,1
2025-05-31T23:51:07.810598,1839,1
2025-05-31T23:51:08.840181,1839,1
2025-05-31T23:51:09.870333,1839,1
2025-05-31T23:51:10.909264,1844,1
2025-05-31T23:51:11.938123,1844,1
2025-05-31T23:51:12.967929,1844,1
2025-05-31T23:51:14.022142,1865,1
2025-05-31T23:51:15.072607,1865,1
2025-05-31T23:51:16.102800,1865,1
2025-05-31T23:51:17.139632,1756,1
2025-05-31T23:51:18.169039,1804,1
2025-05-31T23:51:19.198413,1804,1
2025-05-31T23:51:20.242953,1841,1
2025-05-31T23:51:21.287386,1841,1
2025-05-31T23:51:22.316956,1837,1
2025-05-31T23:51:23.368177,1837,1
2025-05-31T23:51:24.398046,1837,1
2025-05-31T23:51:25.427851,1835,1
2025-05-31T23:51:26.457028,1835,1
2025-05-31T23:51:27.487542,1835,1
2025-05-31T23:51:28.517982,1767,1
2025-05-31T23:51:29.552400,1767,1
2025-05-31T23:51:30.583048,1828,1
2025-05-31T23:51:31.612810,1828,1
2025-05-31T23:51:32.654284,1793,1
2025-05-31T23:51:33.691923,1793,1
2025-05-31T23:51:34.734260,1861,1
2025-05-31T23:51:35.764161,1861,1
2025-05-31T23:51:36.795116,1861,1
2025-05-31T23:51:37.824484,1828,1
2025-05-31T23:51:38.859532,1828,1
2025-05-31T23:51:39.889184,1828,1
2025-05-31T23:51:40.918715,1801,1
2025-05-31T23:51:41.972552,1801,1
2025-05-31T23:51:43.003268,1801,1
2025-05-31T23:51:44.053534,1833,1
2025-05-31T23:51:45.082794,1833,1
2025-05-31T23:51:46.113139,1833,1
2025-05-31T23:51:47.142353,1857,1
2025-05-31T23:51:48.832986,1857,0
2025-05-31T23:51:49.889521,1787,0
2025-05-31T23:51:50.922290,1787,0
2025-05-31T23:51:51.951643,1787,0
2025-05-31T23:51:52.980739,1761,0
2025-05-31T23:51:54.010180,1761,0
2025-05-31T23:51:55.040759,1733,0
2025-05-31T23:51:56.074772,1733,0
2025-05-31T23:51:57.104163,1777,0
2025-05-31T23:51:58.134213,1777,0
2025-05-31T23:51:59.177820,1774,0
2025-05-31T23:52:00.206771,1774,0
2025-05-31T23:52:01.255294,1800,0
2025-05-31T23:52:02.284397,1800,0
2025-05-31T23:52:03.313628,1811,0
2025-05-31T23:52:04.343463,1811,0
2025-05-31T23:52:05.384590,1811,0
2025-05-31T23:52:06.414214,1728,0
2025-05-31T23:52:07.443700,1728,0
2025-05-31T23:52:08.493745,1728,0
2025-05-31T23:52:09.525704,1804,0
2025-05-31T23:52:10.577431,1804,0
2025-05-31T23:52:11.618532,1804,0
2025-05-31T23:52:12.648754,1753,0
2025-05-31T23:52:13.716192,1753,0
2025-05-31T23:52:14.745502,1723,0
2025-05-31T23:52:15.797706,1723,0
2025-05-31T23:52:16.828855,1749,0
2025-05-31T23:52:17.857339,1749,0
2025-05-31T23:52:18.901365,1749,0
2025-05-31T23:52:19.940434,1793,0
2025-05-31T23:52:20.969936,1793,0
2025-05-31T23:52:22.010671,1793,0
2025-05-31T23:52:23.041430,1770,0
2025-05-31T23:52:24.090242,1770,0
2025-05-31T23:52:25.119753,1797,0
2025-05-31T23:52:26.152967,1797,0
2025-05-31T23:52:27.183136,1792,0
2025-05-31T23:52:28.212696,1792,0
2025-05-31T23:52:29.241924,1780,0
2025-05-31T23:52:30.270368,1780,0
2025-05-31T23:52:31.312845,1780,0
2025-05-31T23:52:32.352994,1728,0
2025-05-31T23:52:33.382492,1728,0
2025-05-31T23:52:34.434210,1758,0
2025-05-31T23:52:35.463624,1758,0
2025-05-31T23:52:36.492899,1802,0
2025-05-31T23:52:37.522365,1802,0
2025-05-31T23:52:38.553157,1802,0
2025-05-31T23:52:39.582371,1823,0
2025-05-31T23:52:40.621680,1823,0
2025-05-31T23:52:41.652498,1823,0
2025-05-31T23:52:42.695342,1797,0
2025-05-31T23:52:43.759796,1797,0
2025-05-31T23:52:44.797838,1797,0
2025-05-31T23:52:45.827304,1756,0
2025-05-31T23:52:46.857278,1756,0
2025-05-31T23:52:47.886616,1756,0
2025-05-31T23:52:48.941673,1728,0
2025-05-31T23:52:49.970737,1728,0
2025-05-31T23:52:51.024680,1741,0
2025-05-31T23:52:52.060178,1741,0
2025-05-31T23:52:53.094673,1767,0
2025-05-31T23:52:54.133008,1767,0
2025-05-31T23:52:55.161710,1755,0
2025-05-31T23:52:56.190970,1755,0
2025-05-31T23:52:57.236153,1769,0
2025-05-31T23:52:58.265258,1769,0
2025-05-31T23:52:59.316683,1761,0
2025-05-31T23:53:00.347034,1761,0
2025-05-31T23:53:01.376851,1761,0
2025-05-31T23:53:02.406643,1781,0
2025-05-31T23:53:03.443321,1781,0
2025-05-31T23:53:04.472704,1781,0
2025-05-31T23:53:05.502369,1736,0
2025-05-31T23:53:06.554489,1736,0
2025-05-31T23:53:07.583808,1774,0
2025-05-31T23:53:08.635112,1774,0
2025-05-31T23:53:09.664538,1775,0
2025-05-31T23:53:10.712110,1775,0
2025-05-31T23:53:11.749697,1775,0
2025-05-31T23:53:12.779429,1768,0
2025-05-31T23:53:13.829286,1768,0
2025-05-31T23:53:14.885241,1768,0
2025-05-31T23:53:15.914968,1778,0
2025-05-31T23:53:16.955162,1778,0
2025-05-31T23:53:17.985167,1754,0
2025-05-31T23:53:19.014955,1754,0
2025-05-31T23:53:20.074646,1797,0
2025-05-31T23:53:21.104167,1797,0
2025-05-31T23:53:22.161436,1797,0
2025-05-31T23:53:23.194178,1817,0
2025-05-31T23:53:24.224170,1817,0
2025-05-31T23:53:25.264546,1821,0
2025-05-31T23:53:26.317937,1821,0
2025-05-31T23:53:27.347644,1821,0
2025-05-31T23:53:28.391466,1754,0
2025-05-31T23:53:29.422323,1754,0
2025-05-31T23:53:30.451876,1775,0
2025-05-31T23:53:31.481709,1775,0
2025-05-31T23:53:32.518280,1804,0
2025-05-31T23:53:33.549359,1804,0
2025-05-31T23:53:34.581374,1804,0
2025-05-31T23:53:35.614014,1790,0
2025-05-31T23:53:36.644561,1790,0
2025-05-31T23:53:37.684143,1790,0
2025-05-31T23:53:38.718893,1730,0
2025-05-31T23:53:39.765496,1730,0
2025-05-31T23:53:40.796316,1793,0
2025-05-31T23:53:41.831152,1793,0
2025-05-31T23:53:42.860933,1778,0
2025-05-31T23:53:43.898989,1778,0
2025-05-31T23:53:44.930018,1778,0
2025-05-31T23:53:45.959624,1780,0
2025-05-31T23:53:47.003215,1780,0
2025-05-31T23:53:48.032282,1780,0
2025-05-31T23:53:49.083179,1790,0
2025-05-31T23:53:50.112228,1790,0
2025-05-31T23:53:51.143020,1790,0
2025-05-31T23:53:52.173255,1806,0
2025-05-31T23:53:53.202214,1773,0
2025-05-31T23:53:54.243234,1773,0
2025-05-31T23:53:55.276807,1782,0
2025-05-31T23:53:56.320913,1782,0
2025-05-31T23:53:57.388721,1782,0
2025-05-31T23:53:58.418096,1806,0
2025-05-31T23:53:59.447268,1806,0
2025-05-31T23:54:00.478535,1806,0
