timestamp,power_mW,under_attack
2025-06-01T00:36:09.537194,1743,1
2025-06-01T00:36:10.569985,1806,1
2025-06-01T00:36:11.645260,1806,1
2025-06-01T00:36:12.674946,1802,1
2025-06-01T00:36:13.719652,1802,1
2025-06-01T00:36:14.748690,1764,1
2025-06-01T00:36:15.782804,1764,1
2025-06-01T00:36:16.826206,1764,1
2025-06-01T00:36:17.855740,1748,1
2025-06-01T00:36:18.888180,1748,1
2025-06-01T00:36:19.935968,1760,1
2025-06-01T00:36:20.966022,1760,1
2025-06-01T00:36:22.011823,1761,1
2025-06-01T00:36:23.040695,1761,1
2025-06-01T00:36:24.069653,1761,1
2025-06-01T00:36:25.100730,1754,1
2025-06-01T00:36:26.134643,1754,1
2025-06-01T00:36:27.164080,1787,1
2025-06-01T00:36:28.196401,1787,1
2025-06-01T00:36:29.238072,1811,1
2025-06-01T00:36:30.278429,1811,1
2025-06-01T00:36:31.307556,1811,1
2025-06-01T00:36:32.352503,1801,1
2025-06-01T00:36:33.380774,1801,1
2025-06-01T00:36:34.409552,1801,1
2025-06-01T00:36:35.445155,1786,1
2025-06-01T00:36:36.477817,1786,1
2025-06-01T00:36:37.506780,1786,1
2025-06-01T00:36:38.547219,1841,1
2025-06-01T00:36:39.576166,1841,1
2025-06-01T00:36:40.620848,1841,1
2025-06-01T00:36:41.650050,1771,1
2025-06-01T00:36:42.678803,1771,1
2025-06-01T00:36:43.720665,1771,1
2025-06-01T00:36:44.752641,1838,1
2025-06-01T00:36:45.785173,1838,1
2025-06-01T00:36:46.814334,1766,1
2025-06-01T00:36:47.855367,1766,1
2025-06-01T00:36:48.884606,1766,1
2025-06-01T00:36:49.914788,1798,1
2025-06-01T00:36:50.963176,1798,1
2025-06-01T00:36:51.992147,1798,1
2025-06-01T00:36:53.037198,1805,1
2025-06-01T00:36:54.065939,1805,1
2025-06-01T00:36:55.094845,1805,1
2025-06-01T00:36:56.128389,1773,1
2025-06-01T00:36:57.166096,1773,1
2025-06-01T00:36:58.194897,1773,1
2025-06-01T00:36:59.224367,1775,1
2025-06-01T00:37:00.281528,1775,1
2025-06-01T00:37:01.310720,1754,1
2025-06-01T00:37:02.354970,1754,1
2025-06-01T00:37:03.403599,1804,1
2025-06-01T00:37:04.433769,1804,1
2025-06-01T00:37:05.472386,1804,1
2025-06-01T00:37:06.501298,1769,1
2025-06-01T00:37:07.531196,1769,1
2025-06-01T00:37:08.577960,1769,1
2025-06-01T00:37:10.629913,1800,0
2025-06-01T00:37:11.675242,1800,0
2025-06-01T00:37:12.708884,1764,0
2025-06-01T00:37:13.743289,1764,0
2025-06-01T00:37:14.780792,1768,0
2025-06-01T00:37:15.810466,1768,0
2025-06-01T00:37:16.840869,1774,0
2025-06-01T00:37:17.894111,1774,0
2025-06-01T00:37:18.923959,1762,0
2025-06-01T00:37:19.971008,1762,0
2025-06-01T00:37:21.002233,1762,0
2025-06-01T00:37:22.052690,1755,0
2025-06-01T00:37:23.089855,1755,0
2025-06-01T00:37:24.119468,1755,0
2025-06-01T00:37:25.164482,1772,0
2025-06-01T00:37:26.193978,1772,0
2025-06-01T00:37:27.241654,1772,0
2025-06-01T00:37:28.271601,1805,0
2025-06-01T00:37:29.307008,1805,0
2025-06-01T00:37:30.338622,1769,0
2025-06-01T00:37:31.380545,1769,0
2025-06-01T00:37:32.410456,1742,0
2025-06-01T00:37:33.440241,1742,0
2025-06-01T00:37:34.482922,1742,0
2025-06-01T00:37:35.512804,1749,0
2025-06-01T00:37:36.559849,1749,0
2025-06-01T00:37:37.602364,1749,0
2025-06-01T00:37:38.634742,1819,0
2025-06-01T00:37:39.664787,1819,0
2025-06-01T00:37:40.706361,1819,0
2025-06-01T00:37:41.736626,1773,0
2025-06-01T00:37:42.777350,1773,0
2025-06-01T00:37:43.808065,1731,0
2025-06-01T00:37:44.852040,1728,0
2025-06-01T00:37:45.880686,1728,0
2025-06-01T00:37:46.911065,1728,0
2025-06-01T00:37:47.945845,1807,0
2025-06-01T00:37:48.976770,1807,0
2025-06-01T00:37:50.014619,1807,0
2025-06-01T00:37:51.044003,1782,0
2025-06-01T00:37:52.073134,1782,0
2025-06-01T00:37:53.119769,1782,0
2025-06-01T00:37:54.149773,1759,0
2025-06-01T00:37:55.194107,1759,0
2025-06-01T00:37:56.225278,1819,0
2025-06-01T00:37:57.261467,1819,0
2025-06-01T00:37:58.290890,1760,0
2025-06-01T00:37:59.322148,1760,0
2025-06-01T00:38:00.351780,1760,0
2025-06-01T00:38:01.381133,1735,0
2025-06-01T00:38:02.438166,1735,0
2025-06-01T00:38:03.469072,1735,0
2025-06-01T00:38:04.517917,1790,0
2025-06-01T00:38:05.548145,1790,0
2025-06-01T00:38:06.583651,1809,0
2025-06-01T00:38:07.613230,1809,0
2025-06-01T00:38:08.643126,1834,0
2025-06-01T00:38:09.672749,1834,0
2025-06-01T00:38:10.705079,1834,0
2025-06-01T00:38:11.734769,1818,0
2025-06-01T00:38:12.765161,1818,0
2025-06-01T00:38:13.804551,1825,0
2025-06-01T00:38:14.837316,1825,0
2025-06-01T00:38:15.878238,1825,0
2025-06-01T00:38:16.908162,1769,0
2025-06-01T00:38:17.947506,1769,0
2025-06-01T00:38:18.976133,1769,0
2025-06-01T00:38:20.006136,1766,0
2025-06-01T00:38:21.041978,1766,0
2025-06-01T00:38:22.070847,1766,0
2025-06-01T00:38:23.100166,1754,0
2025-06-01T00:38:24.129193,1754,0
2025-06-01T00:38:25.170962,1761,0
2025-06-01T00:38:26.201135,1761,0
2025-06-01T00:38:27.244639,1787,0
2025-06-01T00:38:28.273471,1787,0
2025-06-01T00:38:29.302777,1787,0
2025-06-01T00:38:30.336111,1782,0
2025-06-01T00:38:31.364867,1782,0
2025-06-01T00:38:32.394741,1782,0
2025-06-01T00:38:33.423660,1752,0
2025-06-01T00:38:34.455971,1752,0
2025-06-01T00:38:35.488796,1760,0
2025-06-01T00:38:36.519072,1760,0
2025-06-01T00:38:37.561336,1743,0
2025-06-01T00:38:38.592846,1743,0
2025-06-01T00:38:39.636225,1743,0
2025-06-01T00:38:40.665257,1748,0
2025-06-01T00:38:41.694112,1748,0
2025-06-01T00:38:42.726626,1820,0
2025-06-01T00:38:43.762995,1820,0
2025-06-01T00:38:44.792281,1799,0
2025-06-01T00:38:45.820931,1799,0
2025-06-01T00:38:46.853090,1799,0
2025-06-01T00:38:47.884378,1799,0
2025-06-01T00:38:48.927767,1799,0
2025-06-01T00:38:49.977326,1802,0
2025-06-01T00:38:51.006297,1802,0
2025-06-01T00:38:52.035281,1802,0
2025-06-01T00:38:53.071692,1790,0
2025-06-01T00:38:54.103264,1790,0
2025-06-01T00:38:55.132300,1790,0
2025-06-01T00:38:56.174257,1755,0
2025-06-01T00:38:57.204986,1755,0
2025-06-01T00:38:58.246231,1755,0
2025-06-01T00:38:59.277544,1729,0
2025-06-01T00:39:00.320369,1729,0
2025-06-01T00:39:01.350147,1736,0
2025-06-01T00:39:02.379752,1736,0
2025-06-01T00:39:03.412358,1745,0
2025-06-01T00:39:04.441385,1745,0
2025-06-01T00:39:05.484311,1745,0
2025-06-01T00:39:06.513232,1753,0
2025-06-01T00:39:07.547259,1753,0
2025-06-01T00:39:08.589498,1784,0
2025-06-01T00:39:09.619240,1784,0
2025-06-01T00:39:10.662400,1762,0
2025-06-01T00:39:11.696116,1762,0
2025-06-01T00:39:12.731384,1762,0
2025-06-01T00:39:13.760394,1827,0
2025-06-01T00:39:14.793807,1827,0
2025-06-01T00:39:15.823315,1698,0
2025-06-01T00:39:16.855785,1698,0
2025-06-01T00:39:17.914801,1766,0
2025-06-01T00:39:18.957799,1766,0
2025-06-01T00:39:20.001324,1813,0
2025-06-01T00:39:21.030841,1813,0
2025-06-01T00:39:22.059444,1813,0
2025-06-01T00:39:23.089421,1788,0
2025-06-01T00:39:24.118533,1788,0
2025-06-01T00:39:25.147489,1788,0
2025-06-01T00:39:26.176348,1822,0
2025-06-01T00:39:27.209303,1822,0
2025-06-01T00:39:28.249288,1822,0
2025-06-01T00:39:29.279455,1748,0
2025-06-01T00:39:30.324603,1748,0
2025-06-01T00:39:31.353375,1748,0
2025-06-01T00:39:32.384985,1778,0
2025-06-01T00:39:33.414840,1778,0
2025-06-01T00:39:34.445082,1778,0
2025-06-01T00:39:35.475731,1777,0
2025-06-01T00:39:36.516389,1777,0
2025-06-01T00:39:37.548161,1761,0
2025-06-01T00:39:38.591796,1761,0
2025-06-01T00:39:39.622391,1728,0
2025-06-01T00:39:40.667091,1728,0
2025-06-01T00:39:41.696676,1728,0
2025-06-01T00:39:42.726335,1753,0
2025-06-01T00:39:43.758337,1753,0
2025-06-01T00:39:44.788780,1766,0
2025-06-01T00:39:45.825279,1768,0
2025-06-01T00:39:46.855294,1768,0
2025-06-01T00:39:47.885030,1768,0
2025-06-01T00:39:48.934106,1804,0
2025-06-01T00:39:49.966043,1804,0
2025-06-01T00:39:51.009201,1804,0
2025-06-01T00:39:52.040303,1747,0
2025-06-01T00:39:53.076371,1747,0
2025-06-01T00:39:54.105932,1747,0
2025-06-01T00:39:55.136140,1730,0
2025-06-01T00:39:56.175619,1730,0
2025-06-01T00:39:57.206204,1753,0
2025-06-01T00:39:58.236349,1753,0
2025-06-01T00:39:59.276607,1794,0
2025-06-01T00:40:00.308612,1794,0
2025-06-01T00:40:01.356169,1794,0
2025-06-01T00:40:02.386041,1804,0
2025-06-01T00:40:03.419128,1804,0
2025-06-01T00:40:04.448898,1804,0
2025-06-01T00:40:05.478538,1756,0
