timestamp,power_mW,under_attack
2025-06-01T02:01:29.412136,1800,1
2025-06-01T02:01:30.441483,1752,1
2025-06-01T02:01:31.479777,1752,1
2025-06-01T02:01:32.529086,1752,1
2025-06-01T02:01:33.558768,1775,1
2025-06-01T02:01:34.589382,1775,1
2025-06-01T02:01:35.632488,1775,1
2025-06-01T02:01:36.662461,1769,1
2025-06-01T02:01:37.706260,1769,1
2025-06-01T02:01:38.735504,1840,1
2025-06-01T02:01:39.767274,1840,1
2025-06-01T02:01:40.797260,1781,1
2025-06-01T02:01:41.827412,1781,1
2025-06-01T02:01:42.856896,1787,1
2025-06-01T02:01:43.886101,1787,1
2025-06-01T02:01:44.921218,1772,1
2025-06-01T02:01:45.951333,1772,1
2025-06-01T02:01:46.980505,1789,1
2025-06-01T02:01:48.025470,1789,1
2025-06-01T02:01:49.054827,1789,1
2025-06-01T02:01:50.096672,1789,1
2025-06-01T02:01:51.127837,1789,1
2025-06-01T02:01:52.157231,1825,1
2025-06-01T02:01:53.186523,1825,1
2025-06-01T02:01:54.229278,1825,1
2025-06-01T02:01:55.261546,1762,1
2025-06-01T02:01:56.290616,1762,1
2025-06-01T02:01:57.345066,1762,1
2025-06-01T02:01:58.374139,1848,1
2025-06-01T02:01:59.420611,1848,1
2025-06-01T02:02:00.449453,1848,1
2025-06-01T02:02:01.479993,1797,1
2025-06-01T02:02:02.510134,1797,1
2025-06-01T02:02:03.539345,1797,1
2025-06-01T02:02:04.569094,1838,1
2025-06-01T02:02:05.603044,1838,1
2025-06-01T02:02:06.641309,1838,1
2025-06-01T02:02:07.683689,1762,1
2025-06-01T02:02:08.712934,1762,1
2025-06-01T02:02:09.757874,1762,1
2025-06-01T02:02:10.788365,1780,1
2025-06-01T02:02:11.817336,1780,1
2025-06-01T02:02:12.847532,1780,1
2025-06-01T02:02:13.877047,1792,1
2025-06-01T02:02:14.906284,1792,1
2025-06-01T02:02:15.950343,1840,1
2025-06-01T02:02:16.980917,1840,1
2025-06-01T02:02:18.010247,1840,1
2025-06-01T02:02:19.053306,1819,1
2025-06-01T02:02:20.104285,1819,1
2025-06-01T02:02:21.134439,1819,1
2025-06-01T02:02:22.165033,1771,1
2025-06-01T02:02:23.194803,1771,1
2025-06-01T02:02:24.224664,1771,1
2025-06-01T02:02:25.264696,1780,1
2025-06-01T02:02:26.293739,1780,1
2025-06-01T02:02:27.324418,1780,1
2025-06-01T02:02:28.368543,1785,1
2025-06-01T02:02:36.550588,1785,0
2025-06-01T02:02:37.584496,1800,0
2025-06-01T02:02:38.616678,1788,0
2025-06-01T02:02:39.658538,1788,0
2025-06-01T02:02:40.689218,1788,0
2025-06-01T02:02:41.719657,1804,0
2025-06-01T02:02:42.749050,1804,0
2025-06-01T02:02:43.777773,1804,0
2025-06-01T02:02:44.806847,1771,0
2025-06-01T02:02:45.836984,1771,0
2025-06-01T02:02:46.880814,1771,0
2025-06-01T02:02:47.926932,1756,0
2025-06-01T02:02:48.956335,1756,0
2025-06-01T02:02:50.000373,1769,0
