timestamp,power_mW,under_attack
2025-05-31T21:30:27.890857,1741,1
2025-05-31T21:30:28.923501,1741,1
2025-05-31T21:30:29.956461,1809,1
2025-05-31T21:30:30.985816,1809,1
2025-05-31T21:30:32.024093,1722,1
2025-05-31T21:30:33.060019,1722,1
2025-05-31T21:30:34.089044,1787,1
2025-05-31T21:30:35.145679,1787,1
2025-05-31T21:30:36.184665,1787,1
2025-05-31T21:30:37.213887,1787,1
2025-05-31T21:30:38.249861,1787,1
2025-05-31T21:30:39.279970,1784,1
2025-05-31T21:30:40.310553,1784,1
2025-05-31T21:30:41.339923,1733,1
2025-05-31T21:30:42.369109,1733,1
2025-05-31T21:30:43.398707,1758,1
2025-05-31T21:30:44.428362,1758,1
2025-05-31T21:30:45.478146,1758,1
2025-05-31T21:30:46.508346,1784,1
2025-05-31T21:30:47.563272,1784,1
2025-05-31T21:30:48.592540,1784,1
2025-05-31T21:30:49.622056,1778,1
2025-05-31T21:30:50.658702,1778,1
2025-05-31T21:30:51.687289,1778,1
2025-05-31T21:30:52.716847,1774,1
2025-05-31T21:30:53.751614,1774,1
2025-05-31T21:30:54.798219,1774,1
2025-05-31T21:30:55.828166,1750,1
2025-05-31T21:30:56.890439,1750,1
2025-05-31T21:30:57.926646,1750,1
2025-05-31T21:30:58.956417,1792,1
2025-05-31T21:30:59.987495,1792,1
2025-05-31T21:31:01.018597,1792,1
2025-05-31T21:31:02.069222,1787,1
2025-05-31T21:31:03.098393,1787,1
2025-05-31T21:31:04.141455,1787,1
2025-05-31T21:31:05.193003,1799,1
2025-05-31T21:31:06.222896,1799,1
2025-05-31T21:31:07.253941,1812,1
2025-05-31T21:31:08.292616,1812,1
2025-05-31T21:31:09.336602,1812,1
2025-05-31T21:31:10.366032,1790,1
2025-05-31T21:31:11.419082,1790,1
2025-05-31T21:31:12.453104,1855,1
2025-05-31T21:31:13.496902,1855,1
2025-05-31T21:31:14.528645,1765,1
2025-05-31T21:31:15.559613,1765,1
2025-05-31T21:31:16.606981,1765,1
2025-05-31T21:31:17.635893,1808,1
2025-05-31T21:31:18.695061,1808,1
2025-05-31T21:31:19.725761,1808,1
2025-05-31T21:31:20.754952,1802,1
2025-05-31T21:31:21.786305,1802,1
2025-05-31T21:31:22.816673,1858,1
2025-05-31T21:31:23.845757,1858,1
2025-05-31T21:31:24.879828,1858,1
2025-05-31T21:31:25.925323,1817,1
2025-05-31T21:31:26.954607,1817,1
2025-05-31T21:31:28.898455,1760,0
2025-05-31T21:31:29.927557,1760,0
2025-05-31T21:31:30.969685,1782,0
2025-05-31T21:31:31.999176,1782,0
2025-05-31T21:31:33.028162,1713,0
2025-05-31T21:31:34.060113,1713,0
2025-05-31T21:31:35.089201,1713,0
2025-05-31T21:31:36.121061,1770,0
2025-05-31T21:31:37.150258,1770,0
2025-05-31T21:31:38.180109,1770,0
2025-05-31T21:31:39.237378,1706,0
2025-05-31T21:31:40.270813,1718,0
2025-05-31T21:31:41.311262,1718,0
2025-05-31T21:31:42.340561,1718,0
2025-05-31T21:31:43.370135,1702,0
2025-05-31T21:31:44.399247,1702,0
2025-05-31T21:31:45.430646,1702,0
2025-05-31T21:31:46.460006,1717,0
2025-05-31T21:31:47.489197,1717,0
2025-05-31T21:31:48.535317,1717,0
2025-05-31T21:31:49.579837,1790,0
2025-05-31T21:31:50.609613,1790,0
2025-05-31T21:31:51.654293,1723,0
2025-05-31T21:31:52.687778,1723,0
2025-05-31T21:31:53.716628,1779,0
2025-05-31T21:31:54.745783,1779,0
2025-05-31T21:31:55.776284,1779,0
2025-05-31T21:31:56.808369,1711,0
2025-05-31T21:31:57.841084,1711,0
2025-05-31T21:31:58.870711,1712,0
2025-05-31T21:31:59.900513,1712,0
2025-05-31T21:32:00.946206,1712,0
2025-05-31T21:32:01.975196,1699,0
2025-05-31T21:32:03.023403,1699,0
2025-05-31T21:32:04.056755,1699,0
2025-05-31T21:32:05.085627,1691,0
2025-05-31T21:32:06.115356,1691,0
2025-05-31T21:32:07.150610,1691,0
2025-05-31T21:32:08.179730,1729,0
2025-05-31T21:32:09.209210,1729,0
2025-05-31T21:32:10.264534,1724,0
2025-05-31T21:32:11.297974,1724,0
2025-05-31T21:32:12.352308,1725,0
2025-05-31T21:32:13.381369,1725,0
2025-05-31T21:32:14.412260,1725,0
2025-05-31T21:32:15.441539,1724,0
2025-05-31T21:32:16.472323,1724,0
2025-05-31T21:32:17.503344,1724,0
