timestamp,power_mW,under_attack
2025-05-31T22:25:01.014531,1718,1
2025-05-31T22:25:02.044376,1718,1
2025-05-31T22:25:03.084656,1724,1
2025-05-31T22:25:04.114933,1724,1
2025-05-31T22:25:05.145150,1724,1
2025-05-31T22:25:06.199024,1736,1
2025-05-31T22:25:07.230410,1736,1
2025-05-31T22:25:08.272877,1736,1
2025-05-31T22:25:09.302880,1802,1
2025-05-31T22:25:10.332511,1802,1
2025-05-31T22:25:11.365048,1802,1
2025-05-31T22:25:12.396841,1808,1
2025-05-31T22:25:13.426596,1808,1
2025-05-31T22:25:14.457156,1808,1
2025-05-31T22:25:15.496354,1721,1
2025-05-31T22:25:16.525535,1721,1
2025-05-31T22:25:17.554968,1721,1
2025-05-31T22:25:18.589418,1788,1
2025-05-31T22:25:19.620210,1788,1
2025-05-31T22:25:20.663321,1788,1
2025-05-31T22:25:21.706536,1781,1
2025-05-31T22:25:22.737128,1781,1
2025-05-31T22:25:23.766383,1800,1
2025-05-31T22:25:24.809864,1800,1
2025-05-31T22:25:25.840265,1763,1
2025-05-31T22:25:26.883808,1763,1
2025-05-31T22:25:27.913689,1763,1
2025-05-31T22:25:28.960040,1765,1
2025-05-31T22:25:30.002610,1765,1
2025-05-31T22:25:31.033632,1731,1
2025-05-31T22:25:32.063411,1731,1
2025-05-31T22:25:33.093020,1773,1
2025-05-31T22:25:34.123325,1773,1
2025-05-31T22:25:35.153388,1816,1
2025-05-31T22:25:36.183065,1816,1
2025-05-31T22:25:37.226222,1816,1
2025-05-31T22:25:38.255674,1802,1
2025-05-31T22:25:39.300195,1802,1
2025-05-31T22:25:40.329651,1802,1
2025-05-31T22:25:41.360048,1746,1
2025-05-31T22:25:42.389289,1746,1
2025-05-31T22:25:43.428276,1839,1
2025-05-31T22:25:44.457656,1839,1
2025-05-31T22:25:45.487203,1799,1
2025-05-31T22:25:46.544610,1799,1
2025-05-31T22:25:47.575682,1774,1
2025-05-31T22:25:48.619640,1774,1
2025-05-31T22:25:49.649205,1774,1
2025-05-31T22:25:50.678684,1724,1
2025-05-31T22:25:51.708015,1724,1
2025-05-31T22:25:52.736782,1767,1
2025-05-31T22:25:53.789375,1767,1
2025-05-31T22:25:54.819037,1747,1
2025-05-31T22:25:55.863018,1747,1
2025-05-31T22:25:56.892675,1747,1
2025-05-31T22:25:57.937239,1791,1
2025-05-31T22:25:58.968362,1791,1
2025-05-31T22:26:00.007151,1758,1
2025-05-31T22:26:01.500552,1758,0
2025-05-31T22:26:02.550734,1724,0
2025-05-31T22:26:03.580721,1724,0
2025-05-31T22:26:04.611513,1739,0
2025-05-31T22:26:05.650789,1739,0
2025-05-31T22:26:06.681209,1739,0
2025-05-31T22:26:07.710737,1686,0
2025-05-31T22:26:08.765305,1686,0
2025-05-31T22:26:09.795529,1759,0
2025-05-31T22:26:10.840278,1759,0
2025-05-31T22:26:11.869617,1791,0
2025-05-31T22:26:12.899094,1791,0
2025-05-31T22:26:13.928525,1791,0
2025-05-31T22:26:14.957754,1699,0
2025-05-31T22:26:15.987412,1699,0
2025-05-31T22:26:17.018145,1709,0
2025-05-31T22:26:18.061212,1709,0
2025-05-31T22:26:19.091949,1784,0
2025-05-31T22:26:20.131763,1784,0
2025-05-31T22:26:21.161821,1716,0
2025-05-31T22:26:22.205707,1716,0
2025-05-31T22:26:23.236722,1716,0
2025-05-31T22:26:24.267232,1789,0
2025-05-31T22:26:25.297606,1789,0
2025-05-31T22:26:26.327435,1779,0
2025-05-31T22:26:27.367285,1779,0
2025-05-31T22:26:28.396784,1738,0
2025-05-31T22:26:29.450133,1738,0
2025-05-31T22:26:30.480676,1738,0
2025-05-31T22:26:31.524267,1736,0
2025-05-31T22:26:32.557168,1736,0
2025-05-31T22:26:33.589176,1710,0
2025-05-31T22:26:34.618940,1710,0
2025-05-31T22:26:35.648185,1710,0
2025-05-31T22:26:36.677710,1743,0
2025-05-31T22:26:37.707472,1743,0
2025-05-31T22:26:38.736860,1743,0
