timestamp,power_mW,under_attack
2025-06-02T15:15:59.142356,9174,1
2025-06-02T15:16:00.171898,9097,1
2025-06-02T15:16:01.208407,9097,1
2025-06-02T15:16:02.250407,9109,1
2025-06-02T15:16:03.280478,9109,1
2025-06-02T15:16:04.324609,9182,1
2025-06-02T15:16:05.353085,9182,1
2025-06-02T15:16:06.382837,9096,1
2025-06-02T15:16:07.420869,9096,1
2025-06-02T15:16:08.452685,9046,1
2025-06-02T15:16:09.491710,9046,1
2025-06-02T15:16:10.524980,9141,1
2025-06-02T15:16:11.569456,9141,1
2025-06-02T15:16:12.598903,9113,1
2025-06-02T15:16:13.657726,9158,1
2025-06-02T15:16:14.697666,9158,1
2025-06-02T15:16:15.726182,9170,1
2025-06-02T15:16:16.755213,9170,1
2025-06-02T15:16:17.785152,9116,1
2025-06-02T15:16:18.839310,9116,1
2025-06-02T15:16:19.868494,9191,1
2025-06-02T15:16:20.912827,9191,1
2025-06-02T15:16:21.941609,9274,1
2025-06-02T15:16:22.973150,9274,1
2025-06-02T15:16:24.001878,9143,1
2025-06-02T15:16:25.034545,9143,1
2025-06-02T15:16:26.065110,9191,1
2025-06-02T15:16:27.094499,9191,1
2025-06-02T15:16:28.136217,9126,1
2025-06-02T15:16:29.165255,9126,1
2025-06-02T15:16:30.205811,9151,1
2025-06-02T15:16:31.239208,9151,1
2025-06-02T15:16:32.282930,9103,1
2025-06-02T15:16:33.313759,9103,1
2025-06-02T15:16:34.342852,9181,1
2025-06-02T15:16:35.390969,9181,1
2025-06-02T15:16:36.420447,9172,1
2025-06-02T15:16:37.449535,9172,1
2025-06-02T15:16:38.478712,9223,1
2025-06-02T15:16:39.524110,9223,1
2025-06-02T15:16:40.555032,9118,1
2025-06-02T15:16:41.600838,9118,1
2025-06-02T15:16:42.631154,9266,1
2025-06-02T15:16:43.660309,9056,1
2025-06-02T15:16:44.692473,9056,1
2025-06-02T15:16:45.722778,9021,1
2025-06-02T15:16:46.755298,9021,1
2025-06-02T15:16:47.783942,9117,1
2025-06-02T15:16:48.813466,9117,1
2025-06-02T15:16:49.866468,9110,1
2025-06-02T15:16:50.909226,9110,1
2025-06-02T15:16:51.939999,9100,1
2025-06-02T15:16:52.969034,9100,1
2025-06-02T15:16:53.999148,9177,1
2025-06-02T15:16:55.028094,9177,1
2025-06-02T15:16:56.078833,9123,1
2025-06-02T15:16:57.107893,9123,1
2025-06-02T15:16:58.143898,9124,1
2025-06-02T15:17:37.871686,9069,0
2025-06-02T15:17:38.915810,9172,0
2025-06-02T15:17:39.967389,9172,0
2025-06-02T15:17:41.029013,9187,0
2025-06-02T15:17:42.059905,9187,0
2025-06-02T15:17:43.088969,9203,0
2025-06-02T15:17:44.118875,9203,0
2025-06-02T15:17:45.162372,9134,0
2025-06-02T15:17:46.193408,9134,0
2025-06-02T15:17:47.238034,9110,0
2025-06-02T15:17:48.267637,9110,0
2025-06-02T15:17:49.297179,9056,0
2025-06-02T15:17:50.329534,9056,0
2025-06-02T15:17:51.359552,9068,0
2025-06-02T15:17:52.389432,9068,0
2025-06-02T15:17:53.419550,9063,0
2025-06-02T15:17:54.449871,9063,0
2025-06-02T15:17:55.479470,9010,0
2025-06-02T15:17:56.528862,8990,0
2025-06-02T15:17:57.563236,8990,0
2025-06-02T15:17:58.603180,9056,0
2025-06-02T15:17:59.633411,9056,0
2025-06-02T15:18:00.663365,9012,0
