timestamp,power_mW,under_attack
2025-06-03T13:08:31.325500,0,1
2025-06-03T13:08:32.354062,0,1
2025-06-03T13:08:33.382993,0,1
2025-06-03T13:08:34.423271,0,1
2025-06-03T13:08:35.452205,0,1
2025-06-03T13:08:36.482289,0,1
2025-06-03T13:08:37.530959,0,1
2025-06-03T13:08:38.560503,0,1
2025-06-03T13:08:39.604551,0,1
2025-06-03T13:08:40.633417,0,1
2025-06-03T13:08:41.667112,0,1
2025-06-03T13:08:42.696179,201,1
2025-06-03T13:08:43.733769,201,1
2025-06-03T13:08:44.764497,0,1
2025-06-03T13:08:45.793956,0,1
2025-06-03T13:08:46.849318,0,1
2025-06-03T13:08:47.878533,0,1
2025-06-03T13:08:48.924616,0,1
2025-06-03T13:08:49.953401,0,1
2025-06-03T13:08:50.986553,0,1
2025-06-03T13:08:52.016644,295,1
2025-06-03T13:08:53.048957,295,1
2025-06-03T13:08:54.076795,295,1
2025-06-03T13:08:55.106087,0,1
2025-06-03T13:08:56.142611,0,1
2025-06-03T13:08:57.171608,0,1
2025-06-03T13:08:58.215749,0,1
2025-06-03T13:08:59.246170,0,1
2025-06-03T13:09:00.289794,0,1
2025-06-03T13:09:01.318788,0,1
2025-06-03T13:09:02.351542,275,1
2025-06-03T13:09:03.380796,275,1
2025-06-03T13:09:04.409802,275,1
2025-06-03T13:09:05.464211,0,1
2025-06-03T13:09:06.493072,0,1
2025-06-03T13:09:07.534129,0,1
2025-06-03T13:09:08.562821,0,1
2025-06-03T13:09:09.591663,0,1
2025-06-03T13:09:10.631550,0,1
2025-06-03T13:09:11.660712,0,1
2025-06-03T13:09:12.694539,0,1
2025-06-03T13:09:13.724631,236,1
2025-06-03T13:09:14.763798,236,1
2025-06-03T13:09:15.793542,0,1
2025-06-03T13:09:16.822131,0,1
2025-06-03T13:09:17.876704,0,1
2025-06-03T13:09:18.909944,0,1
2025-06-03T13:09:19.949729,0,1
2025-06-03T13:09:20.980025,0,1
2025-06-03T13:09:22.013406,0,1
2025-06-03T13:09:23.044287,0,1
2025-06-03T13:09:24.073811,0,1
2025-06-03T13:09:25.103116,212,1
2025-06-03T13:09:26.131560,212,1
2025-06-03T13:09:27.173217,212,1
2025-06-03T13:09:28.202529,0,1
2025-06-03T13:09:29.242876,0,1
2025-06-03T13:09:30.275220,0,1
2025-06-03T13:09:31.788962,0,0
2025-06-03T13:09:32.826984,0,0
2025-06-03T13:09:33.855627,0,0
2025-06-03T13:09:34.884661,0,0
2025-06-03T13:09:35.923941,0,0
2025-06-03T13:09:36.954005,0,0
2025-06-03T13:09:37.988224,0,0
2025-06-03T13:09:39.019181,0,0
2025-06-03T13:09:40.047745,155,0
2025-06-03T13:09:41.086743,155,0
2025-06-03T13:09:42.114918,155,0
2025-06-03T13:09:43.143966,0,0
2025-06-03T13:09:44.173704,0,0
2025-06-03T13:09:45.217291,0,0
2025-06-03T13:09:46.245990,0,0
2025-06-03T13:09:47.274895,0,0
2025-06-03T13:09:48.315600,0,0
2025-06-03T13:09:49.343742,0,0
2025-06-03T13:09:50.377268,0,0
2025-06-03T13:09:51.413375,0,0
2025-06-03T13:09:52.442874,0,0
2025-06-03T13:09:53.473076,0,0
2025-06-03T13:09:54.507035,0,0
2025-06-03T13:09:55.536320,0,0
2025-06-03T13:09:56.564843,0,0
2025-06-03T13:09:57.607985,0,0
2025-06-03T13:09:58.680053,0,0
2025-06-03T13:09:59.708839,0,0
2025-06-03T13:10:00.739137,0,0
2025-06-03T13:10:01.768603,0,0
2025-06-03T13:10:02.811280,0,0
2025-06-03T13:10:03.854056,0,0
2025-06-03T13:10:04.882983,0,0
2025-06-03T13:10:05.912339,0,0
2025-06-03T13:10:06.951854,0,0
2025-06-03T13:10:07.981146,0,0
2025-06-03T13:10:09.015023,0,0
2025-06-03T13:10:10.048147,0,0
2025-06-03T13:10:11.077292,0,0
2025-06-03T13:10:12.114066,0,0
2025-06-03T13:10:13.143627,0,0
2025-06-03T13:10:14.172071,0,0
2025-06-03T13:10:15.220437,0,0
2025-06-03T13:10:16.249883,0,0
2025-06-03T13:10:17.294640,0,0
2025-06-03T13:10:18.324768,0,0
2025-06-03T13:10:19.356815,0,0
2025-06-03T13:10:20.386053,0,0
2025-06-03T13:10:21.421728,0,0
2025-06-03T13:10:22.450538,0,0
2025-06-03T13:10:23.486493,0,0
2025-06-03T13:10:24.538960,0,0
2025-06-03T13:10:25.569915,0,0
2025-06-03T13:10:26.616378,0,0
2025-06-03T13:10:27.652376,0,0
2025-06-03T13:10:28.683108,0,0
2025-06-03T13:10:29.712130,0,0
2025-06-03T13:10:30.742155,0,0
2025-06-03T13:10:31.771299,0,0
2025-06-03T13:10:32.800177,0,0
2025-06-03T13:10:33.832854,0,0
2025-06-03T13:10:34.861618,0,0
2025-06-03T13:10:35.905219,0,0
2025-06-03T13:10:36.937187,0,0
2025-06-03T13:10:37.981056,0,0
2025-06-03T13:10:39.017748,0,0
2025-06-03T13:10:40.046769,0,0
2025-06-03T13:10:41.075720,0,0
2025-06-03T13:10:42.105055,0,0
2025-06-03T13:10:43.142283,0,0
2025-06-03T13:10:44.182610,0,0
2025-06-03T13:10:45.223630,0,0
2025-06-03T13:10:46.252044,0,0
2025-06-03T13:10:47.280673,0,0
2025-06-03T13:10:48.321070,0,0
2025-06-03T13:10:49.351269,0,0
2025-06-03T13:10:50.384137,0,0
2025-06-03T13:10:51.413208,0,0
2025-06-03T13:10:52.452725,0,0
2025-06-03T13:10:53.483063,0,0
2025-06-03T13:10:54.512714,0,0
2025-06-03T13:10:55.566096,0,0
2025-06-03T13:10:56.598756,0,0
2025-06-03T13:10:57.639833,0,0
2025-06-03T13:10:58.670745,0,0
2025-06-03T13:10:59.702760,0,0
2025-06-03T13:11:00.733021,0,0
2025-06-03T13:11:01.762026,0,0
2025-06-03T13:11:02.790977,0,0
2025-06-03T13:11:03.830418,0,0
2025-06-03T13:11:04.861595,0,0
2025-06-03T13:11:05.892525,0,0
2025-06-03T13:11:06.932500,0,0
2025-06-03T13:11:07.964241,0,0
2025-06-03T13:11:09.006149,0,0
2025-06-03T13:11:10.034817,0,0
2025-06-03T13:11:11.068510,0,0
2025-06-03T13:11:12.097316,0,0
2025-06-03T13:11:13.126842,0,0
2025-06-03T13:11:14.183831,0,0
2025-06-03T13:11:15.226807,0,0
2025-06-03T13:11:16.258324,0,0
2025-06-03T13:11:17.300524,0,0
2025-06-03T13:11:18.331426,0,0
2025-06-03T13:11:19.378833,0,0
2025-06-03T13:11:20.408068,0,0
