timestamp,power_mW,under_attack
2025-06-06T01:30:49.738275,9346,1
2025-06-06T01:30:50.787608,9265,1
2025-06-06T01:30:51.816047,9265,1
2025-06-06T01:30:52.848732,9515,1
2025-06-06T01:30:53.877521,9515,1
2025-06-06T01:30:54.913177,9420,1
2025-06-06T01:30:55.956393,9422,1
2025-06-06T01:30:56.984689,9422,1
2025-06-06T01:30:58.031617,9406,1
2025-06-06T01:30:59.083833,9612,1
2025-06-06T01:31:00.118176,9612,1
2025-06-06T01:31:01.147165,9679,1
2025-06-06T01:31:02.175800,9679,1
2025-06-06T01:31:03.205550,9630,1
2025-06-06T01:31:04.234501,9630,1
2025-06-06T01:31:05.263788,9647,1
2025-06-06T01:31:06.291373,9647,1
2025-06-06T01:31:07.350066,9553,1
2025-06-06T01:31:08.404691,9553,1
2025-06-06T01:31:09.433925,9543,1
2025-06-06T01:31:10.463763,9543,1
2025-06-06T01:31:11.499600,9479,1
2025-06-06T01:31:12.530239,9542,1
2025-06-06T01:31:13.559533,9542,1
2025-06-06T01:31:14.635648,9560,1
2025-06-06T01:31:15.669836,9584,1
2025-06-06T01:31:16.699559,9584,1
2025-06-06T01:31:17.738270,9521,1
2025-06-06T01:31:18.766848,9593,1
2025-06-06T01:31:19.795131,9593,1
2025-06-06T01:31:20.826182,9602,1
2025-06-06T01:31:21.854725,9602,1
2025-06-06T01:31:22.884309,9576,1
2025-06-06T01:31:23.938954,9576,1
2025-06-06T01:31:24.989723,9567,1
2025-06-06T01:31:26.020934,9567,1
2025-06-06T01:31:27.055076,9556,1
2025-06-06T01:31:28.084239,9579,1
2025-06-06T01:31:29.113297,9579,1
2025-06-06T01:31:30.149506,9613,1
2025-06-06T01:31:31.178685,9613,1
2025-06-06T01:31:32.208895,9544,1
2025-06-06T01:31:33.257333,9544,1
2025-06-06T01:31:34.291795,9508,1
2025-06-06T01:31:35.331237,9526,1
2025-06-06T01:31:36.360794,9526,1
2025-06-06T01:31:37.389839,9583,1
2025-06-06T01:31:38.418691,9583,1
2025-06-06T01:31:39.459401,9550,1
2025-06-06T01:31:40.488238,9550,1
2025-06-06T01:31:41.517306,9534,1
2025-06-06T01:31:42.575852,9534,1
2025-06-06T01:31:43.626075,9579,1
2025-06-06T01:31:44.662983,9579,1
2025-06-06T01:31:45.706758,9530,1
2025-06-06T01:31:46.736210,9530,1
2025-06-06T01:31:47.766858,9654,1
2025-06-06T01:31:48.796048,9654,1
2025-06-06T01:31:50.179168,9598,0
2025-06-06T01:31:51.209911,9598,0
2025-06-06T01:31:52.238895,9578,0
2025-06-06T01:31:53.270293,9578,0
2025-06-06T01:31:54.300443,9346,0
2025-06-06T01:31:55.331002,9346,0
2025-06-06T01:31:56.372724,9301,0
2025-06-06T01:31:57.401540,9301,0
2025-06-06T01:31:58.447865,9309,0
2025-06-06T01:31:59.497471,9309,0
2025-06-06T01:32:00.527094,9291,0
2025-06-06T01:32:01.556001,9259,0
2025-06-06T01:32:02.584691,9259,0
2025-06-06T01:32:03.612925,9342,0
2025-06-06T01:32:04.641773,9317,0
2025-06-06T01:32:05.680765,9317,0
2025-06-06T01:32:06.738640,9295,0
2025-06-06T01:32:07.767364,9360,0
2025-06-06T01:32:08.816957,9360,0
2025-06-06T01:32:09.845255,9249,0
2025-06-06T01:32:10.885794,9249,0
2025-06-06T01:32:11.914079,9279,0
2025-06-06T01:32:12.942504,9230,0
2025-06-06T01:32:13.971000,9230,0
2025-06-06T01:32:15.000002,9350,0
2025-06-06T01:32:16.029042,9350,0
2025-06-06T01:32:17.058035,9259,0
2025-06-06T01:32:18.108682,9226,0
2025-06-06T01:32:19.158420,9226,0
2025-06-06T01:32:20.194717,9296,0
2025-06-06T01:32:21.224414,9296,0
2025-06-06T01:32:22.253023,9249,0
2025-06-06T01:32:23.282705,9254,0
2025-06-06T01:32:24.311058,9254,0
2025-06-06T01:32:25.339479,9252,0
2025-06-06T01:32:26.376467,9252,0
2025-06-06T01:32:27.427123,9359,0
2025-06-06T01:32:28.476053,9359,0
2025-06-06T01:32:29.504695,9325,0
2025-06-06T01:32:30.534302,9325,0
2025-06-06T01:32:31.562550,9253,0
2025-06-06T01:32:32.605819,9319,0
2025-06-06T01:32:33.634159,9319,0
2025-06-06T01:32:34.663361,9269,0
2025-06-06T01:32:35.721533,9276,0
2025-06-06T01:32:36.771023,9276,0
2025-06-06T01:32:37.814244,9397,0
2025-06-06T01:32:38.862531,9397,0
2025-06-06T01:32:39.891058,9292,0
2025-06-06T01:32:40.919682,9292,0
2025-06-06T01:32:41.967936,9239,0
2025-06-06T01:32:43.017557,9239,0
2025-06-06T01:32:44.053413,9300,0
2025-06-06T01:32:45.082809,9300,0
2025-06-06T01:32:46.117688,9335,0
2025-06-06T01:32:47.162125,9335,0
2025-06-06T01:32:48.190630,9320,0
2025-06-06T01:32:49.231932,9320,0
2025-06-06T01:32:50.262483,9310,0
2025-06-06T01:32:51.305147,9310,0
2025-06-06T01:32:52.336198,9327,0
2025-06-06T01:32:53.380079,9327,0
2025-06-06T01:32:54.408838,9316,0
2025-06-06T01:32:55.437176,9316,0
2025-06-06T01:32:56.468698,9328,0
2025-06-06T01:32:57.498216,9328,0
2025-06-06T01:32:58.556828,9301,0
2025-06-06T01:32:59.607072,9301,0
2025-06-06T01:33:00.637811,9286,0
2025-06-06T01:33:01.666242,9339,0
2025-06-06T01:33:02.700996,9270,0
2025-06-06T01:33:03.740325,9270,0
2025-06-06T01:33:04.769427,9336,0
2025-06-06T01:33:05.801715,9336,0
2025-06-06T01:33:06.851243,9346,0
2025-06-06T01:33:07.900372,9346,0
2025-06-06T01:33:08.929210,9290,0
2025-06-06T01:33:09.958981,9290,0
2025-06-06T01:33:10.987757,9371,0
2025-06-06T01:33:12.025488,9371,0
2025-06-06T01:33:13.054189,9227,0
2025-06-06T01:33:14.083268,9227,0
2025-06-06T01:33:15.111744,9272,0
2025-06-06T01:33:16.169660,9272,0
2025-06-06T01:33:17.219733,9309,0
2025-06-06T01:33:18.253832,9287,0
2025-06-06T01:33:19.286492,9287,0
2025-06-06T01:33:20.315078,9300,0
2025-06-06T01:33:21.357831,9300,0
2025-06-06T01:33:22.388226,9267,0
2025-06-06T01:33:23.440147,9267,0
2025-06-06T01:33:24.473939,9316,0
2025-06-06T01:33:25.515133,9316,0
2025-06-06T01:33:26.543747,9253,0
2025-06-06T01:33:27.572119,9253,0
2025-06-06T01:33:28.602318,9269,0
2025-06-06T01:33:29.631289,9269,0
2025-06-06T01:33:30.665392,9270,0
2025-06-06T01:33:31.693784,9270,0
2025-06-06T01:33:32.722263,9281,0
