timestamp,power_mW,under_attack
2025-06-05T17:28:54.735384,0,1
2025-06-05T17:28:55.778302,0,1
2025-06-05T17:28:56.807808,0,1
2025-06-05T17:28:57.870300,0,1
2025-06-05T17:28:58.900452,0,1
2025-06-05T17:28:59.929472,0,1
2025-06-05T17:29:00.958623,182,1
2025-06-05T17:29:01.987654,182,1
2025-06-05T17:29:03.020010,182,1
2025-06-05T17:29:04.048779,0,1
2025-06-05T17:29:05.094999,0,1
2025-06-05T17:29:06.124707,0,1
2025-06-05T17:29:07.168476,0,1
2025-06-05T17:29:08.197626,799,1
2025-06-05T17:29:09.226685,799,1
2025-06-05T17:29:10.255521,799,1
2025-06-05T17:29:11.292652,738,1
2025-06-05T17:29:12.321787,738,1
2025-06-05T17:29:13.351534,738,1
2025-06-05T17:29:14.394181,768,1
2025-06-05T17:29:15.426607,768,1
2025-06-05T17:29:16.462302,768,1
2025-06-05T17:29:17.511531,768,1
2025-06-05T17:29:18.542053,767,1
2025-06-05T17:29:19.570818,767,1
2025-06-05T17:29:20.600751,767,1
2025-06-05T17:29:21.629398,746,1
2025-06-05T17:29:22.658300,746,1
2025-06-05T17:29:23.687154,746,1
2025-06-05T17:29:24.716653,746,1
2025-06-05T17:29:25.745663,782,1
2025-06-05T17:29:26.803762,782,1
2025-06-05T17:29:27.834610,782,1
2025-06-05T17:29:28.877851,738,1
2025-06-05T17:29:29.907909,738,1
2025-06-05T17:29:30.942446,738,1
2025-06-05T17:29:31.973752,738,1
2025-06-05T17:29:33.010954,747,1
2025-06-05T17:29:34.042535,747,1
2025-06-05T17:29:35.073215,747,1
2025-06-05T17:29:36.122094,772,1
2025-06-05T17:29:37.151274,772,1
2025-06-05T17:29:38.195994,772,1
2025-06-05T17:29:39.225216,772,1
2025-06-05T17:29:40.254260,826,1
2025-06-05T17:29:41.284726,826,1
2025-06-05T17:29:42.320241,715,1
2025-06-05T17:29:43.349151,715,1
2025-06-05T17:29:44.378523,715,1
2025-06-05T17:29:45.426970,715,1
2025-06-05T17:29:46.464491,727,1
2025-06-05T17:29:47.497290,727,1
2025-06-05T17:29:48.539827,727,1
2025-06-05T17:29:49.569907,727,1
2025-06-05T17:29:50.598866,762,1
2025-06-05T17:29:51.627612,762,1
2025-06-05T17:29:52.655856,762,1
2025-06-05T17:29:53.684684,731,1
2025-06-05T17:30:10.634034,731,0
2025-06-05T17:30:11.663012,805,0
2025-06-05T17:30:12.705385,805,0
2025-06-05T17:30:13.747060,805,0
2025-06-05T17:30:14.779031,805,0
2025-06-05T17:30:15.808454,574,0
2025-06-05T17:30:16.837437,574,0
2025-06-05T17:30:17.866237,574,0
2025-06-05T17:30:18.899805,0,0
2025-06-05T17:30:19.929259,0,0
2025-06-05T17:30:20.973561,0,0
2025-06-05T17:30:22.002598,0,0
2025-06-05T17:30:23.048012,0,0
2025-06-05T17:30:24.077115,0,0
2025-06-05T17:30:25.106046,0,0
2025-06-05T17:30:26.134760,0,0
2025-06-05T17:30:27.164844,0,0
2025-06-05T17:30:28.194156,0,0
2025-06-05T17:30:29.224401,0,0
2025-06-05T17:30:30.266476,0,0
2025-06-05T17:30:31.296661,0,0
2025-06-05T17:30:32.339814,0,0
2025-06-05T17:30:33.369079,0,0
2025-06-05T17:30:34.415156,0,0
2025-06-05T17:30:35.443868,0,0
2025-06-05T17:30:36.472948,0,0
2025-06-05T17:30:37.501701,0,0
2025-06-05T17:30:38.532039,0,0
2025-06-05T17:30:39.574421,0,0
2025-06-05T17:30:40.606857,0,0
2025-06-05T17:30:41.636445,0,0
2025-06-05T17:30:42.693588,0,0
2025-06-05T17:30:43.731135,0,0
2025-06-05T17:30:44.760012,0,0
2025-06-05T17:30:45.790110,0,0
2025-06-05T17:30:46.819360,0,0
2025-06-05T17:30:47.848181,0,0
2025-06-05T17:30:48.884128,0,0
2025-06-05T17:30:49.912962,0,0
2025-06-05T17:30:50.942080,0,0
2025-06-05T17:30:52.004366,0,0
2025-06-05T17:30:53.034850,0,0
2025-06-05T17:30:54.073920,0,0
2025-06-05T17:30:55.102300,0,0
2025-06-05T17:30:56.131669,0,0
2025-06-05T17:30:57.160698,0,0
2025-06-05T17:30:58.191652,0,0
2025-06-05T17:30:59.220278,0,0
2025-06-05T17:31:00.249174,0,0
2025-06-05T17:31:01.291840,0,0
2025-06-05T17:31:02.351472,0,0
2025-06-05T17:31:03.394805,0,0
2025-06-05T17:31:04.424640,0,0
2025-06-05T17:31:05.453295,0,0
2025-06-05T17:31:06.505698,0,0
2025-06-05T17:31:07.540905,0,0
2025-06-05T17:31:08.589364,0,0
2025-06-05T17:31:09.618015,0,0
2025-06-05T17:31:10.652225,0,0
2025-06-05T17:31:11.687307,0,0
2025-06-05T17:31:12.716833,0,0
2025-06-05T17:31:13.745285,0,0
2025-06-05T17:31:14.774265,0,0
2025-06-05T17:31:15.807781,0,0
2025-06-05T17:31:16.836692,0,0
2025-06-05T17:31:17.866232,0,0
2025-06-05T17:31:18.896982,0,0
2025-06-05T17:31:19.938153,0,0
2025-06-05T17:31:20.979646,0,0
2025-06-05T17:31:22.030414,144,0
2025-06-05T17:31:23.059701,144,0
2025-06-05T17:31:24.088992,144,0
2025-06-05T17:31:25.118761,0,0
2025-06-05T17:31:26.150384,0,0
2025-06-05T17:31:27.179338,0,0
2025-06-05T17:31:28.223683,0,0
2025-06-05T17:31:29.253279,0,0
2025-06-05T17:31:30.297989,0,0
2025-06-05T17:31:31.326760,0,0
2025-06-05T17:31:32.356327,0,0
2025-06-05T17:31:33.395690,0,0
2025-06-05T17:31:34.424776,0,0
2025-06-05T17:31:35.453303,0,0
2025-06-05T17:31:36.482179,0,0
2025-06-05T17:31:37.526718,0,0
2025-06-05T17:31:38.564903,0,0
2025-06-05T17:31:39.599261,0,0
2025-06-05T17:31:40.640385,0,0
2025-06-05T17:31:41.669404,0,0
2025-06-05T17:31:42.713648,0,0
2025-06-05T17:31:43.742888,0,0
2025-06-05T17:31:44.791880,0,0
2025-06-05T17:31:45.837304,0,0
2025-06-05T17:31:46.867828,0,0
2025-06-05T17:31:47.910786,0,0
2025-06-05T17:31:48.939430,0,0
2025-06-05T17:31:49.968409,0,0
2025-06-05T17:31:51.008200,0,0
2025-06-05T17:31:52.042344,0,0
2025-06-05T17:31:53.071336,0,0
2025-06-05T17:31:54.101508,0,0
2025-06-05T17:31:55.144333,0,0
2025-06-05T17:31:56.180864,0,0
2025-06-05T17:31:57.209472,0,0
2025-06-05T17:31:58.272340,0,0
2025-06-05T17:31:59.303203,0,0
2025-06-05T17:32:00.331965,0,0
2025-06-05T17:32:01.361533,0,0
2025-06-05T17:32:02.391951,0,0
2025-06-05T17:32:03.420494,0,0
2025-06-05T17:32:04.453480,0,0
2025-06-05T17:32:05.482407,0,0
2025-06-05T17:32:06.513777,0,0
2025-06-05T17:32:07.555515,0,0
2025-06-05T17:32:08.595547,0,0
2025-06-05T17:32:09.626809,0,0
2025-06-05T17:32:10.669085,0,0
2025-06-05T17:32:11.697798,0,0
2025-06-05T17:32:12.726605,0,0
2025-06-05T17:32:13.762755,0,0
2025-06-05T17:32:14.792648,0,0
2025-06-05T17:32:15.821266,0,0
2025-06-05T17:32:16.851081,0,0
2025-06-05T17:32:17.880112,0,0
2025-06-05T17:32:18.912144,0,0
2025-06-05T17:32:19.940817,0,0
2025-06-05T17:32:20.985925,0,0
2025-06-05T17:32:22.034705,0,0
2025-06-05T17:32:23.074829,0,0
2025-06-05T17:32:24.105814,0,0
2025-06-05T17:32:25.134519,0,0
2025-06-05T17:32:26.180823,0,0
2025-06-05T17:32:27.213167,0,0
2025-06-05T17:32:28.256373,0,0
2025-06-05T17:32:29.286345,0,0
2025-06-05T17:32:30.331015,0,0
2025-06-05T17:32:31.359596,0,0
2025-06-05T17:32:32.388358,0,0
2025-06-05T17:32:33.419536,0,0
2025-06-05T17:32:34.448172,0,0
2025-06-05T17:32:35.485205,0,0
2025-06-05T17:32:36.513993,0,0
2025-06-05T17:32:37.542969,0,0
2025-06-05T17:32:38.574397,0,0
2025-06-05T17:32:39.603200,0,0
2025-06-05T17:32:40.646808,0,0
2025-06-05T17:32:41.675619,0,0
2025-06-05T17:32:42.720248,0,0
2025-06-05T17:32:43.749224,0,0
2025-06-05T17:32:44.779695,0,0
2025-06-05T17:32:45.808516,0,0
2025-06-05T17:32:46.838135,0,0
2025-06-05T17:32:47.867359,0,0
