timestamp,power_mW,under_attack
2025-06-05T11:54:19.638165,7818,1
2025-06-05T11:54:20.679938,7818,1
2025-06-05T11:54:21.711762,7829,1
2025-06-05T11:54:22.755450,7829,1
2025-06-05T11:54:23.788168,8151,1
2025-06-05T11:54:24.817556,8032,1
2025-06-05T11:54:25.845802,8032,1
2025-06-05T11:54:26.873749,8127,1
2025-06-05T11:54:27.902189,8120,1
2025-06-05T11:54:28.932749,8120,1
2025-06-05T11:54:29.960718,8038,1
2025-06-05T11:54:30.994756,8063,1
2025-06-05T11:54:32.028650,8063,1
2025-06-05T11:54:33.068597,7927,1
2025-06-05T11:54:34.101175,7927,1
2025-06-05T11:54:35.143825,8073,1
2025-06-05T11:54:36.172728,8073,1
2025-06-05T11:54:37.200499,8157,1
2025-06-05T11:54:38.228757,8154,1
2025-06-05T11:54:39.259245,8154,1
2025-06-05T11:54:40.289120,8081,1
2025-06-05T11:54:41.317266,8114,1
2025-06-05T11:54:42.345375,8150,1
2025-06-05T11:54:43.374724,8063,1
2025-06-05T11:54:44.406554,8063,1
2025-06-05T11:54:45.443334,8163,1
2025-06-05T11:54:46.483117,8066,1
2025-06-05T11:54:47.512745,8066,1
2025-06-05T11:54:48.555777,8124,1
2025-06-05T11:54:49.584412,8124,1
2025-06-05T11:54:50.613628,8087,1
2025-06-05T11:54:51.641884,8087,1
2025-06-05T11:54:52.673275,8089,1
2025-06-05T11:54:53.715844,8137,1
2025-06-05T11:54:54.744264,8137,1
2025-06-05T11:54:55.772334,8053,1
2025-06-05T11:54:56.804374,8053,1
2025-06-05T11:54:57.833427,8060,1
2025-06-05T11:54:58.873332,8060,1
2025-06-05T11:54:59.903376,8112,1
2025-06-05T11:55:00.946717,8132,1
2025-06-05T11:55:01.974992,8132,1
2025-06-05T11:55:03.004626,8153,1
2025-06-05T11:55:04.033696,8153,1
2025-06-05T11:55:05.062762,8043,1
2025-06-05T11:55:06.091316,8043,1
2025-06-05T11:55:07.127926,8073,1
2025-06-05T11:55:08.155950,8164,1
2025-06-05T11:55:09.189232,8164,1
2025-06-05T11:55:10.239514,8087,1
2025-06-05T11:55:11.272698,8114,1
2025-06-05T11:55:12.312857,8114,1
2025-06-05T11:55:13.341917,8126,1
2025-06-05T11:55:14.370277,8116,1
2025-06-05T11:55:15.398704,8093,1
2025-06-05T11:55:16.436425,8115,1
2025-06-05T11:55:17.464972,8115,1
2025-06-05T11:55:18.493161,8155,1
2025-06-05T11:55:19.522460,8155,1
2025-06-05T11:55:43.169008,8095,0
2025-06-05T11:55:44.196298,8095,0
2025-06-05T11:55:45.224890,8133,0
2025-06-05T11:55:46.288280,8148,0
2025-06-05T11:55:47.317746,8148,0
2025-06-05T11:55:48.357263,8006,0
2025-06-05T11:55:49.390205,7927,0
2025-06-05T11:55:50.418766,7927,0
2025-06-05T11:55:51.447780,7857,0
2025-06-05T11:55:52.475723,7857,0
2025-06-05T11:55:53.503967,7898,0
2025-06-05T11:55:54.532733,7898,0
2025-06-05T11:55:55.574409,7855,0
2025-06-05T11:55:56.603111,7855,0
2025-06-05T11:55:57.635241,8012,0
2025-06-05T11:55:58.678819,8012,0
2025-06-05T11:55:59.723424,7842,0
2025-06-05T11:56:00.752083,7872,0
2025-06-05T11:56:01.793982,7872,0
2025-06-05T11:56:02.822032,7803,0
2025-06-05T11:56:03.851061,7803,0
2025-06-05T11:56:04.882116,7807,0
2025-06-05T11:56:05.910091,7807,0
2025-06-05T11:56:06.938712,7926,0
2025-06-05T11:56:07.966759,7926,0
2025-06-05T11:56:09.001755,7769,0
2025-06-05T11:56:10.041273,7797,0
2025-06-05T11:56:11.091809,7797,0
2025-06-05T11:56:12.120126,7870,0
2025-06-05T11:56:13.148638,7870,0
2025-06-05T11:56:14.190792,7950,0
2025-06-05T11:56:15.219491,7950,0
2025-06-05T11:56:16.247913,7892,0
2025-06-05T11:56:17.275186,7892,0
2025-06-05T11:56:18.304091,7869,0
2025-06-05T11:56:19.331342,7793,0
2025-06-05T11:56:20.360130,7793,0
2025-06-05T11:56:21.407663,7803,0
2025-06-05T11:56:22.456793,7758,0
2025-06-05T11:56:23.499798,7758,0
2025-06-05T11:56:24.527462,7870,0
2025-06-05T11:56:25.556477,7870,0
2025-06-05T11:56:26.584660,7772,0
2025-06-05T11:56:27.613045,7772,0
2025-06-05T11:56:28.640116,7789,0
2025-06-05T11:56:29.668521,7789,0
2025-06-05T11:56:30.727829,7848,0
2025-06-05T11:56:31.775509,7847,0
2025-06-05T11:56:32.810436,7847,0
2025-06-05T11:56:33.846807,7772,0
2025-06-05T11:56:34.875232,7772,0
2025-06-05T11:56:35.911768,7758,0
2025-06-05T11:56:36.939875,7758,0
2025-06-05T11:56:37.968195,7729,0
2025-06-05T11:56:38.997102,7729,0
2025-06-05T11:56:40.045014,7917,0
2025-06-05T11:56:41.096134,7917,0
2025-06-05T11:56:42.124107,7830,0
2025-06-05T11:56:43.178820,7830,0
2025-06-05T11:56:44.218908,7717,0
2025-06-05T11:56:45.251442,7861,0
2025-06-05T11:56:46.291010,7861,0
2025-06-05T11:56:47.334774,7754,0
2025-06-05T11:56:48.365657,7797,0
2025-06-05T11:56:49.393936,7797,0
2025-06-05T11:56:50.424239,7903,0
2025-06-05T11:56:51.453078,7903,0
2025-06-05T11:56:52.513556,7760,0
2025-06-05T11:56:53.561679,7760,0
2025-06-05T11:56:54.611135,7864,0
2025-06-05T11:56:55.640801,7819,0
2025-06-05T11:56:56.676306,7819,0
2025-06-05T11:56:57.708054,7837,0
2025-06-05T11:56:58.741005,7837,0
2025-06-05T11:56:59.770107,7743,0
2025-06-05T11:57:00.799699,7743,0
2025-06-05T11:57:01.855765,7784,0
2025-06-05T11:57:02.904697,7784,0
2025-06-05T11:57:03.936743,7910,0
2025-06-05T11:57:04.966648,7910,0
2025-06-05T11:57:05.994828,7770,0
2025-06-05T11:57:07.023073,7925,0
2025-06-05T11:57:08.052447,7925,0
2025-06-05T11:57:09.081518,7861,0
2025-06-05T11:57:10.109829,7861,0
2025-06-05T11:57:11.143313,7901,0
2025-06-05T11:57:12.171854,7901,0
2025-06-05T11:57:13.222163,7743,0
2025-06-05T11:57:14.273082,7743,0
2025-06-05T11:57:15.302366,7859,0
2025-06-05T11:57:16.330949,7909,0
2025-06-05T11:57:17.359277,7909,0
2025-06-05T11:57:18.388863,7814,0
2025-06-05T11:57:19.417352,7812,0
2025-06-05T11:57:20.492690,7812,0
2025-06-05T11:57:21.543062,7962,0
2025-06-05T11:57:22.572202,7873,0
2025-06-05T11:57:23.601826,7873,0
2025-06-05T11:57:24.629726,7833,0
2025-06-05T11:57:25.658854,7833,0
2025-06-05T11:57:26.688863,7799,0
2025-06-05T11:57:27.716969,7799,0
2025-06-05T11:57:28.760739,7872,0
2025-06-05T11:57:29.811082,7872,0
2025-06-05T11:57:30.860751,7941,0
2025-06-05T11:57:31.897146,7823,0
2025-06-05T11:57:32.926488,7823,0
2025-06-05T11:57:33.965356,7791,0
