timestamp,power_mW,under_attack
2025-06-05T11:12:36.449294,7864,1
2025-06-05T11:12:37.485360,7969,1
2025-06-05T11:12:38.513278,7969,1
2025-06-05T11:12:39.541756,7824,1
2025-06-05T11:12:40.584960,7824,1
2025-06-05T11:12:41.656674,8109,1
2025-06-05T11:12:42.691766,8109,1
2025-06-05T11:12:43.723881,8115,1
2025-06-05T11:12:44.755550,8032,1
2025-06-05T11:12:45.808447,8117,1
2025-06-05T11:12:46.836845,8116,1
2025-06-05T11:12:47.883067,8116,1
2025-06-05T11:12:48.911504,8109,1
2025-06-05T11:12:49.940350,8141,1
2025-06-05T11:12:50.987773,8141,1
2025-06-05T11:12:52.016225,7992,1
2025-06-05T11:12:53.049713,7992,1
2025-06-05T11:12:54.078112,8103,1
2025-06-05T11:12:55.106330,8103,1
2025-06-05T11:12:56.148706,8153,1
2025-06-05T11:12:57.178253,8037,1
2025-06-05T11:12:58.222121,8037,1
2025-06-05T11:12:59.251323,8100,1
2025-06-05T11:13:00.282533,8100,1
2025-06-05T11:13:01.311482,8181,1
2025-06-05T11:13:02.339620,8181,1
2025-06-05T11:13:03.379278,8192,1
2025-06-05T11:13:04.416130,8139,1
2025-06-05T11:13:05.444503,8139,1
2025-06-05T11:13:06.472602,8201,1
2025-06-05T11:13:07.515952,8107,1
2025-06-05T11:13:08.543878,8107,1
2025-06-05T11:13:09.572761,8050,1
2025-06-05T11:13:10.616380,8076,1
2025-06-05T11:13:11.646327,8076,1
2025-06-05T11:13:12.678397,8200,1
2025-06-05T11:13:13.717903,8067,1
2025-06-05T11:13:14.746485,7877,1
2025-06-05T11:13:15.774168,7877,1
2025-06-05T11:13:16.804135,7904,1
2025-06-05T11:13:17.832389,7904,1
2025-06-05T11:13:18.926199,7847,1
2025-06-05T11:13:19.954259,7847,1
2025-06-05T11:13:20.982639,7886,1
2025-06-05T11:13:22.027842,7886,1
2025-06-05T11:13:23.056373,7900,1
2025-06-05T11:13:24.083973,7900,1
2025-06-05T11:13:25.112060,7784,1
2025-06-05T11:13:26.151828,7784,1
2025-06-05T11:13:27.181542,7832,1
2025-06-05T11:13:28.225925,7832,1
2025-06-05T11:13:29.254343,7958,1
2025-06-05T11:13:30.282695,7958,1
2025-06-05T11:13:31.312373,7786,1
2025-06-05T11:13:32.340675,7786,1
2025-06-05T11:13:33.369833,7959,1
2025-06-05T11:13:34.399395,7917,1
2025-06-05T11:13:35.442239,7917,1
2025-06-05T11:13:37.072819,8045,0
2025-06-05T11:13:38.105808,8055,0
2025-06-05T11:13:39.140821,8055,0
2025-06-05T11:13:40.180660,7854,0
2025-06-05T11:13:41.209909,7854,0
2025-06-05T11:13:42.254187,7934,0
2025-06-05T11:13:43.283013,7934,0
2025-06-05T11:13:44.311022,7877,0
2025-06-05T11:13:45.348340,7877,0
2025-06-05T11:13:46.378451,7809,0
2025-06-05T11:13:47.408086,7809,0
2025-06-05T11:13:48.449790,7856,0
2025-06-05T11:13:49.478053,7856,0
2025-06-05T11:13:50.506010,7866,0
2025-06-05T11:13:51.548168,7866,0
2025-06-05T11:13:52.576086,7900,0
2025-06-05T11:13:53.620641,7900,0
2025-06-05T11:13:54.657048,7908,0
2025-06-05T11:13:55.688760,7908,0
2025-06-05T11:13:56.716678,7926,0
2025-06-05T11:13:57.757535,7817,0
2025-06-05T11:13:58.790678,7817,0
2025-06-05T11:13:59.843942,7820,0
2025-06-05T11:14:00.872445,7820,0
