timestamp,power_mW,under_attack
2025-06-05T14:58:10.629061,0,0
2025-06-05T14:58:11.660105,0,0
2025-06-05T14:58:12.691393,0,0
2025-06-05T14:58:13.726476,0,0
2025-06-05T14:58:14.756825,0,0
2025-06-05T14:58:15.788780,0,0
2025-06-05T14:58:16.832024,0,0
2025-06-05T14:58:17.861102,0,0
2025-06-05T14:58:18.907196,346,0
2025-06-05T14:58:19.937369,346,0
2025-06-05T14:58:20.966307,346,0
2025-06-05T14:58:21.996969,346,0
2025-06-05T14:58:23.035117,0,0
2025-06-05T14:58:24.064160,0,0
2025-06-05T14:58:25.092837,0,0
2025-06-05T14:58:26.121605,0,0
2025-06-05T14:58:27.152303,0,0
2025-06-05T14:58:28.198329,355,0
2025-06-05T14:58:29.248512,355,0
2025-06-05T14:58:30.276600,355,0
2025-06-05T14:58:31.308028,0,0
2025-06-05T14:58:32.343392,0,0
2025-06-05T14:58:33.376418,0,0
2025-06-05T14:58:34.406783,0,0
2025-06-05T14:58:35.446616,0,0
2025-06-05T14:58:36.476166,0,0
2025-06-05T14:58:37.518182,358,0
2025-06-05T14:58:38.549517,358,0
2025-06-05T14:58:39.590407,358,0
2025-06-05T14:58:40.619296,358,0
2025-06-05T14:58:41.653945,358,0
2025-06-05T14:58:42.683918,0,0
2025-06-05T14:58:43.723301,0,0
2025-06-05T14:58:44.755357,0,0
2025-06-05T14:58:45.784336,0,0
2025-06-05T14:58:46.814860,0,0
2025-06-05T14:58:47.843621,0,0
2025-06-05T14:58:48.883133,300,0
2025-06-05T14:58:49.913474,300,0
2025-06-05T14:58:50.958505,0,0
2025-06-05T14:58:51.987342,0,0
2025-06-05T14:58:53.016338,0,0
2025-06-05T14:58:54.045255,0,0
2025-06-05T14:58:55.074272,0,0
2025-06-05T14:58:56.109366,0,0
2025-06-05T14:58:57.138952,0,0
2025-06-05T14:58:58.169502,0,0
2025-06-05T14:58:59.198705,0,0
2025-06-05T14:59:00.227933,0,0
2025-06-05T14:59:01.257031,310,0
2025-06-05T14:59:02.297517,310,0
2025-06-05T14:59:03.326702,310,0
2025-06-05T14:59:04.371056,310,0
2025-06-05T14:59:05.401205,310,0
2025-06-05T14:59:06.430158,0,0
2025-06-05T14:59:07.459144,0,0
2025-06-05T14:59:08.492071,0,0
2025-06-05T14:59:09.523395,0,0
2025-06-05T14:59:10.552728,0,0
2025-06-05T14:59:11.583017,0,0
2025-06-05T14:59:12.613031,395,0
2025-06-05T14:59:13.642422,395,0
2025-06-05T14:59:14.687837,395,0
2025-06-05T14:59:15.717405,395,0
2025-06-05T14:59:16.761778,395,0
2025-06-05T14:59:17.790649,0,0
2025-06-05T14:59:18.820079,0,0
2025-06-05T14:59:19.851981,0,0
2025-06-05T14:59:20.890646,0,0
2025-06-05T14:59:21.920272,0,0
2025-06-05T14:59:22.950311,328,0
2025-06-05T14:59:24.006259,328,0
2025-06-05T14:59:25.038254,328,0
2025-06-05T14:59:26.080840,328,0
2025-06-05T14:59:27.110699,328,0
2025-06-05T14:59:28.139395,0,0
2025-06-05T14:59:29.169163,0,0
2025-06-05T14:59:30.252731,0,0
2025-06-05T14:59:31.281717,0,0
2025-06-05T14:59:32.328552,0,0
2025-06-05T14:59:33.357099,0,0
2025-06-05T14:59:34.386733,315,0
2025-06-05T14:59:35.419144,315,0
2025-06-05T14:59:36.454797,315,0
2025-06-05T14:59:37.485386,0,0
2025-06-05T14:59:38.514208,0,0
2025-06-05T14:59:39.543452,0,0
2025-06-05T14:59:40.572529,0,0
2025-06-05T14:59:41.619098,0,0
2025-06-05T14:59:42.649409,0,0
2025-06-05T14:59:43.699973,0,0
2025-06-05T14:59:44.731471,0,0
2025-06-05T14:59:45.760333,0,0
2025-06-05T14:59:46.788791,0,0
2025-06-05T14:59:47.821129,0,0
2025-06-05T14:59:48.850541,280,0
2025-06-05T14:59:49.878251,280,0
2025-06-05T14:59:50.918787,280,0
2025-06-05T14:59:51.961433,0,0
2025-06-05T14:59:52.990344,0,0
2025-06-05T14:59:54.035141,0,0
2025-06-05T14:59:55.064226,0,0
2025-06-05T14:59:56.094046,0,0
2025-06-05T14:59:57.123712,0,0
2025-06-05T14:59:58.154283,0,0
2025-06-05T14:59:59.187687,0,0
2025-06-05T15:00:00.226299,303,0
2025-06-05T15:00:01.255709,303,0
2025-06-05T15:00:02.285242,303,0
2025-06-05T15:00:03.330852,0,0
2025-06-05T15:00:04.359854,0,0
2025-06-05T15:00:05.402655,0,0
2025-06-05T15:00:06.434366,0,0
2025-06-05T15:00:07.475057,0,0
2025-06-05T15:00:08.506153,0,0
2025-06-05T15:00:09.536774,270,0
2025-06-05T15:00:10.566425,270,0
2025-06-05T15:00:11.595769,270,0
2025-06-05T15:00:12.646408,0,0
2025-06-05T15:00:13.677278,0,0
2025-06-05T15:00:14.721942,0,0
2025-06-05T15:00:15.750848,0,0
2025-06-05T15:00:16.779919,0,0
2025-06-05T15:00:17.809873,0,0
2025-06-05T15:00:18.848550,0,0
2025-06-05T15:00:19.880441,265,0
2025-06-05T15:00:20.911196,265,0
2025-06-05T15:00:21.946293,0,0
2025-06-05T15:00:22.988636,0,0
2025-06-05T15:00:24.017983,0,0
2025-06-05T15:00:25.063331,0,0
2025-06-05T15:00:26.092956,0,0
2025-06-05T15:00:27.121765,0,0
2025-06-05T15:00:28.153051,0,0
2025-06-05T15:00:29.182407,0,0
2025-06-05T15:00:30.215860,0,0
2025-06-05T15:00:31.255538,315,0
2025-06-05T15:00:32.285363,315,0
2025-06-05T15:00:33.314973,315,0
2025-06-05T15:00:34.362498,0,0
2025-06-05T15:00:35.406172,0,0
2025-06-05T15:00:36.436247,0,0
2025-06-05T15:00:37.465253,0,0
2025-06-05T15:00:38.494391,0,0
2025-06-05T15:00:39.524689,0,0
2025-06-05T15:00:40.563020,0,0
2025-06-05T15:00:41.592304,0,0
2025-06-05T15:00:42.620984,381,0
2025-06-05T15:00:43.651503,381,0
2025-06-05T15:00:44.680350,381,0
2025-06-05T15:00:45.721424,0,0
2025-06-05T15:00:46.751755,0,0
2025-06-05T15:00:47.795057,0,0
2025-06-05T15:00:48.826378,0,0
2025-06-05T15:00:49.855395,0,0
2025-06-05T15:00:50.884458,0,0
2025-06-05T15:00:51.914676,0,0
2025-06-05T15:00:52.960978,309,0
2025-06-05T15:00:53.997760,309,0
2025-06-05T15:00:55.040386,0,0
2025-06-05T15:00:56.090541,0,0
