timestamp,power_mW,under_attack
2025-06-05T16:20:55.496933,0,1
2025-06-05T16:20:56.525038,0,1
2025-06-05T16:20:57.558325,0,1
2025-06-05T16:20:58.588384,0,1
2025-06-05T16:20:59.625230,560,1
2025-06-05T16:21:00.668763,560,1
2025-06-05T16:21:01.697628,560,1
2025-06-05T16:21:02.744480,560,1
2025-06-05T16:21:03.795052,612,1
2025-06-05T16:21:04.824295,612,1
2025-06-05T16:21:05.854037,612,1
2025-06-05T16:21:06.894661,761,1
2025-06-05T16:21:07.923265,761,1
2025-06-05T16:21:08.963193,761,1
2025-06-05T16:21:09.993090,761,1
2025-06-05T16:21:11.038849,677,1
2025-06-05T16:21:12.067685,677,1
2025-06-05T16:21:13.098094,677,1
2025-06-05T16:21:14.128094,650,1
2025-06-05T16:21:15.157391,650,1
2025-06-05T16:21:16.198609,650,1
2025-06-05T16:21:17.228710,650,1
2025-06-05T16:21:18.285070,694,1
2025-06-05T16:21:19.313938,694,1
2025-06-05T16:21:20.356247,694,1
2025-06-05T16:21:21.388496,694,1
2025-06-05T16:21:22.420964,712,1
2025-06-05T16:21:23.449456,712,1
2025-06-05T16:21:24.477505,712,1
2025-06-05T16:21:25.506470,700,1
2025-06-05T16:21:26.537399,700,1
2025-06-05T16:21:27.566948,700,1
2025-06-05T16:21:28.623912,700,1
2025-06-05T16:21:29.653107,634,1
2025-06-05T16:21:30.696752,634,1
2025-06-05T16:21:31.725037,634,1
2025-06-05T16:21:32.756731,634,1
2025-06-05T16:21:33.784239,666,1
2025-06-05T16:21:34.816716,666,1
2025-06-05T16:21:35.848243,666,1
2025-06-05T16:21:36.878436,666,1
2025-06-05T16:21:37.921159,673,1
2025-06-05T16:21:38.949410,673,1
2025-06-05T16:21:39.990209,673,1
2025-06-05T16:21:41.020613,673,1
2025-06-05T16:21:42.064013,682,1
2025-06-05T16:21:43.092157,682,1
2025-06-05T16:21:44.124691,657,1
2025-06-05T16:21:45.153465,657,1
2025-06-05T16:21:46.181482,657,1
2025-06-05T16:21:47.209817,657,1
2025-06-05T16:21:48.239163,663,1
2025-06-05T16:21:49.269133,663,1
2025-06-05T16:21:50.297794,663,1
2025-06-05T16:21:51.336524,663,1
2025-06-05T16:21:52.366539,646,1
2025-06-05T16:21:53.404742,646,1
2025-06-05T16:21:54.433809,646,1
2025-06-05T16:22:14.371415,646,0
2025-06-05T16:22:15.402422,622,0
2025-06-05T16:22:16.444681,622,0
2025-06-05T16:22:17.513151,622,0
2025-06-05T16:22:18.546395,0,0
2025-06-05T16:22:19.575610,0,0
2025-06-05T16:22:20.604334,0,0
2025-06-05T16:22:21.633641,0,0
2025-06-05T16:22:22.663866,0,0
2025-06-05T16:22:23.694974,0,0
2025-06-05T16:22:24.739039,0,0
2025-06-05T16:22:25.767843,0,0
2025-06-05T16:22:26.813612,0,0
2025-06-05T16:22:27.843918,0,0
2025-06-05T16:22:28.876716,0,0
2025-06-05T16:22:29.906402,0,0
2025-06-05T16:22:30.938389,294,0
2025-06-05T16:22:31.979324,294,0
2025-06-05T16:22:33.013279,294,0
2025-06-05T16:22:34.057401,0,0
2025-06-05T16:22:35.088025,0,0
2025-06-05T16:22:36.131992,0,0
2025-06-05T16:22:37.175308,0,0
2025-06-05T16:22:38.210116,0,0
2025-06-05T16:22:39.253551,0,0
2025-06-05T16:22:40.283428,0,0
2025-06-05T16:22:41.311971,0,0
2025-06-05T16:22:42.351795,0,0
2025-06-05T16:22:43.382662,225,0
