timestamp,power_mW,under_attack
2025-06-05T17:30:03.287909,0,1
2025-06-05T17:30:04.318059,0,1
2025-06-05T17:30:05.349101,256,1
2025-06-05T17:30:06.377779,256,1
2025-06-05T17:30:07.407301,256,1
2025-06-05T17:30:08.442366,256,1
2025-06-05T17:30:09.470690,256,1
2025-06-05T17:30:10.499242,0,1
2025-06-05T17:30:11.528114,0,1
2025-06-05T17:30:12.556751,0,1
2025-06-05T17:30:13.600485,0,1
2025-06-05T17:30:14.630338,0,1
2025-06-05T17:30:15.674119,679,1
2025-06-05T17:30:16.702698,679,1
2025-06-05T17:30:17.730383,679,1
2025-06-05T17:30:18.762363,769,1
2025-06-05T17:30:19.790757,769,1
2025-06-05T17:30:20.819158,769,1
2025-06-05T17:30:21.858248,769,1
2025-06-05T17:30:22.888467,742,1
2025-06-05T17:30:23.916751,742,1
2025-06-05T17:30:24.945234,742,1
2025-06-05T17:30:25.973545,732,1
2025-06-05T17:30:27.014963,732,1
2025-06-05T17:30:28.042711,732,1
2025-06-05T17:30:29.072137,819,1
2025-06-05T17:30:30.111552,819,1
2025-06-05T17:30:31.140409,819,1
2025-06-05T17:30:32.169132,819,1
2025-06-05T17:30:33.197767,671,1
2025-06-05T17:30:34.225365,671,1
2025-06-05T17:30:35.278932,671,1
2025-06-05T17:30:36.308832,696,1
2025-06-05T17:30:37.337255,696,1
2025-06-05T17:30:38.381202,696,1
2025-06-05T17:30:39.415963,696,1
2025-06-05T17:30:40.453794,692,1
2025-06-05T17:30:41.487704,692,1
2025-06-05T17:30:42.518666,692,1
2025-06-05T17:30:43.548285,692,1
2025-06-05T17:30:44.578318,692,1
2025-06-05T17:30:45.606505,692,1
2025-06-05T17:30:46.634871,692,1
2025-06-05T17:30:47.663315,690,1
2025-06-05T17:30:48.694539,690,1
2025-06-05T17:30:49.722511,690,1
2025-06-05T17:30:50.754501,690,1
2025-06-05T17:30:51.795657,671,1
2025-06-05T17:30:52.824747,671,1
2025-06-05T17:30:53.868380,671,1
2025-06-05T17:30:54.896969,671,1
2025-06-05T17:30:55.941972,699,1
2025-06-05T17:30:56.969732,699,1
2025-06-05T17:30:57.998884,675,1
2025-06-05T17:30:59.027360,675,1
2025-06-05T17:31:00.061220,675,1
2025-06-05T17:31:01.093806,675,1
2025-06-05T17:31:02.121905,692,1
2025-06-05T17:31:03.162128,692,1
2025-06-05T17:31:04.211402,692,0
2025-06-05T17:31:05.247824,692,0
2025-06-05T17:31:06.276727,692,0
2025-06-05T17:31:07.305194,0,0
2025-06-05T17:31:08.334393,0,0
2025-06-05T17:31:09.362886,0,0
2025-06-05T17:31:10.402407,0,0
2025-06-05T17:31:11.431783,0,0
2025-06-05T17:31:12.460995,0,0
2025-06-05T17:31:13.504397,0,0
2025-06-05T17:31:14.532984,0,0
2025-06-05T17:31:15.567015,0,0
2025-06-05T17:31:16.607777,0,0
2025-06-05T17:31:17.635801,0,0
2025-06-05T17:31:18.664038,0,0
2025-06-05T17:31:19.693314,0,0
2025-06-05T17:31:20.726362,198,0
2025-06-05T17:31:21.755918,198,0
2025-06-05T17:31:22.786011,198,0
2025-06-05T17:31:23.818021,0,0
2025-06-05T17:31:24.847007,0,0
2025-06-05T17:31:25.875396,0,0
2025-06-05T17:31:26.919244,0,0
2025-06-05T17:31:27.947451,0,0
2025-06-05T17:31:28.975984,0,0
2025-06-05T17:31:30.018161,0,0
2025-06-05T17:31:31.047069,0,0
2025-06-05T17:31:32.076622,0,0
2025-06-05T17:31:33.105428,0,0
2025-06-05T17:31:34.134427,175,0
2025-06-05T17:31:35.163907,175,0
2025-06-05T17:31:36.192975,175,0
2025-06-05T17:31:37.227142,0,0
2025-06-05T17:31:38.256559,0,0
2025-06-05T17:31:39.284956,0,0
2025-06-05T17:31:40.313433,0,0
2025-06-05T17:31:41.357251,0,0
2025-06-05T17:31:42.385704,0,0
2025-06-05T17:31:43.430465,0,0
2025-06-05T17:31:44.458789,0,0
2025-06-05T17:31:45.488388,0,0
2025-06-05T17:31:46.517868,211,0
2025-06-05T17:31:47.546782,211,0
2025-06-05T17:31:48.576061,211,0
2025-06-05T17:31:49.605727,0,0
2025-06-05T17:31:50.638955,0,0
2025-06-05T17:31:51.670872,0,0
2025-06-05T17:31:52.699678,0,0
2025-06-05T17:31:53.748442,0,0
2025-06-05T17:31:54.777375,0,0
2025-06-05T17:31:55.824825,0,0
2025-06-05T17:31:56.853603,0,0
2025-06-05T17:31:57.884047,0,0
2025-06-05T17:31:58.912656,204,0
2025-06-05T17:31:59.948013,204,0
2025-06-05T17:32:00.976499,204,0
2025-06-05T17:32:02.005467,0,0
2025-06-05T17:32:03.043103,0,0
2025-06-05T17:32:04.071405,0,0
2025-06-05T17:32:05.113990,0,0
2025-06-05T17:32:06.164197,0,0
2025-06-05T17:32:07.193171,0,0
2025-06-05T17:32:08.221195,0,0
2025-06-05T17:32:09.257780,0,0
2025-06-05T17:32:10.287114,0,0
2025-06-05T17:32:11.315857,208,0
2025-06-05T17:32:12.344112,208,0
2025-06-05T17:32:13.388020,208,0
2025-06-05T17:32:14.432368,0,0
2025-06-05T17:32:15.481283,0,0
2025-06-05T17:32:16.510780,0,0
2025-06-05T17:32:17.540653,0,0
2025-06-05T17:32:18.577754,0,0
2025-06-05T17:32:19.606220,0,0
2025-06-05T17:32:20.641505,0,0
2025-06-05T17:32:21.680172,0,0
2025-06-05T17:32:22.709499,0,0
2025-06-05T17:32:23.750961,0,0
2025-06-05T17:32:24.780597,232,0
2025-06-05T17:32:25.823446,232,0
2025-06-05T17:32:26.851764,232,0
2025-06-05T17:32:27.879466,0,0
2025-06-05T17:32:28.908903,0,0
2025-06-05T17:32:29.938022,0,0
2025-06-05T17:32:30.982005,0,0
2025-06-05T17:32:32.011046,0,0
2025-06-05T17:32:33.044173,0,0
2025-06-05T17:32:34.093155,0,0
2025-06-05T17:32:35.121711,0,0
2025-06-05T17:32:36.149854,0,0
2025-06-05T17:32:37.190276,0,0
2025-06-05T17:32:38.218256,0,0
2025-06-05T17:32:39.250109,0,0
2025-06-05T17:32:40.289232,0,0
2025-06-05T17:32:41.317266,0,0
2025-06-05T17:32:42.387636,0,0
2025-06-05T17:32:43.416115,0,0
2025-06-05T17:32:44.460263,0,0
2025-06-05T17:32:45.506986,0,0
2025-06-05T17:32:46.535885,0,0
2025-06-05T17:32:47.564291,0,0
2025-06-05T17:32:48.599791,0,0
2025-06-05T17:32:49.632644,0,0
2025-06-05T17:32:50.660609,0,0
2025-06-05T17:32:51.705998,164,0
2025-06-05T17:32:52.736259,164,0
2025-06-05T17:32:53.780749,164,0
2025-06-05T17:32:54.808346,0,0
2025-06-05T17:32:55.836721,0,0
2025-06-05T17:32:56.865158,0,0
2025-06-05T17:32:57.899676,0,0
2025-06-05T17:32:58.928012,0,0
2025-06-05T17:32:59.956122,0,0
2025-06-05T17:33:01.008165,0,0
2025-06-05T17:33:02.048464,0,0
2025-06-05T17:33:03.106923,0,0
2025-06-05T17:33:04.135208,211,0
2025-06-05T17:33:05.163621,211,0
2025-06-05T17:33:06.194176,211,0
2025-06-05T17:33:07.224155,0,0
2025-06-05T17:33:08.253085,0,0
2025-06-05T17:33:09.281362,0,0
2025-06-05T17:33:10.321374,0,0
2025-06-05T17:33:11.350356,0,0
2025-06-05T17:33:12.400189,0,0
2025-06-05T17:33:13.439717,0,0
2025-06-05T17:33:14.467793,0,0
2025-06-05T17:33:15.501822,247,0
2025-06-05T17:33:16.530130,247,0
2025-06-05T17:33:17.558724,247,0
2025-06-05T17:33:18.587230,0,0
2025-06-05T17:33:19.637504,0,0
2025-06-05T17:33:20.665750,0,0
