timestamp,power_mW,under_attack
2025-06-06T16:31:31.043106,8100,1
2025-06-06T16:31:32.076868,8184,1
2025-06-06T16:31:33.108010,8161,1
2025-06-06T16:31:34.137786,8161,1
2025-06-06T16:31:35.213736,8160,1
2025-06-06T16:31:36.247982,8117,1
2025-06-06T16:31:37.281125,8117,1
2025-06-06T16:31:38.314644,8175,1
2025-06-06T16:31:39.345208,8278,1
2025-06-06T16:31:40.383760,8278,1
2025-06-06T16:31:41.422200,8239,1
2025-06-06T16:31:42.453348,8239,1
2025-06-06T16:31:43.492815,8264,1
2025-06-06T16:31:44.547096,8264,1
2025-06-06T16:31:45.588098,8211,1
2025-06-06T16:31:46.617498,8211,1
2025-06-06T16:31:47.650233,8267,1
2025-06-06T16:31:48.690438,8267,1
2025-06-06T16:31:49.739082,8181,1
2025-06-06T16:31:50.800997,8259,1
2025-06-06T16:31:51.830193,8259,1
2025-06-06T16:31:52.859358,8179,1
2025-06-06T16:31:53.895320,8179,1
2025-06-06T16:31:54.924620,8234,1
2025-06-06T16:31:55.953747,8295,1
2025-06-06T16:31:56.985513,8295,1
2025-06-06T16:31:58.033627,8134,1
2025-06-06T16:31:59.087097,8182,1
2025-06-06T16:32:00.116219,8168,1
2025-06-06T16:32:01.149105,8168,1
2025-06-06T16:32:02.180640,8186,1
2025-06-06T16:32:03.212516,8186,1
2025-06-06T16:32:04.242295,8155,1
2025-06-06T16:32:05.271222,8253,1
2025-06-06T16:32:06.312600,8253,1
2025-06-06T16:32:07.352144,8254,1
2025-06-06T16:32:08.386974,8254,1
2025-06-06T16:32:09.456319,8202,1
2025-06-06T16:32:10.487149,8202,1
2025-06-06T16:32:11.517241,8263,1
2025-06-06T16:32:12.546210,8263,1
2025-06-06T16:32:13.575559,8160,1
2025-06-06T16:32:14.622453,8184,1
2025-06-06T16:32:15.705831,8184,1
2025-06-06T16:32:16.736599,8216,1
2025-06-06T16:32:17.765546,8216,1
2025-06-06T16:32:18.795520,8246,1
2025-06-06T16:32:19.844897,8246,1
2025-06-06T16:32:20.894955,8273,1
2025-06-06T16:32:21.926064,8184,1
2025-06-06T16:32:22.955674,8184,1
2025-06-06T16:32:23.986963,8189,1
2025-06-06T16:32:25.029620,8189,1
2025-06-06T16:32:26.060668,8160,1
2025-06-06T16:32:27.090649,8134,1
2025-06-06T16:32:28.132680,8256,1
2025-06-06T16:32:29.162602,8256,1
2025-06-06T16:32:30.213839,8224,1
2025-06-06T16:32:31.518495,8224,0
2025-06-06T16:32:32.569054,8267,0
2025-06-06T16:32:33.599263,8267,0
2025-06-06T16:32:34.640137,8242,0
2025-06-06T16:32:35.669637,8242,0
2025-06-06T16:32:36.699098,8205,0
2025-06-06T16:32:37.742034,8169,0
2025-06-06T16:32:38.815895,8169,0
2025-06-06T16:32:39.845435,8230,0
2025-06-06T16:32:40.876032,8230,0
2025-06-06T16:32:41.905701,8124,0
2025-06-06T16:32:42.956545,8141,0
2025-06-06T16:32:43.987183,8141,0
2025-06-06T16:32:45.028668,8222,0
2025-06-06T16:32:46.058345,8222,0
2025-06-06T16:32:47.103282,8172,0
2025-06-06T16:32:48.133341,8172,0
2025-06-06T16:32:49.163279,8130,0
2025-06-06T16:32:50.196171,8182,0
2025-06-06T16:32:51.226936,8182,0
2025-06-06T16:32:52.260635,8164,0
2025-06-06T16:32:53.290553,8164,0
2025-06-06T16:32:54.320416,8152,0
2025-06-06T16:32:55.371061,8136,0
2025-06-06T16:32:56.401025,8136,0
2025-06-06T16:32:57.445354,8196,0
2025-06-06T16:32:58.476428,8196,0
2025-06-06T16:32:59.506666,8164,0
2025-06-06T16:33:00.543134,8247,0
2025-06-06T16:33:01.573167,8247,0
2025-06-06T16:33:02.603998,8111,0
2025-06-06T16:33:03.633556,8140,0
2025-06-06T16:33:04.672108,8140,0
2025-06-06T16:33:05.713443,8129,0
2025-06-06T16:33:06.744304,8129,0
2025-06-06T16:33:07.787396,8108,0
2025-06-06T16:33:08.817627,8257,0
2025-06-06T16:33:09.847993,8257,0
2025-06-06T16:33:10.877631,8110,0
2025-06-06T16:33:11.908690,8110,0
2025-06-06T16:33:12.938357,8102,0
2025-06-06T16:33:13.981540,8203,0
2025-06-06T16:33:15.011389,8203,0
2025-06-06T16:33:16.056002,8234,0
2025-06-06T16:33:17.086865,8152,0
2025-06-06T16:33:18.131211,8152,0
2025-06-06T16:33:19.160797,8185,0
2025-06-06T16:33:20.193551,8182,0
2025-06-06T16:33:21.224333,8182,0
2025-06-06T16:33:22.256472,8198,0
2025-06-06T16:33:23.288825,8198,0
2025-06-06T16:33:24.319203,8182,0
2025-06-06T16:33:25.351381,8202,0
2025-06-06T16:33:26.398262,8202,0
2025-06-06T16:33:27.427937,8199,0
2025-06-06T16:33:28.473452,8199,0
2025-06-06T16:33:29.503326,8132,0
2025-06-06T16:33:30.532805,8177,0
2025-06-06T16:33:31.563099,8177,0
2025-06-06T16:33:32.597977,8143,0
2025-06-06T16:33:33.627805,8143,0
2025-06-06T16:33:34.657660,8116,0
2025-06-06T16:33:35.699980,8177,0
2025-06-06T16:33:36.740616,8177,0
2025-06-06T16:33:37.769953,8254,0
2025-06-06T16:33:38.853147,8254,0
2025-06-06T16:33:39.882665,8151,0
2025-06-06T16:33:40.913042,8151,0
2025-06-06T16:33:41.943318,8151,0
2025-06-06T16:33:42.987118,8176,0
2025-06-06T16:33:44.016321,8105,0
2025-06-06T16:33:45.062877,8105,0
2025-06-06T16:33:46.093984,8129,0
2025-06-06T16:33:47.125953,8125,0
2025-06-06T16:33:48.156399,8085,0
2025-06-06T16:33:49.187751,8085,0
2025-06-06T16:33:50.227382,8112,0
2025-06-06T16:33:51.264874,8149,0
2025-06-06T16:33:52.305527,8149,0
2025-06-06T16:33:53.336195,8040,0
2025-06-06T16:33:54.379951,8079,0
2025-06-06T16:33:55.409650,8079,0
2025-06-06T16:33:56.439935,8099,0
2025-06-06T16:33:57.469459,8099,0
2025-06-06T16:33:58.499336,8168,0
2025-06-06T16:33:59.533362,8186,0
2025-06-06T16:34:00.562960,8186,0
2025-06-06T16:34:01.591753,8223,0
2025-06-06T16:34:02.647931,8223,0
2025-06-06T16:34:03.676993,8158,0
2025-06-06T16:34:04.721349,8151,0
2025-06-06T16:34:05.750490,8151,0
2025-06-06T16:34:06.779277,8077,0
2025-06-06T16:34:07.808837,8147,0
2025-06-06T16:34:08.841538,8147,0
2025-06-06T16:34:09.871990,8138,0
2025-06-06T16:34:10.901373,8138,0
2025-06-06T16:34:11.944675,8171,0
2025-06-06T16:34:12.974687,8133,0
2025-06-06T16:34:14.014279,8133,0
2025-06-06T16:34:15.048072,8198,0
2025-06-06T16:34:16.087783,8198,0
2025-06-06T16:34:17.117038,8242,0
2025-06-06T16:34:18.157070,8242,0
2025-06-06T16:34:19.186402,8111,0
2025-06-06T16:34:20.215872,8111,0
2025-06-06T16:34:21.254793,8090,0
2025-06-06T16:34:22.284998,8206,0
2025-06-06T16:34:23.314943,8206,0
2025-06-06T16:34:24.356954,8199,0
2025-06-06T16:34:25.385679,8199,0
2025-06-06T16:34:26.430739,8144,0
2025-06-06T16:34:27.459511,8203,0
2025-06-06T16:34:28.489721,8203,0
2025-06-06T16:34:29.520126,8133,0
2025-06-06T16:34:30.561753,8179,0
2025-06-06T16:34:31.590241,8179,0
2025-06-06T16:34:32.619362,8150,0
2025-06-06T16:34:33.648099,8150,0
2025-06-06T16:34:34.676433,8172,0
2025-06-06T16:34:35.706195,8155,0
2025-06-06T16:34:36.747021,8155,0
2025-06-06T16:34:37.777179,8185,0
2025-06-06T16:34:38.827279,8185,0
2025-06-06T16:34:39.869939,8219,0
2025-06-06T16:34:40.899134,8229,0
2025-06-06T16:34:41.928267,8229,0
2025-06-06T16:34:42.965091,8241,0
2025-06-06T16:34:43.998209,8212,0
2025-06-06T16:34:45.041403,8212,0
2025-06-06T16:34:46.090874,8204,0
2025-06-06T16:34:47.120176,8149,0
2025-06-06T16:34:48.149104,8112,0
2025-06-06T16:34:49.179079,8112,0
2025-06-06T16:34:50.208162,8207,0
2025-06-06T16:34:51.270531,8207,0
2025-06-06T16:34:52.311814,8187,0
2025-06-06T16:34:53.340641,8127,0
2025-06-06T16:34:54.386184,8127,0
2025-06-06T16:34:55.417164,8141,0
2025-06-06T16:34:56.446137,8141,0
2025-06-06T16:34:57.489938,8143,0
2025-06-06T16:34:58.520181,8151,0
2025-06-06T16:34:59.549124,8151,0
2025-06-06T16:35:00.589618,8162,0
2025-06-06T16:35:01.630129,8205,0
2025-06-06T16:35:02.659229,8205,0
2025-06-06T16:35:03.703608,8168,0
2025-06-06T16:35:04.736792,8168,0
2025-06-06T16:35:05.782608,8135,0
2025-06-06T16:35:06.812179,8161,0
2025-06-06T16:35:07.841800,8161,0
2025-06-06T16:35:08.871644,8162,0
2025-06-06T16:35:09.900957,8162,0
2025-06-06T16:35:10.930808,8101,0
2025-06-06T16:35:11.972624,8152,0
2025-06-06T16:35:13.003150,8152,0
2025-06-06T16:35:14.047248,8145,0
2025-06-06T16:35:15.076704,8099,0
2025-06-06T16:35:16.106198,8099,0
2025-06-06T16:35:17.136386,8192,0
2025-06-06T16:35:18.166842,8208,0
2025-06-06T16:35:19.209321,8104,0
2025-06-06T16:35:20.240244,8104,0
2025-06-06T16:35:21.269793,8124,0
2025-06-06T16:35:22.315064,8124,0
2025-06-06T16:35:23.347734,8193,0
2025-06-06T16:35:24.389871,8159,0
2025-06-06T16:35:25.419939,8159,0
2025-06-06T16:35:26.449908,8244,0
2025-06-06T16:35:27.479702,8244,0
2025-06-06T16:35:28.519123,8139,0
2025-06-06T16:35:29.553073,8190,0
2025-06-06T16:35:30.583065,8190,0
2025-06-06T16:35:31.633421,8175,1
2025-06-06T16:35:32.666753,8211,1
2025-06-06T16:35:33.707383,8211,1
2025-06-06T16:35:34.738843,8253,1
2025-06-06T16:35:35.768380,8253,1
2025-06-06T16:35:36.797947,8199,1
2025-06-06T16:35:37.828296,8199,1
2025-06-06T16:35:38.864552,8216,1
2025-06-06T16:35:39.894048,8358,1
2025-06-06T16:35:40.930000,8272,1
2025-06-06T16:35:41.975852,8272,1
2025-06-06T16:35:43.005356,8300,1
2025-06-06T16:35:44.050848,8244,1
2025-06-06T16:35:45.080241,8244,1
2025-06-06T16:35:46.108810,8209,1
2025-06-06T16:35:47.138078,8254,1
2025-06-06T16:35:48.166840,8254,1
2025-06-06T16:35:49.196976,8293,1
2025-06-06T16:35:50.238674,8217,1
2025-06-06T16:35:51.268296,8217,1
2025-06-06T16:35:52.299001,8270,1
2025-06-06T16:35:53.342191,8270,1
2025-06-06T16:35:54.373095,8335,1
2025-06-06T16:35:55.416444,8335,1
2025-06-06T16:35:56.447063,8224,1
2025-06-06T16:35:57.479168,8224,1
2025-06-06T16:35:58.508986,8280,1
2025-06-06T16:35:59.547063,8280,1
2025-06-06T16:36:00.577111,8145,1
2025-06-06T16:36:01.606858,8122,1
2025-06-06T16:36:02.660540,8122,1
2025-06-06T16:36:03.691144,8151,1
2025-06-06T16:36:04.735987,8151,1
2025-06-06T16:36:05.765345,8186,1
2025-06-06T16:36:06.805267,8210,1
2025-06-06T16:36:07.835070,8210,1
2025-06-06T16:36:08.864855,8229,1
2025-06-06T16:36:09.894598,8229,1
2025-06-06T16:36:10.925302,8163,1
2025-06-06T16:36:11.957075,8195,1
2025-06-06T16:36:13.002981,8195,1
2025-06-06T16:36:14.032405,8156,1
2025-06-06T16:36:15.077062,8091,1
2025-06-06T16:36:16.110498,8091,1
2025-06-06T16:36:17.140231,8157,1
2025-06-06T16:36:18.170840,8168,1
2025-06-06T16:36:19.200324,8165,1
2025-06-06T16:36:20.231979,8165,1
2025-06-06T16:36:21.265917,8180,1
2025-06-06T16:36:22.295615,8180,1
2025-06-06T16:36:23.325118,8162,1
2025-06-06T16:36:24.369364,8160,1
2025-06-06T16:36:25.399502,8160,1
2025-06-06T16:36:26.443613,8180,1
2025-06-06T16:36:27.473297,8234,1
2025-06-06T16:36:28.503033,8234,1
2025-06-06T16:36:29.532442,8226,1
2025-06-06T16:36:30.578039,8226,1
2025-06-06T16:36:32.000683,8193,0
2025-06-06T16:36:33.031877,8193,0
2025-06-06T16:36:34.061189,8123,0
2025-06-06T16:36:35.092348,8137,0
2025-06-06T16:36:36.122084,8137,0
2025-06-06T16:36:37.152193,8106,0
2025-06-06T16:36:38.193320,8106,0
2025-06-06T16:36:39.224166,8169,0
2025-06-06T16:36:40.268392,8169,0
2025-06-06T16:36:41.297108,8106,0
2025-06-06T16:36:42.326145,8166,0
2025-06-06T16:36:43.356978,8166,0
2025-06-06T16:36:44.387661,8109,0
2025-06-06T16:36:45.418145,8147,0
2025-06-06T16:36:46.447714,8147,0
2025-06-06T16:36:47.490607,8192,0
2025-06-06T16:36:48.520086,8192,0
2025-06-06T16:36:49.559871,8162,0
2025-06-06T16:36:50.592499,8245,0
2025-06-06T16:36:51.633605,8245,0
