timestamp,power_mW,under_attack
2025-06-06T12:55:45.864630,8142,1
2025-06-06T12:55:46.895362,8206,1
2025-06-06T12:55:47.925310,8206,1
2025-06-06T12:55:48.954281,8180,1
2025-06-06T12:55:49.995198,8180,1
2025-06-06T12:55:51.025937,8150,1
2025-06-06T12:55:52.084272,8225,1
2025-06-06T12:55:53.119169,8225,1
2025-06-06T12:55:54.148732,8176,1
2025-06-06T12:55:55.180219,8251,1
2025-06-06T12:55:56.221473,8247,1
2025-06-06T12:55:57.265618,8247,1
2025-06-06T12:55:58.296897,8149,1
2025-06-06T12:55:59.338995,8149,1
2025-06-06T12:56:00.368250,8230,1
2025-06-06T12:56:01.401803,8230,1
2025-06-06T12:56:02.430972,8238,1
2025-06-06T12:56:03.460086,8230,1
2025-06-06T12:56:04.493511,8230,1
2025-06-06T12:56:05.530960,8217,1
2025-06-06T12:56:06.560338,8217,1
2025-06-06T12:56:07.607999,8144,1
2025-06-06T12:56:08.638271,8238,1
2025-06-06T12:56:09.681843,8238,1
2025-06-06T12:56:10.722806,8219,1
2025-06-06T12:56:11.752336,8219,1
2025-06-06T12:56:12.783222,8171,1
2025-06-06T12:56:13.835055,8204,1
2025-06-06T12:56:14.878456,8204,1
2025-06-06T12:56:15.908344,8186,1
2025-06-06T12:56:16.955383,8186,1
2025-06-06T12:56:17.990046,8244,1
2025-06-06T12:56:19.020140,8244,1
2025-06-06T12:56:20.052471,8237,1
2025-06-06T12:56:21.087523,8254,1
2025-06-06T12:56:22.117015,8254,1
2025-06-06T12:56:23.150728,8236,1
2025-06-06T12:56:24.179644,8219,1
2025-06-06T12:56:25.220830,8219,1
2025-06-06T12:56:26.263801,8149,1
2025-06-06T12:56:27.295228,8149,1
2025-06-06T12:56:28.325198,8258,1
2025-06-06T12:56:29.356687,8203,1
2025-06-06T12:56:30.398061,8203,1
2025-06-06T12:56:31.429989,8230,1
2025-06-06T12:56:32.464003,8230,1
2025-06-06T12:56:33.493441,8262,1
2025-06-06T12:56:34.522175,8262,1
2025-06-06T12:56:35.566869,8181,1
2025-06-06T12:56:36.608741,8273,1
2025-06-06T12:56:37.637671,8273,1
2025-06-06T12:56:38.666921,8234,1
2025-06-06T12:56:39.698931,8234,1
2025-06-06T12:56:40.728661,8169,1
2025-06-06T12:56:41.762293,8169,1
2025-06-06T12:56:42.839997,8242,1
2025-06-06T12:56:43.930243,8128,1
2025-06-06T12:56:44.965794,8128,1
2025-06-06T12:56:49.552545,8222,0
2025-06-06T12:56:50.581884,8198,0
2025-06-06T12:56:51.611355,8198,0
2025-06-06T12:56:52.640482,8153,0
2025-06-06T12:56:53.688338,8153,0
2025-06-06T12:56:54.718388,8111,0
2025-06-06T12:56:55.784941,8113,0
2025-06-06T12:56:56.813554,8113,0
2025-06-06T12:56:57.844871,8203,0
2025-06-06T12:56:58.879803,8179,0
2025-06-06T12:56:59.908496,8179,0
2025-06-06T12:57:00.937688,8144,0
2025-06-06T12:57:01.982372,8144,0
2025-06-06T12:57:03.012375,8101,0
2025-06-06T12:57:04.056011,8092,0
2025-06-06T12:57:05.084955,8092,0
2025-06-06T12:57:06.156994,8076,0
2025-06-06T12:57:07.186520,8076,0
2025-06-06T12:57:08.228813,8182,0
2025-06-06T12:57:09.258446,8088,0
2025-06-06T12:57:10.303352,8088,0
2025-06-06T12:57:11.332787,8134,0
2025-06-06T12:57:12.364629,8207,0
2025-06-06T12:57:13.399765,8207,0
2025-06-06T12:57:14.429203,8151,0
2025-06-06T12:57:15.461956,8151,0
2025-06-06T12:57:16.494833,8100,0
2025-06-06T12:57:17.524061,8166,0
2025-06-06T12:57:18.553902,8166,0
2025-06-06T12:57:19.597598,8185,0
2025-06-06T12:57:20.628401,8185,0
2025-06-06T12:57:21.668288,8165,0
2025-06-06T12:57:22.699628,8177,0
2025-06-06T12:57:23.731170,8177,0
2025-06-06T12:57:24.817467,8164,0
2025-06-06T12:57:25.847783,8197,0
2025-06-06T12:57:26.891533,8197,0
2025-06-06T12:57:27.920898,8150,0
2025-06-06T12:57:28.953371,8150,0
2025-06-06T12:57:29.982178,8173,0
2025-06-06T12:57:31.010887,8057,0
2025-06-06T12:57:32.041086,8057,0
2025-06-06T12:57:33.074830,8165,0
2025-06-06T12:57:34.135859,8116,0
2025-06-06T12:57:35.166333,8173,0
2025-06-06T12:57:36.210033,8173,0
2025-06-06T12:57:37.238775,8150,0
2025-06-06T12:57:38.271813,8190,0
2025-06-06T12:57:39.321375,8190,0
2025-06-06T12:57:40.350361,8092,0
2025-06-06T12:57:41.378984,8228,0
2025-06-06T12:57:42.430303,8228,0
2025-06-06T12:57:43.459817,8164,0
2025-06-06T12:57:44.504799,8164,0
2025-06-06T12:57:45.535255,8081,0
2025-06-06T12:57:46.566311,8175,0
2025-06-06T12:57:47.595148,8175,0
2025-06-06T12:57:48.630243,8141,0
2025-06-06T12:57:49.664279,8141,0
2025-06-06T12:57:50.693090,8185,0
2025-06-06T12:57:51.750024,8184,0
2025-06-06T12:57:52.819875,8184,0
2025-06-06T12:57:53.848385,8193,0
2025-06-06T12:57:54.877282,8133,0
2025-06-06T12:57:55.910191,8133,0
2025-06-06T12:57:56.940476,8178,0
2025-06-06T12:57:57.969675,8178,0
2025-06-06T12:57:58.998436,8173,0
2025-06-06T12:58:00.043090,8112,0
2025-06-06T12:58:01.073093,8112,0
2025-06-06T12:58:02.155234,8137,0
2025-06-06T12:58:03.184810,8137,0
2025-06-06T12:58:04.216745,8088,0
2025-06-06T12:58:05.245652,8088,0
2025-06-06T12:58:06.289471,8153,0
2025-06-06T12:58:07.319287,8153,0
2025-06-06T12:58:08.363829,8132,0
2025-06-06T12:58:09.393300,8179,0
2025-06-06T12:58:10.425632,8179,0
2025-06-06T12:58:11.457020,8171,0
2025-06-06T12:58:12.486124,8115,0
2025-06-06T12:58:13.515092,8115,0
2025-06-06T12:58:14.555155,8161,0
2025-06-06T12:58:15.584254,8161,0
2025-06-06T12:58:16.616190,8176,0
2025-06-06T12:58:17.657647,8177,0
2025-06-06T12:58:18.688781,8177,0
2025-06-06T12:58:19.729395,8172,0
2025-06-06T12:58:20.768129,8172,0
2025-06-06T12:58:21.798530,8128,0
2025-06-06T12:58:22.828158,8142,0
2025-06-06T12:58:23.865399,8142,0
2025-06-06T12:58:24.894699,8162,0
2025-06-06T12:58:25.924239,8208,0
2025-06-06T12:58:26.974350,8208,0
2025-06-06T12:58:28.004524,8154,0
2025-06-06T12:58:29.048675,8154,0
2025-06-06T12:58:30.127665,8131,0
2025-06-06T12:58:31.172690,8145,0
2025-06-06T12:58:32.203137,8082,0
2025-06-06T12:58:33.247091,8167,0
2025-06-06T12:58:34.276441,8167,0
2025-06-06T12:58:35.309554,8102,0
2025-06-06T12:58:36.339413,8102,0
2025-06-06T12:58:37.373978,8094,0
2025-06-06T12:58:38.406504,8169,0
2025-06-06T12:58:39.439442,8169,0
2025-06-06T12:58:40.491021,8145,0
2025-06-06T12:58:41.521167,8219,0
2025-06-06T12:58:42.564870,8219,0
2025-06-06T12:58:43.594767,8125,0
2025-06-06T12:58:44.627358,8125,0
2025-06-06T12:58:45.656110,8153,0
2025-06-06T12:58:46.685515,8109,0
2025-06-06T12:58:47.715118,8109,0
2025-06-06T12:58:48.751557,8139,0
2025-06-06T12:58:49.787040,8071,0
2025-06-06T12:58:50.816384,8071,0
2025-06-06T12:58:51.857624,8053,0
2025-06-06T12:58:52.898589,8180,0
2025-06-06T12:58:53.931997,8180,0
2025-06-06T12:58:54.962178,8070,0
2025-06-06T12:58:55.993760,8070,0
2025-06-06T12:58:57.022701,8134,0
2025-06-06T12:58:58.053201,8201,0
2025-06-06T12:58:59.100782,8201,0
2025-06-06T12:59:00.132271,8132,0
2025-06-06T12:59:01.175939,8110,0
2025-06-06T12:59:02.220860,8136,0
2025-06-06T12:59:03.249938,8136,0
2025-06-06T12:59:04.279513,8157,0
2025-06-06T12:59:05.312653,8181,0
2025-06-06T12:59:06.341867,8181,0
2025-06-06T12:59:07.370847,8052,0
2025-06-06T12:59:08.409841,8100,0
2025-06-06T12:59:09.446762,8100,0
2025-06-06T12:59:10.475823,8049,0
2025-06-06T12:59:11.518253,8049,0
2025-06-06T12:59:12.549646,8145,0
2025-06-06T12:59:13.591695,8192,0
2025-06-06T12:59:14.620959,8192,0
2025-06-06T12:59:15.655683,8218,0
2025-06-06T12:59:16.688489,8218,0
2025-06-06T12:59:17.717515,8104,0
2025-06-06T12:59:18.751970,8081,0
2025-06-06T12:59:19.782042,8081,0
2025-06-06T12:59:20.816423,8196,0
2025-06-06T12:59:21.845833,8174,0
2025-06-06T12:59:22.884678,8174,0
2025-06-06T12:59:23.935745,8211,0
2025-06-06T12:59:24.964924,8211,0
2025-06-06T12:59:25.997091,8274,0
2025-06-06T12:59:27.026188,8274,0
2025-06-06T12:59:28.055343,8167,0
2025-06-06T12:59:29.084268,8128,0
2025-06-06T12:59:30.128468,8128,0
2025-06-06T12:59:31.158089,8140,0
2025-06-06T12:59:32.187346,8163,0
2025-06-06T12:59:33.229833,8040,0
2025-06-06T12:59:34.265748,8169,0
2025-06-06T12:59:35.302058,8169,0
2025-06-06T12:59:36.331805,8108,0
2025-06-06T12:59:37.406182,8108,0
2025-06-06T12:59:38.449375,8117,0
2025-06-06T12:59:39.484295,8122,0
2025-06-06T12:59:40.523113,8122,0
2025-06-06T12:59:41.553021,8093,0
2025-06-06T12:59:42.586194,8120,0
2025-06-06T12:59:43.624332,8120,0
2025-06-06T12:59:44.659384,8083,0
2025-06-06T12:59:45.690108,8165,0
2025-06-06T12:59:46.719400,8165,0
2025-06-06T12:59:47.748290,8104,0
2025-06-06T12:59:48.792078,8148,0
2025-06-06T12:59:49.821631,8148,1
2025-06-06T12:59:50.865491,8123,1
2025-06-06T12:59:51.895161,8123,1
2025-06-06T12:59:52.928386,8282,1
2025-06-06T12:59:53.962244,8260,1
2025-06-06T12:59:54.991409,8260,1
2025-06-06T12:59:56.025784,8189,1
2025-06-06T12:59:57.055183,8189,1
2025-06-06T12:59:58.084086,8217,1
2025-06-06T12:59:59.113438,8209,1
2025-06-06T13:00:00.158628,8209,1
2025-06-06T13:00:01.197527,8349,1
2025-06-06T13:00:02.232727,8149,1
2025-06-06T13:00:03.261968,8149,1
2025-06-06T13:00:04.294784,8272,1
2025-06-06T13:00:05.323761,8236,1
2025-06-06T13:00:06.358371,8236,1
2025-06-06T13:00:07.393162,8223,1
2025-06-06T13:00:08.422318,8223,1
2025-06-06T13:00:09.461486,8209,1
2025-06-06T13:00:10.500723,8209,1
2025-06-06T13:00:11.530834,8171,1
2025-06-06T13:00:12.575435,8173,1
2025-06-06T13:00:13.613210,8173,1
2025-06-06T13:00:14.643234,8291,1
2025-06-06T13:00:15.672356,8291,1
2025-06-06T13:00:16.710799,8200,1
2025-06-06T13:00:17.744450,8200,1
2025-06-06T13:00:18.773782,8194,1
2025-06-06T13:00:19.819159,8186,1
2025-06-06T13:00:20.849692,8186,1
2025-06-06T13:00:21.894086,8304,1
2025-06-06T13:00:22.941726,8304,1
2025-06-06T13:00:23.981304,8245,1
2025-06-06T13:00:25.018847,8245,1
2025-06-06T13:00:26.065713,8334,1
2025-06-06T13:00:27.105792,8334,1
2025-06-06T13:00:28.141358,8229,1
2025-06-06T13:00:29.179853,8218,1
2025-06-06T13:00:30.211394,8218,1
2025-06-06T13:00:31.240543,8178,1
2025-06-06T13:00:32.286312,8165,1
2025-06-06T13:00:33.316721,8165,1
2025-06-06T13:00:34.359860,8264,1
2025-06-06T13:00:35.398696,8160,1
2025-06-06T13:00:36.435404,8160,1
2025-06-06T13:00:37.464340,8225,1
2025-06-06T13:00:38.496534,8225,1
2025-06-06T13:00:39.525759,8152,1
2025-06-06T13:00:40.555629,8152,1
2025-06-06T13:00:41.594853,8203,1
2025-06-06T13:00:42.624228,8241,1
2025-06-06T13:00:43.653960,8241,1
2025-06-06T13:00:44.702281,8160,1
2025-06-06T13:00:45.732262,8160,1
2025-06-06T13:00:46.780719,8162,1
2025-06-06T13:00:47.815056,8183,1
2025-06-06T13:00:48.849031,8183,1
2025-06-06T13:00:52.013349,8227,0
2025-06-06T13:00:53.044112,8255,0
2025-06-06T13:00:54.072868,8255,0
2025-06-06T13:00:55.129695,8316,0
2025-06-06T13:00:56.170987,8316,0
2025-06-06T13:00:57.206029,8150,0
2025-06-06T13:00:58.246884,8164,0
2025-06-06T13:00:59.275754,8126,0
2025-06-06T13:01:00.309142,8126,0
2025-06-06T13:01:01.338125,8103,0
2025-06-06T13:01:02.374721,8103,0
2025-06-06T13:01:03.410775,8182,0
2025-06-06T13:01:04.438958,8190,0
2025-06-06T13:01:05.469058,8190,0
2025-06-06T13:01:06.513415,8096,0
2025-06-06T13:01:07.555498,8220,0
2025-06-06T13:01:08.587681,8220,0
2025-06-06T13:01:09.616845,8136,0
2025-06-06T13:01:10.650258,8136,0
2025-06-06T13:01:11.679102,8177,0
2025-06-06T13:01:12.723923,8143,0
2025-06-06T13:01:13.752685,8143,0
2025-06-06T13:01:14.782439,8212,0
2025-06-06T13:01:15.811360,8212,0
2025-06-06T13:01:16.855784,8124,0
2025-06-06T13:01:17.885886,8172,0
2025-06-06T13:01:18.930451,8172,0
2025-06-06T13:01:19.959294,8194,0
2025-06-06T13:01:20.993232,8194,0
2025-06-06T13:01:22.036986,8196,0
2025-06-06T13:01:23.073406,8126,0
2025-06-06T13:01:24.106064,8126,0
2025-06-06T13:01:25.150250,8207,0
2025-06-06T13:01:26.180950,8207,0
2025-06-06T13:01:27.224355,8141,0
2025-06-06T13:01:28.253600,8230,0
2025-06-06T13:01:29.287202,8088,0
2025-06-06T13:01:30.316482,8095,0
2025-06-06T13:01:31.344920,8095,0
2025-06-06T13:01:32.375778,8107,0
2025-06-06T13:01:33.428895,8118,0
2025-06-06T13:01:34.468689,8118,0
2025-06-06T13:01:35.502760,8119,0
2025-06-06T13:01:36.547129,8119,0
2025-06-06T13:01:37.582381,8099,0
2025-06-06T13:01:38.611869,8159,0
2025-06-06T13:01:39.655213,8159,0
2025-06-06T13:01:40.715110,8129,0
2025-06-06T13:01:41.768836,8205,0
2025-06-06T13:01:42.804011,8205,0
2025-06-06T13:01:43.833775,8139,0
2025-06-06T13:01:44.863102,8139,0
2025-06-06T13:01:45.892101,8211,0
2025-06-06T13:01:46.921309,8245,0
2025-06-06T13:01:47.956505,8245,0
2025-06-06T13:01:48.985839,8174,0
2025-06-06T13:01:50.014903,8174,0
2025-06-06T13:01:51.057462,8175,0
2025-06-06T13:01:52.087266,8129,0
2025-06-06T13:01:53.132152,8129,0
2025-06-06T13:01:54.162047,8141,0
2025-06-06T13:01:55.194427,8098,0
2025-06-06T13:01:56.223511,8098,0
2025-06-06T13:01:57.272186,8124,0
2025-06-06T13:01:58.327811,8216,0
2025-06-06T13:01:59.377197,8188,0
2025-06-06T13:02:00.406376,8188,0
2025-06-06T13:02:01.441056,8089,0
2025-06-06T13:02:02.470276,8151,0
2025-06-06T13:02:03.499463,8151,0
2025-06-06T13:02:04.528929,8186,0
2025-06-06T13:02:05.572816,8186,0
2025-06-06T13:02:06.602194,8195,0
2025-06-06T13:02:07.646646,8155,0
2025-06-06T13:02:08.677239,8155,0
2025-06-06T13:02:09.720980,8174,0
2025-06-06T13:02:10.751483,8174,0
2025-06-06T13:02:11.783344,8128,0
2025-06-06T13:02:12.815624,8213,0
2025-06-06T13:02:13.849809,8213,0
2025-06-06T13:02:14.884067,8105,0
2025-06-06T13:02:15.913308,8105,0
2025-06-06T13:02:16.942527,8103,0
2025-06-06T13:02:17.988690,8171,0
2025-06-06T13:02:19.018962,8171,0
2025-06-06T13:02:20.063745,8137,0
2025-06-06T13:02:21.092556,8142,0
2025-06-06T13:02:22.125793,8142,0
2025-06-06T13:02:23.155279,8197,0
2025-06-06T13:02:24.189819,8197,0
2025-06-06T13:02:25.224537,8143,0
2025-06-06T13:02:26.253657,8231,0
2025-06-06T13:02:27.307120,8134,0
2025-06-06T13:02:28.337484,8134,0
2025-06-06T13:02:29.380540,8173,0
2025-06-06T13:02:30.409829,8193,0
2025-06-06T13:02:31.444168,8193,0
2025-06-06T13:02:32.502962,8238,0
2025-06-06T13:02:33.532197,8238,0
2025-06-06T13:02:34.562071,8101,0
2025-06-06T13:02:35.601475,8160,0
2025-06-06T13:02:36.631816,8160,0
2025-06-06T13:02:37.675438,8252,0
2025-06-06T13:02:38.704325,8252,0
2025-06-06T13:02:39.738701,8123,0
2025-06-06T13:02:40.767786,8171,0
2025-06-06T13:02:41.813312,8171,0
2025-06-06T13:02:42.843739,8148,0
2025-06-06T13:02:43.871720,8259,0
2025-06-06T13:02:44.919924,8259,0
2025-06-06T13:02:45.950045,8166,0
2025-06-06T13:02:46.995860,8166,0
2025-06-06T13:02:48.024714,8091,0
2025-06-06T13:02:49.057112,8138,0
2025-06-06T13:02:50.112120,8138,0
2025-06-06T13:02:51.141087,8187,0
2025-06-06T13:02:52.170266,8127,0
2025-06-06T13:02:53.200198,8127,0
2025-06-06T13:02:54.238199,8072,0
2025-06-06T13:02:55.268177,8209,0
2025-06-06T13:02:56.313204,8176,0
2025-06-06T13:02:57.342832,8176,0
2025-06-06T13:02:58.375447,8215,0
2025-06-06T13:02:59.405221,8215,0
2025-06-06T13:03:00.434901,8206,0
2025-06-06T13:03:01.463502,8202,0
2025-06-06T13:03:02.496939,8202,0
2025-06-06T13:03:03.529202,8229,0
2025-06-06T13:03:04.558981,8229,0
2025-06-06T13:03:05.587615,8185,0
2025-06-06T13:03:06.628614,8159,0
2025-06-06T13:03:07.658393,8159,0
2025-06-06T13:03:08.703418,8225,0
2025-06-06T13:03:09.734487,8225,0
2025-06-06T13:03:10.765886,8151,0
2025-06-06T13:03:11.796348,8176,0
2025-06-06T13:03:12.841127,8176,0
2025-06-06T13:03:13.870541,8123,0
2025-06-06T13:03:14.900511,8138,0
2025-06-06T13:03:15.947105,8138,0
2025-06-06T13:03:16.977905,8134,0
2025-06-06T13:03:18.022611,8134,0
2025-06-06T13:03:19.053533,8106,0
2025-06-06T13:03:20.084482,8098,0
2025-06-06T13:03:21.114738,8098,0
2025-06-06T13:03:22.148358,8095,0
2025-06-06T13:03:23.182024,8154,0
2025-06-06T13:03:24.211051,8154,0
