timestamp,power_mW,under_attack
2025-06-04T19:21:36.312432,0,1
2025-06-04T19:21:37.344832,0,1
2025-06-04T19:21:38.373625,0,1
2025-06-04T19:21:39.402716,0,1
2025-06-04T19:21:40.445367,255,1
2025-06-04T19:21:41.474688,255,1
2025-06-04T19:21:42.504025,255,1
2025-06-04T19:21:43.545223,255,1
2025-06-04T19:21:44.575530,255,1
2025-06-04T19:21:45.615868,0,1
2025-06-04T19:21:46.645539,0,1
2025-06-04T19:21:47.677953,0,1
2025-06-04T19:21:48.726094,0,1
2025-06-04T19:21:49.754914,0,1
2025-06-04T19:21:50.783756,0,1
2025-06-04T19:21:51.813700,0,1
2025-06-04T19:21:52.844433,0,1
2025-06-04T19:21:53.887453,0,1
2025-06-04T19:21:54.917090,0,1
2025-06-04T19:21:55.960814,0,1
2025-06-04T19:21:56.993430,0,1
2025-06-04T19:21:58.021791,0,1
2025-06-04T19:21:59.053830,0,1
2025-06-04T19:22:00.086933,0,1
2025-06-04T19:22:01.116391,0,1
2025-06-04T19:22:02.145764,0,1
2025-06-04T19:22:03.174807,0,1
2025-06-04T19:22:04.203461,0,1
2025-06-04T19:22:05.232165,0,1
2025-06-04T19:22:06.261049,0,1
2025-06-04T19:22:07.301943,0,1
2025-06-04T19:22:08.331167,0,1
2025-06-04T19:22:09.376002,0,1
2025-06-04T19:22:10.404787,0,1
2025-06-04T19:22:11.434742,0,1
2025-06-04T19:22:12.468086,0,1
2025-06-04T19:22:13.499784,0,1
2025-06-04T19:22:14.529236,0,1
2025-06-04T19:22:15.568635,0,1
2025-06-04T19:22:16.604347,0,1
2025-06-04T19:22:17.644347,0,1
2025-06-04T19:22:18.673300,0,1
2025-06-04T19:22:19.717870,0,1
2025-06-04T19:22:20.746876,0,1
2025-06-04T19:22:21.776012,0,1
2025-06-04T19:22:22.811767,0,1
2025-06-04T19:22:23.841529,187,1
2025-06-04T19:22:24.870376,187,1
2025-06-04T19:22:25.911929,0,1
2025-06-04T19:22:26.940538,0,1
2025-06-04T19:22:27.969263,0,1
2025-06-04T19:22:29.010753,0,1
2025-06-04T19:22:30.042622,0,1
2025-06-04T19:22:31.085447,0,1
2025-06-04T19:22:32.117659,0,1
2025-06-04T19:22:33.152987,0,1
2025-06-04T19:22:34.184356,0,1
2025-06-04T19:22:35.226752,197,1
2025-06-04T19:22:36.255476,197,1
2025-06-04T19:22:37.284280,197,0
2025-06-04T19:22:38.329277,0,0
2025-06-04T19:22:39.357992,0,0
2025-06-04T19:22:40.402541,0,0
2025-06-04T19:22:41.431831,0,0
2025-06-04T19:22:42.461322,0,0
2025-06-04T19:22:43.500918,0,0
2025-06-04T19:22:44.529530,0,0
2025-06-04T19:22:45.559393,0,0
2025-06-04T19:22:46.588139,0,0
2025-06-04T19:22:47.631417,0,0
2025-06-04T19:22:48.671479,0,0
2025-06-04T19:22:49.700248,0,0
2025-06-04T19:22:50.744637,201,0
2025-06-04T19:22:51.773359,201,0
2025-06-04T19:22:52.803871,201,0
2025-06-04T19:22:53.837509,0,0
2025-06-04T19:22:54.866630,0,0
2025-06-04T19:22:55.895712,0,0
2025-06-04T19:22:56.924270,0,0
2025-06-04T19:22:57.952662,0,0
2025-06-04T19:22:58.981721,0,0
