timestamp,power_mW,under_attack
2025-06-04T16:48:33.258359,0,1
2025-06-04T16:48:34.301961,0,1
2025-06-04T16:48:35.332093,0,1
2025-06-04T16:48:36.361172,0,1
2025-06-04T16:48:37.390710,0,1
2025-06-04T16:48:38.492480,0,1
2025-06-04T16:48:39.537090,273,1
2025-06-04T16:48:40.565988,273,1
2025-06-04T16:48:41.621143,273,1
2025-06-04T16:48:42.652461,273,1
2025-06-04T16:48:43.696423,0,1
2025-06-04T16:48:44.728641,0,1
2025-06-04T16:48:45.769533,0,1
2025-06-04T16:48:46.802811,0,1
2025-06-04T16:48:47.877514,0,1
2025-06-04T16:48:48.920014,0,1
2025-06-04T16:48:49.948752,529,1
2025-06-04T16:48:50.992999,529,1
2025-06-04T16:48:52.023119,529,1
2025-06-04T16:48:53.069508,529,1
2025-06-04T16:48:54.098781,529,1
2025-06-04T16:48:55.127081,0,1
2025-06-04T16:48:56.157126,0,1
2025-06-04T16:48:57.213195,0,1
2025-06-04T16:48:58.242699,0,1
2025-06-04T16:48:59.287714,0,1
2025-06-04T16:49:00.329008,0,1
2025-06-04T16:49:01.359059,451,1
2025-06-04T16:49:02.388109,451,1
2025-06-04T16:49:03.418217,451,1
2025-06-04T16:49:04.451233,0,1
2025-06-04T16:49:05.485634,0,1
2025-06-04T16:49:06.516065,0,1
2025-06-04T16:49:07.556472,0,1
2025-06-04T16:49:08.618129,0,1
2025-06-04T16:49:09.646904,568,1
2025-06-04T16:49:10.676222,568,1
2025-06-04T16:49:11.713045,568,1
2025-06-04T16:49:12.742718,568,1
2025-06-04T16:49:13.772325,0,1
2025-06-04T16:49:14.827438,0,1
2025-06-04T16:49:15.856406,0,1
2025-06-04T16:49:16.900505,0,1
2025-06-04T16:49:17.929449,0,1
2025-06-04T16:49:18.959133,0,1
2025-06-04T16:49:19.987839,0,1
2025-06-04T16:49:21.027411,0,1
2025-06-04T16:49:22.063714,339,1
2025-06-04T16:49:23.133207,339,1
2025-06-04T16:49:24.170544,339,1
2025-06-04T16:49:25.198879,339,1
2025-06-04T16:49:26.233526,339,1
2025-06-04T16:49:27.262787,526,1
2025-06-04T16:49:28.292628,526,1
2025-06-04T16:49:29.333982,526,1
2025-06-04T16:49:30.371127,526,1
2025-06-04T16:49:31.400964,526,1
2025-06-04T16:49:32.444111,0,1
2025-06-04T16:49:34.616465,0,0
2025-06-04T16:49:35.645513,0,0
2025-06-04T16:49:36.688361,0,0
2025-06-04T16:49:37.717240,453,0
2025-06-04T16:49:38.746177,453,0
2025-06-04T16:49:39.774943,453,0
2025-06-04T16:49:40.813634,0,0
2025-06-04T16:49:41.859465,0,0
2025-06-04T16:49:42.887991,0,0
2025-06-04T16:49:43.918811,0,0
2025-06-04T16:49:44.956943,0,0
2025-06-04T16:49:45.985898,0,0
2025-06-04T16:49:47.026057,0,0
2025-06-04T16:49:48.059943,0,0
2025-06-04T16:49:49.088126,0,0
2025-06-04T16:49:50.117138,0,0
2025-06-04T16:49:51.157066,0,0
2025-06-04T16:49:52.185840,0,0
2025-06-04T16:49:53.226149,153,0
2025-06-04T16:49:54.258504,153,0
2025-06-04T16:49:55.299097,153,0
2025-06-04T16:49:56.328618,0,0
2025-06-04T16:49:57.365350,0,0
2025-06-04T16:49:58.395211,0,0
2025-06-04T16:49:59.423943,0,0
2025-06-04T16:50:00.461637,0,0
2025-06-04T16:50:01.490531,0,0
2025-06-04T16:50:02.522806,0,0
2025-06-04T16:50:03.568644,0,0
2025-06-04T16:50:04.598155,0,0
2025-06-04T16:50:05.639960,0,0
2025-06-04T16:50:06.670223,0,0
2025-06-04T16:50:07.712768,0,0
2025-06-04T16:50:08.741715,0,0
2025-06-04T16:50:09.776640,0,0
2025-06-04T16:50:10.805761,0,0
2025-06-04T16:50:11.841064,0,0
2025-06-04T16:50:12.895135,0,0
2025-06-04T16:50:13.937124,0,0
2025-06-04T16:50:14.975785,0,0
2025-06-04T16:50:16.005404,0,0
2025-06-04T16:50:17.034694,0,0
2025-06-04T16:50:18.063347,0,0
2025-06-04T16:50:19.091862,155,0
2025-06-04T16:50:20.121551,155,0
2025-06-04T16:50:21.151304,155,0
2025-06-04T16:50:22.183698,0,0
2025-06-04T16:50:23.239791,0,0
2025-06-04T16:50:24.279124,0,0
2025-06-04T16:50:25.307790,0,0
