timestamp,power_mW,under_attack
2025-06-05T12:32:52.708359,8748,1
2025-06-05T12:32:53.738186,8647,1
2025-06-05T12:32:54.767600,8647,1
2025-06-05T12:32:55.797116,8700,1
2025-06-05T12:32:56.844851,8700,1
2025-06-05T12:32:57.886526,8813,1
2025-06-05T12:32:58.950320,8732,1
2025-06-05T12:32:59.979349,8732,1
2025-06-05T12:33:01.008515,8846,1
2025-06-05T12:33:02.038341,8846,1
2025-06-05T12:33:03.068676,8849,1
2025-06-05T12:33:04.108167,8849,1
2025-06-05T12:33:05.137692,8842,1
2025-06-05T12:33:06.180878,8794,1
2025-06-05T12:33:07.211152,8794,1
2025-06-05T12:33:08.254830,8818,1
2025-06-05T12:33:09.283749,8871,1
2025-06-05T12:33:10.313164,8871,1
2025-06-05T12:33:11.343620,8831,1
2025-06-05T12:33:12.394408,8831,1
2025-06-05T12:33:13.425039,8822,1
2025-06-05T12:33:14.454363,8822,1
2025-06-05T12:33:15.483359,8888,1
2025-06-05T12:33:16.523339,8939,1
2025-06-05T12:33:17.552383,8939,1
2025-06-05T12:33:18.598378,8890,1
2025-06-05T12:33:19.640211,8890,1
2025-06-05T12:33:20.670769,8854,1
2025-06-05T12:33:21.699903,8840,1
2025-06-05T12:33:22.728930,8840,1
2025-06-05T12:33:23.757534,8829,1
2025-06-05T12:33:24.786452,8753,1
2025-06-05T12:33:25.841657,8753,1
2025-06-05T12:33:26.870696,8867,1
2025-06-05T12:33:27.917523,8875,1
2025-06-05T12:33:28.946414,8875,1
2025-06-05T12:33:29.975493,8786,1
2025-06-05T12:33:31.005612,8786,1
2025-06-05T12:33:32.034677,8860,1
2025-06-05T12:33:33.064452,8860,1
2025-06-05T12:33:34.093815,8826,1
2025-06-05T12:33:35.136308,8810,1
2025-06-05T12:33:36.167071,8810,1
2025-06-05T12:33:37.208109,8856,1
2025-06-05T12:33:38.239293,8856,1
2025-06-05T12:33:39.281616,8789,1
2025-06-05T12:33:40.311542,8789,1
2025-06-05T12:33:41.343735,8826,1
2025-06-05T12:33:42.372992,8842,1
2025-06-05T12:33:43.402376,8842,1
2025-06-05T12:33:44.445530,8857,1
2025-06-05T12:33:45.474977,8900,1
2025-06-05T12:33:46.503789,8900,1
2025-06-05T12:33:47.534045,8856,1
2025-06-05T12:33:48.574394,8886,1
2025-06-05T12:33:49.605022,8886,1
2025-06-05T12:33:50.651555,8850,1
2025-06-05T12:33:51.680649,8816,1
2025-06-05T12:33:53.339190,8816,0
2025-06-05T12:33:54.367993,8815,0
2025-06-05T12:33:55.398049,8903,0
2025-06-05T12:33:56.428736,8903,0
2025-06-05T12:33:57.458811,8870,0
2025-06-05T12:33:58.487746,8738,0
2025-06-05T12:33:59.531309,8738,0
2025-06-05T12:34:00.560844,8869,0
2025-06-05T12:34:01.604800,8912,0
2025-06-05T12:34:02.639416,8912,0
2025-06-05T12:34:03.672985,8827,0
2025-06-05T12:34:04.709084,8827,0
2025-06-05T12:34:05.742109,8906,0
2025-06-05T12:34:06.774654,8879,0
2025-06-05T12:34:07.805758,8879,0
2025-06-05T12:34:08.851354,8876,0
2025-06-05T12:34:09.883645,8817,0
2025-06-05T12:34:10.929558,8817,0
2025-06-05T12:34:11.975696,8883,0
2025-06-05T12:34:13.007889,8921,0
2025-06-05T12:34:14.037483,8921,0
2025-06-05T12:34:15.078887,8850,0
2025-06-05T12:34:16.120511,8935,0
2025-06-05T12:34:17.156996,8935,0
2025-06-05T12:34:18.195225,8923,0
