timestamp,power_mW,under_attack
2025-11-26T15:47:32.025988,30172,0
2025-11-26T15:47:33.081145,30303,0
2025-11-26T15:47:34.121649,30303,0
2025-11-26T15:47:35.151022,30566,0
2025-11-26T15:47:36.187215,30576,0
2025-11-26T15:47:37.218467,30298,0
2025-11-26T15:47:38.248017,30290,0
2025-11-26T15:47:39.296210,30285,0
2025-11-26T15:47:40.326856,30458,0
2025-11-26T15:47:41.371513,30300,0
2025-11-26T15:47:42.400767,30216,0
2025-11-26T15:47:43.432515,30137,0
2025-11-26T15:47:44.462687,30247,0
2025-11-26T15:47:45.493118,30219,0
2025-11-26T15:47:46.522993,30521,0
2025-11-26T15:47:47.554151,30217,0
2025-11-26T15:47:48.614583,30260,0
2025-11-26T15:47:49.644626,30210,0
2025-11-26T15:47:50.688881,30273,0
2025-11-26T15:47:51.718628,30291,0
2025-11-26T15:47:52.748506,30470,0
2025-11-26T15:47:53.781289,30272,0
2025-11-26T15:47:54.811879,30242,0
2025-11-26T15:47:55.842083,30289,0
2025-11-26T15:47:56.872121,30179,0
2025-11-26T15:47:57.909341,30188,0
2025-11-26T15:47:58.939194,30362,0
2025-11-26T15:47:59.981813,30265,0
2025-11-26T15:48:01.013241,30205,0
2025-11-26T15:48:02.059701,30223,0
2025-11-26T15:48:03.089799,30176,0
2025-11-26T15:48:04.121102,30240,0
2025-11-26T15:48:05.155147,30470,0
2025-11-26T15:48:06.184149,30249,0
2025-11-26T15:48:07.214875,30222,0
2025-11-26T15:48:08.245880,30207,0
2025-11-26T15:48:09.275238,30164,0
2025-11-26T15:48:10.324303,30438,0
2025-11-26T15:48:11.396286,30170,0
2025-11-26T15:48:12.427060,30290,0
2025-11-26T15:48:13.457300,30310,0
2025-11-26T15:48:14.494801,30232,0
2025-11-26T15:48:15.528134,30304,0
2025-11-26T15:48:16.569471,30421,0
2025-11-26T15:48:17.599257,30398,0
2025-11-26T15:48:18.644633,30254,0
2025-11-26T15:48:19.677070,30403,0
2025-11-26T15:48:20.706484,30234,0
2025-11-26T15:48:21.736704,30254,0
2025-11-26T15:48:22.767275,30508,0
2025-11-26T15:48:23.798325,30498,0
2025-11-26T15:48:24.830192,30162,0
2025-11-26T15:48:25.860310,30235,0
2025-11-26T15:48:26.891916,30215,0
2025-11-26T15:48:27.941726,30185,0
2025-11-26T15:48:28.987598,30423,0
2025-11-26T15:48:30.024239,30268,0
2025-11-26T15:48:31.055651,30210,0
2025-11-26T15:48:32.090732,30199,0
2025-11-26T15:48:33.122339,30264,0
2025-11-26T15:48:34.156811,30254,0
2025-11-26T15:48:35.207638,30405,0
2025-11-26T15:48:36.257361,30443,0
2025-11-26T15:48:37.286595,30305,0
2025-11-26T15:48:38.317806,30246,0
2025-11-26T15:48:39.347783,30208,0
2025-11-26T15:48:40.377605,30374,0
2025-11-26T15:48:41.408231,30240,0
2025-11-26T15:48:42.450196,30204,0
2025-11-26T15:48:43.483652,30287,0
2025-11-26T15:48:44.524550,30161,0
2025-11-26T15:48:45.558695,30203,0
2025-11-26T15:48:46.599829,30552,0
2025-11-26T15:48:47.629541,30328,0
2025-11-26T15:48:48.664032,30389,0
2025-11-26T15:48:49.693433,30305,0
2025-11-26T15:48:50.724060,30261,0
2025-11-26T15:48:51.760011,30226,0
2025-11-26T15:48:52.789634,30372,0
2025-11-26T15:48:53.821815,30234,0
2025-11-26T15:48:54.868186,30166,0
2025-11-26T15:48:55.899036,30285,0
2025-11-26T15:48:56.942260,30145,0
2025-11-26T15:48:57.971859,30218,0
2025-11-26T15:48:59.001494,30424,0
2025-11-26T15:49:00.035632,30398,0
2025-11-26T15:49:01.068854,30218,0
2025-11-26T15:49:02.097814,30256,0
2025-11-26T15:49:03.128571,30214,0
2025-11-26T15:49:04.185416,30185,0
2025-11-26T15:49:05.215062,30369,0
2025-11-26T15:49:06.262002,30406,0
2025-11-26T15:49:07.292583,30276,0
2025-11-26T15:49:08.323703,30185,0
2025-11-26T15:49:09.366220,30315,0
2025-11-26T15:49:10.396513,30486,0
2025-11-26T15:49:11.427260,30256,0
2025-11-26T15:49:12.455809,30205,0
2025-11-26T15:49:13.503631,30252,0
2025-11-26T15:49:14.533843,30179,0
2025-11-26T15:49:15.583002,30225,0
2025-11-26T15:49:16.616411,30427,0
2025-11-26T15:49:17.646177,30223,0
2025-11-26T15:49:18.684823,30171,0
2025-11-26T15:49:19.714694,30429,0
2025-11-26T15:49:20.749869,30220,0
2025-11-26T15:49:21.798465,30251,0
2025-11-26T15:49:22.840014,30443,0
2025-11-26T15:49:23.874793,30298,0
2025-11-26T15:49:24.908284,30237,0
2025-11-26T15:49:25.938021,30296,0
2025-11-26T15:49:26.967828,30253,0
2025-11-26T15:49:28.025956,30265,0
2025-11-26T15:49:29.068488,30601,0
2025-11-26T15:49:30.098702,30239,0
2025-11-26T15:49:31.144946,30245,0
2025-11-26T15:49:32.175110,30250,0
2025-11-26T15:49:33.204521,30141,0
2025-11-26T15:49:34.237192,30231,0
2025-11-26T15:49:35.270695,30501,0
2025-11-26T15:49:36.300189,30243,0
2025-11-26T15:49:37.332049,30243,0
2025-11-26T15:49:38.363674,30214,0
2025-11-26T15:49:39.421284,30169,0
2025-11-26T15:49:40.461863,30422,0
2025-11-26T15:49:41.505056,30240,0
2025-11-26T15:49:42.533952,30212,0
2025-11-26T15:49:43.565021,30168,0
2025-11-26T15:49:44.606373,30189,0
2025-11-26T15:49:45.659067,30288,0
2025-11-26T15:49:46.691532,30413,0
2025-11-26T15:49:47.732702,30217,0
2025-11-26T15:49:48.761778,30223,0
2025-11-26T15:49:49.791790,30235,0
2025-11-26T15:49:50.823580,30197,0
2025-11-26T15:49:51.853218,30178,0
2025-11-26T15:49:52.883248,30402,0
2025-11-26T15:49:53.916659,30207,0
2025-11-26T15:49:54.948734,30189,0
2025-11-26T15:49:55.979165,30188,0
2025-11-26T15:49:57.023800,30194,0
2025-11-26T15:49:58.054877,30314,0
2025-11-26T15:49:59.100822,30450,0
2025-11-26T15:50:00.130006,30197,0
