timestamp,power_mW,under_attack
2025-11-26T13:30:02.560564,30221,1
2025-11-26T13:30:03.606833,30303,1
2025-11-26T13:30:04.638227,30628,1
2025-11-26T13:30:05.682878,30514,1
2025-11-26T13:30:06.716913,30528,1
2025-11-26T13:30:07.745953,30614,1
2025-11-26T13:30:08.774955,30587,1
2025-11-26T13:30:09.810169,30584,1
2025-11-26T13:30:10.841320,30557,1
2025-11-26T13:30:11.871953,30541,1
2025-11-26T13:30:12.926320,30551,1
2025-11-26T13:30:13.960933,30607,1
2025-11-26T13:30:15.003513,30693,1
2025-11-26T13:30:16.041174,30564,1
2025-11-26T13:30:17.074633,30563,1
2025-11-26T13:30:18.105723,30484,1
2025-11-26T13:30:19.146942,30660,1
2025-11-26T13:30:20.176397,30555,1
2025-11-26T13:30:21.218949,30596,1
2025-11-26T13:30:22.250534,30578,1
2025-11-26T13:30:23.304218,30415,1
2025-11-26T13:30:24.349722,30596,1
2025-11-26T13:30:25.383483,30618,1
2025-11-26T13:30:26.415173,30583,1
2025-11-26T13:30:27.464755,30590,1
2025-11-26T13:30:28.496455,30611,1
2025-11-26T13:30:29.542317,30604,1
2025-11-26T13:30:30.575584,30736,1
2025-11-26T13:30:31.608209,30639,1
2025-11-26T13:30:32.649681,30520,1
2025-11-26T13:30:33.679677,30596,1
2025-11-26T13:30:34.715156,30678,1
2025-11-26T13:30:35.759909,30581,1
2025-11-26T13:30:36.789066,30487,1
2025-11-26T13:30:37.836999,30630,1
2025-11-26T13:30:38.873555,30635,1
2025-11-26T13:30:39.903577,30627,1
2025-11-26T13:30:40.934581,30584,1
2025-11-26T13:30:41.965064,30648,1
2025-11-26T13:30:42.996885,30480,1
2025-11-26T13:30:44.054093,30586,1
2025-11-26T13:30:45.082683,30380,1
2025-11-26T13:30:46.133918,30496,1
2025-11-26T13:30:47.169391,30402,1
2025-11-26T13:30:48.200485,30662,1
2025-11-26T13:30:49.248140,30166,1
2025-11-26T13:30:50.280066,30336,1
2025-11-26T13:30:51.325410,30322,1
2025-11-26T13:30:52.355311,30294,1
2025-11-26T13:30:53.401376,30474,1
2025-11-26T13:30:54.465444,30271,1
2025-11-26T13:30:55.495674,30327,1
2025-11-26T13:30:56.529140,30303,1
2025-11-26T13:30:57.571741,30190,1
2025-11-26T13:30:58.619016,30247,1
2025-11-26T13:30:59.651061,30249,1
2025-11-26T13:31:00.686391,30381,1
2025-11-26T13:31:01.719136,30170,1
2025-11-26T13:31:04.486778,30273,0
2025-11-26T13:31:05.538676,30101,0
2025-11-26T13:31:06.582451,30024,0
2025-11-26T13:31:07.618212,30136,0
2025-11-26T13:31:08.657828,29976,0
2025-11-26T13:31:09.705444,29748,0
2025-11-26T13:31:10.735874,29879,0
2025-11-26T13:31:11.769631,29777,0
2025-11-26T13:31:12.804758,29812,0
2025-11-26T13:31:13.835330,29866,0
2025-11-26T13:31:14.876912,30051,0
2025-11-26T13:31:15.933667,30141,0
2025-11-26T13:31:16.963373,30109,0
2025-11-26T13:31:18.003050,29959,0
2025-11-26T13:31:19.032276,29833,0
2025-11-26T13:31:20.064027,29886,0
2025-11-26T13:31:21.103763,29841,0
2025-11-26T13:31:22.148289,29874,0
2025-11-26T13:31:23.177814,29883,0
2025-11-26T13:31:24.224946,29902,0
2025-11-26T13:31:25.259441,30284,0
2025-11-26T13:31:26.291146,30175,0
2025-11-26T13:31:27.327902,29999,0
2025-11-26T13:31:28.357488,29792,0
2025-11-26T13:31:29.388376,30125,0
2025-11-26T13:31:30.416638,29959,0
2025-11-26T13:31:31.448220,29998,0
2025-11-26T13:31:32.492367,29943,0
2025-11-26T13:31:33.541323,30251,0
2025-11-26T13:31:34.570250,29984,0
2025-11-26T13:31:35.607226,30020,0
2025-11-26T13:31:36.642019,30192,0
2025-11-26T13:31:37.675931,30199,0
2025-11-26T13:31:38.718896,30166,0
2025-11-26T13:31:39.761422,30185,0
2025-11-26T13:31:40.791409,30148,0
2025-11-26T13:31:41.833350,30102,0
2025-11-26T13:31:42.864254,30147,0
2025-11-26T13:31:43.894938,30431,0
2025-11-26T13:31:44.926859,30482,0
2025-11-26T13:31:45.959654,30152,0
2025-11-26T13:31:46.992016,30066,0
2025-11-26T13:31:48.036136,30140,0
2025-11-26T13:31:49.078044,30177,0
2025-11-26T13:31:50.109011,30114,0
2025-11-26T13:31:51.152920,30102,0
2025-11-26T13:31:52.193314,30288,0
2025-11-26T13:31:53.232139,30595,0
2025-11-26T13:31:54.261848,30434,0
2025-11-26T13:31:55.290748,30314,0
2025-11-26T13:31:56.348376,30343,0
2025-11-26T13:31:57.381042,30300,0
2025-11-26T13:31:58.424327,30309,0
2025-11-26T13:31:59.455055,30417,0
2025-11-26T13:32:00.504752,30357,0
2025-11-26T13:32:01.546261,30283,0
2025-11-26T13:32:02.577219,30220,0
2025-11-26T13:32:03.618724,30253,0
2025-11-26T13:32:04.670909,30396,0
2025-11-26T13:32:05.713500,30261,0
2025-11-26T13:32:06.749448,30135,0
2025-11-26T13:32:07.779185,30228,0
2025-11-26T13:32:08.809319,30211,0
2025-11-26T13:32:09.864730,30334,0
2025-11-26T13:32:10.895586,30153,0
2025-11-26T13:32:11.945282,30237,0
2025-11-26T13:32:12.986802,30343,0
2025-11-26T13:32:14.022776,30444,0
2025-11-26T13:32:15.057771,30372,0
2025-11-26T13:32:16.119366,30260,0
2025-11-26T13:32:17.161943,30119,0
2025-11-26T13:32:18.191870,30200,0
2025-11-26T13:32:19.226454,30093,0
