timestamp,power_mW,under_attack
2025-11-26T14:10:30.899665,30241,1
2025-11-26T14:10:31.954859,30165,1
2025-11-26T14:10:32.985062,30196,1
2025-11-26T14:10:34.020620,30308,1
2025-11-26T14:10:35.049815,30243,1
2025-11-26T14:10:36.080859,29829,1
2025-11-26T14:10:37.114230,29713,1
2025-11-26T14:10:38.169384,25849,1
2025-11-26T14:10:39.221053,28879,1
2025-11-26T14:10:40.252279,30449,1
2025-11-26T14:10:41.287310,30288,1
2025-11-26T14:10:42.320405,30360,1
2025-11-26T14:10:43.352818,30300,1
2025-11-26T14:10:44.385121,30261,1
2025-11-26T14:10:45.437480,30264,1
2025-11-26T14:10:46.466724,30269,1
2025-11-26T14:10:47.514553,30430,1
2025-11-26T14:10:48.557704,30302,1
2025-11-26T14:10:49.587852,30385,1
2025-11-26T14:10:50.617359,30480,1
2025-11-26T14:10:51.662669,30492,1
2025-11-26T14:10:52.705544,30443,1
2025-11-26T14:10:53.735725,30277,1
2025-11-26T14:10:54.781026,30371,1
2025-11-26T14:10:55.811234,30227,1
2025-11-26T14:10:56.841093,30367,1
2025-11-26T14:10:57.869730,30255,1
2025-11-26T14:10:58.951015,30328,1
2025-11-26T14:10:59.981029,30452,1
2025-11-26T14:11:01.027489,30396,1
2025-11-26T14:11:02.075491,30301,1
2025-11-26T14:11:03.126409,30240,1
2025-11-26T14:11:04.156574,30317,1
2025-11-26T14:11:05.198384,30257,1
2025-11-26T14:11:06.230651,30317,1
2025-11-26T14:11:07.274949,30351,1
2025-11-26T14:11:08.372884,30330,1
2025-11-26T14:11:09.448239,30373,1
2025-11-26T14:11:10.482928,30615,1
2025-11-26T14:11:11.526924,30432,1
2025-11-26T14:11:12.572508,30362,1
2025-11-26T14:11:13.604490,30294,1
2025-11-26T14:11:14.663202,30380,1
2025-11-26T14:11:15.695329,30306,1
2025-11-26T14:11:16.724775,30410,1
2025-11-26T14:11:17.754011,30316,1
2025-11-26T14:11:18.789158,30448,1
2025-11-26T14:11:19.818422,30491,1
2025-11-26T14:11:20.864392,30502,1
2025-11-26T14:11:21.892996,30409,1
2025-11-26T14:11:22.925690,30343,1
2025-11-26T14:11:23.967675,30346,1
2025-11-26T14:11:24.996731,30361,1
2025-11-26T14:11:26.026906,30289,1
2025-11-26T14:11:27.067148,30420,1
2025-11-26T14:11:28.096903,30449,1
2025-11-26T14:11:29.126180,30237,1
2025-11-26T14:11:30.216808,30201,1
2025-11-26T14:11:31.470043,30328,0
2025-11-26T14:11:32.499661,30233,0
2025-11-26T14:11:33.528827,30095,0
2025-11-26T14:11:34.559890,30116,0
2025-11-26T14:11:35.612414,30151,0
2025-11-26T14:11:36.644868,30082,0
2025-11-26T14:11:37.687863,30199,0
2025-11-26T14:11:38.723687,30238,0
2025-11-26T14:11:39.757231,30263,0
2025-11-26T14:11:40.786721,30564,0
2025-11-26T14:11:41.815795,30219,0
2025-11-26T14:11:42.845957,30157,0
2025-11-26T14:11:43.876389,30165,0
2025-11-26T14:11:44.909633,30186,0
2025-11-26T14:11:45.953701,30224,0
2025-11-26T14:11:46.985145,30104,0
2025-11-26T14:11:48.031099,30297,0
2025-11-26T14:11:49.060105,30468,0
2025-11-26T14:11:50.089532,30427,0
2025-11-26T14:11:51.120674,30164,0
2025-11-26T14:11:52.151505,30196,0
2025-11-26T14:11:53.185385,30163,0
2025-11-26T14:11:54.221869,30402,0
2025-11-26T14:11:55.253730,30365,0
2025-11-26T14:11:56.296948,30261,0
2025-11-26T14:11:57.329212,30237,0
2025-11-26T14:11:58.371627,30344,0
2025-11-26T14:11:59.402679,30269,0
2025-11-26T14:12:00.434262,30268,0
2025-11-26T14:12:01.467773,30310,0
2025-11-26T14:12:02.497788,30332,0
2025-11-26T14:12:03.529521,30241,0
2025-11-26T14:12:04.558778,30175,0
2025-11-26T14:12:05.589697,30167,0
2025-11-26T14:12:06.642684,30360,0
2025-11-26T14:12:07.673707,30610,0
2025-11-26T14:12:08.712784,30809,0
2025-11-26T14:12:09.746763,30294,0
2025-11-26T14:12:10.779487,30098,0
2025-11-26T14:12:11.809954,30186,0
2025-11-26T14:12:12.839867,30183,0
2025-11-26T14:12:13.869914,30191,0
2025-11-26T14:12:14.899230,30241,0
2025-11-26T14:12:15.940180,30259,0
2025-11-26T14:12:16.984889,30248,0
2025-11-26T14:12:18.014394,30269,0
2025-11-26T14:12:19.056800,30474,0
2025-11-26T14:12:20.087865,30719,0
2025-11-26T14:12:21.118910,30451,0
2025-11-26T14:12:22.153176,30208,0
2025-11-26T14:12:23.184217,30284,0
2025-11-26T14:12:24.226320,30224,0
2025-11-26T14:12:25.255424,30325,0
2025-11-26T14:12:26.299261,30289,0
2025-11-26T14:12:27.328766,30219,0
2025-11-26T14:12:28.377226,30375,0
2025-11-26T14:12:29.406543,30461,0
2025-11-26T14:12:30.436046,30271,0
2025-11-26T14:12:31.471095,30219,0
2025-11-26T14:12:32.501871,30137,0
2025-11-26T14:12:33.534423,30151,0
2025-11-26T14:12:34.567192,30192,0
2025-11-26T14:12:35.630006,30178,0
2025-11-26T14:12:36.671775,30051,0
2025-11-26T14:12:37.728810,30345,0
2025-11-26T14:12:38.760302,30561,0
2025-11-26T14:12:39.789518,30381,0
2025-11-26T14:12:40.819249,30133,0
2025-11-26T14:12:41.866426,30183,0
2025-11-26T14:12:42.899529,30095,0
2025-11-26T14:12:43.938768,30202,0
2025-11-26T14:12:44.980829,30169,0
2025-11-26T14:12:46.016940,30242,0
2025-11-26T14:12:47.059295,30208,0
2025-11-26T14:12:48.088853,30239,0
2025-11-26T14:12:49.135845,30243,0
2025-11-26T14:12:50.198796,30490,0
2025-11-26T14:12:51.239107,30492,0
2025-11-26T14:12:52.275572,30203,0
2025-11-26T14:12:53.307950,30253,0
2025-11-26T14:12:54.337329,30280,0
2025-11-26T14:12:55.380856,30299,0
2025-11-26T14:12:56.411068,30218,0
2025-11-26T14:12:57.457111,30232,0
2025-11-26T14:12:58.492793,30287,0
2025-11-26T14:12:59.521539,30473,0
2025-11-26T14:13:00.552722,30276,0
2025-11-26T14:13:01.582438,30252,0
2025-11-26T14:13:02.616182,30264,0
2025-11-26T14:13:03.646232,30210,0
2025-11-26T14:13:04.700732,30214,0
2025-11-26T14:13:05.730910,30248,0
2025-11-26T14:13:06.774688,30389,0
2025-11-26T14:13:07.807730,30218,0
2025-11-26T14:13:08.837143,30539,0
2025-11-26T14:13:09.870485,30635,0
2025-11-26T14:13:10.899197,30177,0
2025-11-26T14:13:11.929222,30217,0
2025-11-26T14:13:12.959244,30373,0
2025-11-26T14:13:13.992348,30168,0
2025-11-26T14:13:15.021449,30132,0
2025-11-26T14:13:16.065741,30265,0
2025-11-26T14:13:17.097986,30151,0
2025-11-26T14:13:18.154903,30227,0
2025-11-26T14:13:19.198222,30169,0
2025-11-26T14:13:20.232753,30383,0
2025-11-26T14:13:21.267293,30629,0
2025-11-26T14:13:22.313335,30281,0
2025-11-26T14:13:23.343781,30174,0
2025-11-26T14:13:24.408456,30248,0
2025-11-26T14:13:25.437768,30274,0
2025-11-26T14:13:26.468323,30197,0
2025-11-26T14:13:27.505702,30213,0
2025-11-26T14:13:28.535257,30185,0
2025-11-26T14:13:29.565238,30259,0
2025-11-26T14:13:30.615881,30310,0
2025-11-26T14:13:31.655777,30181,0
2025-11-26T14:13:32.689000,30190,0
2025-11-26T14:13:33.718745,30239,0
2025-11-26T14:13:34.754520,30232,0
2025-11-26T14:13:35.783673,30149,0
2025-11-26T14:13:36.816676,30254,0
2025-11-26T14:13:37.851538,30287,0
2025-11-26T14:13:38.904348,30443,0
2025-11-26T14:13:39.938280,30583,0
2025-11-26T14:13:40.976838,30341,0
2025-11-26T14:13:42.024944,30310,0
2025-11-26T14:13:43.055203,30271,0
2025-11-26T14:13:44.091121,30188,0
2025-11-26T14:13:45.151094,30242,0
2025-11-26T14:13:46.181720,30161,0
2025-11-26T14:13:47.223875,30146,0
2025-11-26T14:13:48.255505,30146,0
2025-11-26T14:13:49.301903,30221,0
2025-11-26T14:13:50.341722,30278,0
2025-11-26T14:13:51.371526,30498,0
2025-11-26T14:13:52.400419,30432,0
2025-11-26T14:13:53.447144,30233,0
2025-11-26T14:13:54.493012,30215,0
2025-11-26T14:13:55.532253,30224,0
2025-11-26T14:13:56.568610,30284,0
2025-11-26T14:13:57.597811,30240,0
2025-11-26T14:13:58.637881,30296,0
2025-11-26T14:13:59.690348,30289,0
2025-11-26T14:14:00.722306,30615,0
2025-11-26T14:14:01.772454,30373,0
2025-11-26T14:14:02.801812,30236,0
2025-11-26T14:14:03.844083,30159,0
2025-11-26T14:14:04.875649,30235,0
2025-11-26T14:14:05.915052,30281,0
2025-11-26T14:14:06.958426,30480,0
2025-11-26T14:14:07.988143,30598,0
2025-11-26T14:14:09.036959,30124,0
2025-11-26T14:14:10.067368,30230,0
2025-11-26T14:14:11.095574,30280,0
2025-11-26T14:14:12.184527,30166,0
2025-11-26T14:14:13.214412,30245,0
2025-11-26T14:14:14.255616,30266,0
2025-11-26T14:14:15.285137,30317,0
2025-11-26T14:14:16.314384,30346,0
2025-11-26T14:14:17.357604,30223,0
2025-11-26T14:14:18.387063,30491,0
2025-11-26T14:14:19.476764,30584,0
2025-11-26T14:14:20.506178,30402,0
2025-11-26T14:14:21.537183,30209,0
2025-11-26T14:14:22.568126,30156,0
2025-11-26T14:14:23.600720,30273,0
2025-11-26T14:14:24.638849,30201,0
2025-11-26T14:14:25.669776,30175,0
2025-11-26T14:14:26.701658,30155,0
2025-11-26T14:14:27.746945,30446,0
2025-11-26T14:14:28.777103,30367,0
2025-11-26T14:14:29.821916,30227,0
2025-11-26T14:14:30.852756,30225,0
2025-11-26T14:14:31.883670,30148,1
2025-11-26T14:14:32.913677,30181,1
2025-11-26T14:14:33.942652,30246,1
2025-11-26T14:14:34.974002,30368,1
2025-11-26T14:14:36.005455,30317,1
2025-11-26T14:14:37.035243,30532,1
2025-11-26T14:14:38.095666,30517,1
2025-11-26T14:14:39.320589,30500,1
2025-11-26T14:14:40.350128,30456,1
2025-11-26T14:14:41.392736,30295,1
2025-11-26T14:14:42.426442,30320,1
2025-11-26T14:14:43.458095,30410,1
2025-11-26T14:14:44.491581,30462,1
2025-11-26T14:14:45.521224,30334,1
2025-11-26T14:14:46.555677,30298,1
2025-11-26T14:14:47.586231,30335,1
2025-11-26T14:14:48.615280,30289,1
2025-11-26T14:14:49.659741,30308,1
2025-11-26T14:14:50.691777,30493,1
2025-11-26T14:14:51.735504,30555,1
2025-11-26T14:14:52.766853,30249,1
2025-11-26T14:14:53.800147,30261,1
2025-11-26T14:14:54.833920,30313,1
2025-11-26T14:14:55.866468,30547,1
2025-11-26T14:14:56.896027,30365,1
2025-11-26T14:14:57.935227,30303,1
2025-11-26T14:14:58.977702,30328,1
