timestamp,power_mW,under_attack
2025-11-26T12:49:35.786205,30542,1
2025-11-26T12:49:36.832738,30338,1
2025-11-26T12:49:37.862083,30447,1
2025-11-26T12:49:38.907791,30536,1
2025-11-26T12:49:39.948718,30413,1
2025-11-26T12:49:40.977988,30448,1
2025-11-26T12:49:42.021235,30500,1
2025-11-26T12:49:43.075679,30398,1
2025-11-26T12:49:44.107418,30592,1
2025-11-26T12:49:45.154313,30568,1
2025-11-26T12:49:46.184698,30571,1
2025-11-26T12:49:47.226603,30458,1
2025-11-26T12:49:48.256774,30442,1
2025-11-26T12:49:49.288290,30471,1
2025-11-26T12:49:50.348197,30526,1
2025-11-26T12:49:51.377569,30483,1
2025-11-26T12:49:52.424072,30461,1
2025-11-26T12:49:53.454108,30610,1
2025-11-26T12:49:54.488339,30493,1
2025-11-26T12:49:55.517695,30490,1
2025-11-26T12:49:56.552230,30575,1
2025-11-26T12:49:57.581726,30495,1
2025-11-26T12:49:58.618214,30494,1
2025-11-26T12:49:59.666262,30453,1
2025-11-26T12:50:00.695295,30490,1
2025-11-26T12:50:01.748094,30751,1
2025-11-26T12:50:02.785050,30567,1
2025-11-26T12:50:03.814400,30803,1
2025-11-26T12:50:04.847816,30208,1
2025-11-26T12:50:05.877112,30222,1
2025-11-26T12:50:06.906716,30112,1
2025-11-26T12:50:07.958952,30167,1
2025-11-26T12:50:08.990439,30016,1
2025-11-26T12:50:10.038411,30153,1
2025-11-26T12:50:11.088145,30141,1
2025-11-26T12:50:12.117766,30155,1
2025-11-26T12:50:13.155100,30031,1
2025-11-26T12:50:14.186643,30132,1
2025-11-26T12:50:15.231541,30130,1
2025-11-26T12:50:16.263859,30163,1
2025-11-26T12:50:17.312374,30114,1
2025-11-26T12:50:18.348348,30055,1
2025-11-26T12:50:19.377839,30063,1
2025-11-26T12:50:20.408416,29983,1
2025-11-26T12:50:21.439821,30112,1
2025-11-26T12:50:22.468876,30228,1
2025-11-26T12:50:23.501605,30298,1
2025-11-26T12:50:24.549040,30236,1
2025-11-26T12:50:25.640273,30232,1
2025-11-26T12:50:26.700258,30135,1
2025-11-26T12:50:27.729915,30277,1
2025-11-26T12:50:28.796474,30126,1
2025-11-26T12:50:29.826153,30165,1
2025-11-26T12:50:30.857597,30173,1
2025-11-26T12:50:31.887055,30130,1
2025-11-26T12:50:32.922503,30327,1
2025-11-26T12:50:33.951509,30207,1
2025-11-26T12:50:34.995212,30220,1
2025-11-26T12:50:38.579415,30121,0
2025-11-26T12:50:39.639750,30261,0
2025-11-26T12:50:40.681240,29946,0
2025-11-26T12:50:41.714665,29949,0
2025-11-26T12:50:42.745888,29846,0
2025-11-26T12:50:43.800718,30245,0
2025-11-26T12:50:44.830290,30080,0
2025-11-26T12:50:45.876007,29947,0
2025-11-26T12:50:46.906365,29976,0
2025-11-26T12:50:47.939830,29985,0
2025-11-26T12:50:48.969279,29960,0
2025-11-26T12:50:49.999105,29912,0
2025-11-26T12:50:51.032681,30194,0
2025-11-26T12:50:52.063077,30212,0
2025-11-26T12:50:53.093853,30184,0
2025-11-26T12:50:54.122756,30037,0
2025-11-26T12:50:55.171463,29878,0
2025-11-26T12:50:56.217108,29910,0
2025-11-26T12:50:57.246953,29995,0
2025-11-26T12:50:58.284746,29900,0
2025-11-26T12:50:59.315612,29962,0
2025-11-26T12:51:00.347798,29996,0
2025-11-26T12:51:01.378328,29858,0
2025-11-26T12:51:02.408788,29955,0
2025-11-26T12:51:03.439748,29974,0
2025-11-26T12:51:04.486077,30560,0
2025-11-26T12:51:05.517265,30163,0
2025-11-26T12:51:06.557725,30108,0
2025-11-26T12:51:07.591391,30152,0
2025-11-26T12:51:08.628133,30072,0
2025-11-26T12:51:09.659546,29970,0
2025-11-26T12:51:10.690601,30064,0
2025-11-26T12:51:11.726407,30279,0
2025-11-26T12:51:12.756205,30527,0
2025-11-26T12:51:14.011259,30408,0
2025-11-26T12:51:15.080225,30516,0
2025-11-26T12:51:16.112440,30313,0
2025-11-26T12:51:17.147659,30283,0
2025-11-26T12:51:18.184426,30197,0
2025-11-26T12:51:19.240161,30308,0
2025-11-26T12:51:20.291383,30251,0
2025-11-26T12:51:21.322674,30196,0
2025-11-26T12:51:22.354222,30631,0
2025-11-26T12:51:23.384507,30531,0
2025-11-26T12:51:24.430691,30342,0
2025-11-26T12:51:25.481453,30533,0
2025-11-26T12:51:26.532305,30266,0
2025-11-26T12:51:27.563149,30257,0
2025-11-26T12:51:28.595261,30161,0
2025-11-26T12:51:29.624693,30077,0
2025-11-26T12:51:30.665187,30281,0
2025-11-26T12:51:31.695169,30213,0
2025-11-26T12:51:32.730203,30278,0
2025-11-26T12:51:33.771218,30440,0
2025-11-26T12:51:34.801184,30459,0
2025-11-26T12:51:35.851494,30316,0
2025-11-26T12:51:36.883096,30212,0
2025-11-26T12:51:37.911532,30253,0
2025-11-26T12:51:38.947184,30218,0
2025-11-26T12:51:39.976593,30368,0
2025-11-26T12:51:41.007002,30362,0
2025-11-26T12:51:42.039102,30297,0
2025-11-26T12:51:43.108814,30289,0
2025-11-26T12:51:44.146628,30628,0
2025-11-26T12:51:45.210399,30492,0
2025-11-26T12:51:46.242741,30493,0
2025-11-26T12:51:47.286927,30241,0
2025-11-26T12:51:48.318720,30210,0
2025-11-26T12:51:49.367003,30291,0
2025-11-26T12:51:50.400379,30397,0
2025-11-26T12:51:51.447135,30228,0
2025-11-26T12:51:52.480639,30274,0
2025-11-26T12:51:53.512390,30555,0
2025-11-26T12:51:54.558026,30335,0
2025-11-26T12:51:55.588026,30511,0
2025-11-26T12:51:56.634375,30422,0
2025-11-26T12:51:57.663680,30234,0
2025-11-26T12:51:58.694018,30264,0
2025-11-26T12:51:59.722947,30234,0
2025-11-26T12:52:00.756768,30332,0
2025-11-26T12:52:01.796184,30159,0
2025-11-26T12:52:02.825932,30277,0
2025-11-26T12:52:03.858605,30255,0
2025-11-26T12:52:04.900232,30320,0
2025-11-26T12:52:05.931366,30355,0
2025-11-26T12:52:06.975489,30575,0
2025-11-26T12:52:08.010326,30181,0
2025-11-26T12:52:09.044186,30194,0
2025-11-26T12:52:10.073162,30070,0
2025-11-26T12:52:11.105844,30177,0
2025-11-26T12:52:12.135485,30224,0
2025-11-26T12:52:13.168694,30146,0
2025-11-26T12:52:14.200241,30352,0
2025-11-26T12:52:15.250703,30510,0
2025-11-26T12:52:16.299676,30431,0
2025-11-26T12:52:17.329186,30363,0
2025-11-26T12:52:18.371798,30207,0
2025-11-26T12:52:19.401901,30175,0
2025-11-26T12:52:20.446497,30223,0
2025-11-26T12:52:21.508900,30263,0
2025-11-26T12:52:22.567704,30222,0
2025-11-26T12:52:23.598572,30259,0
2025-11-26T12:52:24.630192,30498,0
2025-11-26T12:52:25.661865,30561,0
2025-11-26T12:52:26.692411,30554,0
2025-11-26T12:52:27.742812,30471,0
2025-11-26T12:52:28.796438,30267,0
2025-11-26T12:52:29.830853,30162,0
2025-11-26T12:52:30.860596,30205,0
2025-11-26T12:52:31.891471,30249,0
2025-11-26T12:52:32.923827,30252,0
2025-11-26T12:52:33.956013,30329,0
2025-11-26T12:52:34.987072,30232,0
2025-11-26T12:52:36.038309,30488,0
2025-11-26T12:52:37.083436,30168,0
2025-11-26T12:52:38.125222,30089,0
2025-11-26T12:52:39.159668,30208,0
2025-11-26T12:52:40.192892,30215,0
2025-11-26T12:52:41.222363,30230,0
2025-11-26T12:52:42.251556,30172,0
2025-11-26T12:52:43.318039,30139,0
2025-11-26T12:52:44.365199,30146,0
2025-11-26T12:52:45.397278,30368,0
2025-11-26T12:52:46.426180,30570,0
