timestamp,power_mW,under_attack
2025-11-26T19:57:36.142776,30534,1
2025-11-26T19:57:37.172464,30601,1
2025-11-26T19:57:38.201599,30614,1
2025-11-26T19:57:39.231013,30689,1
2025-11-26T19:57:40.281442,30809,1
2025-11-26T19:57:41.327359,30525,1
2025-11-26T19:57:42.371117,30608,1
2025-11-26T19:57:43.399131,30757,1
2025-11-26T19:57:44.432547,30788,1
2025-11-26T19:57:45.475505,30697,1
2025-11-26T19:57:46.521149,30702,1
2025-11-26T19:57:47.551478,30792,1
2025-11-26T19:57:48.593578,30812,1
2025-11-26T19:57:49.624547,30564,1
2025-11-26T19:57:50.663813,30211,1
2025-11-26T19:57:51.692518,30360,1
2025-11-26T19:57:52.723208,30267,1
2025-11-26T19:57:53.753191,30706,1
2025-11-26T19:57:54.787266,30777,1
2025-11-26T19:57:55.815443,30606,1
2025-11-26T19:57:56.843728,30689,1
2025-11-26T19:57:57.887414,30702,1
2025-11-26T19:57:58.917675,30752,1
2025-11-26T19:57:59.964393,30685,1
2025-11-26T19:58:00.992816,30741,1
2025-11-26T19:58:02.025822,30669,1
2025-11-26T19:58:03.054488,30736,1
2025-11-26T19:58:04.090997,30732,1
2025-11-26T19:58:05.119562,30768,1
2025-11-26T19:58:06.157750,30665,1
2025-11-26T19:58:07.215367,30502,1
2025-11-26T19:58:08.261805,30169,1
2025-11-26T19:58:09.304539,30057,1
2025-11-26T19:58:10.335831,30053,1
2025-11-26T19:58:11.364036,30212,1
2025-11-26T19:58:12.396368,30078,1
2025-11-26T19:58:13.432758,30022,1
2025-11-26T19:58:14.477569,30008,1
2025-11-26T19:58:15.528111,30061,1
2025-11-26T19:58:16.555828,30050,1
2025-11-26T19:58:17.584527,30082,1
2025-11-26T19:58:18.613388,29981,1
2025-11-26T19:58:19.642410,29929,1
2025-11-26T19:58:20.674607,29853,1
2025-11-26T19:58:21.705842,30012,1
2025-11-26T19:58:22.734362,30044,1
2025-11-26T19:58:23.779421,30021,1
2025-11-26T19:58:24.820196,29955,1
2025-11-26T19:58:25.848992,30060,1
2025-11-26T19:58:26.894576,29996,1
2025-11-26T19:58:27.940642,30048,1
2025-11-26T19:58:28.972153,30072,1
2025-11-26T19:58:30.019174,29982,1
2025-11-26T19:58:31.066419,30145,1
2025-11-26T19:58:32.096887,29926,1
2025-11-26T19:58:33.163404,30014,1
