timestamp,power_mW,under_attack
2025-11-26T19:17:27.044682,29852,1
2025-11-26T19:17:28.074412,29925,1
2025-11-26T19:17:29.105618,29984,1
2025-11-26T19:17:30.138714,30054,1
2025-11-26T19:17:31.174050,29955,1
2025-11-26T19:17:32.203926,29971,1
2025-11-26T19:17:33.234200,29944,1
2025-11-26T19:17:34.287414,29872,1
2025-11-26T19:17:35.338038,30039,1
2025-11-26T19:17:36.380385,30043,1
2025-11-26T19:17:37.409743,29962,1
2025-11-26T19:17:38.441380,29963,1
2025-11-26T19:17:39.480564,29949,1
2025-11-26T19:17:40.513275,30031,1
2025-11-26T19:17:41.555187,30025,1
2025-11-26T19:17:42.585245,29987,1
2025-11-26T19:17:43.630751,29990,1
2025-11-26T19:17:44.665700,30020,1
2025-11-26T19:17:45.695888,30044,1
2025-11-26T19:17:46.727904,30015,1
2025-11-26T19:17:47.759240,30020,1
2025-11-26T19:17:48.789225,30082,1
2025-11-26T19:17:49.819227,30040,1
2025-11-26T19:17:50.851396,30021,1
2025-11-26T19:17:51.898959,30059,1
2025-11-26T19:17:52.930783,30130,1
2025-11-26T19:17:53.973478,30021,1
2025-11-26T19:17:55.018715,30045,1
2025-11-26T19:17:56.048607,30025,1
2025-11-26T19:17:57.078932,30063,1
2025-11-26T19:17:58.110627,29979,1
2025-11-26T19:17:59.141089,30067,1
2025-11-26T19:18:00.170218,30005,1
2025-11-26T19:18:01.200400,30252,1
2025-11-26T19:18:02.245344,30009,1
2025-11-26T19:18:03.302394,30047,1
2025-11-26T19:18:04.331249,29934,1
2025-11-26T19:18:05.364651,30045,1
2025-11-26T19:18:06.405244,29921,1
2025-11-26T19:18:07.436402,30020,1
2025-11-26T19:18:08.466017,30049,1
2025-11-26T19:18:09.515828,29961,1
2025-11-26T19:18:10.562507,30044,1
2025-11-26T19:18:11.592593,30025,1
2025-11-26T19:18:12.623999,29956,1
2025-11-26T19:18:13.659169,29983,1
2025-11-26T19:18:14.689402,30031,1
2025-11-26T19:18:15.720122,30081,1
2025-11-26T19:18:16.755424,29997,1
2025-11-26T19:18:17.787073,30128,1
2025-11-26T19:18:18.829550,29914,1
2025-11-26T19:18:19.860778,29779,1
2025-11-26T19:18:20.905409,29971,1
2025-11-26T19:18:21.937525,29835,1
2025-11-26T19:18:22.967180,29996,1
2025-11-26T19:18:24.001720,29940,1
2025-11-26T19:18:25.031575,29952,1
2025-11-26T19:18:26.061373,30131,1
2025-11-26T19:18:27.565910,29987,0
2025-11-26T19:18:28.626452,29862,0
2025-11-26T19:18:29.657260,29945,0
2025-11-26T19:18:30.687483,29887,0
2025-11-26T19:18:31.748107,29873,0
2025-11-26T19:18:32.785691,30296,0
2025-11-26T19:18:33.821493,29860,0
2025-11-26T19:18:34.852229,29901,0
2025-11-26T19:18:35.881396,29882,0
2025-11-26T19:18:36.911580,29919,0
2025-11-26T19:18:37.942708,29813,0
2025-11-26T19:18:38.973322,29901,0
2025-11-26T19:18:40.005927,29882,0
2025-11-26T19:18:41.051709,29892,0
2025-11-26T19:18:42.081568,29807,0
2025-11-26T19:18:43.130486,29871,0
2025-11-26T19:18:44.159634,29835,0
2025-11-26T19:18:45.189414,29877,0
2025-11-26T19:18:46.222804,29914,0
2025-11-26T19:18:47.252866,29897,0
2025-11-26T19:18:48.282262,29919,0
2025-11-26T19:18:49.312599,29859,0
2025-11-26T19:18:50.350718,29891,0
2025-11-26T19:18:51.392422,29928,0
2025-11-26T19:18:52.424068,29941,0
2025-11-26T19:18:53.471388,29924,0
2025-11-26T19:18:54.522733,29870,0
2025-11-26T19:18:55.555451,29860,0
2025-11-26T19:18:56.585333,29831,0
2025-11-26T19:18:57.616520,29897,0
2025-11-26T19:18:58.665772,29883,0
2025-11-26T19:18:59.695489,29815,0
2025-11-26T19:19:00.742931,30010,0
2025-11-26T19:19:01.772734,29961,0
2025-11-26T19:19:02.802520,29922,0
2025-11-26T19:19:03.831331,29952,0
2025-11-26T19:19:04.865632,29801,0
2025-11-26T19:19:05.896350,29809,0
2025-11-26T19:19:06.926022,29864,0
2025-11-26T19:19:07.986244,29913,0
2025-11-26T19:19:09.035040,29989,0
2025-11-26T19:19:10.068675,29907,0
2025-11-26T19:19:11.100393,29848,0
2025-11-26T19:19:12.132128,29942,0
2025-11-26T19:19:13.171791,29868,0
2025-11-26T19:19:14.201242,29875,0
2025-11-26T19:19:15.231652,29833,0
2025-11-26T19:19:16.278091,29926,0
2025-11-26T19:19:17.308119,29965,0
2025-11-26T19:19:18.355763,29881,0
2025-11-26T19:19:19.385253,29866,0
2025-11-26T19:19:20.416612,29833,0
2025-11-26T19:19:21.448371,29912,0
2025-11-26T19:19:22.480777,29889,0
2025-11-26T19:19:23.511859,29876,0
2025-11-26T19:19:24.543249,29897,0
2025-11-26T19:19:25.605059,29899,0
2025-11-26T19:19:26.646597,29956,0
2025-11-26T19:19:27.686562,29938,0
2025-11-26T19:19:28.718775,30042,0
2025-11-26T19:19:29.751319,29909,0
2025-11-26T19:19:30.788440,29866,0
2025-11-26T19:19:31.818352,29885,0
2025-11-26T19:19:32.889906,29850,0
2025-11-26T19:19:33.922589,29908,0
2025-11-26T19:19:34.952555,29818,0
2025-11-26T19:19:35.992256,29825,0
2025-11-26T19:19:37.024234,29819,0
2025-11-26T19:19:38.059647,29826,0
2025-11-26T19:19:39.110563,29906,0
2025-11-26T19:19:40.140263,29939,0
2025-11-26T19:19:41.187438,29903,0
2025-11-26T19:19:42.216725,29817,0
2025-11-26T19:19:43.246384,29934,0
2025-11-26T19:19:44.279007,29850,0
2025-11-26T19:19:45.312064,29882,0
2025-11-26T19:19:46.341623,29852,0
2025-11-26T19:19:47.373510,29848,0
2025-11-26T19:19:48.404879,29841,0
2025-11-26T19:19:49.435605,29866,0
2025-11-26T19:19:50.481465,29937,0
2025-11-26T19:19:51.511869,29917,0
2025-11-26T19:19:52.552432,29891,0
2025-11-26T19:19:53.585668,29859,0
2025-11-26T19:19:54.617252,29905,0
2025-11-26T19:19:55.646721,29923,0
2025-11-26T19:19:56.676820,29855,0
2025-11-26T19:19:57.713430,29852,0
2025-11-26T19:19:58.746207,29938,0
2025-11-26T19:19:59.775856,29930,0
2025-11-26T19:20:00.820671,29968,0
2025-11-26T19:20:01.851038,30043,0
2025-11-26T19:20:02.897592,29887,0
2025-11-26T19:20:03.926955,29908,0
2025-11-26T19:20:04.957035,29754,0
2025-11-26T19:20:05.989099,30029,0
2025-11-26T19:20:07.026787,29842,0
2025-11-26T19:20:08.056133,29888,0
2025-11-26T19:20:09.086734,29994,0
2025-11-26T19:20:10.143717,29845,0
2025-11-26T19:20:11.197064,29870,0
2025-11-26T19:20:12.230487,29916,0
2025-11-26T19:20:13.260710,29860,0
2025-11-26T19:20:14.290030,29981,0
2025-11-26T19:20:15.359863,29878,0
2025-11-26T19:20:16.389829,29840,0
2025-11-26T19:20:17.436220,29811,0
2025-11-26T19:20:18.466752,29843,0
2025-11-26T19:20:19.496214,29830,0
2025-11-26T19:20:20.536928,29832,0
2025-11-26T19:20:21.566399,29838,0
2025-11-26T19:20:22.630389,29887,0
2025-11-26T19:20:23.659801,29853,0
2025-11-26T19:20:24.710103,29894,0
2025-11-26T19:20:25.740642,29820,0
2025-11-26T19:20:26.771557,29949,0
2025-11-26T19:20:27.801764,29842,0
2025-11-26T19:20:28.844938,29891,0
2025-11-26T19:20:29.875457,29943,0
2025-11-26T19:20:30.904194,29874,0
2025-11-26T19:20:31.953001,29963,0
2025-11-26T19:20:33.001853,29819,0
2025-11-26T19:20:34.031299,29907,0
2025-11-26T19:20:35.064158,29819,0
2025-11-26T19:20:36.093954,29851,0
2025-11-26T19:20:37.129223,29900,0
2025-11-26T19:20:38.158202,29848,0
2025-11-26T19:20:39.187906,29862,0
2025-11-26T19:20:40.217666,29929,0
2025-11-26T19:20:41.267478,29872,0
2025-11-26T19:20:42.306897,29932,0
2025-11-26T19:20:43.343133,29847,0
2025-11-26T19:20:44.373785,29847,0
2025-11-26T19:20:45.403295,29797,0
2025-11-26T19:20:46.432867,29795,0
2025-11-26T19:20:47.462249,29913,0
2025-11-26T19:20:48.491672,29945,0
2025-11-26T19:20:49.522758,29907,0
2025-11-26T19:20:50.563710,29852,0
2025-11-26T19:20:51.593727,29871,0
2025-11-26T19:20:52.637168,29934,0
2025-11-26T19:20:53.666699,29947,0
2025-11-26T19:20:54.711070,29970,0
2025-11-26T19:20:55.744779,29934,0
2025-11-26T19:20:56.775484,29839,0
2025-11-26T19:20:57.804796,29865,0
2025-11-26T19:20:58.836286,29897,0
2025-11-26T19:20:59.873090,29866,0
2025-11-26T19:21:00.902943,29814,0
2025-11-26T19:21:01.933802,29981,0
2025-11-26T19:21:02.978148,29874,0
2025-11-26T19:21:04.008418,29859,0
2025-11-26T19:21:05.053292,29808,0
2025-11-26T19:21:06.083141,29829,0
2025-11-26T19:21:07.114337,29894,0
2025-11-26T19:21:08.145169,29897,0
2025-11-26T19:21:09.180324,29832,0
2025-11-26T19:21:10.210789,29954,0
2025-11-26T19:21:11.243418,29909,0
2025-11-26T19:21:12.298951,29856,0
2025-11-26T19:21:13.328995,29836,0
2025-11-26T19:21:14.371682,29899,0
2025-11-26T19:21:15.401558,29839,0
2025-11-26T19:21:16.431529,29894,0
2025-11-26T19:21:17.462689,29893,0
2025-11-26T19:21:18.493537,29880,0
2025-11-26T19:21:19.523760,29893,0
2025-11-26T19:21:20.553132,29725,0
2025-11-26T19:21:21.592875,29904,0
2025-11-26T19:21:22.643779,29928,0
2025-11-26T19:21:23.690137,29831,0
2025-11-26T19:21:24.720611,29916,0
2025-11-26T19:21:25.755072,29863,0
2025-11-26T19:21:26.797097,29966,0
2025-11-26T19:21:27.827494,29887,1
2025-11-26T19:21:28.859136,29888,1
2025-11-26T19:21:29.908898,30014,1
2025-11-26T19:21:30.939236,29892,1
2025-11-26T19:21:31.982874,30021,1
2025-11-26T19:21:33.015421,30001,1
2025-11-26T19:21:34.045030,30033,1
2025-11-26T19:21:35.075776,29997,1
2025-11-26T19:21:36.107051,29992,1
2025-11-26T19:21:37.138810,29954,1
2025-11-26T19:21:38.168198,29781,1
2025-11-26T19:21:39.208378,29856,1
2025-11-26T19:21:40.261300,29905,1
2025-11-26T19:21:41.303592,29836,1
2025-11-26T19:21:42.358715,29951,1
2025-11-26T19:21:43.389074,29983,1
2025-11-26T19:21:44.418679,29842,1
2025-11-26T19:21:45.449433,29904,1
2025-11-26T19:21:46.478696,30014,1
2025-11-26T19:21:47.520151,29799,1
2025-11-26T19:21:48.549691,29845,1
2025-11-26T19:21:49.597006,29838,1
2025-11-26T19:21:50.628129,29854,1
2025-11-26T19:21:51.657573,29925,1
2025-11-26T19:21:52.687681,29794,1
2025-11-26T19:21:53.720698,29824,1
2025-11-26T19:21:54.754267,29934,1
2025-11-26T19:21:55.783671,29817,1
2025-11-26T19:21:56.838238,29880,1
2025-11-26T19:21:57.869067,29839,1
2025-11-26T19:21:58.917445,29882,1
2025-11-26T19:21:59.949534,29838,1
2025-11-26T19:22:00.983733,29952,1
2025-11-26T19:22:02.014713,30048,1
2025-11-26T19:22:03.045073,29915,1
2025-11-26T19:22:04.077446,29865,1
2025-11-26T19:22:05.108232,29926,1
2025-11-26T19:22:06.137728,29857,1
2025-11-26T19:22:07.180665,29917,1
2025-11-26T19:22:08.214409,29929,1
2025-11-26T19:22:09.260730,29761,1
2025-11-26T19:22:10.295780,29941,1
2025-11-26T19:22:11.335571,29845,1
2025-11-26T19:22:12.367530,29786,1
2025-11-26T19:22:13.397670,29864,1
2025-11-26T19:22:14.429788,29889,1
2025-11-26T19:22:15.459302,29829,1
2025-11-26T19:22:16.507555,29926,1
2025-11-26T19:22:17.551809,29893,1
2025-11-26T19:22:18.581494,29864,1
2025-11-26T19:22:19.614785,29844,1
2025-11-26T19:22:20.651925,29940,1
2025-11-26T19:22:21.681286,29833,1
2025-11-26T19:22:22.711606,29818,1
2025-11-26T19:22:23.773359,29937,1
2025-11-26T19:22:24.803654,29812,1
2025-11-26T19:22:25.845897,29881,1
2025-11-26T19:22:26.889608,29856,1
2025-11-26T19:22:28.074383,29754,0
2025-11-26T19:22:29.104429,29818,0
2025-11-26T19:22:30.147455,29898,0
2025-11-26T19:22:31.177851,29865,0
2025-11-26T19:22:32.209100,29884,0
2025-11-26T19:22:33.238786,29753,0
2025-11-26T19:22:34.270385,29895,0
2025-11-26T19:22:35.301283,29833,0
2025-11-26T19:22:36.330630,29891,0
2025-11-26T19:22:37.388598,29928,0
2025-11-26T19:22:38.419542,29825,0
2025-11-26T19:22:39.468025,29920,0
2025-11-26T19:22:40.497853,29851,0
2025-11-26T19:22:41.528868,29827,0
2025-11-26T19:22:42.571040,29811,0
2025-11-26T19:22:43.600905,29933,0
2025-11-26T19:22:44.631956,29892,0
2025-11-26T19:22:45.686487,29877,0
2025-11-26T19:22:46.716019,29922,0
2025-11-26T19:22:47.758944,29818,0
2025-11-26T19:22:48.788507,29878,0
2025-11-26T19:22:49.822363,29841,0
2025-11-26T19:22:50.853874,29843,0
2025-11-26T19:22:51.882989,29883,0
2025-11-26T19:22:52.914017,29791,0
2025-11-26T19:22:53.943887,29828,0
2025-11-26T19:22:54.982594,29903,0
2025-11-26T19:22:56.030775,29846,0
2025-11-26T19:22:57.079712,29908,0
2025-11-26T19:22:58.109943,29878,0
2025-11-26T19:22:59.139920,29876,0
2025-11-26T19:23:00.170599,29899,0
2025-11-26T19:23:01.202469,29881,0
2025-11-26T19:23:02.231955,30082,0
2025-11-26T19:23:03.262129,29882,0
2025-11-26T19:23:04.291870,29846,0
2025-11-26T19:23:05.322253,29902,0
2025-11-26T19:23:06.351956,29829,0
2025-11-26T19:23:07.395570,29819,0
2025-11-26T19:23:08.425422,29843,0
2025-11-26T19:23:09.467445,29897,0
2025-11-26T19:23:10.497873,29879,0
2025-11-26T19:23:11.527331,29911,0
2025-11-26T19:23:12.556625,29928,0
2025-11-26T19:23:13.599146,29862,0
2025-11-26T19:23:14.630272,29970,0
2025-11-26T19:23:15.659516,29874,0
2025-11-26T19:23:16.710175,29906,0
2025-11-26T19:23:17.739545,29956,0
2025-11-26T19:23:18.789623,29864,0
2025-11-26T19:23:19.818948,29855,0
2025-11-26T19:23:20.857772,29830,0
2025-11-26T19:23:21.887900,29819,0
2025-11-26T19:23:22.917913,29872,0
2025-11-26T19:23:23.951868,29880,0
2025-11-26T19:23:24.985149,29824,0
2025-11-26T19:23:26.031132,29934,0
2025-11-26T19:23:27.061055,29916,0
2025-11-26T19:23:28.104216,29849,0
2025-11-26T19:23:29.137233,29803,0
2025-11-26T19:23:30.166599,29786,0
2025-11-26T19:23:31.207352,29992,0
2025-11-26T19:23:32.236497,29808,0
2025-11-26T19:23:33.266274,29966,0
2025-11-26T19:23:34.297010,29884,0
