timestamp,power_mW,under_attack
2025-06-12T15:37:53.045356,3529,1
2025-06-12T15:37:54.226946,3430,1
2025-06-12T15:37:55.578086,3430,1
2025-06-12T15:37:56.693886,3521,1
2025-06-12T15:37:58.038697,3521,1
2025-06-12T15:37:59.556841,3469,1
2025-06-12T15:38:00.723022,3553,1
2025-06-12T15:38:01.874414,3553,1
2025-06-12T15:38:03.107166,3510,1
2025-06-12T15:38:04.209261,3579,1
2025-06-12T15:38:05.633945,3579,1
2025-06-12T15:38:06.725164,3576,1
2025-06-12T15:38:08.162322,3576,1
2025-06-12T15:38:09.563393,3590,1
2025-06-12T15:38:10.657019,3552,1
2025-06-12T15:38:12.353134,3551,1
2025-06-12T15:38:13.453322,3551,1
2025-06-12T15:38:14.605371,3458,1
2025-06-12T15:38:15.817391,3458,1
2025-06-12T15:38:16.988806,3540,1
2025-06-12T15:38:18.103660,3541,1
2025-06-12T15:38:19.141517,3541,1
2025-06-12T15:38:20.178513,3622,1
2025-06-12T15:38:21.264541,3622,1
2025-06-12T15:38:22.342805,3546,1
2025-06-12T15:38:23.403165,3546,1
2025-06-12T15:38:24.474557,3597,1
2025-06-12T15:38:25.526209,3597,1
2025-06-12T15:38:26.630011,3663,1
2025-06-12T15:38:27.735355,3663,1
2025-06-12T15:38:28.769449,3619,1
2025-06-12T15:38:29.844269,3619,1
2025-06-12T15:38:30.886337,3643,1
2025-06-12T15:38:31.947211,3643,1
2025-06-12T15:38:33.062967,3624,1
2025-06-12T15:38:34.098064,3623,1
2025-06-12T15:38:35.255069,3623,1
2025-06-12T15:38:36.353479,3804,1
2025-06-12T15:38:37.487664,3804,1
2025-06-12T15:38:38.549231,3693,1
2025-06-12T15:38:39.594369,3693,1
2025-06-12T15:38:40.682437,3740,1
2025-06-12T15:38:41.724127,3740,1
2025-06-12T15:38:42.795994,3726,1
2025-06-12T15:38:43.835710,3726,1
2025-06-12T15:38:44.892521,3635,1
2025-06-12T15:38:45.962055,3635,1
2025-06-12T15:38:47.008794,3601,1
2025-06-12T15:38:48.061018,3593,1
2025-06-12T15:38:49.117674,3593,1
2025-06-12T15:38:50.170356,3703,1
2025-06-12T15:38:51.231387,3703,1
2025-06-12T15:38:52.326639,3700,1
2025-06-12T15:39:00.190289,3669,0
2025-06-12T15:39:01.219293,3669,0
2025-06-12T15:39:02.258514,3598,0
2025-06-12T15:39:03.393282,3598,0
2025-06-12T15:39:04.545106,3416,0
2025-06-12T15:39:05.598713,3416,0
2025-06-12T15:39:06.747512,3475,0
2025-06-12T15:39:08.267558,3475,0
2025-06-12T15:39:09.298858,3568,0
2025-06-12T15:39:10.328736,3544,0
2025-06-12T15:39:11.373378,3544,0
2025-06-12T15:39:12.405121,3484,0
2025-06-12T15:39:13.583662,3484,0
2025-06-12T15:39:14.615217,3477,0
2025-06-12T15:39:15.647809,3477,0
2025-06-12T15:39:16.695502,3338,0
2025-06-12T15:39:17.725984,3338,0
2025-06-12T15:39:18.756040,3402,0
2025-06-12T15:39:19.797411,3402,0
2025-06-12T15:39:20.835342,3455,0
2025-06-12T15:39:21.878378,3455,0
2025-06-12T15:39:22.971836,3490,0
2025-06-12T15:39:24.020017,3490,0
2025-06-12T15:39:25.063827,3475,0
2025-06-12T15:39:26.094777,3493,0
2025-06-12T15:39:27.124333,3493,0
2025-06-12T15:39:28.159139,3464,0
2025-06-12T15:39:29.200496,3464,0
2025-06-12T15:39:30.270193,3442,0
2025-06-12T15:39:31.306517,3442,0
2025-06-12T15:39:32.335560,3423,0
2025-06-12T15:39:33.390956,3423,0
2025-06-12T15:39:34.422516,3454,0
2025-06-12T15:39:35.455073,3454,0
2025-06-12T15:39:36.493615,3469,0
2025-06-12T15:39:37.523525,3469,0
2025-06-12T15:39:38.555928,3449,0
2025-06-12T15:39:39.586784,3449,0
2025-06-12T15:39:40.664417,3572,0
2025-06-12T15:39:41.712678,3572,0
2025-06-12T15:39:42.741070,3546,0
2025-06-12T15:39:43.797453,3546,0
2025-06-12T15:39:44.833453,3511,0
2025-06-12T15:39:45.924610,3511,0
2025-06-12T15:39:46.984795,3503,0
2025-06-12T15:39:48.074659,3503,0
2025-06-12T15:39:49.109546,3483,0
2025-06-12T15:39:50.163059,3492,0
2025-06-12T15:39:51.293647,3492,0
2025-06-12T15:39:52.375175,3469,0
2025-06-12T15:39:53.425681,3469,0
2025-06-12T15:39:54.475110,3449,0
2025-06-12T15:39:55.556426,3449,0
2025-06-12T15:39:56.598709,3568,0
2025-06-12T15:39:57.632985,3568,0
2025-06-12T15:39:58.662560,3456,0
2025-06-12T15:39:59.694836,3456,0
2025-06-12T15:40:00.725730,3460,0
2025-06-12T15:40:01.756842,3460,0
2025-06-12T15:40:02.788053,3470,0
2025-06-12T15:40:03.887100,3470,0
2025-06-12T15:40:04.921331,3455,0
2025-06-12T15:40:06.015491,3455,0
2025-06-12T15:40:07.074429,3481,0
2025-06-12T15:40:08.111280,3475,0
2025-06-12T15:40:09.287646,3475,0
2025-06-12T15:40:10.319969,3495,0
2025-06-12T15:40:11.389788,3495,0
2025-06-12T15:40:12.431268,3515,0
2025-06-12T15:40:13.468394,3515,0
2025-06-12T15:40:14.497829,3444,0
2025-06-12T15:40:15.528430,3444,0
2025-06-12T15:40:16.571319,3467,0
2025-06-12T15:40:17.603470,3467,0
2025-06-12T15:40:18.632671,3497,0
2025-06-12T15:40:19.683260,3497,0
2025-06-12T15:40:20.714388,3555,0
2025-06-12T15:40:21.753107,3555,0
2025-06-12T15:40:22.783072,3491,0
2025-06-12T15:40:23.812664,3491,0
2025-06-12T15:40:24.845918,3452,0
2025-06-12T15:40:25.899867,3452,0
2025-06-12T15:40:26.927656,3495,0
2025-06-12T15:40:27.960672,3495,0
2025-06-12T15:40:28.991211,3626,0
2025-06-12T15:40:30.022039,3626,0
2025-06-12T15:40:31.052607,3410,0
2025-06-12T15:40:32.088866,3461,0
2025-06-12T15:40:33.143048,3461,0
2025-06-12T15:40:34.178551,3436,0
2025-06-12T15:40:35.215300,3436,0
2025-06-12T15:40:36.246183,3465,0
2025-06-12T15:40:37.293192,3465,0
2025-06-12T15:40:38.336084,3562,0
2025-06-12T15:40:39.377138,3562,0
2025-06-12T15:40:40.411135,3448,0
2025-06-12T15:40:41.451091,3448,0
2025-06-12T15:40:42.489401,3463,0
2025-06-12T15:40:43.520063,3463,0
2025-06-12T15:40:44.560787,3591,0
2025-06-12T15:40:45.600939,3591,0
2025-06-12T15:40:46.638065,3462,0
2025-06-12T15:40:47.713488,3462,0
2025-06-12T15:40:48.751754,3533,0
2025-06-12T15:40:49.791555,3533,0
2025-06-12T15:40:50.832515,3466,0
2025-06-12T15:40:51.870944,3466,0
2025-06-12T15:40:52.924158,3396,0
2025-06-12T15:40:54.029026,3396,0
2025-06-12T15:40:55.070146,3489,0
2025-06-12T15:40:56.262483,3480,0
2025-06-12T15:40:57.305986,3480,0
2025-06-12T15:40:58.348794,3455,0
2025-06-12T15:40:59.417371,3455,0
2025-06-12T15:41:00.504300,3637,0
2025-06-12T15:41:01.581403,3637,0
2025-06-12T15:41:02.617682,3469,0
2025-06-12T15:41:03.668055,3469,0
2025-06-12T15:41:04.741479,3369,0
2025-06-12T15:41:05.802451,3369,0
2025-06-12T15:41:06.833273,3446,0
2025-06-12T15:41:07.967337,3446,0
2025-06-12T15:41:09.043435,3475,0
2025-06-12T15:41:10.131668,3515,0
2025-06-12T15:41:11.191452,3515,0
2025-06-12T15:41:12.274880,3499,0
2025-06-12T15:41:13.317934,3499,0
2025-06-12T15:41:14.441837,3516,0
2025-06-12T15:41:15.480795,3516,0
2025-06-12T15:41:16.517877,3556,0
2025-06-12T15:41:17.704014,3556,0
2025-06-12T15:41:18.758553,3536,0
2025-06-12T15:41:19.801179,3536,0
2025-06-12T15:41:20.839740,3501,0
2025-06-12T15:41:21.953227,3501,0
2025-06-12T15:41:23.035498,3455,0
2025-06-12T15:41:24.089118,3556,0
2025-06-12T15:41:25.215146,3556,0
2025-06-12T15:41:26.343731,3492,0
2025-06-12T15:41:27.392450,3492,0
2025-06-12T15:41:28.467726,3476,0
2025-06-12T15:41:29.507141,3476,0
2025-06-12T15:41:30.620324,3488,0
2025-06-12T15:41:31.731195,3488,0
2025-06-12T15:41:32.773777,3585,0
2025-06-12T15:41:33.843441,3585,0
2025-06-12T15:41:34.906318,3483,0
2025-06-12T15:41:35.968472,3483,0
2025-06-12T15:41:37.038728,3413,0
2025-06-12T15:41:38.496366,3413,0
2025-06-12T15:41:39.634321,3544,0
2025-06-12T15:41:40.683122,3517,0
2025-06-12T15:41:41.879807,3517,0
2025-06-12T15:41:42.925300,3457,0
2025-06-12T15:41:44.559141,3457,0
2025-06-12T15:41:45.623361,3441,0
2025-06-12T15:41:46.701271,3434,0
2025-06-12T15:41:47.781821,3434,0
2025-06-12T15:41:48.882233,3637,0
2025-06-12T15:41:50.079077,3469,0
2025-06-12T15:41:51.165690,3469,0
2025-06-12T15:41:52.246354,3514,0
2025-06-12T15:41:53.373222,3514,0
2025-06-12T15:41:54.403110,3477,0
2025-06-12T15:41:55.438134,3477,0
2025-06-12T15:41:56.516186,3428,0
2025-06-12T15:41:57.764947,3428,0
