timestamp,power_mW,under_attack
2025-06-12T17:05:04.790840,3495,1
2025-06-12T17:05:05.820159,3827,1
2025-06-12T17:05:06.873931,3827,1
2025-06-12T17:05:07.917995,3671,1
2025-06-12T17:05:08.951845,3671,1
2025-06-12T17:05:09.981115,3607,1
2025-06-12T17:05:11.095297,3607,1
2025-06-12T17:05:12.139489,3655,1
2025-06-12T17:05:13.213914,3655,1
2025-06-12T17:05:14.245455,3474,1
2025-06-12T17:05:15.282324,3474,1
2025-06-12T17:05:16.343837,3625,1
2025-06-12T17:05:17.378515,3625,1
2025-06-12T17:05:18.467818,3489,1
2025-06-12T17:05:19.514453,3489,1
2025-06-12T17:05:20.676716,3576,1
2025-06-12T17:05:21.710985,3427,1
2025-06-12T17:05:22.844404,3427,1
2025-06-12T17:05:23.911131,3697,1
2025-06-12T17:05:25.014433,3697,1
2025-06-12T17:05:26.069267,3527,1
2025-06-12T17:05:27.101813,3527,1
2025-06-12T17:05:28.163003,3557,1
2025-06-12T17:05:29.212256,3557,1
2025-06-12T17:05:30.264429,3651,1
2025-06-12T17:05:31.324740,3651,1
2025-06-12T17:05:32.368716,3577,1
2025-06-12T17:05:33.401967,3577,1
2025-06-12T17:05:34.441713,3603,1
2025-06-12T17:05:35.485554,3603,1
2025-06-12T17:05:36.531214,3556,1
2025-06-12T17:05:37.564751,3556,1
2025-06-12T17:05:38.619111,3652,1
2025-06-12T17:05:39.650528,3727,1
2025-06-12T17:05:40.732304,3727,1
2025-06-12T17:05:41.762605,3547,1
2025-06-12T17:05:42.802354,3547,1
2025-06-12T17:05:43.839084,3519,1
2025-06-12T17:05:44.974192,3519,1
2025-06-12T17:05:46.035667,3512,1
2025-06-12T17:05:47.083825,3512,1
2025-06-12T17:05:48.131285,3499,1
2025-06-12T17:05:49.342710,3499,1
2025-06-12T17:05:50.431244,3592,1
2025-06-12T17:05:51.490213,3592,1
2025-06-12T17:05:52.566860,3520,1
2025-06-12T17:05:53.626510,3461,1
2025-06-12T17:05:54.673089,3461,1
2025-06-12T17:05:55.719766,3591,1
2025-06-12T17:05:56.797622,3591,1
2025-06-12T17:05:57.873451,3450,1
2025-06-12T17:05:58.988237,3450,1
2025-06-12T17:06:00.153437,3478,1
2025-06-12T17:06:01.204212,3478,1
2025-06-12T17:06:02.393699,3478,1
2025-06-12T17:06:03.501005,3478,1
2025-06-12T17:06:04.546747,3487,1
2025-06-12T17:06:06.709382,3523,0
2025-06-12T17:06:07.823257,3443,0
2025-06-12T17:06:08.911685,3443,0
2025-06-12T17:06:10.067594,3519,0
2025-06-12T17:06:11.144131,3519,0
2025-06-12T17:06:12.245314,3588,0
2025-06-12T17:06:13.424177,3588,0
2025-06-12T17:06:14.500224,3493,0
2025-06-12T17:06:15.581171,3493,0
2025-06-12T17:06:16.714761,3490,0
2025-06-12T17:06:17.862176,3392,0
2025-06-12T17:06:18.897802,3392,0
2025-06-12T17:06:20.213031,3478,0
2025-06-12T17:06:21.472413,3478,0
2025-06-12T17:06:22.512605,3504,0
2025-06-12T17:06:23.617452,3504,0
2025-06-12T17:06:24.663129,3505,0
2025-06-12T17:06:25.808648,3510,0
2025-06-12T17:06:26.918220,3510,0
2025-06-12T17:06:28.002798,3645,0
2025-06-12T17:06:29.112012,3645,0
2025-06-12T17:06:30.233505,3536,0
2025-06-12T17:06:31.359877,3536,0
2025-06-12T17:06:32.412433,3429,0
2025-06-12T17:06:33.544768,3429,0
2025-06-12T17:06:34.607705,3536,0
2025-06-12T17:06:35.647050,3511,0
2025-06-12T17:06:36.788801,3511,0
2025-06-12T17:06:38.086148,3498,0
2025-06-12T17:06:39.172602,3498,0
2025-06-12T17:06:40.248244,3495,0
2025-06-12T17:06:41.328812,3495,0
2025-06-12T17:06:43.114961,3452,0
2025-06-12T17:06:44.167373,3622,0
2025-06-12T17:06:45.408721,3622,0
2025-06-12T17:06:46.554869,3514,0
2025-06-12T17:06:47.655516,3494,0
2025-06-12T17:06:48.709095,3494,0
2025-06-12T17:06:49.745973,3491,0
2025-06-12T17:06:50.832676,3491,0
2025-06-12T17:06:51.918310,3503,0
2025-06-12T17:06:52.968775,3503,0
2025-06-12T17:06:54.036623,3461,0
2025-06-12T17:06:55.245660,3461,0
2025-06-12T17:06:56.292347,3562,0
2025-06-12T17:06:57.367626,3562,0
2025-06-12T17:06:58.455185,3512,0
2025-06-12T17:06:59.524492,3512,0
2025-06-12T17:07:00.584206,3677,0
2025-06-12T17:07:01.616389,3446,0
2025-06-12T17:07:02.657470,3446,0
2025-06-12T17:07:03.732352,3470,0
2025-06-12T17:07:04.782372,3470,0
2025-06-12T17:07:05.874095,3543,0
2025-06-12T17:07:07.000476,3543,0
2025-06-12T17:07:08.033492,3546,0
2025-06-12T17:07:09.076959,3546,0
2025-06-12T17:07:10.163487,3518,0
2025-06-12T17:07:11.233877,3518,0
2025-06-12T17:07:12.302955,3571,0
2025-06-12T17:07:13.407822,3571,0
2025-06-12T17:07:14.458088,3512,0
2025-06-12T17:07:15.503116,3512,0
2025-06-12T17:07:16.570837,3562,0
2025-06-12T17:07:17.644312,3602,0
2025-06-12T17:07:18.694413,3602,0
2025-06-12T17:07:19.742915,3417,0
2025-06-12T17:07:20.789824,3417,0
2025-06-12T17:07:21.949948,3481,0
2025-06-12T17:07:23.087135,3481,0
2025-06-12T17:07:24.958026,3507,0
2025-06-12T17:07:26.039097,3590,0
2025-06-12T17:07:27.175908,3590,0
2025-06-12T17:07:28.228761,3551,0
2025-06-12T17:07:29.287936,3551,0
2025-06-12T17:07:30.357772,3513,0
2025-06-12T17:07:31.405286,3513,0
2025-06-12T17:07:32.452056,3579,0
2025-06-12T17:07:33.499034,3579,0
2025-06-12T17:07:34.536392,3439,0
2025-06-12T17:07:35.571712,3439,0
2025-06-12T17:07:36.628393,3479,0
2025-06-12T17:07:37.698227,3515,0
2025-06-12T17:07:38.756467,3515,0
2025-06-12T17:07:39.820870,3576,0
2025-06-12T17:07:40.854053,3576,0
2025-06-12T17:07:42.009407,3515,0
2025-06-12T17:07:43.044137,3515,0
2025-06-12T17:07:44.101118,3463,0
2025-06-12T17:07:45.146852,3463,0
2025-06-12T17:07:46.202091,3505,0
2025-06-12T17:07:47.249822,3505,0
2025-06-12T17:07:48.279618,3581,0
2025-06-12T17:07:49.368057,3581,0
2025-06-12T17:07:50.466300,3416,0
2025-06-12T17:07:51.502380,3416,0
2025-06-12T17:07:52.561554,3501,0
2025-06-12T17:07:53.610902,3501,0
2025-06-12T17:07:54.643208,3470,0
2025-06-12T17:07:55.674733,3526,0
2025-06-12T17:07:56.726325,3526,0
2025-06-12T17:07:57.790067,3540,0
2025-06-12T17:07:59.038034,3540,0
2025-06-12T17:08:00.071072,3470,0
2025-06-12T17:08:01.117901,3470,0
2025-06-12T17:08:02.165350,3546,0
2025-06-12T17:08:03.201892,3546,0
2025-06-12T17:08:04.242411,3624,0
2025-06-12T17:08:05.565910,3624,0
2025-06-12T17:08:06.622928,3467,0
2025-06-12T17:08:07.655173,3453,0
2025-06-12T17:08:08.689943,3453,0
2025-06-12T17:08:09.723551,3547,0
2025-06-12T17:08:10.761908,3547,0
2025-06-12T17:08:11.800475,3563,0
2025-06-12T17:08:12.832997,3563,0
2025-06-12T17:08:13.981967,3549,0
2025-06-12T17:08:15.133846,3549,0
2025-06-12T17:08:16.167878,3481,0
2025-06-12T17:08:17.392678,3481,0
2025-06-12T17:08:18.436059,3490,0
2025-06-12T17:08:19.513799,3490,0
2025-06-12T17:08:20.549748,3592,0
2025-06-12T17:08:21.599308,3592,0
2025-06-12T17:08:22.666860,3476,0
2025-06-12T17:08:23.748872,3522,0
2025-06-12T17:08:24.779265,3522,0
2025-06-12T17:08:25.819209,3524,0
2025-06-12T17:08:26.852659,3524,0
2025-06-12T17:08:28.053337,3557,0
2025-06-12T17:08:29.119795,3557,0
2025-06-12T17:08:30.152520,3454,0
2025-06-12T17:08:31.182280,3454,0
2025-06-12T17:08:32.218757,3500,0
2025-06-12T17:08:33.277399,3500,0
2025-06-12T17:08:34.306655,3505,0
2025-06-12T17:08:35.368009,3505,0
2025-06-12T17:08:36.397512,3566,0
2025-06-12T17:08:37.425854,3566,0
2025-06-12T17:08:38.478624,3547,0
2025-06-12T17:08:39.600615,3547,0
2025-06-12T17:08:40.642446,3497,0
2025-06-12T17:08:41.897692,3582,0
2025-06-12T17:08:42.955451,3582,0
2025-06-12T17:08:44.010668,3436,0
2025-06-12T17:08:45.054724,3436,0
2025-06-12T17:08:46.114767,3468,0
2025-06-12T17:08:47.147350,3468,0
2025-06-12T17:08:48.187199,3523,0
2025-06-12T17:08:49.230477,3523,0
2025-06-12T17:08:50.379306,3538,0
2025-06-12T17:08:51.414173,3538,0
2025-06-12T17:08:52.479851,3612,0
2025-06-12T17:08:53.521099,3612,0
2025-06-12T17:08:54.555804,3507,0
2025-06-12T17:08:55.589215,3507,0
2025-06-12T17:08:56.626184,3609,0
2025-06-12T17:08:57.655484,3602,0
2025-06-12T17:08:58.695518,3602,0
2025-06-12T17:08:59.725944,3449,0
2025-06-12T17:09:00.755518,3449,0
2025-06-12T17:09:01.974834,3510,0
2025-06-12T17:09:03.003649,3510,0
2025-06-12T17:09:04.036228,3480,0
2025-06-12T17:09:05.070296,3480,0
2025-06-12T17:09:06.352209,3498,0
2025-06-12T17:09:07.409265,3498,1
2025-06-12T17:09:08.440511,3614,1
2025-06-12T17:09:09.517050,3614,1
2025-06-12T17:09:10.547658,3559,1
2025-06-12T17:09:11.592517,3559,1
2025-06-12T17:09:12.654111,3567,1
2025-06-12T17:09:13.696328,3554,1
2025-06-12T17:09:14.730743,3554,1
2025-06-12T17:09:15.785619,3542,1
2025-06-12T17:09:16.817453,3542,1
2025-06-12T17:09:17.861132,3541,1
2025-06-12T17:09:18.919353,3541,1
2025-06-12T17:09:19.951944,3520,1
2025-06-12T17:09:20.983989,3520,1
2025-06-12T17:09:22.022191,3491,1
2025-06-12T17:09:23.089790,3491,1
2025-06-12T17:09:24.166055,3633,1
2025-06-12T17:09:25.195374,3633,1
2025-06-12T17:09:26.331799,3487,1
2025-06-12T17:09:27.452468,3487,1
2025-06-12T17:09:28.502369,3519,1
2025-06-12T17:09:29.530817,3519,1
2025-06-12T17:09:30.564609,3550,1
2025-06-12T17:09:31.633076,3550,1
2025-06-12T17:09:32.831634,3552,1
2025-06-12T17:09:33.879713,3497,1
2025-06-12T17:09:34.918020,3497,1
2025-06-12T17:09:36.133170,3491,1
2025-06-12T17:09:37.172376,3491,1
2025-06-12T17:09:38.220497,3437,1
2025-06-12T17:09:39.260006,3437,1
2025-06-12T17:09:40.293938,3614,1
2025-06-12T17:09:41.328118,3614,1
2025-06-12T17:09:42.490480,3509,1
2025-06-12T17:09:43.758181,3509,1
2025-06-12T17:09:44.854859,3474,1
2025-06-12T17:09:46.512816,3537,1
2025-06-12T17:09:47.564627,3537,1
2025-06-12T17:09:48.684531,3522,1
2025-06-12T17:09:49.750626,3501,1
2025-06-12T17:09:50.811431,3501,1
2025-06-12T17:09:51.864846,3525,1
2025-06-12T17:09:52.949327,3525,1
2025-06-12T17:09:54.314989,3524,1
2025-06-12T17:09:55.452732,3524,1
2025-06-12T17:09:56.559867,3598,1
2025-06-12T17:09:57.652540,3598,1
2025-06-12T17:09:58.797609,3510,1
2025-06-12T17:09:59.967708,3518,1
2025-06-12T17:10:01.063829,3518,1
2025-06-12T17:10:02.161652,3525,1
2025-06-12T17:10:03.223551,3525,1
2025-06-12T17:10:04.292476,3523,1
2025-06-12T17:10:05.371618,3523,1
2025-06-12T17:10:06.451037,3508,1
2025-06-12T17:10:08.336233,3459,0
2025-06-12T17:10:09.394520,3459,0
2025-06-12T17:10:10.509386,3584,0
2025-06-12T17:10:11.582617,3584,0
2025-06-12T17:10:12.703518,3587,0
2025-06-12T17:10:13.854955,3531,0
2025-06-12T17:10:14.915612,3531,0
2025-06-12T17:10:16.025708,3448,0
2025-06-12T17:10:17.281965,3448,0
2025-06-12T17:10:18.803020,3548,0
2025-06-12T17:10:19.941863,3518,0
2025-06-12T17:10:21.013158,3518,0
2025-06-12T17:10:22.071028,3482,0
2025-06-12T17:10:23.199554,3482,0
2025-06-12T17:10:24.237993,3508,0
2025-06-12T17:10:25.302420,3508,0
2025-06-12T17:10:26.407244,3510,0
2025-06-12T17:10:27.494231,3510,0
2025-06-12T17:10:28.619862,3590,0
2025-06-12T17:10:29.713100,3530,0
2025-06-12T17:10:30.774227,3530,0
2025-06-12T17:10:31.816088,3497,0
2025-06-12T17:10:32.879109,3497,0
2025-06-12T17:10:33.940179,3533,0
2025-06-12T17:10:35.014161,3533,0
2025-06-12T17:10:36.133438,3797,0
2025-06-12T17:10:37.171003,3797,0
2025-06-12T17:10:38.268791,3570,0
2025-06-12T17:10:39.338680,3570,0
2025-06-12T17:10:40.397893,3506,0
2025-06-12T17:10:41.547208,3506,0
2025-06-12T17:10:42.662866,3565,0
2025-06-12T17:10:43.828452,3687,0
2025-06-12T17:10:45.004672,3687,0
2025-06-12T17:10:46.230408,3490,0
2025-06-12T17:10:47.369532,3490,0
2025-06-12T17:10:48.494722,3524,0
2025-06-12T17:10:49.582726,3524,0
2025-06-12T17:10:50.760498,3509,0
2025-06-12T17:10:51.795147,3477,0
2025-06-12T17:10:52.837469,3477,0
2025-06-12T17:10:53.922779,3510,0
2025-06-12T17:10:54.980095,3510,0
2025-06-12T17:10:56.253527,3423,0
2025-06-12T17:10:57.389047,3423,0
2025-06-12T17:10:58.538615,3527,0
2025-06-12T17:10:59.657354,3527,0
2025-06-12T17:11:00.764222,3564,0
2025-06-12T17:11:01.887421,3491,0
2025-06-12T17:11:03.028717,3491,0
2025-06-12T17:11:04.071404,3456,0
2025-06-12T17:11:05.178008,3456,0
2025-06-12T17:11:06.273380,3421,0
2025-06-12T17:11:07.359845,3421,0
2025-06-12T17:11:08.515353,3515,0
2025-06-12T17:11:09.584748,3515,0
2025-06-12T17:11:10.680305,3558,0
2025-06-12T17:11:11.755528,3557,0
2025-06-12T17:11:12.871975,3557,0
2025-06-12T17:11:14.180825,3537,0
2025-06-12T17:11:15.454702,3537,0
2025-06-12T17:11:16.533539,3618,0
2025-06-12T17:11:17.588079,3618,0
2025-06-12T17:11:18.765172,3515,0
2025-06-12T17:11:19.835700,3457,0
2025-06-12T17:11:21.021725,3457,0
2025-06-12T17:11:22.074299,3505,0
2025-06-12T17:11:23.114755,3505,0
2025-06-12T17:11:24.659435,3467,0
2025-06-12T17:11:25.756462,3502,0
2025-06-12T17:11:26.991477,3502,0
2025-06-12T17:11:28.028843,3519,0
2025-06-12T17:11:29.178769,3519,0
2025-06-12T17:11:30.225823,3576,0
2025-06-12T17:11:31.378983,3576,0
2025-06-12T17:11:32.590119,3564,0
2025-06-12T17:11:33.799814,3564,0
2025-06-12T17:11:34.871417,3468,0
2025-06-12T17:11:35.935511,3441,0
2025-06-12T17:11:36.993855,3441,0
2025-06-12T17:11:38.051659,3485,0
2025-06-12T17:11:39.135865,3485,0
2025-06-12T17:11:40.342864,3475,0
2025-06-12T17:11:41.456495,3475,0
2025-06-12T17:11:42.574426,3547,0
2025-06-12T17:11:43.636314,3547,0
2025-06-12T17:11:44.951162,3470,0
2025-06-12T17:11:46.034897,3482,0
2025-06-12T17:11:47.069085,3482,0
2025-06-12T17:11:48.138642,3568,0
2025-06-12T17:11:49.212646,3568,0
2025-06-12T17:11:50.267340,3481,0
2025-06-12T17:11:51.331832,3481,0
2025-06-12T17:11:52.522190,3424,0
2025-06-12T17:11:53.896128,3424,0
2025-06-12T17:11:55.089877,3485,0
2025-06-12T17:11:56.191808,3466,0
2025-06-12T17:11:57.302709,3466,0
2025-06-12T17:11:58.341394,3479,0
2025-06-12T17:11:59.387062,3479,0
2025-06-12T17:12:00.596817,3540,0
2025-06-12T17:12:01.637357,3540,0
2025-06-12T17:12:02.821075,3512,0
2025-06-12T17:12:03.868681,3588,0
2025-06-12T17:12:04.934871,3588,0
2025-06-12T17:12:05.975053,3417,0
2025-06-12T17:12:07.026819,3417,0
2025-06-12T17:12:08.069601,3481,0
2025-06-12T17:12:09.107036,3481,0
2025-06-12T17:12:10.286171,3547,0
2025-06-12T17:12:11.588233,3547,0
2025-06-12T17:12:12.654710,3527,0
2025-06-12T17:12:13.766243,3446,0
2025-06-12T17:12:15.004873,3446,0
2025-06-12T17:12:16.049157,3500,0
2025-06-12T17:12:17.102129,3500,0
2025-06-12T17:12:18.199347,3503,0
2025-06-12T17:12:19.294559,3503,0
2025-06-12T17:12:20.331275,3654,0
2025-06-12T17:12:21.386081,3654,0
2025-06-12T17:12:22.422978,3486,0
2025-06-12T17:12:23.506752,3486,0
2025-06-12T17:12:24.577959,3502,0
2025-06-12T17:12:25.636212,3502,0
2025-06-12T17:12:26.665738,3495,0
2025-06-12T17:12:27.695203,3545,0
2025-06-12T17:12:28.733073,3545,0
2025-06-12T17:12:29.765507,3486,0
2025-06-12T17:12:30.802178,3486,0
2025-06-12T17:12:31.853493,3535,0
2025-06-12T17:12:32.955875,3535,0
2025-06-12T17:12:34.027365,3474,0
2025-06-12T17:12:35.074614,3474,0
2025-06-12T17:12:36.113658,3586,0
2025-06-12T17:12:37.153746,3586,0
2025-06-12T17:12:38.216295,3610,0
2025-06-12T17:12:39.272673,3610,0
2025-06-12T17:12:40.351767,3493,0
2025-06-12T17:12:41.380850,3493,0
2025-06-12T17:12:42.414225,3553,0
2025-06-12T17:12:43.476850,3553,0
2025-06-12T17:12:44.505336,3445,0
2025-06-12T17:12:45.570495,3445,0
