timestamp,power_mW,under_attack
2025-06-12T21:03:59.740360,0,1
2025-06-12T21:04:00.838634,0,1
2025-06-12T21:04:01.911860,0,1
2025-06-12T21:04:03.053913,0,1
2025-06-12T21:04:04.153178,0,1
2025-06-12T21:04:05.264374,354,1
2025-06-12T21:04:06.349302,354,1
2025-06-12T21:04:07.468191,354,1
2025-06-12T21:04:08.504559,0,1
2025-06-12T21:04:09.720803,0,1
2025-06-12T21:04:10.751315,0,1
2025-06-12T21:04:11.829338,0,1
2025-06-12T21:04:12.907014,0,1
2025-06-12T21:04:13.954171,566,1
2025-06-12T21:04:14.992963,566,1
2025-06-12T21:04:16.168708,566,1
2025-06-12T21:04:17.289304,566,1
2025-06-12T21:04:18.390754,566,1
2025-06-12T21:04:19.724161,0,1
2025-06-12T21:04:20.923779,0,1
2025-06-12T21:04:22.030549,0,1
2025-06-12T21:04:23.084419,0,1
2025-06-12T21:04:24.179488,374,1
2025-06-12T21:04:25.254551,374,1
2025-06-12T21:04:26.360390,374,1
2025-06-12T21:04:27.412261,374,1
2025-06-12T21:04:28.475658,862,1
2025-06-12T21:04:29.564815,862,1
2025-06-12T21:04:30.733842,862,1
2025-06-12T21:04:31.785173,845,1
2025-06-12T21:04:32.834654,845,1
2025-06-12T21:04:33.894033,845,1
2025-06-12T21:04:35.210013,833,1
2025-06-12T21:04:36.279511,833,1
2025-06-12T21:04:37.320356,833,1
2025-06-12T21:04:38.371143,835,1
2025-06-12T21:04:39.409631,835,1
2025-06-12T21:04:40.454160,835,1
2025-06-12T21:04:41.492880,835,1
2025-06-12T21:04:42.559231,823,1
2025-06-12T21:04:43.629431,823,1
2025-06-12T21:04:44.669117,823,1
2025-06-12T21:04:45.824712,790,1
2025-06-12T21:04:46.869965,790,1
2025-06-12T21:04:48.037995,790,1
2025-06-12T21:04:49.076458,872,1
2025-06-12T21:04:50.171185,872,1
2025-06-12T21:04:51.292434,872,1
2025-06-12T21:04:52.333224,789,1
2025-06-12T21:04:53.477279,789,1
2025-06-12T21:04:54.550941,789,1
2025-06-12T21:04:55.630069,837,1
2025-06-12T21:04:56.744802,837,1
2025-06-12T21:04:57.822101,837,1
2025-06-12T21:04:58.883655,829,1
2025-06-12T21:05:07.395829,863,0
2025-06-12T21:05:08.424687,836,0
2025-06-12T21:05:09.469366,836,0
