timestamp,power_mW,under_attack
2025-11-28T16:38:03.793721,80777,0
2025-11-28T16:38:04.828733,80816,0
2025-11-28T16:38:05.903788,80731,0
2025-11-28T16:38:06.933959,80799,0
2025-11-28T16:38:07.965870,80670,0
2025-11-28T16:38:08.996280,80678,0
2025-11-28T16:38:10.028407,80532,0
2025-11-28T16:38:11.059046,80131,0
2025-11-28T16:38:12.089537,80027,0
2025-11-28T16:38:13.119368,79989,0
2025-11-28T16:38:14.164483,79965,0
2025-11-28T16:38:15.212236,80048,0
2025-11-28T16:38:16.241880,80031,0
2025-11-28T16:38:17.272603,79950,0
2025-11-28T16:38:18.311131,79936,0
2025-11-28T16:38:19.340908,79987,0
2025-11-28T16:38:20.370846,80160,0
2025-11-28T16:38:21.402683,80063,0
2025-11-28T16:38:22.433543,80009,0
2025-11-28T16:38:23.463507,79950,0
2025-11-28T16:38:24.507428,79961,0
2025-11-28T16:38:25.536994,79863,0
2025-11-28T16:38:26.585017,79887,0
2025-11-28T16:38:27.615739,79814,0
2025-11-28T16:38:28.647680,80018,0
2025-11-28T16:38:29.681717,80144,0
2025-11-28T16:38:30.712393,80208,0
2025-11-28T16:38:31.741174,80080,0
2025-11-28T16:38:32.826623,80079,0
2025-11-28T16:38:33.858514,79976,0
2025-11-28T16:38:34.889606,79915,0
2025-11-28T16:38:35.920563,79783,0
2025-11-28T16:38:36.951407,79920,0
2025-11-28T16:38:37.981373,79578,0
2025-11-28T16:38:39.011541,79480,0
2025-11-28T16:38:40.048515,79422,0
2025-11-28T16:38:41.095835,79508,0
2025-11-28T16:38:42.125477,79398,0
2025-11-28T16:38:43.172289,79434,0
2025-11-28T16:38:44.216089,79595,0
2025-11-28T16:38:45.245745,79474,0
2025-11-28T16:38:46.275550,79425,0
2025-11-28T16:38:47.320425,80013,0
2025-11-28T16:38:48.368726,80207,0
2025-11-28T16:38:49.399638,80235,0
2025-11-28T16:38:50.440559,80226,0
2025-11-28T16:38:51.473232,80227,0
2025-11-28T16:38:52.504126,80287,0
2025-11-28T16:38:53.541338,80237,0
2025-11-28T16:38:54.573225,80231,0
2025-11-28T16:38:55.602877,80422,0
2025-11-28T16:38:56.635807,80330,0
2025-11-28T16:38:57.665693,80342,0
2025-11-28T16:38:58.710893,80192,0
2025-11-28T16:38:59.760900,80259,0
2025-11-28T16:39:00.791061,80112,0
