timestamp,power_mW,under_attack
2025-11-28T17:58:42.629424,79788,1
2025-11-28T17:58:43.658733,79557,1
2025-11-28T17:58:44.706008,79410,1
2025-11-28T17:58:45.737228,79360,1
2025-11-28T17:58:46.767861,79215,1
2025-11-28T17:58:47.797287,79112,1
2025-11-28T17:58:48.826374,79164,1
2025-11-28T17:58:49.856825,79029,1
2025-11-28T17:58:50.893595,78890,1
2025-11-28T17:58:51.924897,79336,1
2025-11-28T17:58:52.974214,79489,1
2025-11-28T17:58:54.007085,79372,1
2025-11-28T17:58:55.047667,79418,1
2025-11-28T17:58:56.079909,79485,1
2025-11-28T17:58:57.110160,79410,1
2025-11-28T17:58:58.159730,79410,1
2025-11-28T17:58:59.201540,79392,1
2025-11-28T17:59:00.242721,79323,1
2025-11-28T17:59:01.273262,79419,1
2025-11-28T17:59:02.317594,79380,1
2025-11-28T17:59:03.348309,79306,1
2025-11-28T17:59:04.378751,79213,1
2025-11-28T17:59:05.408657,79222,1
2025-11-28T17:59:06.438934,79257,1
2025-11-28T17:59:07.469674,79227,1
2025-11-28T17:59:08.510889,79256,1
2025-11-28T17:59:09.541554,79270,1
2025-11-28T17:59:10.588257,79848,1
2025-11-28T17:59:11.637353,80032,1
2025-11-28T17:59:12.671549,80008,1
2025-11-28T17:59:13.715902,80065,1
2025-11-28T17:59:14.750900,80061,1
2025-11-28T17:59:15.782024,80056,1
2025-11-28T17:59:16.831018,79857,1
2025-11-28T17:59:17.866312,79966,1
2025-11-28T17:59:18.916107,80026,1
2025-11-28T17:59:19.947508,80159,1
2025-11-28T17:59:20.977302,80292,1
2025-11-28T17:59:22.024661,80293,1
2025-11-28T17:59:23.056151,80216,1
2025-11-28T17:59:24.101569,80240,1
2025-11-28T17:59:25.131678,80244,1
2025-11-28T17:59:26.183374,80158,1
2025-11-28T17:59:27.226153,80199,1
2025-11-28T17:59:28.258044,79647,1
2025-11-28T17:59:29.287927,79396,1
2025-11-28T17:59:30.347605,79527,1
2025-11-28T17:59:31.377777,79509,1
2025-11-28T17:59:32.429355,79523,1
2025-11-28T17:59:33.464373,79489,1
2025-11-28T17:59:34.499759,79448,1
2025-11-28T17:59:35.539066,79572,1
2025-11-28T17:59:36.568773,79490,1
2025-11-28T17:59:37.601021,79551,1
2025-11-28T17:59:38.645267,79622,1
2025-11-28T17:59:39.706556,79508,1
2025-11-28T17:59:40.739224,79417,1
2025-11-28T17:59:41.770534,79419,1
2025-11-28T17:59:45.267599,79307,0
2025-11-28T17:59:46.296451,79502,0
2025-11-28T17:59:47.326355,79858,0
2025-11-28T17:59:48.379646,79783,0
2025-11-28T17:59:49.419653,79577,0
2025-11-28T17:59:50.452290,79528,0
2025-11-28T17:59:51.485049,79614,0
2025-11-28T17:59:52.528841,79455,0
2025-11-28T17:59:53.560626,79486,0
2025-11-28T17:59:54.591495,79385,0
2025-11-28T17:59:55.620748,79046,0
2025-11-28T17:59:56.666318,79019,0
2025-11-28T17:59:57.697374,79010,0
2025-11-28T17:59:58.737527,79033,0
2025-11-28T17:59:59.769691,79061,0
2025-11-28T18:00:00.803112,79055,0
2025-11-28T18:00:01.836268,79012,0
2025-11-28T18:00:02.868319,79042,0
2025-11-28T18:00:03.897172,79567,0
2025-11-28T18:00:04.928405,79768,0
2025-11-28T18:00:05.965308,79779,0
2025-11-28T18:00:07.006127,79922,0
2025-11-28T18:00:08.035406,79820,0
2025-11-28T18:00:09.082711,79821,0
2025-11-28T18:00:10.116076,79843,0
2025-11-28T18:00:11.149127,79827,0
2025-11-28T18:00:12.177852,79817,0
2025-11-28T18:00:13.208779,79955,0
2025-11-28T18:00:14.238466,79911,0
2025-11-28T18:00:15.272407,79912,0
2025-11-28T18:00:16.306657,79765,0
2025-11-28T18:00:17.360065,79798,0
2025-11-28T18:00:18.401609,79740,0
2025-11-28T18:00:19.433578,79820,0
2025-11-28T18:00:20.476895,79783,0
2025-11-28T18:00:21.506342,79807,0
2025-11-28T18:00:22.537065,79502,0
2025-11-28T18:00:23.600799,79187,0
2025-11-28T18:00:24.648704,79311,0
2025-11-28T18:00:25.681856,79289,0
2025-11-28T18:00:26.713354,79169,0
2025-11-28T18:00:27.743441,79237,0
2025-11-28T18:00:28.786531,79273,0
2025-11-28T18:00:29.815937,79277,0
2025-11-28T18:00:30.847789,79530,0
2025-11-28T18:00:31.892573,79556,0
2025-11-28T18:00:32.925416,79479,0
2025-11-28T18:00:33.979310,79618,0
2025-11-28T18:00:35.016921,79486,0
2025-11-28T18:00:36.046673,79423,0
2025-11-28T18:00:37.081686,79408,0
2025-11-28T18:00:38.111921,79446,0
2025-11-28T18:00:39.141762,79450,0
2025-11-28T18:00:40.192182,79561,0
2025-11-28T18:00:41.233939,79663,0
2025-11-28T18:00:42.263450,79610,0
2025-11-28T18:00:43.297892,79663,0
2025-11-28T18:00:44.327423,79544,0
2025-11-28T18:00:45.366459,79562,0
2025-11-28T18:00:46.400185,79440,0
2025-11-28T18:00:47.428920,79610,0
2025-11-28T18:00:48.459830,79549,0
2025-11-28T18:00:49.507522,79530,0
2025-11-28T18:00:50.556118,79472,0
2025-11-28T18:00:51.587709,79524,0
2025-11-28T18:00:52.619126,79526,0
2025-11-28T18:00:53.650117,79448,0
2025-11-28T18:00:54.680540,79516,0
2025-11-28T18:00:55.711716,79514,0
2025-11-28T18:00:56.742070,79476,0
2025-11-28T18:00:57.771829,79504,0
2025-11-28T18:00:58.820446,79382,0
2025-11-28T18:00:59.851695,79512,0
2025-11-28T18:01:00.897362,79480,0
2025-11-28T18:01:01.928628,79444,0
2025-11-28T18:01:02.959425,79369,0
2025-11-28T18:01:03.989106,79269,0
2025-11-28T18:01:05.018508,79327,0
2025-11-28T18:01:06.047523,79262,0
2025-11-28T18:01:07.078395,79380,0
2025-11-28T18:01:08.120115,79485,0
2025-11-28T18:01:09.165635,79539,0
2025-11-28T18:01:10.221112,79509,0
2025-11-28T18:01:11.251734,79374,0
2025-11-28T18:01:12.285140,79339,0
2025-11-28T18:01:13.326327,79367,0
2025-11-28T18:01:14.356765,79202,0
2025-11-28T18:01:15.388124,79352,0
2025-11-28T18:01:16.437447,79199,0
2025-11-28T18:01:17.467640,79208,0
2025-11-28T18:01:18.512292,79228,0
2025-11-28T18:01:19.541766,79195,0
2025-11-28T18:01:20.572923,79210,0
2025-11-28T18:01:21.604075,79201,0
2025-11-28T18:01:22.633821,79151,0
2025-11-28T18:01:23.664162,79262,0
2025-11-28T18:01:24.694737,79313,0
2025-11-28T18:01:25.735941,79533,0
2025-11-28T18:01:26.787147,79522,0
2025-11-28T18:01:27.844795,79504,0
2025-11-28T18:01:28.876144,79531,0
2025-11-28T18:01:29.905775,79573,0
2025-11-28T18:01:30.944441,79550,0
2025-11-28T18:01:31.974083,79626,0
2025-11-28T18:01:33.003806,79586,0
2025-11-28T18:01:34.048103,79783,0
2025-11-28T18:01:35.077752,79903,0
2025-11-28T18:01:36.125225,79886,0
2025-11-28T18:01:37.155158,79827,0
2025-11-28T18:01:38.185229,79926,0
2025-11-28T18:01:39.218988,79826,0
2025-11-28T18:01:40.249223,79907,0
2025-11-28T18:01:41.278047,79868,0
2025-11-28T18:01:42.307342,79809,0
2025-11-28T18:01:43.339743,79734,0
2025-11-28T18:01:44.369494,79793,0
2025-11-28T18:01:45.428696,79776,0
2025-11-28T18:01:46.465078,79726,0
2025-11-28T18:01:47.496677,79700,0
2025-11-28T18:01:48.526806,79746,0
2025-11-28T18:01:49.557215,79758,0
2025-11-28T18:01:50.587951,79732,0
2025-11-28T18:01:51.618918,79742,0
2025-11-28T18:01:52.660604,79862,0
2025-11-28T18:01:53.690256,79554,0
2025-11-28T18:01:54.732406,79370,0
2025-11-28T18:01:55.762754,79247,0
2025-11-28T18:01:56.812939,79281,0
2025-11-28T18:01:57.844350,79217,0
2025-11-28T18:01:58.876207,79038,0
2025-11-28T18:01:59.906540,79077,0
2025-11-28T18:02:00.937453,79353,0
2025-11-28T18:02:01.975028,79643,0
2025-11-28T18:02:03.004640,79468,0
2025-11-28T18:02:04.051735,79494,0
2025-11-28T18:02:05.081872,79401,0
2025-11-28T18:02:06.125730,79392,0
2025-11-28T18:02:07.156115,79498,0
2025-11-28T18:02:08.187508,79314,0
2025-11-28T18:02:09.218401,79464,0
2025-11-28T18:02:10.247355,79477,0
2025-11-28T18:02:11.284202,79280,0
2025-11-28T18:02:12.315942,79372,0
2025-11-28T18:02:13.346339,79222,0
2025-11-28T18:02:14.394320,79257,0
2025-11-28T18:02:15.423244,79185,0
2025-11-28T18:02:16.467242,79301,0
2025-11-28T18:02:17.500468,79300,0
2025-11-28T18:02:18.537716,79329,0
2025-11-28T18:02:19.567907,79848,0
2025-11-28T18:02:20.599507,80161,0
2025-11-28T18:02:21.629726,80113,0
2025-11-28T18:02:22.659920,80113,0
2025-11-28T18:02:23.710216,79990,0
2025-11-28T18:02:24.739826,79974,0
2025-11-28T18:02:25.787670,79782,0
2025-11-28T18:02:26.818546,79965,0
2025-11-28T18:02:27.849879,80159,0
2025-11-28T18:02:28.880920,80231,0
2025-11-28T18:02:29.910731,80287,0
2025-11-28T18:02:30.940365,80323,0
2025-11-28T18:02:31.976145,80165,0
2025-11-28T18:02:33.005504,80224,0
2025-11-28T18:02:34.054850,80215,0
2025-11-28T18:02:35.084452,80280,0
2025-11-28T18:02:36.129340,80145,0
2025-11-28T18:02:37.159222,79781,0
2025-11-28T18:02:38.189623,79523,0
2025-11-28T18:02:39.227617,79583,0
2025-11-28T18:02:40.259538,79550,0
2025-11-28T18:02:41.290493,79536,0
2025-11-28T18:02:42.320071,79545,0
