timestamp,power_mW,under_attack
2025-11-28T19:19:18.739773,79353,1
2025-11-28T19:19:19.771576,79384,1
2025-11-28T19:19:20.802926,79342,1
2025-11-28T19:19:21.848629,79552,1
2025-11-28T19:19:22.898143,79414,1
2025-11-28T19:19:23.927701,79458,1
2025-11-28T19:19:24.957936,79516,1
2025-11-28T19:19:25.996170,79535,1
2025-11-28T19:19:27.027201,79667,1
2025-11-28T19:19:28.060180,79527,1
2025-11-28T19:19:29.120164,79503,1
2025-11-28T19:19:30.157635,79476,1
2025-11-28T19:19:31.200446,79402,1
2025-11-28T19:19:32.244224,79260,1
2025-11-28T19:19:33.276694,79406,1
2025-11-28T19:19:34.309550,79190,1
2025-11-28T19:19:35.339656,79439,1
2025-11-28T19:19:36.369340,79676,1
2025-11-28T19:19:37.412853,79650,1
2025-11-28T19:19:38.444686,79586,1
2025-11-28T19:19:39.490725,79556,1
2025-11-28T19:19:40.525446,79443,1
2025-11-28T19:19:41.561202,79434,1
2025-11-28T19:19:42.597416,79312,1
2025-11-28T19:19:43.627904,79301,1
2025-11-28T19:19:44.657606,79082,1
2025-11-28T19:19:45.687297,79037,1
2025-11-28T19:19:46.733134,79021,1
2025-11-28T19:19:47.763366,79074,1
2025-11-28T19:19:48.808049,78935,1
2025-11-28T19:19:49.837217,78928,1
2025-11-28T19:19:50.867448,79041,1
2025-11-28T19:19:51.906429,79000,1
2025-11-28T19:19:52.936226,79375,1
2025-11-28T19:19:53.966238,79686,1
2025-11-28T19:19:55.005072,79728,1
2025-11-28T19:19:56.049612,79773,1
2025-11-28T19:19:57.081833,79827,1
2025-11-28T19:19:58.124277,79708,1
2025-11-28T19:19:59.153812,79591,1
2025-11-28T19:20:00.188429,79715,1
2025-11-28T19:20:01.228032,79736,1
2025-11-28T19:20:02.264293,79735,1
2025-11-28T19:20:03.294433,79833,1
2025-11-28T19:20:04.342094,79860,1
2025-11-28T19:20:05.372224,79778,1
2025-11-28T19:20:06.420213,79752,1
2025-11-28T19:20:07.449821,79575,1
2025-11-28T19:20:08.499225,79610,1
2025-11-28T19:20:09.539741,79614,1
2025-11-28T19:20:10.572223,79617,1
2025-11-28T19:20:11.614590,79377,1
2025-11-28T19:20:12.644297,79114,1
2025-11-28T19:20:13.690690,79173,1
2025-11-28T19:20:14.720508,79130,1
2025-11-28T19:20:15.750275,79161,1
2025-11-28T19:20:16.784977,79139,1
2025-11-28T19:20:17.816326,79154,1
2025-11-28T19:20:19.116214,79152,0
2025-11-28T19:20:20.145988,79339,0
2025-11-28T19:20:21.202165,79450,0
2025-11-28T19:20:22.246536,79412,0
2025-11-28T19:20:23.286045,79441,0
2025-11-28T19:20:24.315742,79375,0
2025-11-28T19:20:25.367797,79409,0
2025-11-28T19:20:26.396995,79268,0
2025-11-28T19:20:27.429181,79356,0
2025-11-28T19:20:28.458580,79290,0
2025-11-28T19:20:29.488826,79446,0
2025-11-28T19:20:30.522583,79561,0
2025-11-28T19:20:31.560637,79431,0
2025-11-28T19:20:32.604477,79472,0
2025-11-28T19:20:33.635071,79578,0
2025-11-28T19:20:34.724586,79458,0
2025-11-28T19:20:35.780675,79508,0
2025-11-28T19:20:36.812419,79460,0
2025-11-28T19:20:37.854542,79440,0
2025-11-28T19:20:38.893857,79437,0
2025-11-28T19:20:39.923924,79421,0
2025-11-28T19:20:40.967542,79415,0
2025-11-28T19:20:42.001540,79414,0
2025-11-28T19:20:43.031803,79447,0
2025-11-28T19:20:44.075094,79341,0
2025-11-28T19:20:45.106304,79360,0
2025-11-28T19:20:46.151081,79308,0
2025-11-28T19:20:47.185540,79323,0
2025-11-28T19:20:48.215073,79334,0
2025-11-28T19:20:49.244641,79247,0
2025-11-28T19:20:50.276508,79155,0
2025-11-28T19:20:51.307007,79178,0
2025-11-28T19:20:52.338444,79297,0
2025-11-28T19:20:53.393399,79218,0
2025-11-28T19:20:54.422585,79173,0
2025-11-28T19:20:55.471929,79167,0
2025-11-28T19:20:56.503576,79162,0
2025-11-28T19:20:57.533219,79359,0
2025-11-28T19:20:58.564214,79392,0
2025-11-28T19:20:59.594602,79327,0
2025-11-28T19:21:00.625674,79310,0
2025-11-28T19:21:01.655607,79080,0
2025-11-28T19:21:02.686573,79206,0
2025-11-28T19:21:03.718211,79178,0
2025-11-28T19:21:04.759210,79224,0
2025-11-28T19:21:05.790197,79244,0
2025-11-28T19:21:06.837023,79130,0
2025-11-28T19:21:07.866822,79067,0
2025-11-28T19:21:08.897110,79066,0
2025-11-28T19:21:09.927410,79019,0
2025-11-28T19:21:10.960133,79089,0
2025-11-28T19:21:11.995563,79154,0
2025-11-28T19:21:13.026940,79075,0
2025-11-28T19:21:14.057070,79274,0
2025-11-28T19:21:15.102138,79423,0
2025-11-28T19:21:16.131472,79347,0
2025-11-28T19:21:17.181237,79440,0
2025-11-28T19:21:18.211332,79403,0
2025-11-28T19:21:19.240379,79415,0
2025-11-28T19:21:20.273230,79539,0
2025-11-28T19:21:21.306042,79446,0
2025-11-28T19:21:22.339105,79469,0
2025-11-28T19:21:23.370571,79684,0
2025-11-28T19:21:24.427367,79838,0
2025-11-28T19:21:25.471761,79784,0
2025-11-28T19:21:26.513055,79771,0
2025-11-28T19:21:27.543077,79747,0
2025-11-28T19:21:28.575074,79721,0
2025-11-28T19:21:29.612636,79767,0
2025-11-28T19:21:30.670484,79734,0
2025-11-28T19:21:31.718641,79742,0
2025-11-28T19:21:32.748030,59880,0
2025-11-28T19:21:33.786562,79433,0
2025-11-28T19:21:34.825376,79544,0
2025-11-28T19:21:35.858424,79537,0
2025-11-28T19:21:36.890588,79468,0
2025-11-28T19:21:37.920614,79568,0
2025-11-28T19:21:38.971230,79424,0
2025-11-28T19:21:40.021858,79513,0
2025-11-28T19:21:41.051595,79529,0
2025-11-28T19:21:42.081308,79458,0
2025-11-28T19:21:43.125204,79411,0
2025-11-28T19:21:44.157232,79463,0
2025-11-28T19:21:45.187412,79389,0
2025-11-28T19:21:46.234006,79435,0
2025-11-28T19:21:47.283105,79473,0
2025-11-28T19:21:48.315197,79392,0
2025-11-28T19:21:49.352772,79488,0
2025-11-28T19:21:50.384322,79492,0
2025-11-28T19:21:51.415528,79557,0
2025-11-28T19:21:52.445045,79506,0
2025-11-28T19:21:53.474858,79515,0
2025-11-28T19:21:54.508045,79450,0
2025-11-28T19:21:55.551020,65750,0
2025-11-28T19:21:56.583023,79595,0
2025-11-28T19:21:57.653383,79675,0
2025-11-28T19:21:58.683303,79608,0
2025-11-28T19:21:59.715773,79710,0
2025-11-28T19:22:00.746830,79670,0
2025-11-28T19:22:01.778397,79681,0
2025-11-28T19:22:02.820640,79593,0
2025-11-28T19:22:03.852891,79576,0
2025-11-28T19:22:04.894668,79558,0
2025-11-28T19:22:05.924570,79436,0
2025-11-28T19:22:06.957613,79237,0
2025-11-28T19:22:07.991371,79189,0
2025-11-28T19:22:09.034789,79081,0
2025-11-28T19:22:10.068423,79001,0
2025-11-28T19:22:11.115212,79049,0
2025-11-28T19:22:12.167306,78931,0
2025-11-28T19:22:13.199488,78896,0
2025-11-28T19:22:14.227880,79461,0
2025-11-28T19:22:15.272949,79316,0
2025-11-28T19:22:16.302742,79309,0
2025-11-28T19:22:17.333856,79283,0
2025-11-28T19:22:18.363163,79361,0
2025-11-28T19:22:19.409597,79410,0
2025-11-28T19:22:20.442564,79315,0
2025-11-28T19:22:21.494397,79291,0
2025-11-28T19:22:22.529209,79295,0
2025-11-28T19:22:23.563788,79194,0
2025-11-28T19:22:24.593371,79190,0
2025-11-28T19:22:25.622634,79187,0
2025-11-28T19:22:26.680547,79143,0
2025-11-28T19:22:27.716206,79162,0
2025-11-28T19:22:28.756382,79126,0
2025-11-28T19:22:29.794394,79208,0
2025-11-28T19:22:30.830302,79203,0
2025-11-28T19:22:31.876095,79984,0
2025-11-28T19:22:32.906207,80012,0
2025-11-28T19:22:33.952020,79921,0
2025-11-28T19:22:34.982773,79843,0
2025-11-28T19:22:36.024107,79922,0
2025-11-28T19:22:37.054626,79876,0
2025-11-28T19:22:38.090663,79762,0
2025-11-28T19:22:39.121629,79864,0
2025-11-28T19:22:40.156243,79885,0
2025-11-28T19:22:41.186701,80171,0
2025-11-28T19:22:42.220265,80039,0
2025-11-28T19:22:43.250363,80179,0
2025-11-28T19:22:44.292801,80223,0
2025-11-28T19:22:45.323669,80125,0
2025-11-28T19:22:46.367008,80109,0
2025-11-28T19:22:47.396948,80012,0
2025-11-28T19:22:48.429951,80040,0
2025-11-28T19:22:49.460641,79900,0
2025-11-28T19:22:50.493630,79455,0
2025-11-28T19:22:51.523382,79413,0
2025-11-28T19:22:52.553361,79416,0
2025-11-28T19:22:53.592660,79427,0
2025-11-28T19:22:54.633281,79372,0
2025-11-28T19:22:55.665464,79450,0
2025-11-28T19:22:56.717838,79460,0
2025-11-28T19:22:57.749745,79452,0
2025-11-28T19:22:58.780574,79450,0
2025-11-28T19:22:59.821806,79547,0
2025-11-28T19:23:00.854283,79432,0
2025-11-28T19:23:01.884943,79438,0
2025-11-28T19:23:02.927629,79351,0
2025-11-28T19:23:03.959447,79370,0
2025-11-28T19:23:05.003907,79244,0
2025-11-28T19:23:06.034268,79273,0
2025-11-28T19:23:07.068666,79310,0
2025-11-28T19:23:08.107818,79714,0
2025-11-28T19:23:09.138643,79570,0
2025-11-28T19:23:10.168016,79621,0
2025-11-28T19:23:11.224380,79516,0
2025-11-28T19:23:12.253805,79469,0
2025-11-28T19:23:13.298338,79367,0
2025-11-28T19:23:14.328861,79318,0
2025-11-28T19:23:15.361904,79321,0
2025-11-28T19:23:16.391999,79179,0
2025-11-28T19:23:17.425547,79004,0
2025-11-28T19:23:18.455762,78966,0
2025-11-28T19:23:19.485009,79068,1
2025-11-28T19:23:20.519045,78947,1
2025-11-28T19:23:21.564303,79003,1
2025-11-28T19:23:22.596742,78937,1
2025-11-28T19:23:23.645672,78901,1
2025-11-28T19:23:24.675390,78914,1
2025-11-28T19:23:25.712679,79162,1
2025-11-28T19:23:26.744117,79573,1
2025-11-28T19:23:27.774663,79749,1
2025-11-28T19:23:28.805237,79713,1
2025-11-28T19:23:29.835876,79742,1
2025-11-28T19:23:30.885129,79680,1
2025-11-28T19:23:31.936348,79676,1
2025-11-28T19:23:33.053667,79658,1
