timestamp,power_mW,under_attack
2025-11-28T17:18:14.078140,80016,1
2025-11-28T17:18:15.108242,80050,1
2025-11-28T17:18:16.168926,80125,1
2025-11-28T17:18:17.220260,79977,1
2025-11-28T17:18:18.257740,80010,1
2025-11-28T17:18:19.288219,80097,1
2025-11-28T17:18:20.321103,79929,1
2025-11-28T17:18:21.352106,80013,1
2025-11-28T17:18:22.388558,79967,1
2025-11-28T17:18:23.432408,80132,1
2025-11-28T17:18:24.463037,80214,1
2025-11-28T17:18:25.505886,80188,1
2025-11-28T17:18:26.538990,80179,1
2025-11-28T17:18:27.585593,80229,1
2025-11-28T17:18:28.615291,80178,1
2025-11-28T17:18:29.646213,80240,1
2025-11-28T17:18:30.701290,80178,1
2025-11-28T17:18:31.731258,79944,1
2025-11-28T17:18:32.782496,79502,1
2025-11-28T17:18:33.819370,79512,1
2025-11-28T17:18:34.853109,79471,1
2025-11-28T17:18:35.892177,79537,1
2025-11-28T17:18:36.922730,79461,1
2025-11-28T17:18:37.954216,79506,1
2025-11-28T17:18:38.996622,79536,1
2025-11-28T17:18:40.027632,79623,1
2025-11-28T17:18:41.071347,79642,1
2025-11-28T17:18:42.106299,79592,1
2025-11-28T17:18:43.142705,79536,1
2025-11-28T17:18:44.173923,79419,1
2025-11-28T17:18:45.204121,79434,1
2025-11-28T17:18:46.236019,79444,1
2025-11-28T17:18:47.266437,79348,1
2025-11-28T17:18:48.318694,79290,1
2025-11-28T17:18:49.369268,79383,1
2025-11-28T17:18:50.409017,79753,1
2025-11-28T17:18:51.439442,79701,1
2025-11-28T17:18:52.476665,79705,1
2025-11-28T17:18:53.513164,79689,1
2025-11-28T17:18:54.559582,79552,1
2025-11-28T17:18:55.612676,79498,1
2025-11-28T17:18:56.643206,79474,1
2025-11-28T17:18:57.673575,79470,1
2025-11-28T17:18:58.715105,79291,1
2025-11-28T17:18:59.745875,79077,1
2025-11-28T17:19:00.775395,78983,1
2025-11-28T17:19:01.829142,79014,1
2025-11-28T17:19:02.889563,78999,1
2025-11-28T17:19:03.920741,78972,1
2025-11-28T17:19:04.951659,78944,1
2025-11-28T17:19:05.980991,79045,1
2025-11-28T17:19:07.019137,79212,1
2025-11-28T17:19:08.048783,79682,1
2025-11-28T17:19:09.083496,79810,1
2025-11-28T17:19:10.160196,79825,1
2025-11-28T17:19:11.194656,79871,1
2025-11-28T17:19:12.227480,79887,1
2025-11-28T17:19:13.269452,79911,1
2025-11-28T17:19:16.370340,79869,0
2025-11-28T17:19:17.402354,79917,0
2025-11-28T17:19:18.450452,79950,0
2025-11-28T17:19:19.485826,79954,0
2025-11-28T17:19:20.518777,79790,0
2025-11-28T17:19:21.554230,79884,0
2025-11-28T17:19:22.591422,79718,0
2025-11-28T17:19:23.663042,79797,0
2025-11-28T17:19:24.697492,79800,0
2025-11-28T17:19:25.736274,79616,0
2025-11-28T17:19:26.765882,79223,0
2025-11-28T17:19:27.797336,79180,0
2025-11-28T17:19:28.838796,79256,0
2025-11-28T17:19:29.869319,79282,0
2025-11-28T17:19:30.914015,79258,0
2025-11-28T17:19:31.967546,79143,0
2025-11-28T17:19:32.999569,79267,0
2025-11-28T17:19:34.055850,73598,0
2025-11-28T17:19:35.087149,78964,0
2025-11-28T17:19:36.133463,78934,0
2025-11-28T17:19:37.165621,78840,0
2025-11-28T17:19:38.214735,79012,0
2025-11-28T17:19:39.251520,78823,0
