timestamp,power_mW,under_attack
2025-11-28T22:05:54.930742,79420,1
2025-11-28T22:05:55.964286,79456,1
2025-11-28T22:05:57.013694,79508,1
2025-11-28T22:05:58.055395,79538,1
2025-11-28T22:05:59.085691,79567,1
2025-11-28T22:06:00.153300,79579,1
2025-11-28T22:06:01.183642,79611,1
2025-11-28T22:06:02.227010,79513,1
2025-11-28T22:06:03.258823,79508,1
2025-11-28T22:06:04.302031,79430,1
2025-11-28T22:06:05.338477,79527,1
2025-11-28T22:06:06.368012,79506,1
2025-11-28T22:06:07.397139,79546,1
2025-11-28T22:06:08.426197,79519,1
2025-11-28T22:06:09.458006,79624,1
2025-11-28T22:06:10.539958,79565,1
2025-11-28T22:06:11.576160,79530,1
2025-11-28T22:06:12.618517,79492,1
2025-11-28T22:06:13.654725,79607,1
2025-11-28T22:06:14.685135,79569,1
2025-11-28T22:06:15.721718,79555,1
2025-11-28T22:06:16.767617,79571,1
2025-11-28T22:06:17.797788,79549,1
2025-11-28T22:06:18.845942,79560,1
2025-11-28T22:06:19.875940,79502,1
2025-11-28T22:06:20.906546,79299,1
2025-11-28T22:06:21.937201,79419,1
2025-11-28T22:06:22.968478,79310,1
2025-11-28T22:06:24.002255,79433,1
2025-11-28T22:06:25.037629,79523,1
2025-11-28T22:06:26.087551,79563,1
2025-11-28T22:06:27.138662,79563,1
2025-11-28T22:06:28.168067,79638,1
2025-11-28T22:06:29.200492,79586,1
2025-11-28T22:06:30.234279,79612,1
2025-11-28T22:06:31.262911,79522,1
2025-11-28T22:06:32.294298,79619,1
2025-11-28T22:06:33.337797,79529,1
2025-11-28T22:06:34.382396,79585,1
2025-11-28T22:06:35.412140,79539,1
2025-11-28T22:06:36.455680,79628,1
2025-11-28T22:06:37.490322,79620,1
2025-11-28T22:06:38.520850,79575,1
2025-11-28T22:06:39.554217,79626,1
2025-11-28T22:06:40.586654,79546,1
2025-11-28T22:06:41.617205,79521,1
2025-11-28T22:06:42.646528,79610,1
2025-11-28T22:06:43.698835,79544,1
2025-11-28T22:06:44.729832,79580,1
2025-11-28T22:06:45.774237,79618,1
2025-11-28T22:06:46.814413,79519,1
2025-11-28T22:06:47.870276,79560,1
2025-11-28T22:06:48.899149,79592,1
2025-11-28T22:06:49.929512,79538,1
2025-11-28T22:06:50.974146,79662,1
2025-11-28T22:06:52.024614,79563,1
2025-11-28T22:06:53.056763,79575,1
2025-11-28T22:06:54.086566,79592,1
2025-11-28T22:06:58.139448,79681,0
2025-11-28T22:06:59.171141,79486,0
2025-11-28T22:07:00.212788,79597,0
2025-11-28T22:07:01.242595,79526,0
2025-11-28T22:07:02.273823,79585,0
2025-11-28T22:07:03.304255,79602,0
2025-11-28T22:07:04.334059,79522,0
2025-11-28T22:07:05.377427,79623,0
2025-11-28T22:07:06.406484,79552,0
2025-11-28T22:07:07.457149,79578,0
2025-11-28T22:07:08.550517,79610,0
2025-11-28T22:07:09.585444,79530,0
2025-11-28T22:07:10.632574,79628,0
2025-11-28T22:07:11.663768,79578,0
2025-11-28T22:07:12.711489,79618,0
2025-11-28T22:07:13.744584,79587,0
2025-11-28T22:07:14.782379,79652,0
2025-11-28T22:07:15.813097,79596,0
2025-11-28T22:07:16.848675,79574,0
2025-11-28T22:07:17.925513,79586,0
2025-11-28T22:07:18.958762,79499,0
2025-11-28T22:07:19.988814,79445,0
2025-11-28T22:07:21.023035,79189,0
2025-11-28T22:07:22.063295,79177,0
2025-11-28T22:07:23.100586,79264,0
2025-11-28T22:07:24.130860,79312,0
2025-11-28T22:07:25.172200,79273,0
2025-11-28T22:07:26.202136,79226,0
2025-11-28T22:07:27.246314,79198,0
2025-11-28T22:07:28.277028,79237,0
2025-11-28T22:07:29.312344,79165,0
2025-11-28T22:07:30.341403,79229,0
2025-11-28T22:07:31.371261,79264,0
2025-11-28T22:07:32.400702,79216,0
2025-11-28T22:07:33.431835,79205,0
2025-11-28T22:07:34.464111,79252,0
2025-11-28T22:07:35.516349,79177,0
2025-11-28T22:07:36.553656,79214,0
2025-11-28T22:07:37.587104,79251,0
2025-11-28T22:07:38.626602,79324,0
2025-11-28T22:07:39.656154,79201,0
2025-11-28T22:07:40.686940,79180,0
2025-11-28T22:07:41.718738,79213,0
2025-11-28T22:07:42.748060,79146,0
2025-11-28T22:07:43.778832,79196,0
2025-11-28T22:07:44.808825,79244,0
2025-11-28T22:07:45.839591,79243,0
2025-11-28T22:07:46.882848,79303,0
2025-11-28T22:07:47.940434,79305,0
2025-11-28T22:07:48.973025,79254,0
2025-11-28T22:07:50.016166,79236,0
2025-11-28T22:07:51.047055,79265,0
2025-11-28T22:07:52.077662,79225,0
2025-11-28T22:07:53.127443,79190,0
2025-11-28T22:07:54.157469,79174,0
2025-11-28T22:07:55.201665,79212,0
2025-11-28T22:07:56.231112,79249,0
2025-11-28T22:07:57.260804,79102,0
2025-11-28T22:07:58.289539,79259,0
2025-11-28T22:07:59.323821,79327,0
2025-11-28T22:08:00.355354,79247,0
2025-11-28T22:08:01.385231,79228,0
2025-11-28T22:08:02.425907,79148,0
2025-11-28T22:08:03.470259,79158,0
2025-11-28T22:08:04.499638,79112,0
2025-11-28T22:08:05.543916,79215,0
2025-11-28T22:08:06.573515,79304,0
2025-11-28T22:08:07.602820,79289,0
2025-11-28T22:08:08.631649,79255,0
2025-11-28T22:08:09.663043,79314,0
2025-11-28T22:08:10.693704,79278,0
2025-11-28T22:08:11.736834,79192,0
2025-11-28T22:08:12.787929,79222,0
2025-11-28T22:08:13.817526,79229,0
2025-11-28T22:08:14.863586,79185,0
2025-11-28T22:08:15.895464,79235,0
2025-11-28T22:08:16.939504,79149,0
2025-11-28T22:08:17.969189,79217,0
2025-11-28T22:08:18.997575,79191,0
2025-11-28T22:08:20.060901,79052,0
2025-11-28T22:08:21.090320,79067,0
2025-11-28T22:08:22.133844,79025,0
2025-11-28T22:08:23.165846,79007,0
2025-11-28T22:08:24.195604,79197,0
2025-11-28T22:08:25.225495,79240,0
2025-11-28T22:08:26.253846,79127,0
2025-11-28T22:08:27.285997,79225,0
2025-11-28T22:08:28.318686,79233,0
2025-11-28T22:08:29.349176,79237,0
2025-11-28T22:08:30.378282,79183,0
2025-11-28T22:08:31.423548,79130,0
2025-11-28T22:08:32.456434,79177,0
2025-11-28T22:08:33.498794,79238,0
2025-11-28T22:08:34.532302,79222,0
2025-11-28T22:08:35.560765,79201,0
2025-11-28T22:08:36.590607,79208,0
2025-11-28T22:08:37.619768,79309,0
2025-11-28T22:08:38.671312,79278,0
2025-11-28T22:08:39.703410,79222,0
2025-11-28T22:08:40.743559,79229,0
2025-11-28T22:08:41.776658,79283,0
2025-11-28T22:08:42.815786,79215,0
2025-11-28T22:08:43.847211,79172,0
2025-11-28T22:08:44.875818,79197,0
2025-11-28T22:08:45.905737,79184,0
2025-11-28T22:08:46.935239,79198,0
2025-11-28T22:08:47.972623,79169,0
