timestamp,power_mW,under_attack
2025-11-28T23:27:21.898274,79488,1
2025-11-28T23:27:22.945313,79375,1
2025-11-28T23:27:23.985100,79488,1
2025-11-28T23:27:25.014527,79456,1
2025-11-28T23:27:26.095056,79423,1
2025-11-28T23:27:27.142194,79505,1
2025-11-28T23:27:28.175787,79473,1
2025-11-28T23:27:29.205433,79436,1
2025-11-28T23:27:30.234713,79513,1
2025-11-28T23:27:31.271052,79500,1
2025-11-28T23:27:32.300922,79502,1
2025-11-28T23:27:33.331203,79505,1
2025-11-28T23:27:34.387135,79469,1
2025-11-28T23:27:35.418379,79505,1
2025-11-28T23:27:36.463725,79468,1
2025-11-28T23:27:37.494402,79461,1
2025-11-28T23:27:38.524018,79463,1
2025-11-28T23:27:39.554211,79443,1
2025-11-28T23:27:40.588237,79496,1
2025-11-28T23:27:41.617265,79478,1
2025-11-28T23:27:42.646817,79510,1
2025-11-28T23:27:43.679250,79457,1
2025-11-28T23:27:44.710079,79459,1
2025-11-28T23:27:45.752720,79509,1
2025-11-28T23:27:46.785245,79451,1
2025-11-28T23:27:47.828621,79536,1
2025-11-28T23:27:48.858658,79467,1
2025-11-28T23:27:49.889247,79459,1
2025-11-28T23:27:50.921873,79500,1
2025-11-28T23:27:51.951538,79335,1
2025-11-28T23:27:52.987858,79519,1
2025-11-28T23:27:54.019246,79491,1
2025-11-28T23:27:55.049486,79590,1
2025-11-28T23:27:56.095459,79413,1
2025-11-28T23:27:57.124932,79503,1
2025-11-28T23:27:58.173668,79397,1
2025-11-28T23:27:59.204636,79423,1
2025-11-28T23:28:00.234327,79469,1
2025-11-28T23:28:01.266343,79492,1
2025-11-28T23:28:02.296930,79475,1
2025-11-28T23:28:03.325921,79501,1
2025-11-28T23:28:04.354804,79491,1
2025-11-28T23:28:05.384466,79633,1
2025-11-28T23:28:06.416142,79445,1
2025-11-28T23:28:07.463230,79425,1
2025-11-28T23:28:08.511526,79460,1
2025-11-28T23:28:09.543318,79345,1
2025-11-28T23:28:10.575997,79000,1
2025-11-28T23:28:11.605101,79483,1
2025-11-28T23:28:12.635268,79966,1
2025-11-28T23:28:13.670583,80016,1
2025-11-28T23:28:14.708289,80016,1
2025-11-28T23:28:15.737375,79975,1
2025-11-28T23:28:16.785250,79927,1
2025-11-28T23:28:17.838054,79993,1
2025-11-28T23:28:18.868261,79977,1
2025-11-28T23:28:19.919407,79985,1
2025-11-28T23:28:20.948778,80052,1
2025-11-28T23:28:22.357474,79995,0
2025-11-28T23:28:23.386682,79946,0
2025-11-28T23:28:24.440764,79897,0
2025-11-28T23:28:25.484872,79945,0
2025-11-28T23:28:26.537761,79929,0
