timestamp,power_mW,under_attack
2025-11-28T22:47:13.301637,79771,1
2025-11-28T22:47:14.330666,79729,1
2025-11-28T22:47:15.367290,79733,1
2025-11-28T22:47:16.397132,79729,1
2025-11-28T22:47:17.441645,79734,1
2025-11-28T22:47:18.490252,79796,1
2025-11-28T22:47:19.519902,79810,1
2025-11-28T22:47:20.552606,79810,1
2025-11-28T22:47:21.583869,79800,1
2025-11-28T22:47:22.613707,79901,1
2025-11-28T22:47:23.644029,79801,1
2025-11-28T22:47:24.675673,79775,1
2025-11-28T22:47:25.704642,79785,1
2025-11-28T22:47:26.733819,79789,1
2025-11-28T22:47:27.791111,79819,1
2025-11-28T22:47:28.832524,79751,1
2025-11-28T22:47:29.862402,79726,1
2025-11-28T22:47:30.895102,79693,1
2025-11-28T22:47:31.925721,79745,1
2025-11-28T22:47:32.955262,79691,1
2025-11-28T22:47:33.984589,79692,1
2025-11-28T22:47:35.014497,79785,1
2025-11-28T22:47:36.045390,79691,1
2025-11-28T22:47:37.100040,79725,1
2025-11-28T22:47:38.129333,79771,1
2025-11-28T22:47:39.157392,79793,1
2025-11-28T22:47:40.197856,79814,1
2025-11-28T22:47:41.227624,79772,1
2025-11-28T22:47:42.257808,79872,1
2025-11-28T22:47:43.293553,79760,1
2025-11-28T22:47:44.322734,79785,1
2025-11-28T22:47:45.354638,79817,1
2025-11-28T22:47:46.396094,79859,1
2025-11-28T22:47:47.426468,79752,1
2025-11-28T22:47:48.469172,79787,1
2025-11-28T22:47:49.500284,79795,1
2025-11-28T22:47:50.541913,79807,1
2025-11-28T22:47:51.595713,79786,1
2025-11-28T22:47:52.627730,79840,1
2025-11-28T22:47:53.657590,79790,1
2025-11-28T22:47:54.687631,79701,1
2025-11-28T22:47:55.716932,79777,1
2025-11-28T22:47:56.768006,79790,1
2025-11-28T22:47:57.812776,79798,1
2025-11-28T22:47:58.843213,79802,1
2025-11-28T22:47:59.876311,79785,1
2025-11-28T22:48:00.909349,79798,1
2025-11-28T22:48:01.938293,79856,1
2025-11-28T22:48:02.967449,79779,1
