timestamp,power_mW,under_attack
2025-11-28T21:24:40.646250,79679,1
2025-11-28T21:24:41.691652,79738,1
2025-11-28T21:24:42.723149,79730,1
2025-11-28T21:24:43.766809,79696,1
2025-11-28T21:24:44.797720,79803,1
2025-11-28T21:24:45.826692,79699,1
2025-11-28T21:24:46.872828,79755,1
2025-11-28T21:24:47.903448,79720,1
2025-11-28T21:24:48.935700,79872,1
2025-11-28T21:24:49.966938,79687,1
2025-11-28T21:24:51.010594,79766,1
2025-11-28T21:24:52.043083,79787,1
2025-11-28T21:24:53.087529,79628,1
2025-11-28T21:24:54.117502,79638,1
2025-11-28T21:24:55.163674,79724,1
2025-11-28T21:24:56.197792,79755,1
2025-11-28T21:24:57.230202,79591,1
2025-11-28T21:24:58.279088,79518,1
2025-11-28T21:24:59.310168,79617,1
2025-11-28T21:25:00.357958,79767,1
2025-11-28T21:25:01.390378,79732,1
2025-11-28T21:25:02.425607,79583,1
2025-11-28T21:25:03.457241,79594,1
2025-11-28T21:25:04.486505,79829,1
2025-11-28T21:25:05.517425,79581,1
2025-11-28T21:25:06.550623,79752,1
2025-11-28T21:25:07.579717,79759,1
2025-11-28T21:25:08.623356,79770,1
2025-11-28T21:25:09.652459,79770,1
2025-11-28T21:25:10.699075,79662,1
2025-11-28T21:25:11.729653,79159,1
2025-11-28T21:25:12.759380,79012,1
2025-11-28T21:25:13.792917,79211,1
2025-11-28T21:25:14.822019,79195,1
2025-11-28T21:25:15.865351,79260,1
2025-11-28T21:25:16.894909,79230,1
2025-11-28T21:25:17.943341,79256,1
2025-11-28T21:25:18.991601,79176,1
2025-11-28T21:25:20.021016,79217,1
2025-11-28T21:25:21.056825,79249,1
2025-11-28T21:25:22.090113,79258,1
2025-11-28T21:25:23.120181,79252,1
2025-11-28T21:25:24.151263,79242,1
2025-11-28T21:25:25.192659,79158,1
2025-11-28T21:25:26.234654,79235,1
2025-11-28T21:25:27.266159,79286,1
2025-11-28T21:25:28.311591,79232,1
