timestamp,power_mW,under_attack
2025-11-26T16:31:53.974803,23153,1
2025-11-26T16:31:55.049629,23400,1
2025-11-26T16:31:56.101732,23313,1
2025-11-26T16:31:57.130914,23292,1
2025-11-26T16:31:58.160315,23137,1
2025-11-26T16:31:59.203849,23261,1
2025-11-26T16:32:00.265283,23359,1
2025-11-26T16:32:01.330951,23146,1
2025-11-26T16:32:02.364198,23111,1
2025-11-26T16:32:03.395620,23319,1
2025-11-26T16:32:04.524370,23140,1
2025-11-26T16:32:05.577231,23186,1
2025-11-26T16:32:06.683035,23775,1
2025-11-26T16:32:07.738751,23507,1
2025-11-26T16:32:08.796404,23690,1
2025-11-26T16:32:09.837163,23365,1
2025-11-26T16:32:10.943010,23121,1
2025-11-26T16:32:11.985801,23399,1
2025-11-26T16:32:13.027495,23223,1
2025-11-26T16:32:14.064233,23271,1
2025-11-26T16:32:15.112725,23323,1
2025-11-26T16:32:16.174524,23314,1
2025-11-26T16:32:17.236732,23384,1
2025-11-26T16:32:18.292898,23116,1
2025-11-26T16:32:19.341880,23630,1
2025-11-26T16:32:20.371419,23810,1
2025-11-26T16:32:21.464177,23486,1
2025-11-26T16:32:22.510136,23201,1
2025-11-26T16:32:23.546940,23337,1
2025-11-26T16:32:24.577020,23209,1
2025-11-26T16:32:25.638565,23482,1
2025-11-26T16:32:26.682176,23389,1
2025-11-26T16:32:27.711353,23242,1
2025-11-26T16:32:28.761673,23381,1
2025-11-26T16:32:29.822552,23402,1
2025-11-26T16:32:30.859516,23188,1
2025-11-26T16:32:31.905170,23482,1
2025-11-26T16:32:32.936832,23418,1
2025-11-26T16:32:34.009941,23221,1
2025-11-26T16:32:35.053593,23202,1
2025-11-26T16:32:36.083571,23227,1
2025-11-26T16:32:37.126859,23262,1
2025-11-26T16:32:38.161085,23541,1
2025-11-26T16:32:39.208729,23313,1
2025-11-26T16:32:40.238572,23256,1
2025-11-26T16:32:41.268110,23463,1
2025-11-26T16:32:42.301528,23408,1
2025-11-26T16:32:43.343930,23265,1
2025-11-26T16:32:44.377639,23363,1
2025-11-26T16:32:45.426076,23465,1
2025-11-26T16:32:46.475624,23256,1
2025-11-26T16:32:47.508158,23281,1
2025-11-26T16:32:48.541753,23477,1
2025-11-26T16:32:49.574223,23253,1
2025-11-26T16:32:50.604401,23218,1
2025-11-26T16:32:51.666650,23523,1
2025-11-26T16:32:52.719263,23218,1
2025-11-26T16:32:53.758780,23394,1
2025-11-26T16:32:58.229248,23208,0
2025-11-26T16:32:59.274997,23148,0
2025-11-26T16:33:00.306555,23358,0
2025-11-26T16:33:01.336189,23128,0
2025-11-26T16:33:02.435127,23032,0
2025-11-26T16:33:03.599266,23050,0
2025-11-26T16:33:04.630217,23135,0
2025-11-26T16:33:05.719733,22979,0
2025-11-26T16:33:06.751512,23352,0
2025-11-26T16:33:07.810656,23474,0
2025-11-26T16:33:08.840403,23024,0
2025-11-26T16:33:09.870164,23413,0
2025-11-26T16:33:10.935387,23139,0
2025-11-26T16:33:11.971148,23145,0
2025-11-26T16:33:13.004168,23231,0
2025-11-26T16:33:14.033018,23206,0
2025-11-26T16:33:15.062224,23109,0
2025-11-26T16:33:16.091010,23174,0
2025-11-26T16:33:17.121597,23077,0
2025-11-26T16:33:18.150707,23270,0
2025-11-26T16:33:19.195525,23152,0
2025-11-26T16:33:20.241076,23100,0
2025-11-26T16:33:21.288946,23377,0
2025-11-26T16:33:22.319056,23008,0
2025-11-26T16:33:23.347675,23199,0
2025-11-26T16:33:24.406947,23194,0
2025-11-26T16:33:25.437067,23192,0
2025-11-26T16:33:26.487324,23113,0
2025-11-26T16:33:27.536021,23194,0
2025-11-26T16:33:28.565871,23190,0
2025-11-26T16:33:29.602377,23205,0
2025-11-26T16:33:30.631875,23071,0
2025-11-26T16:33:31.661220,23425,0
2025-11-26T16:33:32.693005,23159,0
2025-11-26T16:33:33.722532,23046,0
2025-11-26T16:33:34.778288,23241,0
2025-11-26T16:33:35.809381,23298,0
2025-11-26T16:33:36.852362,23517,0
2025-11-26T16:33:37.881848,23492,0
2025-11-26T16:33:38.910933,23783,0
2025-11-26T16:33:39.940185,23185,0
2025-11-26T16:33:40.970300,23129,0
2025-11-26T16:33:42.013501,23347,0
2025-11-26T16:33:43.043648,23249,0
2025-11-26T16:33:44.102031,23281,0
2025-11-26T16:33:45.146169,23232,0
2025-11-26T16:33:46.193056,23245,0
2025-11-26T16:33:47.223792,23490,0
2025-11-26T16:33:48.254746,23118,0
2025-11-26T16:33:49.284304,23104,0
2025-11-26T16:33:50.322187,23459,0
2025-11-26T16:33:51.367360,23706,0
2025-11-26T16:33:52.397423,23352,0
2025-11-26T16:33:53.442480,23290,0
2025-11-26T16:33:54.473518,23142,0
2025-11-26T16:33:55.505059,23271,0
2025-11-26T16:33:56.534201,23363,0
2025-11-26T16:33:57.589903,23143,0
2025-11-26T16:33:58.637214,23181,0
2025-11-26T16:33:59.670604,23308,0
2025-11-26T16:34:00.711151,23038,0
2025-11-26T16:34:01.741089,23335,0
2025-11-26T16:34:02.771938,23218,0
2025-11-26T16:34:03.800619,22955,0
2025-11-26T16:34:04.844208,23175,0
2025-11-26T16:34:05.873261,23214,0
2025-11-26T16:34:06.901555,22954,0
2025-11-26T16:34:07.956019,23269,0
2025-11-26T16:34:08.987425,23411,0
2025-11-26T16:34:10.031458,23082,0
2025-11-26T16:34:11.060216,23127,0
2025-11-26T16:34:12.088936,23246,0
2025-11-26T16:34:13.119267,23043,0
2025-11-26T16:34:14.152392,23208,0
2025-11-26T16:34:15.195600,23026,0
2025-11-26T16:34:16.232487,23193,0
2025-11-26T16:34:17.278086,23115,0
2025-11-26T16:34:18.325125,23014,0
2025-11-26T16:34:19.355068,23259,0
2025-11-26T16:34:20.385030,23054,0
2025-11-26T16:34:21.413273,23311,0
2025-11-26T16:34:22.444233,23168,0
2025-11-26T16:34:23.489992,23123,0
2025-11-26T16:34:24.520918,23176,0
2025-11-26T16:34:25.571671,23132,0
2025-11-26T16:34:26.618241,23011,0
2025-11-26T16:34:27.650702,23346,0
