timestamp,power_mW,under_attack
2025-11-26T17:53:03.935789,22188,1
2025-11-26T17:53:04.978476,22251,1
2025-11-26T17:53:06.008043,22196,1
2025-11-26T17:53:07.066850,22402,1
2025-11-26T17:53:08.096766,22367,1
2025-11-26T17:53:09.134498,22391,1
2025-11-26T17:53:10.163823,22459,1
2025-11-26T17:53:11.194899,22570,1
2025-11-26T17:53:12.226851,22509,1
2025-11-26T17:53:13.273615,22534,1
2025-11-26T17:53:14.307737,22604,1
2025-11-26T17:53:15.347692,21553,1
2025-11-26T17:53:16.378750,20420,1
2025-11-26T17:53:17.409393,23075,1
2025-11-26T17:53:18.442875,22992,1
2025-11-26T17:53:19.474449,23017,1
2025-11-26T17:53:20.508224,23124,1
2025-11-26T17:53:21.538051,23143,1
2025-11-26T17:53:22.572184,23096,1
2025-11-26T17:53:23.622410,23074,1
2025-11-26T17:53:24.666687,23104,1
2025-11-26T17:53:25.698216,23114,1
2025-11-26T17:53:26.731555,23098,1
2025-11-26T17:53:27.777580,23021,1
2025-11-26T17:53:28.810366,23087,1
2025-11-26T17:53:29.839350,23148,1
2025-11-26T17:53:30.886383,23147,1
2025-11-26T17:53:31.915056,21498,1
2025-11-26T17:53:32.959470,22173,1
2025-11-26T17:53:33.988438,23276,1
2025-11-26T17:53:35.018958,23326,1
2025-11-26T17:53:36.048750,23346,1
2025-11-26T17:53:37.132155,23409,1
2025-11-26T17:53:38.160189,23629,1
2025-11-26T17:53:39.209822,23407,1
2025-11-26T17:53:40.239329,23095,1
2025-11-26T17:53:41.273145,23205,1
2025-11-26T17:53:42.320226,23447,1
2025-11-26T17:53:43.379605,23474,1
2025-11-26T17:53:44.427398,23295,1
2025-11-26T17:53:45.456676,23223,1
2025-11-26T17:53:46.490852,23338,1
2025-11-26T17:53:47.522993,23340,1
2025-11-26T17:53:48.553933,23277,1
2025-11-26T17:53:49.592637,23497,1
2025-11-26T17:53:50.628645,23444,1
2025-11-26T17:53:51.672768,23584,1
2025-11-26T17:53:52.703681,23620,1
2025-11-26T17:53:53.746432,23500,1
2025-11-26T17:53:54.777306,23758,1
2025-11-26T17:53:55.808384,23445,1
2025-11-26T17:53:56.852123,23451,1
2025-11-26T17:53:57.883728,23596,1
2025-11-26T17:53:58.914421,23503,1
2025-11-26T17:53:59.943947,23662,1
2025-11-26T17:54:00.992648,23556,1
2025-11-26T17:54:02.021153,23485,1
2025-11-26T17:54:03.066586,23354,1
2025-11-26T17:54:04.583045,22119,0
2025-11-26T17:54:05.627879,23253,0
2025-11-26T17:54:06.657879,23026,0
2025-11-26T17:54:07.686556,23178,0
2025-11-26T17:54:08.716419,23206,0
2025-11-26T17:54:09.744422,23181,0
2025-11-26T17:54:10.774149,23078,0
2025-11-26T17:54:11.814068,23050,0
2025-11-26T17:54:12.849489,23082,0
2025-11-26T17:54:13.893817,23141,0
2025-11-26T17:54:14.924118,23077,0
2025-11-26T17:54:15.967602,23080,0
2025-11-26T17:54:16.996398,22910,0
2025-11-26T17:54:18.024418,22902,0
2025-11-26T17:54:19.056683,22920,0
2025-11-26T17:54:20.087399,22840,0
2025-11-26T17:54:21.121370,22882,0
2025-11-26T17:54:22.151347,22831,0
2025-11-26T17:54:23.180381,22721,0
2025-11-26T17:54:24.239150,22777,0
2025-11-26T17:54:25.305485,22756,0
2025-11-26T17:54:26.334772,22717,0
2025-11-26T17:54:27.364305,22792,0
2025-11-26T17:54:28.393372,22911,0
2025-11-26T17:54:29.431227,22751,0
2025-11-26T17:54:30.459859,22664,0
2025-11-26T17:54:31.488801,22626,0
2025-11-26T17:54:32.531495,22701,0
2025-11-26T17:54:33.562012,22686,0
2025-11-26T17:54:34.607727,22712,0
2025-11-26T17:54:35.641626,22638,0
2025-11-26T17:54:36.674395,22793,0
2025-11-26T17:54:37.704877,22555,0
2025-11-26T17:54:38.743457,22487,0
2025-11-26T17:54:39.773369,22475,0
2025-11-26T17:54:40.803686,22565,0
2025-11-26T17:54:41.848263,22703,0
2025-11-26T17:54:42.878663,22618,0
2025-11-26T17:54:43.922599,22772,0
2025-11-26T17:54:44.958417,22607,0
2025-11-26T17:54:45.989027,22490,0
2025-11-26T17:54:47.018225,22691,0
2025-11-26T17:54:48.053767,22608,0
2025-11-26T17:54:49.083916,22659,0
2025-11-26T17:54:50.113914,22834,0
2025-11-26T17:54:51.167546,22694,0
2025-11-26T17:54:52.196384,22727,0
2025-11-26T17:54:53.241490,22769,0
2025-11-26T17:54:54.271838,22868,0
2025-11-26T17:54:55.302531,22858,0
2025-11-26T17:54:56.334461,22909,0
2025-11-26T17:54:57.363633,23093,0
2025-11-26T17:54:58.392871,22824,0
2025-11-26T17:54:59.422532,22722,0
2025-11-26T17:55:00.464510,23097,0
2025-11-26T17:55:01.507527,22944,0
2025-11-26T17:55:02.536362,22841,0
2025-11-26T17:55:03.585651,23212,0
2025-11-26T17:55:04.614646,22883,0
2025-11-26T17:55:05.645617,22954,0
2025-11-26T17:55:06.708082,22973,0
2025-11-26T17:55:07.737510,22875,0
2025-11-26T17:55:08.779696,23049,0
2025-11-26T17:55:09.809884,22908,0
2025-11-26T17:55:10.855087,23045,0
2025-11-26T17:55:11.883896,22927,0
2025-11-26T17:55:12.915804,23045,0
2025-11-26T17:55:13.944780,23131,0
2025-11-26T17:55:14.977559,23230,0
2025-11-26T17:55:16.007276,23248,0
2025-11-26T17:55:17.040940,23249,0
2025-11-26T17:55:18.079900,23109,0
2025-11-26T17:55:19.123140,23049,0
2025-11-26T17:55:20.151743,23121,0
2025-11-26T17:55:21.196256,22989,0
2025-11-26T17:55:22.225312,23107,0
2025-11-26T17:55:23.255153,22795,0
2025-11-26T17:55:24.285240,22798,0
2025-11-26T17:55:25.315220,22829,0
2025-11-26T17:55:26.344691,22907,0
2025-11-26T17:55:27.391315,22853,0
2025-11-26T17:55:28.419904,23041,0
2025-11-26T17:55:29.466471,23080,0
2025-11-26T17:55:30.496442,23048,0
2025-11-26T17:55:31.538287,22937,0
2025-11-26T17:55:32.568640,23013,0
2025-11-26T17:55:33.597292,22978,0
2025-11-26T17:55:34.628033,22876,0
2025-11-26T17:55:35.659288,22975,0
2025-11-26T17:55:36.844804,22931,0
2025-11-26T17:55:37.898940,22863,0
2025-11-26T17:55:38.928877,22896,0
2025-11-26T17:55:39.958287,22897,0
2025-11-26T17:55:41.003889,22810,0
2025-11-26T17:55:42.032667,22765,0
2025-11-26T17:55:43.063078,22893,0
2025-11-26T17:55:44.110752,22834,0
2025-11-26T17:55:45.139679,22913,0
2025-11-26T17:55:46.183826,22985,0
2025-11-26T17:55:47.213373,23038,0
2025-11-26T17:55:48.278907,22884,0
2025-11-26T17:55:49.310758,22766,0
2025-11-26T17:55:50.355864,22717,0
2025-11-26T17:55:51.385246,23030,0
2025-11-26T17:55:52.430289,22926,0
2025-11-26T17:55:53.459146,22759,0
2025-11-26T17:55:54.489440,22787,0
2025-11-26T17:55:55.519201,22802,0
2025-11-26T17:55:56.548540,22675,0
2025-11-26T17:55:57.579759,22900,0
2025-11-26T17:55:58.616112,22900,0
2025-11-26T17:55:59.644947,22830,0
2025-11-26T17:56:00.674782,22890,0
2025-11-26T17:56:01.726702,22997,0
2025-11-26T17:56:02.779409,22862,0
2025-11-26T17:56:03.811375,22890,0
2025-11-26T17:56:04.842456,22925,0
2025-11-26T17:56:05.870241,22855,0
2025-11-26T17:56:06.902197,22945,0
2025-11-26T17:56:07.931142,22947,0
2025-11-26T17:56:08.962295,23042,0
2025-11-26T17:56:09.997457,23041,0
2025-11-26T17:56:11.036838,23212,0
2025-11-26T17:56:12.066793,23243,0
2025-11-26T17:56:13.113756,23268,0
2025-11-26T17:56:14.142388,23374,0
2025-11-26T17:56:15.182850,23277,0
2025-11-26T17:56:16.212135,23333,0
2025-11-26T17:56:17.241347,23349,0
2025-11-26T17:56:18.280436,23243,0
2025-11-26T17:56:19.311859,23216,0
2025-11-26T17:56:20.357098,23215,0
2025-11-26T17:56:21.389516,23058,0
2025-11-26T17:56:22.431610,23172,0
2025-11-26T17:56:23.461887,23124,0
2025-11-26T17:56:24.492427,23168,0
2025-11-26T17:56:25.521817,23060,0
2025-11-26T17:56:26.550627,23007,0
2025-11-26T17:56:27.579360,23089,0
2025-11-26T17:56:28.608548,22990,0
2025-11-26T17:56:29.648591,23045,0
2025-11-26T17:56:30.678989,23146,0
2025-11-26T17:56:31.724473,22923,0
2025-11-26T17:56:32.753691,22921,0
2025-11-26T17:56:33.805490,23238,0
2025-11-26T17:56:34.852146,22832,0
2025-11-26T17:56:35.897570,22745,0
2025-11-26T17:56:36.947234,22644,0
2025-11-26T17:56:37.977925,22706,0
2025-11-26T17:56:39.019882,22797,0
2025-11-26T17:56:40.058821,22647,0
2025-11-26T17:56:41.090047,22787,0
2025-11-26T17:56:42.119814,22631,0
2025-11-26T17:56:43.204956,22579,0
2025-11-26T17:56:44.248136,22559,0
2025-11-26T17:56:45.279496,22518,0
2025-11-26T17:56:46.313098,22518,0
2025-11-26T17:56:47.343362,22419,0
2025-11-26T17:56:48.381942,22426,0
2025-11-26T17:56:49.411861,22496,0
2025-11-26T17:56:50.464554,22563,0
2025-11-26T17:56:51.497307,22545,0
2025-11-26T17:56:52.539667,22711,0
2025-11-26T17:56:53.571879,22422,0
2025-11-26T17:56:54.602727,22542,0
2025-11-26T17:56:55.633795,22651,0
2025-11-26T17:56:56.672402,22657,0
2025-11-26T17:56:57.707903,22572,0
2025-11-26T17:56:58.742172,22500,0
2025-11-26T17:56:59.781608,22643,0
2025-11-26T17:57:00.813285,22446,0
2025-11-26T17:57:01.856247,22453,0
2025-11-26T17:57:02.885570,22431,0
