timestamp,power_mW,under_attack
2025-11-26T17:12:53.843189,22533,1
2025-11-26T17:12:54.893330,22641,1
2025-11-26T17:12:55.963596,22684,1
2025-11-26T17:12:56.994616,22565,1
2025-11-26T17:12:58.023510,22782,1
2025-11-26T17:12:59.100176,22630,1
2025-11-26T17:13:00.150483,22812,1
2025-11-26T17:13:01.180776,22744,1
2025-11-26T17:13:02.210929,23015,1
2025-11-26T17:13:03.240088,22884,1
2025-11-26T17:13:04.270913,22984,1
2025-11-26T17:13:05.300241,22955,1
2025-11-26T17:13:06.329893,22959,1
2025-11-26T17:13:07.403306,22921,1
2025-11-26T17:13:08.440563,22935,1
2025-11-26T17:13:09.537597,22961,1
2025-11-26T17:13:10.589919,22862,1
2025-11-26T17:13:11.619490,23050,1
2025-11-26T17:13:12.649060,22665,1
2025-11-26T17:13:13.678351,22734,1
2025-11-26T17:13:14.731377,22644,1
2025-11-26T17:13:15.764016,22620,1
2025-11-26T17:13:16.810684,22556,1
2025-11-26T17:13:17.861836,22716,1
2025-11-26T17:13:18.892136,22844,1
2025-11-26T17:13:19.929476,22848,1
2025-11-26T17:13:20.960231,22675,1
2025-11-26T17:13:21.989531,22606,1
2025-11-26T17:13:23.020697,22682,1
2025-11-26T17:13:24.051194,22684,1
2025-11-26T17:13:25.104216,22666,1
2025-11-26T17:13:26.155407,22631,1
2025-11-26T17:13:27.190194,22861,1
2025-11-26T17:13:28.219223,22948,1
2025-11-26T17:13:29.268087,22409,1
2025-11-26T17:13:30.304455,22675,1
2025-11-26T17:13:31.347626,22769,1
2025-11-26T17:13:32.379336,22442,1
2025-11-26T17:13:33.425618,22805,1
2025-11-26T17:13:34.460022,22882,1
2025-11-26T17:13:35.498657,22780,1
2025-11-26T17:13:36.528679,22846,1
2025-11-26T17:13:37.558177,22674,1
2025-11-26T17:13:38.599813,22606,1
2025-11-26T17:13:39.641702,22643,1
2025-11-26T17:13:40.677030,22736,1
2025-11-26T17:13:41.717809,22961,1
2025-11-26T17:13:42.748598,22943,1
2025-11-26T17:13:43.777520,22854,1
2025-11-26T17:13:44.808245,22997,1
2025-11-26T17:13:45.837519,22673,1
2025-11-26T17:13:46.866856,22917,1
2025-11-26T17:13:47.909155,22822,1
2025-11-26T17:13:48.943023,22675,1
2025-11-26T17:13:49.985913,22658,1
2025-11-26T17:13:51.045992,22723,1
2025-11-26T17:13:52.075568,22730,1
2025-11-26T17:13:53.112918,22809,1
2025-11-26T17:13:54.410052,22710,0
2025-11-26T17:13:55.446497,22674,0
2025-11-26T17:13:56.475696,22636,0
2025-11-26T17:13:57.519369,22533,0
2025-11-26T17:13:58.548588,22523,0
2025-11-26T17:13:59.577408,22621,0
2025-11-26T17:14:00.607258,22617,0
2025-11-26T17:14:01.636238,22491,0
2025-11-26T17:14:02.686949,22560,0
2025-11-26T17:14:03.733674,22488,0
2025-11-26T17:14:04.768211,22510,0
2025-11-26T17:14:05.797449,22535,0
2025-11-26T17:14:06.827573,22584,0
2025-11-26T17:14:07.856563,22474,0
2025-11-26T17:14:09.008041,22343,0
2025-11-26T17:14:10.066166,22347,0
2025-11-26T17:14:11.185953,22445,0
2025-11-26T17:14:12.233477,22506,0
2025-11-26T17:14:13.285567,22472,0
2025-11-26T17:14:14.315358,22712,0
2025-11-26T17:14:15.347030,22524,0
2025-11-26T17:14:16.376434,22561,0
2025-11-26T17:14:17.405117,22512,0
2025-11-26T17:14:18.457280,22475,0
2025-11-26T17:14:19.506263,22565,0
2025-11-26T17:14:20.547091,22514,0
2025-11-26T17:14:21.578430,22372,0
2025-11-26T17:14:22.612936,22643,0
2025-11-26T17:14:23.643950,22530,0
2025-11-26T17:14:24.674071,22586,0
2025-11-26T17:14:25.704076,22694,0
2025-11-26T17:14:26.749306,22444,0
2025-11-26T17:14:27.798018,22589,0
2025-11-26T17:14:28.827555,22539,0
2025-11-26T17:14:29.857386,22498,0
2025-11-26T17:14:30.887235,22579,0
2025-11-26T17:14:31.919115,22767,0
2025-11-26T17:14:32.971065,22406,0
2025-11-26T17:14:34.020455,22385,0
2025-11-26T17:14:35.071589,22566,0
2025-11-26T17:14:36.100659,22390,0
2025-11-26T17:14:37.130070,22377,0
2025-11-26T17:14:38.161438,22752,0
2025-11-26T17:14:39.258283,22828,0
2025-11-26T17:14:40.294288,22688,0
2025-11-26T17:14:41.323780,22654,0
2025-11-26T17:14:42.362291,22666,0
2025-11-26T17:14:43.391046,22450,0
2025-11-26T17:14:44.425042,22546,0
2025-11-26T17:14:45.463463,22582,0
2025-11-26T17:14:46.510579,22503,0
2025-11-26T17:14:47.544414,22770,0
2025-11-26T17:14:48.590578,23048,0
2025-11-26T17:14:49.626809,22516,0
2025-11-26T17:14:50.669327,22464,0
2025-11-26T17:14:51.708249,22400,0
2025-11-26T17:14:52.759860,22690,0
2025-11-26T17:14:53.808101,22569,0
2025-11-26T17:14:54.837064,22656,0
2025-11-26T17:14:55.872679,22765,0
2025-11-26T17:14:56.901429,22418,0
2025-11-26T17:14:57.930750,22511,0
2025-11-26T17:14:58.960622,22492,0
2025-11-26T17:14:59.990114,22334,0
2025-11-26T17:15:01.020422,22489,0
2025-11-26T17:15:02.050301,22560,0
2025-11-26T17:15:03.102445,22618,0
2025-11-26T17:15:04.149426,22692,0
