timestamp,power_mW,under_attack
2025-11-27T19:58:20.563785,23046,1
2025-11-27T19:58:21.617228,22922,1
2025-11-27T19:58:22.671841,23168,1
2025-11-27T19:58:23.701104,23000,1
2025-11-27T19:58:24.739228,23300,1
2025-11-27T19:58:25.769757,23092,1
2025-11-27T19:58:26.802203,23004,1
2025-11-27T19:58:27.836706,23070,1
2025-11-27T19:58:28.882691,23107,1
2025-11-27T19:58:29.913229,22997,1
2025-11-27T19:58:30.958760,22959,1
2025-11-27T19:58:31.988305,23036,1
2025-11-27T19:58:33.029415,23070,1
2025-11-27T19:58:34.071926,22912,1
2025-11-27T19:58:35.101255,22954,1
2025-11-27T19:58:36.132150,23034,1
2025-11-27T19:58:37.176269,22920,1
2025-11-27T19:58:38.205052,22970,1
2025-11-27T19:58:39.256231,23094,1
2025-11-27T19:58:40.285078,22909,1
2025-11-27T19:58:41.316385,22968,1
2025-11-27T19:58:42.346751,22893,1
2025-11-27T19:58:43.384501,23002,1
2025-11-27T19:58:44.420614,22933,1
2025-11-27T19:58:45.450733,22950,1
2025-11-27T19:58:46.522857,22997,1
2025-11-27T19:58:47.551261,22963,1
2025-11-27T19:58:48.589959,22956,1
2025-11-27T19:58:49.621583,23108,1
2025-11-27T19:58:50.651682,22996,1
2025-11-27T19:58:51.684995,23091,1
2025-11-27T19:58:52.715948,23087,1
2025-11-27T19:58:53.745526,22984,1
2025-11-27T19:58:54.800367,23057,1
2025-11-27T19:58:55.841161,23031,1
2025-11-27T19:58:56.875809,22936,1
2025-11-27T19:58:57.904625,23034,1
2025-11-27T19:58:58.935213,23070,1
2025-11-27T19:58:59.966085,23004,1
2025-11-27T19:59:00.998564,23021,1
2025-11-27T19:59:02.031283,22934,1
2025-11-27T19:59:03.059705,23013,1
2025-11-27T19:59:04.106232,22913,1
2025-11-27T19:59:05.138152,23193,1
2025-11-27T19:59:06.182539,22995,1
2025-11-27T19:59:07.212615,23008,1
2025-11-27T19:59:08.242394,23017,1
2025-11-27T19:59:09.275853,22985,1
2025-11-27T19:59:10.307217,22996,1
2025-11-27T19:59:11.338437,23020,1
2025-11-27T19:59:12.367914,22991,1
2025-11-27T19:59:13.424462,22917,1
2025-11-27T19:59:14.454019,23041,1
2025-11-27T19:59:15.501416,22928,1
2025-11-27T19:59:16.535702,22948,1
2025-11-27T19:59:17.566218,22966,1
2025-11-27T19:59:18.602201,22941,1
2025-11-27T19:59:19.633864,22811,1
2025-11-27T19:59:21.159989,23035,0
2025-11-27T19:59:22.188695,22902,0
2025-11-27T19:59:23.221143,22892,0
2025-11-27T19:59:24.251794,22995,0
2025-11-27T19:59:25.282533,22894,0
2025-11-27T19:59:26.329426,22892,0
2025-11-27T19:59:27.358441,22939,0
2025-11-27T19:59:28.409525,22924,0
2025-11-27T19:59:29.437903,22959,0
2025-11-27T19:59:30.471327,23014,0
2025-11-27T19:59:31.500913,22854,0
2025-11-27T19:59:32.529617,22906,0
2025-11-27T19:59:33.559026,22909,0
2025-11-27T19:59:34.591360,22946,0
2025-11-27T19:59:35.651136,22899,0
2025-11-27T19:59:36.698141,22982,0
2025-11-27T19:59:37.731354,22936,0
2025-11-27T19:59:38.761232,22844,0
2025-11-27T19:59:39.793028,22927,0
2025-11-27T19:59:40.834700,22991,0
2025-11-27T19:59:41.867372,22932,0
2025-11-27T19:59:42.921611,22979,0
2025-11-27T19:59:43.973245,22978,0
2025-11-27T19:59:45.004905,22862,0
2025-11-27T19:59:46.039231,22922,0
2025-11-27T19:59:47.078447,22918,0
2025-11-27T19:59:48.108254,22856,0
2025-11-27T19:59:49.144250,22934,0
2025-11-27T19:59:50.187302,23022,0
2025-11-27T19:59:51.247233,22960,0
2025-11-27T19:59:52.278209,22931,0
2025-11-27T19:59:53.326583,23015,0
2025-11-27T19:59:54.359057,23162,0
2025-11-27T19:59:55.391925,22954,0
2025-11-27T19:59:56.433720,22966,0
2025-11-27T19:59:57.463543,23285,0
2025-11-27T19:59:58.512681,23227,0
2025-11-27T19:59:59.563442,23446,0
2025-11-27T20:00:00.596558,22917,0
2025-11-27T20:00:01.660235,22938,0
2025-11-27T20:00:02.708872,23106,0
2025-11-27T20:00:03.739359,23086,0
2025-11-27T20:00:04.778261,23140,0
2025-11-27T20:00:05.806426,23023,0
2025-11-27T20:00:06.839095,23029,0
2025-11-27T20:00:07.868234,22935,0
2025-11-27T20:00:08.898206,23303,0
2025-11-27T20:00:09.929436,23339,0
2025-11-27T20:00:10.976468,23383,0
2025-11-27T20:00:12.005914,22983,0
2025-11-27T20:00:13.055056,22982,0
2025-11-27T20:00:14.159186,23145,0
2025-11-27T20:00:15.199898,22953,0
2025-11-27T20:00:16.230748,22888,0
2025-11-27T20:00:17.267577,23221,0
2025-11-27T20:00:18.296953,22977,0
2025-11-27T20:00:19.327111,23042,0
2025-11-27T20:00:20.374064,22939,0
2025-11-27T20:00:21.420578,23040,0
2025-11-27T20:00:22.449753,23024,0
2025-11-27T20:00:23.495226,23250,0
2025-11-27T20:00:24.524577,22912,0
2025-11-27T20:00:25.559204,23056,0
2025-11-27T20:00:26.597580,23200,0
2025-11-27T20:00:27.630338,22980,0
2025-11-27T20:00:28.661476,23244,0
2025-11-27T20:00:29.693558,22962,0
2025-11-27T20:00:30.738207,22998,0
2025-11-27T20:00:31.767479,23274,0
2025-11-27T20:00:32.817539,22959,0
2025-11-27T20:00:33.847429,22956,0
2025-11-27T20:00:34.890481,23194,0
2025-11-27T20:00:35.921251,22993,0
2025-11-27T20:00:36.951152,22874,0
2025-11-27T20:00:37.990432,23158,0
2025-11-27T20:00:39.030781,23101,0
2025-11-27T20:00:40.064088,22888,0
2025-11-27T20:00:41.113745,23095,0
2025-11-27T20:00:42.144891,23014,0
2025-11-27T20:00:43.180739,22860,0
2025-11-27T20:00:44.217621,23177,0
2025-11-27T20:00:45.262402,22972,0
2025-11-27T20:00:46.303147,22925,0
2025-11-27T20:00:47.332366,23121,0
2025-11-27T20:00:48.379418,22883,0
2025-11-27T20:00:49.408833,22931,0
2025-11-27T20:00:50.440223,23032,0
2025-11-27T20:00:51.476083,22990,0
2025-11-27T20:00:52.505088,23019,0
2025-11-27T20:00:53.534314,22916,0
2025-11-27T20:00:54.566140,22905,0
2025-11-27T20:00:55.619527,23086,0
2025-11-27T20:00:56.649884,22990,0
2025-11-27T20:00:57.696184,23509,0
2025-11-27T20:00:58.725387,23245,0
2025-11-27T20:00:59.769895,23376,0
2025-11-27T20:01:00.810813,23566,0
2025-11-27T20:01:01.839505,23123,0
2025-11-27T20:01:02.869491,23077,0
2025-11-27T20:01:03.916289,23107,0
2025-11-27T20:01:04.945930,23132,0
2025-11-27T20:01:05.994303,22985,0
2025-11-27T20:01:07.025069,23305,0
2025-11-27T20:01:08.055112,23118,0
2025-11-27T20:01:09.084868,22990,0
2025-11-27T20:01:10.123796,23091,0
2025-11-27T20:01:11.158848,23302,0
2025-11-27T20:01:12.188742,22962,0
2025-11-27T20:01:13.233532,23290,0
2025-11-27T20:01:14.263916,23071,0
2025-11-27T20:01:15.312559,22946,0
2025-11-27T20:01:16.341274,23296,0
2025-11-27T20:01:17.372339,23590,0
2025-11-27T20:01:18.402000,23352,0
2025-11-27T20:01:19.432301,23210,0
2025-11-27T20:01:20.461383,23260,0
2025-11-27T20:01:21.490537,23013,0
2025-11-27T20:01:22.530254,22944,0
