timestamp,power_mW,under_attack
2025-11-27T17:56:46.741545,22870,1
2025-11-27T17:56:47.795011,23044,1
2025-11-27T17:56:48.824649,23043,1
2025-11-27T17:56:49.854516,23184,1
2025-11-27T17:56:50.888745,23168,1
2025-11-27T17:56:51.920922,23166,1
2025-11-27T17:56:52.970266,23140,1
2025-11-27T17:56:54.009897,23086,1
2025-11-27T17:56:55.038410,23234,1
2025-11-27T17:56:56.067071,23317,1
2025-11-27T17:56:57.107722,23326,1
2025-11-27T17:56:58.137832,23148,1
2025-11-27T17:56:59.166538,23208,1
2025-11-27T17:57:00.200599,23238,1
2025-11-27T17:57:01.230956,23304,1
2025-11-27T17:57:02.261244,23294,1
2025-11-27T17:57:03.290181,23116,1
2025-11-27T17:57:04.332243,23297,1
2025-11-27T17:57:05.376306,23253,1
2025-11-27T17:57:06.406232,23194,1
2025-11-27T17:57:07.453015,23420,1
2025-11-27T17:57:08.483865,23305,1
2025-11-27T17:57:09.533418,23120,1
2025-11-27T17:57:10.566210,23390,1
2025-11-27T17:57:11.594863,23089,1
2025-11-27T17:57:12.627762,23092,1
2025-11-27T17:57:13.670381,23501,1
2025-11-27T17:57:14.699349,23162,1
2025-11-27T17:57:15.743947,23247,1
2025-11-27T17:57:16.772305,23501,1
2025-11-27T17:57:17.817069,23179,1
2025-11-27T17:57:18.845739,23043,1
2025-11-27T17:57:19.875829,23470,1
2025-11-27T17:57:20.909439,23294,1
2025-11-27T17:57:21.948242,23136,1
2025-11-27T17:57:22.988648,23304,1
2025-11-27T17:57:24.017902,23258,1
2025-11-27T17:57:25.071482,23079,1
2025-11-27T17:57:26.102867,23283,1
2025-11-27T17:57:27.132904,23209,1
2025-11-27T17:57:28.162055,23089,1
2025-11-27T17:57:29.190919,23100,1
2025-11-27T17:57:30.233039,23151,1
2025-11-27T17:57:31.264268,23027,1
2025-11-27T17:57:32.308585,23223,1
2025-11-27T17:57:33.361347,23195,1
2025-11-27T17:57:34.391731,23135,1
2025-11-27T17:57:35.421296,23405,1
2025-11-27T17:57:36.463056,23160,1
2025-11-27T17:57:37.493046,23202,1
2025-11-27T17:57:38.522223,23155,1
2025-11-27T17:57:39.578895,23197,1
2025-11-27T17:57:40.609077,23062,1
2025-11-27T17:57:41.667943,23169,1
2025-11-27T17:57:42.697028,23127,1
2025-11-27T17:57:43.727241,23280,1
2025-11-27T17:57:44.770235,23194,1
2025-11-27T17:57:45.834778,23169,1
2025-11-27T17:57:49.388090,23043,0
2025-11-27T17:57:50.416446,23059,0
2025-11-27T17:57:51.455957,23096,0
2025-11-27T17:57:52.484752,22944,0
2025-11-27T17:57:53.513239,22980,0
2025-11-27T17:57:54.575534,23035,0
2025-11-27T17:57:55.604249,23056,0
2025-11-27T17:57:56.634374,23015,0
2025-11-27T17:57:57.663234,23117,0
2025-11-27T17:57:58.693585,23012,0
2025-11-27T17:57:59.724672,23088,0
2025-11-27T17:58:00.754323,23023,0
2025-11-27T17:58:01.803178,22938,0
2025-11-27T17:58:02.848025,23124,0
2025-11-27T17:58:03.888284,22891,0
2025-11-27T17:58:04.916907,22988,0
2025-11-27T17:58:05.946379,23207,0
2025-11-27T17:58:06.976150,23156,0
2025-11-27T17:58:08.006295,22894,0
2025-11-27T17:58:09.034631,23050,0
2025-11-27T17:58:10.063313,22942,0
2025-11-27T17:58:11.095158,22889,0
2025-11-27T17:58:12.124513,22998,0
2025-11-27T17:58:13.219727,22871,0
2025-11-27T17:58:14.263555,22932,0
2025-11-27T17:58:15.298739,22912,0
2025-11-27T17:58:16.339107,22906,0
2025-11-27T17:58:17.367450,22910,0
2025-11-27T17:58:18.414476,22974,0
2025-11-27T17:58:19.443671,23163,0
2025-11-27T17:58:20.474044,22979,0
2025-11-27T17:58:21.505871,22984,0
2025-11-27T17:58:22.534499,23094,0
2025-11-27T17:58:23.565476,22946,0
2025-11-27T17:58:24.608775,23005,0
2025-11-27T17:58:25.638037,22923,0
2025-11-27T17:58:26.681492,22988,0
2025-11-27T17:58:27.712804,22930,0
2025-11-27T17:58:28.761456,22891,0
2025-11-27T17:58:29.798825,22933,0
2025-11-27T17:58:30.828200,22898,0
2025-11-27T17:58:31.856149,22957,0
2025-11-27T17:58:32.888987,22915,0
2025-11-27T17:58:33.918286,23000,0
2025-11-27T17:58:34.948071,22943,0
2025-11-27T17:58:35.984329,23179,0
2025-11-27T17:58:37.024576,22957,0
2025-11-27T17:58:38.053217,22926,0
2025-11-27T17:58:39.105421,22930,0
2025-11-27T17:58:40.134157,22893,0
2025-11-27T17:58:41.163355,23003,0
2025-11-27T17:58:42.199423,22892,0
2025-11-27T17:58:43.229380,22992,0
2025-11-27T17:58:44.258528,22913,0
2025-11-27T17:58:45.287228,23087,0
2025-11-27T17:58:46.342674,23165,0
2025-11-27T17:58:47.371732,23009,0
2025-11-27T17:58:48.421254,23056,0
2025-11-27T17:58:49.450702,23159,0
2025-11-27T17:58:50.480717,22909,0
2025-11-27T17:58:51.509799,23057,0
2025-11-27T17:58:52.538909,22951,0
2025-11-27T17:58:53.569944,22948,0
2025-11-27T17:58:54.599448,23108,0
2025-11-27T17:58:55.637141,22903,0
2025-11-27T17:58:56.666456,23074,0
2025-11-27T17:58:57.709547,23166,0
2025-11-27T17:58:58.740075,22965,0
