timestamp,power_mW,under_attack
2025-11-26T15:01:46.789299,31309,0
2025-11-26T15:01:47.857275,31337,0
2025-11-26T15:01:48.886709,31268,0
2025-11-26T15:01:49.921691,31368,0
2025-11-26T15:01:50.954521,31427,0
2025-11-26T15:01:51.984081,31414,0
2025-11-26T15:01:53.012991,31565,0
2025-11-26T15:01:54.056094,31441,0
2025-11-26T15:01:55.088864,31328,0
2025-11-26T15:01:56.140536,31471,0
2025-11-26T15:01:57.180775,30549,0
2025-11-26T15:01:58.216119,29177,0
2025-11-26T15:01:59.246210,27981,0
2025-11-26T15:02:00.279859,27473,0
2025-11-26T15:02:01.327634,27541,0
2025-11-26T15:02:02.357600,27809,0
2025-11-26T15:02:03.402015,27619,0
2025-11-26T15:02:04.431918,27625,0
2025-11-26T15:02:05.462816,27585,0
2025-11-26T15:02:06.492859,27480,0
2025-11-26T15:02:07.526244,27548,0
2025-11-26T15:02:08.555839,27539,0
2025-11-26T15:02:09.588752,27585,0
2025-11-26T15:02:10.617663,27500,0
2025-11-26T15:02:11.647669,27534,0
2025-11-26T15:02:12.692613,27637,0
2025-11-26T15:02:13.721668,27609,0
2025-11-26T15:02:14.769026,27861,0
2025-11-26T15:02:15.803312,28190,0
2025-11-26T15:02:16.833073,28499,0
2025-11-26T15:02:17.862626,28442,0
2025-11-26T15:02:18.899932,28464,0
2025-11-26T15:02:19.930673,28478,0
2025-11-26T15:02:20.959769,28597,0
2025-11-26T15:02:22.013726,28665,0
2025-11-26T15:02:23.042655,28559,0
2025-11-26T15:02:24.085214,28498,0
2025-11-26T15:02:25.120873,28476,0
2025-11-26T15:02:26.150322,28514,0
2025-11-26T15:02:27.181016,28358,0
2025-11-26T15:02:28.219441,28428,0
2025-11-26T15:02:29.250869,28348,0
2025-11-26T15:02:30.281676,28268,0
2025-11-26T15:02:31.332283,28275,0
2025-11-26T15:02:32.363752,28749,0
2025-11-26T15:02:33.405307,30901,0
2025-11-26T15:02:34.447460,31453,0
2025-11-26T15:02:35.478716,31360,0
2025-11-26T15:02:36.524484,31478,0
2025-11-26T15:02:37.577291,31376,0
2025-11-26T15:02:38.629957,31436,0
2025-11-26T15:02:39.667201,31382,0
2025-11-26T15:02:40.697593,31415,0
2025-11-26T15:02:41.740797,31459,0
2025-11-26T15:02:42.769904,31492,0
2025-11-26T15:02:43.800094,31499,0
2025-11-26T15:02:44.829277,31359,0
2025-11-26T15:02:45.871114,31359,0
2025-11-26T15:02:46.899798,31374,0
2025-11-26T15:02:47.945784,31333,0
2025-11-26T15:02:48.984798,31353,0
2025-11-26T15:02:50.028385,31404,0
2025-11-26T15:02:51.057588,31361,0
2025-11-26T15:02:52.087527,31338,0
2025-11-26T15:02:53.140016,31380,0
2025-11-26T15:02:54.170705,31354,0
2025-11-26T15:02:55.223954,31436,0
2025-11-26T15:02:56.258646,31435,0
2025-11-26T15:02:57.289500,31270,0
2025-11-26T15:02:58.332527,31386,0
2025-11-26T15:02:59.366238,31160,0
2025-11-26T15:03:00.411762,30265,0
2025-11-26T15:03:01.440891,30331,0
2025-11-26T15:03:02.485838,30416,0
2025-11-26T15:03:03.527051,30441,0
2025-11-26T15:03:04.556942,30498,0
2025-11-26T15:03:05.588108,30486,0
2025-11-26T15:03:06.619948,30724,0
2025-11-26T15:03:07.659166,30740,0
2025-11-26T15:03:08.710501,30621,0
2025-11-26T15:03:09.767527,30673,0
2025-11-26T15:03:10.798739,30781,0
2025-11-26T15:03:11.827957,30839,0
2025-11-26T15:03:12.857594,30776,0
2025-11-26T15:03:13.892249,30993,0
2025-11-26T15:03:14.923236,31024,0
2025-11-26T15:03:15.954048,31086,0
2025-11-26T15:03:16.984360,30885,0
2025-11-26T15:03:18.023702,31031,0
2025-11-26T15:03:19.074169,31247,0
2025-11-26T15:03:20.120732,30757,0
2025-11-26T15:03:21.160682,29379,0
2025-11-26T15:03:22.190485,28307,0
2025-11-26T15:03:23.219206,28039,0
2025-11-26T15:03:24.271360,28003,0
2025-11-26T15:03:25.338602,28019,0
2025-11-26T15:03:26.380432,28050,0
2025-11-26T15:03:27.426532,28153,0
2025-11-26T15:03:28.468236,28133,0
2025-11-26T15:03:29.497662,28216,0
2025-11-26T15:03:30.561477,28168,0
2025-11-26T15:03:31.596688,28124,0
2025-11-26T15:03:32.629757,28224,0
2025-11-26T15:03:33.671417,28238,0
2025-11-26T15:03:34.700861,28335,0
2025-11-26T15:03:35.741415,28296,0
2025-11-26T15:03:36.789878,28392,0
2025-11-26T15:03:37.828246,28636,0
2025-11-26T15:03:38.857789,28479,0
2025-11-26T15:03:39.891325,28473,0
2025-11-26T15:03:40.924360,28456,0
2025-11-26T15:03:41.952727,28418,0
2025-11-26T15:03:42.989922,28317,0
2025-11-26T15:03:44.040323,28219,0
2025-11-26T15:03:45.088049,28162,0
2025-11-26T15:03:46.120744,28130,0
2025-11-26T15:03:47.150151,28069,0
2025-11-26T15:03:48.184366,27760,0
2025-11-26T15:03:49.215372,27760,0
2025-11-26T15:03:50.244513,27833,0
2025-11-26T15:03:51.285841,27895,0
2025-11-26T15:03:52.333370,27961,0
2025-11-26T15:03:53.377753,27939,0
2025-11-26T15:03:54.423632,27956,0
2025-11-26T15:03:55.453618,27919,0
2025-11-26T15:03:56.492754,27777,0
2025-11-26T15:03:57.522374,27854,0
2025-11-26T15:03:58.552596,27845,0
2025-11-26T15:03:59.602384,27810,0
2025-11-26T15:04:00.647178,27789,0
2025-11-26T15:04:01.680101,27716,0
2025-11-26T15:04:02.709817,27788,0
2025-11-26T15:04:03.743109,27866,0
2025-11-26T15:04:04.772040,27911,0
2025-11-26T15:04:05.800910,27874,0
2025-11-26T15:04:06.834282,27797,0
2025-11-26T15:04:07.873342,27820,0
2025-11-26T15:04:09.000421,27345,0
2025-11-26T15:04:10.043045,26318,0
2025-11-26T15:04:11.075012,25233,0
2025-11-26T15:04:12.118451,24906,0
2025-11-26T15:04:13.153342,24946,0
2025-11-26T15:04:14.183723,24867,0
2025-11-26T15:04:15.212264,24915,0
2025-11-26T15:04:16.241549,24806,0
2025-11-26T15:04:17.272704,24892,0
2025-11-26T15:04:18.317303,24822,0
2025-11-26T15:04:19.361237,24842,0
2025-11-26T15:04:20.389952,24834,0
2025-11-26T15:04:21.439238,24854,0
2025-11-26T15:04:22.488399,25063,0
2025-11-26T15:04:23.523637,24792,0
2025-11-26T15:04:24.567442,24604,0
2025-11-26T15:04:25.607094,24565,0
2025-11-26T15:04:26.635487,24629,0
2025-11-26T15:04:27.665848,24830,0
2025-11-26T15:04:28.718064,24738,0
2025-11-26T15:04:29.748642,24604,0
2025-11-26T15:04:30.782497,24581,0
2025-11-26T15:04:31.834396,24525,0
2025-11-26T15:04:32.879023,24383,0
2025-11-26T15:04:33.916222,24401,0
2025-11-26T15:04:34.953072,24397,0
2025-11-26T15:04:35.987603,24485,0
2025-11-26T15:04:37.032288,24389,0
2025-11-26T15:04:38.063870,24491,0
2025-11-26T15:04:39.092787,24250,0
2025-11-26T15:04:40.148521,24299,0
2025-11-26T15:04:41.180957,24621,0
2025-11-26T15:04:42.224528,24289,0
2025-11-26T15:04:43.262467,24312,0
2025-11-26T15:04:44.293950,24367,0
2025-11-26T15:04:45.328942,24408,0
2025-11-26T15:04:46.358403,24328,0
2025-11-26T15:04:47.390501,24415,0
2025-11-26T15:04:48.421792,24345,0
2025-11-26T15:04:49.470063,24444,0
2025-11-26T15:04:50.517524,24452,0
2025-11-26T15:04:51.560995,24492,0
2025-11-26T15:04:52.592561,24504,0
2025-11-26T15:04:53.629266,24618,0
2025-11-26T15:04:54.658956,24664,0
2025-11-26T15:04:55.697200,24517,0
2025-11-26T15:04:56.737249,24635,0
2025-11-26T15:04:57.766653,24747,0
2025-11-26T15:04:58.810949,24744,0
2025-11-26T15:04:59.854329,24730,0
2025-11-26T15:05:00.883573,24599,0
2025-11-26T15:05:01.916528,24666,0
2025-11-26T15:05:02.953848,24718,0
2025-11-26T15:05:03.988637,24680,0
2025-11-26T15:05:05.031127,24745,0
2025-11-26T15:05:06.061104,24867,0
2025-11-26T15:05:07.111717,24684,0
2025-11-26T15:05:08.146831,24637,0
2025-11-26T15:05:09.178595,25120,0
2025-11-26T15:05:10.207837,27036,0
2025-11-26T15:05:11.244572,28472,0
2025-11-26T15:05:12.276385,29496,0
2025-11-26T15:05:13.306463,29526,0
2025-11-26T15:05:14.351300,29521,0
2025-11-26T15:05:15.381150,29241,0
2025-11-26T15:05:16.425190,29155,0
2025-11-26T15:05:17.470430,29045,0
2025-11-26T15:05:18.505759,28876,0
2025-11-26T15:05:19.537212,28928,0
2025-11-26T15:05:20.571082,28795,0
2025-11-26T15:05:21.622587,28579,0
2025-11-26T15:05:22.655415,28572,0
2025-11-26T15:05:23.694422,28495,0
2025-11-26T15:05:24.729745,28411,0
2025-11-26T15:05:25.759013,28345,0
2025-11-26T15:05:26.787691,28304,0
2025-11-26T15:05:27.820139,28300,0
2025-11-26T15:05:28.855435,28515,0
2025-11-26T15:05:29.885691,28273,0
2025-11-26T15:05:30.955354,28216,0
2025-11-26T15:05:31.992043,28280,0
2025-11-26T15:05:33.023866,28143,0
2025-11-26T15:05:34.057487,28258,0
2025-11-26T15:05:35.086421,28287,0
2025-11-26T15:05:36.116748,28279,0
2025-11-26T15:05:37.149162,28044,0
2025-11-26T15:05:38.188837,28082,0
2025-11-26T15:05:39.236053,27989,0
2025-11-26T15:05:40.265824,27957,0
2025-11-26T15:05:41.308595,27926,0
2025-11-26T15:05:42.338303,27938,0
2025-11-26T15:05:43.372799,27759,0
2025-11-26T15:05:44.401857,27902,0
2025-11-26T15:05:45.452452,27862,0
2025-11-26T15:05:46.519187,27824,0
2025-11-26T15:05:47.554403,27593,0
2025-11-26T15:05:48.599712,27526,0
2025-11-26T15:05:49.631111,27945,0
2025-11-26T15:05:50.663228,29458,0
2025-11-26T15:05:51.699498,31321,0
2025-11-26T15:05:52.729319,31654,0
2025-11-26T15:05:53.774900,31552,0
2025-11-26T15:05:54.806694,31476,0
2025-11-26T15:05:55.854314,31496,0
2025-11-26T15:05:56.884342,31349,0
2025-11-26T15:05:57.947053,31450,0
2025-11-26T15:05:58.977896,31534,0
2025-11-26T15:06:00.028911,31389,0
2025-11-26T15:06:01.075084,31509,0
2025-11-26T15:06:02.110695,31404,0
2025-11-26T15:06:03.147563,31339,0
2025-11-26T15:06:04.184307,31401,0
2025-11-26T15:06:05.214334,31500,0
2025-11-26T15:06:06.248386,31210,0
2025-11-26T15:06:07.293206,31332,0
2025-11-26T15:06:08.321552,31146,0
2025-11-26T15:06:09.376097,31199,0
2025-11-26T15:06:10.419084,31030,0
2025-11-26T15:06:11.450163,31042,0
2025-11-26T15:06:12.480986,31047,0
2025-11-26T15:06:13.520092,30923,0
