timestamp,power_mW,under_attack
2025-11-26T15:41:51.271294,29935,1
2025-11-26T15:41:52.302036,29876,1
2025-11-26T15:41:53.334906,30243,1
2025-11-26T15:41:54.364342,29964,1
2025-11-26T15:41:55.398598,30163,1
2025-11-26T15:41:56.439785,30031,1
2025-11-26T15:41:57.486305,29936,1
2025-11-26T15:41:58.515403,30207,1
2025-11-26T15:41:59.570332,30007,1
2025-11-26T15:42:00.598858,30037,1
2025-11-26T15:42:01.630866,29941,1
2025-11-26T15:42:02.670051,29913,1
2025-11-26T15:42:03.702720,30165,1
2025-11-26T15:42:04.735825,30005,1
2025-11-26T15:42:05.781156,30113,1
2025-11-26T15:42:06.818408,30056,1
2025-11-26T15:42:07.855013,30019,1
2025-11-26T15:42:08.884327,30009,1
2025-11-26T15:42:09.914014,30109,1
2025-11-26T15:42:10.951892,30162,1
2025-11-26T15:42:12.032011,30059,1
2025-11-26T15:42:13.083065,29956,1
2025-11-26T15:42:14.114794,30102,1
2025-11-26T15:42:15.144931,30169,1
2025-11-26T15:42:16.180462,30032,1
2025-11-26T15:42:17.211835,30033,1
2025-11-26T15:42:18.245192,30114,1
2025-11-26T15:42:19.296603,30074,1
2025-11-26T15:42:20.327350,30375,1
2025-11-26T15:42:21.373630,31434,1
2025-11-26T15:42:22.403721,31501,1
2025-11-26T15:42:23.444489,31613,1
2025-11-26T15:42:24.520257,31495,1
2025-11-26T15:42:25.548633,31575,1
2025-11-26T15:42:26.594459,31600,1
2025-11-26T15:42:27.626459,31466,1
2025-11-26T15:42:28.659286,31478,1
2025-11-26T15:42:29.692866,31361,1
2025-11-26T15:42:30.723517,31612,1
2025-11-26T15:42:31.773065,31477,1
2025-11-26T15:42:32.813423,31514,1
2025-11-26T15:42:33.843712,31493,1
2025-11-26T15:42:34.888551,31538,1
2025-11-26T15:42:35.924869,31444,1
2025-11-26T15:42:36.957560,31504,1
2025-11-26T15:42:38.001796,31490,1
2025-11-26T15:42:39.031871,31479,1
2025-11-26T15:42:40.061518,31526,1
2025-11-26T15:42:41.108744,29899,1
2025-11-26T15:42:42.138285,30316,1
2025-11-26T15:42:43.182691,30401,1
2025-11-26T15:42:44.212680,30299,1
2025-11-26T15:42:45.245572,30464,1
2025-11-26T15:42:46.277853,30747,1
2025-11-26T15:42:47.336760,30584,1
2025-11-26T15:42:48.379449,30458,1
2025-11-26T15:42:49.430704,30520,1
2025-11-26T15:42:50.462416,30706,1
2025-11-26T15:42:59.785661,31447,0
2025-11-26T15:43:00.828397,31545,0
2025-11-26T15:43:01.867101,31362,0
2025-11-26T15:43:02.896463,31418,0
2025-11-26T15:43:03.942580,31272,0
2025-11-26T15:43:04.972595,31226,0
2025-11-26T15:43:06.017767,31178,0
2025-11-26T15:43:07.057238,31243,0
2025-11-26T15:43:08.087757,31109,0
2025-11-26T15:43:09.132622,31260,0
2025-11-26T15:43:10.161845,31201,0
2025-11-26T15:43:11.190741,31154,0
2025-11-26T15:43:12.255046,31260,0
2025-11-26T15:43:13.289496,31221,0
2025-11-26T15:43:14.364075,31218,0
2025-11-26T15:43:15.395306,31237,0
2025-11-26T15:43:16.439458,31315,0
2025-11-26T15:43:17.469210,31268,0
2025-11-26T15:43:18.510182,31172,0
2025-11-26T15:43:19.543495,31188,0
2025-11-26T15:43:20.574265,31267,0
