timestamp,power_mW,under_attack
2025-11-27T17:28:27.359513,30643,0
2025-11-27T17:28:28.395378,30792,0
2025-11-27T17:28:29.428800,30721,0
2025-11-27T17:28:30.459774,30700,0
2025-11-27T17:28:31.510392,30744,0
2025-11-27T17:28:32.577721,30803,0
2025-11-27T17:28:33.607529,30765,0
2025-11-27T17:28:34.638662,30777,0
2025-11-27T17:28:35.669522,30708,0
2025-11-27T17:28:36.707524,30690,0
2025-11-27T17:28:37.737857,30642,0
2025-11-27T17:28:38.780946,30787,0
2025-11-27T17:28:39.814371,30798,0
2025-11-27T17:28:40.853182,30716,0
2025-11-27T17:28:41.883798,30705,0
2025-11-27T17:28:42.920720,30613,0
2025-11-27T17:28:43.953298,30648,0
2025-11-27T17:28:44.986519,30679,0
2025-11-27T17:28:46.016593,30739,0
2025-11-27T17:28:47.050037,30729,0
2025-11-27T17:28:48.079099,30633,0
2025-11-27T17:28:49.122400,30656,0
2025-11-27T17:28:50.162805,30666,0
2025-11-27T17:28:51.196583,30692,0
2025-11-27T17:28:52.225602,30760,0
2025-11-27T17:28:53.274794,30708,0
2025-11-27T17:28:54.306816,30830,0
2025-11-27T17:28:55.335763,30751,0
2025-11-27T17:28:56.375825,30721,0
2025-11-27T17:28:57.415879,30786,0
2025-11-27T17:28:58.450283,30702,0
2025-11-27T17:28:59.490862,30736,0
2025-11-27T17:29:00.529569,30722,0
2025-11-27T17:29:01.564140,30792,0
2025-11-27T17:29:02.592675,30874,0
2025-11-27T17:29:03.632227,30716,0
2025-11-27T17:29:04.665226,30798,0
2025-11-27T17:29:05.694576,30741,0
2025-11-27T17:29:06.735474,30787,0
2025-11-27T17:29:07.769016,30686,0
2025-11-27T17:29:08.810153,30685,0
2025-11-27T17:29:09.842100,30731,0
2025-11-27T17:29:10.871667,30797,0
2025-11-27T17:29:11.902130,30820,0
2025-11-27T17:29:12.940183,30761,0
2025-11-27T17:29:13.968694,30725,0
2025-11-27T17:29:14.998600,30802,0
2025-11-27T17:29:16.027951,30743,0
