timestamp,power_mW,under_attack
2025-11-28T14:49:09.095898,30238,1
2025-11-28T14:49:10.126314,30214,1
2025-11-28T14:49:11.157954,30268,1
2025-11-28T14:49:12.190948,30421,1
2025-11-28T14:49:13.231274,30447,1
2025-11-28T14:49:14.266375,30455,1
2025-11-28T14:49:15.311841,30417,1
2025-11-28T14:49:16.365132,30472,1
2025-11-28T14:49:17.395606,30505,1
2025-11-28T14:49:18.427991,30452,1
2025-11-28T14:49:19.461147,30516,1
2025-11-28T14:49:20.494341,30500,1
2025-11-28T14:49:21.526837,30383,1
2025-11-28T14:49:22.582419,30466,1
2025-11-28T14:49:23.619580,30358,1
2025-11-28T14:49:24.656284,30462,1
2025-11-28T14:49:25.686285,30286,1
2025-11-28T14:49:26.720419,30430,1
2025-11-28T14:49:27.750067,30439,1
2025-11-28T14:49:28.781003,30522,1
2025-11-28T14:49:29.812702,30560,1
2025-11-28T14:49:30.854470,30403,1
2025-11-28T14:49:31.900806,30452,1
2025-11-28T14:49:32.929688,30476,1
2025-11-28T14:49:33.974246,30473,1
2025-11-28T14:49:35.004610,30494,1
2025-11-28T14:49:36.045033,30522,1
2025-11-28T14:49:37.093886,30682,1
2025-11-28T14:49:38.125717,30595,1
2025-11-28T14:49:39.171343,30597,1
2025-11-28T14:49:40.202421,30497,1
2025-11-28T14:49:41.246162,30278,1
2025-11-28T14:49:42.288158,30441,1
2025-11-28T14:49:43.323634,30496,1
2025-11-28T14:49:44.354508,30480,1
2025-11-28T14:49:45.391518,30508,1
2025-11-28T14:49:46.421055,30481,1
2025-11-28T14:49:47.467653,30447,1
2025-11-28T14:49:48.497166,30340,1
2025-11-28T14:49:49.543168,30429,1
2025-11-28T14:49:50.577906,30491,1
2025-11-28T14:49:51.616429,30388,1
2025-11-28T14:49:52.669241,30374,1
2025-11-28T14:49:53.701605,30544,1
2025-11-28T14:49:54.735367,30384,1
2025-11-28T14:49:55.766542,30357,1
2025-11-28T14:49:56.813408,30600,1
2025-11-28T14:49:57.845613,30382,1
2025-11-28T14:49:58.876540,30441,1
2025-11-28T14:49:59.906164,30441,1
2025-11-28T14:50:00.936202,30598,1
2025-11-28T14:50:01.969015,30409,1
2025-11-28T14:50:03.010646,30377,1
2025-11-28T14:50:04.057318,30431,1
2025-11-28T14:50:05.104438,30387,1
2025-11-28T14:50:06.151241,30537,1
2025-11-28T14:50:07.195455,30431,1
2025-11-28T14:50:08.225229,30508,1
2025-11-28T14:50:12.915713,30475,0
2025-11-28T14:50:13.951399,30413,0
2025-11-28T14:50:14.982775,30492,0
2025-11-28T14:50:16.033227,30322,0
2025-11-28T14:50:17.063450,30467,0
2025-11-28T14:50:18.109801,30436,0
2025-11-28T14:50:19.138826,30440,0
2025-11-28T14:50:20.170788,30483,0
2025-11-28T14:50:21.199898,30414,0
2025-11-28T14:50:22.232801,30351,0
2025-11-28T14:50:23.273856,30349,0
2025-11-28T14:50:24.304109,30320,0
2025-11-28T14:50:25.352350,30353,0
2025-11-28T14:50:26.384611,30398,0
2025-11-28T14:50:27.428347,30507,0
2025-11-28T14:50:28.460506,30415,0
2025-11-28T14:50:29.494230,30428,0
2025-11-28T14:50:30.531767,30451,0
2025-11-28T14:50:31.561596,30357,0
2025-11-28T14:50:32.591089,30459,0
2025-11-28T14:50:33.647424,30338,0
2025-11-28T14:50:34.677036,30383,0
2025-11-28T14:50:35.721953,30285,0
2025-11-28T14:50:36.752083,30185,0
2025-11-28T14:50:37.784118,30294,0
2025-11-28T14:50:38.813589,30367,0
2025-11-28T14:50:39.843124,30333,0
2025-11-28T14:50:40.871803,30298,0
2025-11-28T14:50:41.901772,30299,0
2025-11-28T14:50:42.943701,30278,0
2025-11-28T14:50:43.991123,30362,0
2025-11-28T14:50:45.022400,30403,0
2025-11-28T14:50:46.067133,30310,0
2025-11-28T14:50:47.096061,30328,0
2025-11-28T14:50:48.125641,30354,0
2025-11-28T14:50:49.155469,30372,0
2025-11-28T14:50:50.186121,30366,0
2025-11-28T14:50:51.215503,30260,0
2025-11-28T14:50:52.253644,30327,0
2025-11-28T14:50:53.283722,30284,0
2025-11-28T14:50:54.335014,30302,0
2025-11-28T14:50:55.385745,30308,0
2025-11-28T14:50:56.420277,30240,0
2025-11-28T14:50:57.455180,30286,0
2025-11-28T14:50:58.485355,30348,0
2025-11-28T14:50:59.532524,30186,0
2025-11-28T14:51:00.561684,30282,0
2025-11-28T14:51:01.603173,30445,0
2025-11-28T14:51:02.632507,30310,0
2025-11-28T14:51:03.676083,30321,0
2025-11-28T14:51:04.705149,30324,0
2025-11-28T14:51:05.735298,30318,0
2025-11-28T14:51:06.771230,30401,0
2025-11-28T14:51:07.800739,30381,0
2025-11-28T14:51:08.830869,30323,0
2025-11-28T14:51:09.876252,30288,0
2025-11-28T14:51:10.919606,30231,0
2025-11-28T14:51:11.954232,30251,0
2025-11-28T14:51:12.998752,30234,0
2025-11-28T14:51:14.039219,30248,0
2025-11-28T14:51:15.074571,30247,0
2025-11-28T14:51:16.104142,30242,0
2025-11-28T14:51:17.134537,30238,0
2025-11-28T14:51:18.190098,30265,0
2025-11-28T14:51:19.219752,30312,0
2025-11-28T14:51:20.270230,30350,0
2025-11-28T14:51:21.304033,30397,0
2025-11-28T14:51:22.333950,30360,0
2025-11-28T14:51:23.363636,30454,0
2025-11-28T14:51:24.399502,30316,0
2025-11-28T14:51:25.433834,30377,0
2025-11-28T14:51:26.463718,30299,0
2025-11-28T14:51:27.511146,30311,0
2025-11-28T14:51:28.542536,30253,0
2025-11-28T14:51:29.583660,30197,0
2025-11-28T14:51:30.629622,30274,0
