timestamp,power_mW,under_attack
2025-06-17T12:52:49.019722,20240,1
2025-06-17T12:52:50.048448,20351,1
2025-06-17T12:52:51.078180,20329,1
2025-06-17T12:52:52.107506,20340,1
2025-06-17T12:52:53.138132,20367,1
2025-06-17T12:52:54.167525,20417,1
2025-06-17T12:52:55.211506,20475,1
2025-06-17T12:52:56.240753,20434,1
2025-06-17T12:52:57.286815,20245,1
2025-06-17T12:52:58.315732,20309,1
2025-06-17T12:52:59.345224,20382,1
2025-06-17T12:53:00.377310,20428,1
2025-06-17T12:53:01.406936,20375,1
2025-06-17T12:53:02.443859,20403,1
2025-06-17T12:53:03.474147,20409,1
2025-06-17T12:53:04.503307,20444,1
2025-06-17T12:53:05.553898,20345,1
2025-06-17T12:53:06.582766,20407,1
2025-06-17T12:53:07.630000,20446,1
2025-06-17T12:53:08.659315,20477,1
2025-06-17T12:53:09.690551,20480,1
2025-06-17T12:53:10.722055,20359,1
2025-06-17T12:53:11.752733,20282,1
2025-06-17T12:53:12.783699,20387,1
2025-06-17T12:53:13.818945,20322,1
2025-06-17T12:53:14.856415,20322,1
2025-06-17T12:53:15.896187,20351,1
2025-06-17T12:53:16.925400,20294,1
2025-06-17T12:53:17.970603,20320,1
2025-06-17T12:53:19.029114,20251,1
2025-06-17T12:53:20.060675,20306,1
2025-06-17T12:53:21.092476,20347,1
2025-06-17T12:53:22.122191,20262,1
2025-06-17T12:53:23.167216,20478,1
2025-06-17T12:53:24.196170,20376,1
2025-06-17T12:53:25.248657,20286,1
2025-06-17T12:53:26.285022,20308,1
2025-06-17T12:53:27.314342,20408,1
2025-06-17T12:53:28.343302,20316,1
2025-06-17T12:53:29.373731,20209,1
2025-06-17T12:53:30.403054,20183,1
2025-06-17T12:53:31.432559,20186,1
2025-06-17T12:53:32.485503,20178,1
2025-06-17T12:53:33.517922,20099,1
2025-06-17T12:53:34.559432,20251,1
2025-06-17T12:53:35.588475,20141,1
2025-06-17T12:53:36.617865,20237,1
2025-06-17T12:53:37.650433,20243,1
2025-06-17T12:53:38.679555,20122,1
2025-06-17T12:53:39.708971,20241,1
2025-06-17T12:53:40.743840,20165,1
2025-06-17T12:53:41.783026,20199,1
2025-06-17T12:53:42.828177,20009,1
2025-06-17T12:53:43.858026,20089,1
2025-06-17T12:53:44.912926,20069,1
2025-06-17T12:53:45.947151,20013,1
2025-06-17T12:53:46.986456,20075,1
2025-06-17T12:53:48.015214,20170,1
2025-06-17T12:53:51.817538,20023,0
2025-06-17T12:53:52.847140,20056,0
2025-06-17T12:53:53.886678,20082,0
2025-06-17T12:53:54.915154,20123,0
2025-06-17T12:53:55.944704,20236,0
2025-06-17T12:53:56.985320,20096,0
2025-06-17T12:53:58.014725,20127,0
2025-06-17T12:53:59.044008,20033,0
2025-06-17T12:54:00.076277,20107,0
