timestamp,power_mW,under_attack
2025-06-17T15:42:33.542918,20465,1
2025-06-17T15:42:34.595033,20406,1
2025-06-17T15:42:35.634896,20548,1
2025-06-17T15:42:36.663346,20527,1
2025-06-17T15:42:37.692760,20565,1
2025-06-17T15:42:38.721109,20450,1
2025-06-17T15:42:39.749537,20500,1
2025-06-17T15:42:40.784434,20469,1
2025-06-17T15:42:41.816761,20482,1
2025-06-17T15:42:42.845093,20428,1
2025-06-17T15:42:43.904426,20523,1
2025-06-17T15:42:44.935504,20454,1
2025-06-17T15:42:45.977250,20462,1
2025-06-17T15:42:47.005725,20428,1
2025-06-17T15:42:48.034721,20571,1
2025-06-17T15:42:49.063207,20563,1
2025-06-17T15:42:50.093838,20521,1
2025-06-17T15:42:51.122716,20470,1
2025-06-17T15:42:52.151834,20401,1
2025-06-17T15:42:53.180368,20444,1
2025-06-17T15:42:54.210394,20379,1
2025-06-17T15:42:55.241376,20560,1
2025-06-17T15:42:56.270045,20489,1
2025-06-17T15:42:57.299905,20460,1
2025-06-17T15:42:58.342417,20436,1
2025-06-17T15:42:59.371392,20440,1
2025-06-17T15:43:00.415199,20407,1
2025-06-17T15:43:01.444037,20553,1
2025-06-17T15:43:02.472201,20448,1
2025-06-17T15:43:03.506026,20409,1
2025-06-17T15:43:04.557612,20457,1
2025-06-17T15:43:05.586005,20476,1
2025-06-17T15:43:06.615557,20529,1
2025-06-17T15:43:07.660813,20536,1
2025-06-17T15:43:08.688808,20461,1
2025-06-17T15:43:09.735191,20312,1
2025-06-17T15:43:10.772748,20470,1
2025-06-17T15:43:11.813056,20438,1
2025-06-17T15:43:12.841498,20473,1
2025-06-17T15:43:13.870807,20569,1
2025-06-17T15:43:14.964504,20525,1
2025-06-17T15:43:15.992785,20498,1
2025-06-17T15:43:17.023715,20470,1
2025-06-17T15:43:18.052115,20429,1
2025-06-17T15:43:19.080512,20391,1
2025-06-17T15:43:20.109077,20414,1
2025-06-17T15:43:21.138330,20477,1
2025-06-17T15:43:22.167091,20452,1
2025-06-17T15:43:23.195854,20445,1
2025-06-17T15:43:24.249062,20568,1
2025-06-17T15:43:25.276823,20572,1
