timestamp,power_mW,under_attack
2025-06-17T11:40:11.572011,20035,1
2025-06-17T11:40:12.626324,20004,1
2025-06-17T11:40:13.656483,20072,1
2025-06-17T11:40:14.687189,20002,1
2025-06-17T11:40:15.717779,20212,1
2025-06-17T11:40:16.762526,20245,1
2025-06-17T11:40:17.793165,20042,1
2025-06-17T11:40:18.836926,20007,1
2025-06-17T11:40:19.867312,20071,1
2025-06-17T11:40:20.896967,20108,1
2025-06-17T11:40:21.927210,20107,1
2025-06-17T11:40:22.967393,20055,1
2025-06-17T11:40:23.997348,19878,1
2025-06-17T11:40:25.026648,19764,1
2025-06-17T11:40:26.081265,19927,1
2025-06-17T11:40:27.111361,19984,1
2025-06-17T11:40:28.155528,19948,1
2025-06-17T11:40:29.184875,20100,1
2025-06-17T11:40:30.215054,20124,1
2025-06-17T11:40:31.244142,20038,1
2025-06-17T11:40:32.273488,20060,1
2025-06-17T11:40:33.302805,20120,1
2025-06-17T11:40:34.332548,19966,1
2025-06-17T11:40:35.377457,20063,1
2025-06-17T11:40:36.406299,19950,1
2025-06-17T11:40:37.447222,20019,1
2025-06-17T11:40:38.489553,20015,1
2025-06-17T11:40:39.522346,19975,1
2025-06-17T11:40:40.551325,20057,1
2025-06-17T11:40:41.609052,20052,1
2025-06-17T11:40:42.638410,20165,1
2025-06-17T11:40:43.667481,20031,1
2025-06-17T11:40:44.697722,19708,1
2025-06-17T11:40:45.741643,19993,1
2025-06-17T11:40:46.771667,20049,1
2025-06-17T11:40:47.815628,19993,1
2025-06-17T11:40:48.845851,20155,1
2025-06-17T11:40:49.890693,20052,1
2025-06-17T11:40:50.920764,19818,1
2025-06-17T11:40:51.951283,19752,1
2025-06-17T11:40:52.993016,19752,1
2025-06-17T11:40:54.036097,19627,1
2025-06-17T11:40:55.066001,20054,1
2025-06-17T11:40:56.113464,19846,1
2025-06-17T11:40:57.142735,19757,1
2025-06-17T11:40:58.184261,19832,1
2025-06-17T11:40:59.214968,19917,1
2025-06-17T11:41:00.245630,20140,1
2025-06-17T11:41:01.275458,20147,1
2025-06-17T11:41:02.305037,19935,1
2025-06-17T11:41:03.334775,19655,1
2025-06-17T11:41:04.378415,19706,1
2025-06-17T11:41:05.409406,20131,1
2025-06-17T11:41:06.454637,20066,1
2025-06-17T11:41:07.485491,20155,1
2025-06-17T11:41:08.515429,20178,1
2025-06-17T11:41:09.545227,20154,1
2025-06-17T11:41:10.574437,19832,1
2025-06-17T11:41:28.454133,19640,0
2025-06-17T11:41:29.497865,20024,0
2025-06-17T11:41:30.530520,20054,0
2025-06-17T11:41:31.559656,20104,0
2025-06-17T11:41:32.592044,20072,0
2025-06-17T11:41:33.632560,19989,0
2025-06-17T11:41:34.663642,19751,0
2025-06-17T11:41:35.693068,19686,0
2025-06-17T11:41:36.736868,20076,0
2025-06-17T11:41:37.768742,20031,0
2025-06-17T11:41:38.811229,20016,0
2025-06-17T11:41:39.840701,19819,0
2025-06-17T11:41:40.869999,19827,0
2025-06-17T11:41:41.911210,19910,0
2025-06-17T11:41:42.945048,20145,0
2025-06-17T11:41:43.974484,20129,0
2025-06-17T11:41:45.005525,20016,0
2025-06-17T11:41:46.055344,20122,0
2025-06-17T11:41:47.087847,20117,0
2025-06-17T11:41:48.129302,20114,0
2025-06-17T11:41:49.159191,20100,0
2025-06-17T11:41:50.188979,20226,0
2025-06-17T11:41:51.220115,19988,0
2025-06-17T11:41:52.250986,20050,0
2025-06-17T11:41:53.284252,19653,0
2025-06-17T11:41:54.314706,19708,0
2025-06-17T11:41:55.353045,20171,0
2025-06-17T11:41:56.397647,19708,0
2025-06-17T11:41:57.428640,19748,0
2025-06-17T11:41:58.471844,19719,0
2025-06-17T11:41:59.501926,19747,0
2025-06-17T11:42:00.531119,20101,0
2025-06-17T11:42:01.560482,20011,0
2025-06-17T11:42:02.590043,19848,0
2025-06-17T11:42:03.620000,19772,0
2025-06-17T11:42:04.661914,20213,0
2025-06-17T11:42:05.692078,20125,0
2025-06-17T11:42:06.723203,20261,0
2025-06-17T11:42:07.765379,19830,0
2025-06-17T11:42:08.818807,19998,0
2025-06-17T11:42:09.873257,19982,0
2025-06-17T11:42:10.907718,20010,0
2025-06-17T11:42:11.938368,20150,0
2025-06-17T11:42:12.986351,20110,0
2025-06-17T11:42:14.017096,19990,0
2025-06-17T11:42:15.062052,20053,0
2025-06-17T11:42:16.091137,20055,0
2025-06-17T11:42:17.121325,20120,0
2025-06-17T11:42:18.152878,20070,0
2025-06-17T11:42:19.187174,19979,0
2025-06-17T11:42:20.217976,20108,0
2025-06-17T11:42:21.251178,20125,0
2025-06-17T11:42:22.280924,20034,0
2025-06-17T11:42:23.312453,20059,0
2025-06-17T11:42:24.353760,20059,0
2025-06-17T11:42:25.385024,20245,0
2025-06-17T11:42:26.427256,20031,0
2025-06-17T11:42:27.460671,19889,0
2025-06-17T11:42:28.490837,19863,0
2025-06-17T11:42:29.519996,20015,0
2025-06-17T11:42:30.555247,20211,0
2025-06-17T11:42:31.593833,20044,0
2025-06-17T11:42:32.622918,20087,0
2025-06-17T11:42:33.653772,20151,0
2025-06-17T11:42:34.715723,20189,0
2025-06-17T11:42:35.750665,20014,0
2025-06-17T11:42:36.794819,20009,0
2025-06-17T11:42:37.823954,20039,0
2025-06-17T11:42:38.853097,20091,0
2025-06-17T11:42:39.897420,20129,0
2025-06-17T11:42:40.926834,20164,0
2025-06-17T11:42:41.965596,20120,0
2025-06-17T11:42:42.998045,20111,0
2025-06-17T11:42:44.048650,20053,0
2025-06-17T11:42:45.080227,20091,0
2025-06-17T11:42:46.109185,20132,0
2025-06-17T11:42:47.144359,20109,0
2025-06-17T11:42:48.173214,20257,0
2025-06-17T11:42:49.204065,20072,0
2025-06-17T11:42:50.238263,20217,0
2025-06-17T11:42:51.267524,20071,0
2025-06-17T11:42:52.307970,20086,0
2025-06-17T11:42:53.337165,20143,0
2025-06-17T11:42:54.390413,20144,0
2025-06-17T11:42:55.419741,20212,0
2025-06-17T11:42:56.449062,20182,0
2025-06-17T11:42:57.479354,20119,0
2025-06-17T11:42:58.514920,20107,0
2025-06-17T11:42:59.544114,20110,0
2025-06-17T11:43:00.573910,20172,0
2025-06-17T11:43:01.627982,20297,0
2025-06-17T11:43:02.658432,20177,0
2025-06-17T11:43:03.701848,19708,0
2025-06-17T11:43:04.732183,19708,0
2025-06-17T11:43:05.762038,19608,0
2025-06-17T11:43:06.794443,19661,0
2025-06-17T11:43:07.825894,19958,0
2025-06-17T11:43:08.855423,20137,0
2025-06-17T11:43:09.884883,20228,0
2025-06-17T11:43:10.921942,20234,0
2025-06-17T11:43:11.968751,20031,0
2025-06-17T11:43:12.999534,19949,0
2025-06-17T11:43:14.045632,20132,0
2025-06-17T11:43:15.075119,20125,0
2025-06-17T11:43:16.104211,20185,0
2025-06-17T11:43:17.133700,20134,0
2025-06-17T11:43:18.166114,20151,0
2025-06-17T11:43:19.197802,19996,0
2025-06-17T11:43:20.234898,20050,0
2025-06-17T11:43:21.264446,20175,0
2025-06-17T11:43:22.311393,20099,0
2025-06-17T11:43:23.365912,20100,0
2025-06-17T11:43:24.395079,20069,0
2025-06-17T11:43:25.425480,20102,0
2025-06-17T11:43:26.455424,20091,0
2025-06-17T11:43:27.485605,20170,0
2025-06-17T11:43:28.515152,20248,0
2025-06-17T11:43:29.545050,20289,0
2025-06-17T11:43:30.577651,20269,0
2025-06-17T11:43:31.608011,20166,0
2025-06-17T11:43:32.653497,20291,0
2025-06-17T11:43:33.684102,20033,0
2025-06-17T11:43:34.741008,20134,0
2025-06-17T11:43:35.770203,20127,0
2025-06-17T11:43:36.803711,20204,0
2025-06-17T11:43:37.832598,20218,0
2025-06-17T11:43:38.880505,20140,0
2025-06-17T11:43:39.923938,20087,0
2025-06-17T11:43:40.957020,20081,0
2025-06-17T11:43:41.998996,20049,0
2025-06-17T11:43:43.028511,20179,0
2025-06-17T11:43:44.057601,20108,0
2025-06-17T11:43:45.087135,20218,0
2025-06-17T11:43:46.118435,20089,0
2025-06-17T11:43:47.160140,20141,0
2025-06-17T11:43:48.190148,20236,0
2025-06-17T11:43:49.221722,20252,0
2025-06-17T11:43:50.270373,20079,0
2025-06-17T11:43:51.301203,20057,0
2025-06-17T11:43:52.340619,20120,0
2025-06-17T11:43:53.370235,20061,0
2025-06-17T11:43:54.401488,20126,0
2025-06-17T11:43:55.431815,20118,0
2025-06-17T11:43:56.470968,20153,0
2025-06-17T11:43:57.500847,20140,0
2025-06-17T11:43:58.530064,20241,0
2025-06-17T11:43:59.584759,20193,0
2025-06-17T11:44:00.614755,20277,0
2025-06-17T11:44:01.659279,20163,0
2025-06-17T11:44:02.689724,20179,0
2025-06-17T11:44:03.720313,20240,0
2025-06-17T11:44:04.749763,19955,0
2025-06-17T11:44:05.779039,20094,0
2025-06-17T11:44:06.811823,20043,0
2025-06-17T11:44:07.840014,20159,0
2025-06-17T11:44:08.880674,20142,0
2025-06-17T11:44:09.910819,20083,0
2025-06-17T11:44:10.951038,20170,0
2025-06-17T11:44:11.983707,20217,0
2025-06-17T11:44:13.025911,20120,0
2025-06-17T11:44:14.086307,20150,0
2025-06-17T11:44:15.115832,20245,0
2025-06-17T11:44:16.144916,20220,0
2025-06-17T11:44:17.197410,20251,0
2025-06-17T11:44:18.227640,20255,0
2025-06-17T11:44:19.271630,20210,0
2025-06-17T11:44:20.301002,20237,0
2025-06-17T11:44:21.330257,20115,0
2025-06-17T11:44:22.367816,20135,0
2025-06-17T11:44:23.397452,20159,0
2025-06-17T11:44:24.427366,20230,0
2025-06-17T11:44:25.458216,20286,0
2025-06-17T11:44:26.496216,20217,0
2025-06-17T11:44:27.539966,20348,0
2025-06-17T11:44:28.569189,20162,1
2025-06-17T11:44:29.614751,20064,1
2025-06-17T11:44:30.644071,20061,1
2025-06-17T11:44:31.674285,20050,1
2025-06-17T11:44:32.746262,20026,1
2025-06-17T11:44:33.786354,19999,1
2025-06-17T11:44:34.835343,20030,1
2025-06-17T11:44:35.875173,20004,1
2025-06-17T11:44:36.906386,20095,1
2025-06-17T11:44:37.936724,20140,1
2025-06-17T11:44:38.967970,20285,1
2025-06-17T11:44:40.008277,20271,1
2025-06-17T11:44:41.038318,20233,1
2025-06-17T11:44:42.080790,20167,1
2025-06-17T11:44:43.114114,20163,1
2025-06-17T11:44:44.155419,20184,1
2025-06-17T11:44:45.185085,20021,1
2025-06-17T11:44:46.216849,20090,1
2025-06-17T11:44:47.245541,20135,1
2025-06-17T11:44:48.274721,20168,1
2025-06-17T11:44:49.304360,20130,1
2025-06-17T11:44:50.335976,20101,1
2025-06-17T11:44:51.365374,20184,1
2025-06-17T11:44:52.394729,20284,1
2025-06-17T11:44:53.424914,20074,1
2025-06-17T11:44:54.455389,20119,1
2025-06-17T11:44:55.495796,20109,1
2025-06-17T11:44:56.526248,20134,1
2025-06-17T11:44:57.569602,20077,1
2025-06-17T11:44:58.598817,20251,1
2025-06-17T11:44:59.657557,20298,1
2025-06-17T11:45:00.687835,20233,1
2025-06-17T11:45:01.741493,20230,1
2025-06-17T11:45:02.795098,20187,1
2025-06-17T11:45:03.832135,20240,1
2025-06-17T11:45:04.865979,20400,1
2025-06-17T11:45:05.895151,20314,1
2025-06-17T11:45:06.948160,20216,1
2025-06-17T11:45:07.987913,20167,1
2025-06-17T11:45:09.018511,20170,1
2025-06-17T11:45:10.062639,20219,1
2025-06-17T11:45:11.092438,20190,1
2025-06-17T11:45:12.121941,20232,1
2025-06-17T11:45:13.151458,20235,1
2025-06-17T11:45:14.180514,20357,1
2025-06-17T11:45:15.211978,20340,1
2025-06-17T11:45:16.243798,20169,1
2025-06-17T11:45:17.273933,20271,1
2025-06-17T11:45:18.303883,20303,1
2025-06-17T11:45:19.356058,20150,1
2025-06-17T11:45:20.386772,20216,1
2025-06-17T11:45:21.429270,20131,1
2025-06-17T11:45:22.460027,20280,1
2025-06-17T11:45:23.492696,20284,1
2025-06-17T11:45:24.522687,20199,1
2025-06-17T11:45:25.556031,20097,1
2025-06-17T11:45:26.585133,20062,1
2025-06-17T11:45:27.614355,20256,1
2025-06-17T11:45:37.826838,20069,0
2025-06-17T11:45:38.865025,20083,0
2025-06-17T11:45:39.895341,20070,0
2025-06-17T11:45:40.924836,20162,0
2025-06-17T11:45:41.968054,20068,0
2025-06-17T11:45:43.009157,20121,0
2025-06-17T11:45:44.039621,20138,0
2025-06-17T11:45:45.084767,20118,0
2025-06-17T11:45:46.114539,20038,0
2025-06-17T11:45:47.144891,20074,0
2025-06-17T11:45:48.173144,20076,0
2025-06-17T11:45:49.202805,20135,0
2025-06-17T11:45:50.232182,20199,0
2025-06-17T11:45:51.275745,20203,0
2025-06-17T11:45:52.305851,20297,0
2025-06-17T11:45:53.351047,20195,0
2025-06-17T11:45:54.396897,20312,0
2025-06-17T11:45:55.426184,20184,0
2025-06-17T11:45:56.457332,20236,0
2025-06-17T11:45:57.511427,20278,0
2025-06-17T11:45:58.540346,20283,0
2025-06-17T11:45:59.597429,20153,0
2025-06-17T11:46:00.627196,20071,0
2025-06-17T11:46:01.671851,20023,0
2025-06-17T11:46:02.716204,19664,0
2025-06-17T11:46:03.745009,20386,0
2025-06-17T11:46:04.791336,20277,0
2025-06-17T11:46:05.820424,20246,0
2025-06-17T11:46:06.850107,20386,0
2025-06-17T11:46:07.897174,20414,0
2025-06-17T11:46:08.945611,20251,0
2025-06-17T11:46:09.976156,20319,0
2025-06-17T11:46:11.005758,20423,0
2025-06-17T11:46:12.037462,20390,0
2025-06-17T11:46:13.074962,20402,0
2025-06-17T11:46:14.103165,20250,0
2025-06-17T11:46:15.133634,20374,0
2025-06-17T11:46:16.164028,20329,0
2025-06-17T11:46:17.210224,20329,0
2025-06-17T11:46:18.239401,20267,0
2025-06-17T11:46:19.284622,20411,0
2025-06-17T11:46:20.313461,20441,0
2025-06-17T11:46:21.353343,20422,0
2025-06-17T11:46:22.383748,20374,0
2025-06-17T11:46:23.413142,19931,0
2025-06-17T11:46:24.442376,20443,0
2025-06-17T11:46:25.473086,20477,0
2025-06-17T11:46:26.508195,20421,0
2025-06-17T11:46:27.552721,20552,0
2025-06-17T11:46:28.581929,20316,0
2025-06-17T11:46:29.627529,20319,0
2025-06-17T11:46:30.656760,20420,0
2025-06-17T11:46:31.685740,20450,0
2025-06-17T11:46:32.716414,20383,0
2025-06-17T11:46:33.748389,20539,0
2025-06-17T11:46:34.783232,20401,0
2025-06-17T11:46:35.826750,20336,0
2025-06-17T11:46:36.870956,20343,0
2025-06-17T11:46:37.900347,20374,0
2025-06-17T11:46:38.945329,20234,0
2025-06-17T11:46:39.975690,20092,0
2025-06-17T11:46:41.005842,20357,0
2025-06-17T11:46:42.034924,20250,0
2025-06-17T11:46:43.064339,20346,0
2025-06-17T11:46:44.094288,20366,0
2025-06-17T11:46:45.140240,20362,0
2025-06-17T11:46:46.168853,20353,0
2025-06-17T11:46:47.213331,20324,0
2025-06-17T11:46:48.242519,20307,0
2025-06-17T11:46:49.287680,20318,0
2025-06-17T11:46:50.316471,20308,0
2025-06-17T11:46:51.346766,20497,0
2025-06-17T11:46:52.375692,20408,0
2025-06-17T11:46:53.405473,20384,0
2025-06-17T11:46:54.438139,20384,0
2025-06-17T11:46:55.468723,20150,0
2025-06-17T11:46:56.497817,20345,0
2025-06-17T11:46:57.555741,20314,0
2025-06-17T11:46:58.586204,20343,0
2025-06-17T11:46:59.635348,20579,0
2025-06-17T11:47:00.665317,20376,0
2025-06-17T11:47:01.695502,20350,0
2025-06-17T11:47:02.726720,20326,0
2025-06-17T11:47:03.756845,20315,0
2025-06-17T11:47:04.790119,20274,0
2025-06-17T11:47:05.821049,19807,0
2025-06-17T11:47:06.851550,20225,0
2025-06-17T11:47:07.879949,20326,0
2025-06-17T11:47:08.922126,20319,0
2025-06-17T11:47:09.952190,20234,0
2025-06-17T11:47:10.996652,20251,0
2025-06-17T11:47:12.025685,20240,0
2025-06-17T11:47:13.055894,20177,0
2025-06-17T11:47:14.084739,20102,0
2025-06-17T11:47:15.114262,20036,0
2025-06-17T11:47:16.157655,20020,0
2025-06-17T11:47:17.186703,20071,0
2025-06-17T11:47:18.216969,20278,0
2025-06-17T11:47:19.264551,20155,0
2025-06-17T11:47:20.294589,20217,0
2025-06-17T11:47:21.338916,20231,0
2025-06-17T11:47:22.368225,20258,0
2025-06-17T11:47:23.399043,20131,0
2025-06-17T11:47:24.428078,20241,0
2025-06-17T11:47:25.468692,20280,0
2025-06-17T11:47:26.499206,20142,0
2025-06-17T11:47:27.531433,20271,0
2025-06-17T11:47:28.582925,20197,0
2025-06-17T11:47:29.613042,20290,0
2025-06-17T11:47:30.658850,20233,0
2025-06-17T11:47:31.688142,20240,0
2025-06-17T11:47:32.719200,20234,0
2025-06-17T11:47:33.748310,20200,0
2025-06-17T11:47:34.778728,20288,0
2025-06-17T11:47:35.808010,20133,0
2025-06-17T11:47:36.838988,20135,0
2025-06-17T11:47:37.878651,20146,0
2025-06-17T11:47:38.908943,20166,0
2025-06-17T11:47:39.949443,20080,0
2025-06-17T11:47:40.982628,20164,0
2025-06-17T11:47:42.029601,20076,0
2025-06-17T11:47:43.059731,20082,0
2025-06-17T11:47:44.089351,20078,0
2025-06-17T11:47:45.119494,20160,0
2025-06-17T11:47:46.150331,20068,0
2025-06-17T11:47:47.188014,20051,0
2025-06-17T11:47:48.218526,20042,0
2025-06-17T11:47:49.249222,20123,0
2025-06-17T11:47:50.291764,20244,0
2025-06-17T11:47:51.321526,20272,0
2025-06-17T11:47:52.365553,20352,0
2025-06-17T11:47:53.400072,20320,0
2025-06-17T11:47:54.429148,20131,0
2025-06-17T11:47:55.459424,20114,0
2025-06-17T11:47:56.499118,20140,0
2025-06-17T11:47:57.528510,20113,0
2025-06-17T11:47:58.561687,20161,0
2025-06-17T11:47:59.610143,20053,0
2025-06-17T11:48:00.639313,20132,0
2025-06-17T11:48:01.684947,20178,0
2025-06-17T11:48:02.715187,20151,0
