timestamp,power_mW,under_attack
2025-06-17T23:16:31.945819,256,1
2025-06-17T23:16:32.999041,256,1
2025-06-17T23:16:34.030095,0,1
2025-06-17T23:16:35.063251,0,1
2025-06-17T23:16:36.093432,0,1
2025-06-17T23:16:37.122305,0,1
2025-06-17T23:16:38.151292,0,1
2025-06-17T23:16:39.194525,753,1
2025-06-17T23:16:40.223138,753,1
2025-06-17T23:16:41.263708,753,1
2025-06-17T23:16:42.312526,829,1
2025-06-17T23:16:43.342107,829,1
2025-06-17T23:16:44.371155,829,1
2025-06-17T23:16:45.406433,829,1
2025-06-17T23:16:46.435365,741,1
2025-06-17T23:16:47.464639,741,1
2025-06-17T23:16:48.494172,741,1
2025-06-17T23:16:49.523726,749,1
2025-06-17T23:16:50.553390,749,1
2025-06-17T23:16:51.582242,749,1
2025-06-17T23:16:52.612865,749,1
2025-06-17T23:16:53.653883,770,1
2025-06-17T23:16:54.682688,770,1
2025-06-17T23:16:55.729085,770,1
2025-06-17T23:16:56.757894,751,1
2025-06-17T23:16:57.787534,751,1
2025-06-17T23:16:58.818865,751,1
2025-06-17T23:16:59.855557,751,1
2025-06-17T23:17:00.884196,757,1
2025-06-17T23:17:01.921972,757,1
2025-06-17T23:17:02.954213,757,1
2025-06-17T23:17:03.996291,724,1
2025-06-17T23:17:05.029312,724,1
2025-06-17T23:17:06.076370,724,1
2025-06-17T23:17:07.105821,799,1
2025-06-17T23:17:08.137975,799,1
2025-06-17T23:17:09.168000,799,1
2025-06-17T23:17:10.196515,763,1
2025-06-17T23:17:11.230133,763,1
2025-06-17T23:17:12.259350,763,1
2025-06-17T23:17:13.289901,763,1
2025-06-17T23:17:14.338742,774,1
2025-06-17T23:17:15.367726,774,1
2025-06-17T23:17:16.411725,774,1
2025-06-17T23:17:17.441745,725,1
2025-06-17T23:17:18.470431,725,1
2025-06-17T23:17:19.504687,725,1
2025-06-17T23:17:20.539544,725,1
2025-06-17T23:17:21.568553,729,1
2025-06-17T23:17:22.597228,729,1
2025-06-17T23:17:23.641213,729,1
2025-06-17T23:17:24.681140,711,1
2025-06-17T23:17:25.710134,711,1
2025-06-17T23:17:26.755455,711,1
2025-06-17T23:17:27.815096,792,1
2025-06-17T23:17:28.845621,792,1
2025-06-17T23:17:29.874833,792,1
2025-06-17T23:17:30.903632,792,1
2025-06-17T23:17:40.785641,749,0
2025-06-17T23:17:41.814732,714,0
2025-06-17T23:17:42.859637,714,0
2025-06-17T23:17:43.888727,714,0
2025-06-17T23:17:44.917375,0,0
2025-06-17T23:17:45.950866,0,0
2025-06-17T23:17:46.979644,0,0
2025-06-17T23:17:48.009295,0,0
2025-06-17T23:17:49.052191,0,0
2025-06-17T23:17:50.082546,312,0
2025-06-17T23:17:51.126145,312,0
2025-06-17T23:17:52.170421,312,0
2025-06-17T23:17:53.202128,0,0
2025-06-17T23:17:54.234365,0,0
2025-06-17T23:17:55.273642,0,0
2025-06-17T23:17:56.303225,0,0
2025-06-17T23:17:57.346694,0,0
2025-06-17T23:17:58.378273,0,0
2025-06-17T23:17:59.420236,0,0
2025-06-17T23:18:00.449028,0,0
2025-06-17T23:18:01.477659,0,0
2025-06-17T23:18:02.514870,0,0
2025-06-17T23:18:03.545398,287,0
2025-06-17T23:18:04.580865,287,0
2025-06-17T23:18:05.610719,287,0
2025-06-17T23:18:06.639908,0,0
2025-06-17T23:18:07.691469,0,0
2025-06-17T23:18:08.719982,0,0
2025-06-17T23:18:09.763851,0,0
2025-06-17T23:18:10.803506,0,0
2025-06-17T23:18:11.833871,0,0
2025-06-17T23:18:12.863359,319,0
2025-06-17T23:18:13.892999,319,0
2025-06-17T23:18:14.924991,319,0
2025-06-17T23:18:15.954826,0,0
2025-06-17T23:18:17.007346,0,0
2025-06-17T23:18:18.038260,0,0
2025-06-17T23:18:19.089813,0,0
2025-06-17T23:18:20.125774,0,0
2025-06-17T23:18:21.155404,0,0
2025-06-17T23:18:22.198053,0,0
2025-06-17T23:18:23.227867,0,0
2025-06-17T23:18:24.257388,0,0
2025-06-17T23:18:25.301792,303,0
2025-06-17T23:18:26.333525,303,0
2025-06-17T23:18:27.375835,303,0
2025-06-17T23:18:28.405034,0,0
2025-06-17T23:18:29.448260,0,0
2025-06-17T23:18:30.477858,0,0
2025-06-17T23:18:31.508102,0,0
2025-06-17T23:18:32.538772,0,0
2025-06-17T23:18:33.568825,0,0
2025-06-17T23:18:34.620193,0,0
2025-06-17T23:18:35.651406,0,0
2025-06-17T23:18:36.693771,0,0
2025-06-17T23:18:37.721791,0,0
2025-06-17T23:18:38.750865,0,0
2025-06-17T23:18:39.787538,287,0
2025-06-17T23:18:40.816951,287,0
